{'descr': '说还行的话是骗我自己，只能说差', 'star': 2}
{'descr': '位置不错 服务态度也很好 总的来说比较满意', 'star': 5}
{'descr': '太小设施比较糟糕,地方偏僻楼比较阴森~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 1}
{'descr': '不错 位置好 态度也很好 总的评价就是一个好字哈 下回有机会还会去的', 'star': 5}
{'descr': '这个酒店不怎么好没有电梯酒店前面还修桥很吵', 'star': 1}
{'descr': 'w位置方便 条件上佳  只是不支持刷卡 无电梯  服务态度不错', 'star': 5}
{'descr': '地理位置不错，房间还算整洁、其他条件一般，性价比比较高。', 'star': 5}
{'descr': '价钱是比较公道的 但是房间的网线插头是坏的 空调制暖效果很一般 服务态度也算一般 卫生状况不错 但是地理位置比较偏僻 ', 'star': 1}
{'descr': '服务马马虎虎，刚到店说没预定过，经沟通才给了一间剩余的房，不好!', 'star': 3}
{'descr': '挺好，因河南桥修理，所以位置比较不好，还有酒店没有电梯也是一个很大的问题，早晨起来的时候有施工的声音，相对比较吵。', 'star': 5}
{'descr': '就读服务不错，但硬件很差，卫生间灯是坏的，隔音及其差，墙面有受潮的脱落...', 'star': 5}
{'descr': '很好!', 'star': 5}
{'descr': '相对来说，还是可以推荐的，但是酒店里面的网线插口位置不太好，在电视旁边，没有办公桌，酒店附近吃的地方不多，但是离火车站还是比较近的，打的才5元', 'star': 5}
{'descr': '酒店设施一般,但是没电梯,房间没有椅子,用电脑要爬在床上,服务也不是很积极,衣服挂只有2个,想找服务员在要一个说那都没有了,洗漱用的杯子是塑料的,看一眼就没有用的胆量了,也没人主动给整理房间,看来要预约才能给整理了.', 'star': 3}
{'descr': '酒店设施一般，关键是没有电梯，不过价格便宜，还可以将就。', 'star': 1}
{'descr': '窗户没有纱窗，进蚊子', 'star': 5}
{'descr': '酒店的价格经济实惠，环境各方面都很达标。值得推荐。', 'star': 5}
{'descr': '酒店规模小~~~\r\n定的房间和住的房间好像不一致~就是不规范~网络 有线电视都有问题\r\n暂时住一住还可以~', 'star': 1}
{'descr': '房间很温馨，布局很好，对酒店的印象比较满意。', 'star': 5}
{'descr': '酒店淋浴房紧贴床，而且淋浴房用玻璃隔断，渗水严重，把被子都弄湿了。', 'star': 1}
{'descr': '干净舒适,交通方便.', 'star': 3}
{'descr': '酒店的标示不是很明显，但是位置还是挺不错的，出行方便。', 'star': 5}
{'descr': '酒店的宽带不好，老掉线，大厅经理的服务态度极差，拉落在房间的物品找不回来', 'star': 1}
{'descr': '地点近公交车站,出门方便;酒店干净舒适,服务好,设施齐全,价格合理.', 'star': 5}
{'descr': '金州假日房间还不错，房间宽敞舒适。', 'star': 5}
{'descr': '位置有些偏', 'star': 5}
{'descr': '房间的面积很宽敞，格局设施也都很不错，。', 'star': 5}
{'descr': '酒店的设施环境很不错。房间干净整洁，布置温馨。', 'star': 5}
{'descr': '酒店的价格挺优惠的，环境舒适达标。', 'star': 5}
{'descr': '这家店的位置在延吉还是比较好的地段，出行交通都很方便。性价比也不错。', 'star': 5}
{'descr': '配置硬件齐全达标，价格合理适中。', 'star': 5}
