{'短评内容': '房间宽敞，位置好，但是建议酒店定时开窗通风', '短评打分': 5}
{'短评内容': '11点半去的，没房我理解，在a座意大利餐厅吃饭，味道不如小店，更别提意大利味道了。1点去了，说是有房但没打扫，站着等，1点半，在c座餐厅等，2点上了杯水等，2点半，多次催促下，等到了，在还在另一座楼，进去看看就是普通标间，很普通，和如家之类的一点差距都没有。这个价，这个等待，真不值，下次去住民居了，这个价格够好几天海边民居的了。还海景呢，远的离谱。睡得也不怎么样，地毯也不干净，就是文具挺全，正好拿', '短评打分': 1}
{'短评内容': '酒店真是不错，靠着海边，房间设施完善。好像是日资酒店，资料都是中日两种语言的，GOOD', '短评打分': 5}
{'短评内容': '酒店服务和设施还不错，离海边之隔一条马路。只是周围就餐不太方便，很不错酒店推荐一下', '短评打分': 3}
{'短评内容': '地理位置优越，面向大海，房间安静，尽管硬件已经陈旧，软件服务，毛巾，被单还是安静的。建议给居住四天以上的客人，中间跟换一下被套和床单，毕竟靠海，盛夏还是潮湿的。自助餐品种，质量，尤其是汤，急需改进。', '短评打分': 5}
{'短评内容': '青岛的旅游旺季，能在海边订到这种价位的酒店还真不容易，但是不带早餐是唯一遗憾。', '短评打分': 5}
{'短评内容': '差 相当差，房间很脏，根本没有点评上说得那么好', '短评打分': 1}
{'短评内容': '环境好极了，出门就是大海，不在闹市，很安静。交通也比较方便。服务很好，总之都很满意就对了。价格相比快捷酒店来说差不多，但是环境好很多\n', '短评打分': 5}
{'短评内容': '位置非常好，离市区近，离海边更近。就是价格涨的厉害还不含早餐。房间装修有点显老', '短评打分': 5}
{'短评内容': '宾馆环境设施都不错，开车过去很方便，靠近佳世客，奥帆中心，心海广场，推荐自驾游去住宿。', '短评打分': 5}
{'短评内容': '酒店还是不错的，就是价格涨的厉害，而且还不含早餐，资费早餐要60一位。实在有点**。', '短评打分': 1}
{'短评内容': '很好的酒店，性价比很高。老婆说了，好好好！', '短评打分': 3}
{'短评内容': '这是我们青岛游最满意的酒店！虽然住C座，但房间很干净，大厅服务员很热情，行李也有门童给送到房间！也可以在A座游泳健身！住了四天每天感觉都很舒服！会推荐给周围想去旅行的朋友，尤其给带孩子的朋友强烈推荐！', '短评打分': 5}
{'短评内容': '有一个小小的不满就是泳池的淋雨房地沟蝇太多了，有点恐怖', '短评打分': 5}
{'短评内容': '服务还可以，呵呵，就是咖啡太贵了，75一份，还加10块服务费。', '短评打分': 5}
{'短评内容': '酒店大堂很漂亮，服务确实不错。离海边和奥帆中心很近。', '短评打分': 5}
{'短评内容': '周围环境安静，房间布局有点狭小，总体说不错', '短评打分': 5}
{'短评内容': '说不上是为什么 青岛的酒店都很贵\n而且贵的还很没道理 全部是因为旅游季节把。。\n\n卫生 不是太好 墙面鼓起 洗手台的洗手液瓶子 自从我来了 就一直是空的 没人管填充\n\n沙发 椅子面都是污渍 \n\n屋内格局怪异\n\n有洗手池 2个 却没有地方放张桌子 电脑根本只能抱着', '短评打分': 1}
{'短评内容': '房间很好，环境也是闹中取静。早餐也不错。唯一遗憾的是房间同隔壁房有扇封死的门相隔，打电话，电视声清晰无比。也许是套房改的。', '短评打分': 3}
{'短评内容': 'B 楼实在是有点旧了，感觉就是普通2~3星，房间太小。被子有点潮。将就了一晚，感觉不太值。', '短评打分': 1}
{'短评内容': '比较安静，卫生一般！位置很好！价格实惠！', '短评打分': 5}
{'短评内容': '此酒店服务态度一般。房间设施一般。中餐厅很一般。。。但在青岛现在这房价中间，算很实惠了。。。。', '短评打分': 1}
{'短评内容': '  酒店装修有点老  单人房空间较小   跟酒店实拍图片有差别 总体还可以价格是优势', '短评打分': 3}
{'短评内容': '每次来都住这里，交通购物都方便。最近开始预订不含早餐了，性价比骤降', '短评打分': 5}
{'短评内容': '每次到青岛都住在这里，现在预订价不含早餐了，有些郁闷。', '短评打分': 5}
{'短评内容': '酒店不错，每次都给客人预订这家，B座以前早餐在楼上，现在改到1层，看不到海景了，，', '短评打分': 5}
{'短评内容': 'A good hotel with a good location', '短评打分': 5}
{'短评内容': '很不错的酒店，每次去都住。\n\n就是近期其B座的商店不开。', '短评打分': 5}
{'短评内容': '酒店环境不错，周边环境也很好，靠近奥帆会场。看海特方便', '短评打分': 5}
{'短评内容': '上周末入住的，酒店位置很好，出门是东海路，对面是燕岛公园，也就是海边了。景色很好，由于不是景区，因此海边的有人相对少些，很是安静。可以步行到奥帆中心，海信广场，柏丽中心，沿途有海景可看，非常不错。酒店客房相对陈旧，但设施还算齐全，够得上四星标准，但是那种老的四星。因此，如果一个人入住，且应酬很多无需在酒店房间久待的人可以选择这里。性价比还是可以的，值得推荐一下！', '短评打分': 5}
{'短评内容': '此酒店服务态度很差。房间设施一般。公寓楼有味道的。A座的楼价性价比太差。不建议入住。', '短评打分': 1}
{'短评内容': '差：服务态度非常之一般。特别是公寓房那边，问个事都爱搭不理的，头都不抬，很不耐烦的感觉。A座的房价极贵，服务态度比公寓房好一点，能抬头说话了，只是脸上没点笑容的。这家酒店会议比较多，牛的狠。\n极其不推荐这家酒店。', '短评打分': 1}
{'短评内容': '位置很好，看海，前面就是小公园，早上走走空气清新。附带的饭店也很好。', '短评打分': 5}
{'短评内容': '性价比好，虽然房间设施老旧了一点，但是四星级酒店，这个价格就不错了。', '短评打分': 5}
{'短评内容': '环境设备优良，服务态度好，早餐丰盛精美，不足的地方有公寓楼的玻璃灰尘影响观景，目前来说离商业区如海信广场有点距离，', '短评打分': 5}
{'短评内容': '环境很好，非常干净，服务员服务很到家', '短评打分': 3}
{'短评内容': '房间稍微小点儿，不过很温馨，，还算不错，，', '短评打分': 5}
{'短评内容': '公寓楼登记换到一楼了，从正门进去就行，停车，进入比以前方便多了，，不错不错，但是早餐改到一楼了，看不到海景了，，让客户很失望，，以前吃早餐时，可以看海景，真的很不错的，，', '短评打分': 5}
{'短评内容': 'B楼的房间很小，早餐在A楼，早餐很不错的。', '短评打分': 5}
{'短评内容': '这几年去青岛基本都住这个酒店，交通方便，离海边也近，早餐很丰盛。', '短评打分': 5}
{'短评内容': '服务挺周到，住得挺温馨。只是感觉B座有点旧了，热水要放很久才会热，还不如当初住的C座。', '短评打分': 5}
{'短评内容': '入住的是C座公寓房\n设施完善 服务热情\n酒店的早餐很满意\n下次还会入住', '短评打分': 5}
{'短评内容': '配套的设施,体面的大唐.奢华的待遇.海情 - 美好的海滨假日在这里开始。', '短评打分': 5}
{'短评内容': '还行 不错 就是网速太慢了！！！！！！！！！！', '短评打分': 5}
{'短评内容': '淡季价格还算合理 还是有点偏高 其他都挺好啊', '短评打分': 5}
{'短评内容': '房间不咋地~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '性价比还算可以，服务不错，很干净，早餐挺好。就是房间太小了。', '短评打分': 5}
{'短评内容': '房间超级小，卫生间的设施有点老旧，需要更新下了。\n早餐不错，书桌配的椅子也很舒服。', '短评打分': 5}
{'短评内容': '酒店很好，可是B座单人套确实比较小，设施也比较陈旧。不过早餐还是很好的啊！', '短评打分': 5}
{'短评内容': '满干净的,住的C楼公寓,就是没有写字台,可以适当调整下布局,早饭很不错,东西还算多!', '短评打分': 5}
{'短评内容': '服务非常好，就是价格比较高。想看海的朋友可以考虑来这里。这里离海很近，很方便。', '短评打分': 5}
{'短评内容': 'C座的701超级小，还特冷，性价比不高！换了个房间还可以。服务态度很好。', '短评打分': 5}
{'短评内容': '酒店很好，特别早餐很丰盛，但是B座单人套真的很小，虽然价格也很优惠', '短评打分': 5}
{'短评内容': '位置不错，B座房间性价比太低，卫生间太差，服务态度很好，', '短评打分': 1}
{'短评内容': '房间还可以，但我定的房间小且不能看海。', '短评打分': 3}
{'短评内容': '酒店不错，很干净，前台服务员态度好、业务熟练，尤其早餐很丰富。定的B座，就是房间小点。', '短评打分': 5}
{'短评内容': ' 很温馨 不错', '短评打分': 3}
{'短评内容': '次次来次次住，住的公寓楼单人间，房间不大功能挺全的，就是没有放电脑的桌子要和电视机挤在一起不太方便。', '短评打分': 5}
{'短评内容': '地理环境不错，到购物中心和观光景点都很方便，闹中取静；AB楼的自助早餐的品种繁多，价格如果包含在房费中就更好了；B楼的行政大床房间面积适中，房间有点年头了，但是设施维护的还不错；从前台到门童还有客房服务人员的素质都不错；住在酒店可以享受A楼的康乐中心的设施，包括健身设施和游泳，壁球等需要另外付费；总体感觉很好，要是酒店周边有更多餐饮服务就更好了。', '短评打分': 5}
{'短评内容': '入住的是C座 公寓式酒店\n感觉很不错 酒店设计设施都是感觉很温馨\n整个酒店大环境以及配套设施很完善\n推荐入住的一个酒店', '短评打分': 5}
{'短评内容': '每次来青岛都住这里，附近吃饭地方不少，还有佳世客，麦凯乐等商业区。', '短评打分': 5}
{'短评内容': '酒店除了位置好点以外，就剩那劣质的服务了，从门童，前台，到大堂和餐厅服务员，没有一个服务人员是合格的。简直是住过的最差的酒店了', '短评打分': 1}
{'短评内容': '帮朋友订的，朋友比较满意，酒店设施和卫生状况都不错', '短评打分': 5}
{'短评内容': ' 推荐！食物很好！', '短评打分': 3}
{'短评内容': '经常住这家酒店，交通便利，环境好，早餐丰盛，房间稍微小一点儿，我住的那间浴室喷头有点儿毛病，水四处乱喷，酒店能经常检查一下就好了，而且旅游旺季已经过了房价应该更便宜才对。', '短评打分': 5}
{'短评内容': '和同事一起订的，经常住这家酒店，交通便利，环境好，早餐丰盛，房间稍微小一点儿，而且旅游旺季已经过了房价应该更便宜才对', '短评打分': 5}
{'短评内容': '房间设施陈旧，洗手间面盆陈年污垢，实在是不敢恭维，毛巾颜色尽显沧桑，哎！这个价格我是不会再去第二次了！', '短评打分': 1}
{'短评内容': '酒店总的来说不错，下次出差还会作为选择。', '短评打分': 5}
{'短评内容': '地理位置优越，服务不错，价格略高，跟他的硬件相比。', '短评打分': 5}
{'短评内容': '酒店总体感觉还是不错，但是公寓楼隔音实在太差，楼道内的走动影响休息。', '短评打分': 5}
{'短评内容': 'A座的房间好  c座的不好 不好呢 不过离海边很近 地段还是比较好的', '短评打分': 5}
{'短评内容': '地理位置优越，家庭房有个厅，一家人出去，有个地方喝喝茶，还不错。', '短评打分': 5}
{'短评内容': '入住酒店行政楼，总体感觉，房间比较大，但地毯较脏。', '短评打分': 5}
{'短评内容': '非常好的一家酒店，环境很好，地理位置优越，离五四广场很近，非常值得一住。', '短评打分': 5}
{'短评内容': '感觉很温馨。', '短评打分': 3}
{'短评内容': '感觉不错', '短评打分': 3}
{'短评内容': '青岛海情大酒店 位置优越 价格适中 在青岛市几家四星级酒店中是性价比最好的酒店之一。我以前也经常介绍给外地的朋友入住，如能进一步提升服务和餐饮质量，酒店的生意会更好。', '短评打分': 5}
{'短评内容': '您的点评您的点评您的点评您的点评您的点评您的点评您的点评您的点评您的点评', '短评打分': 1}
{'短评内容': '很不错的酒店,性价比高.环境好,身居闹市而不闹,出门走几步就到海边了,交通\\购物\\吃饭都很方便,只是住的时间短还没有享受够.', '短评打分': 5}
{'短评内容': '环境不错服务不错', '短评打分': 3}
{'短评内容': '早餐时服务员的态度有点愉快!', '短评打分': 3}
{'短评内容': '房间已经有了很长时间历史了，单位置还不错，而且早餐可供选择的比较多。可能是淡季了，客人看起来并不是很多。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错，适合一家人来，我们一家人非常满意，下次有机会再来', '短评打分': 5}
{'短评内容': '酒店位置不错，适合在市南区办事的人。过了马路就是大海，适合旅游观光，来青岛住过很多次了。最近C座公寓楼的大堂改造好，不用再去3楼CHCEK IN，方便多了。', '短评打分': 5}
{'短评内容': '海清大酒店是一个不错的酒店，已经住过好多次了。地处东海中路，离市政府、五四广场、家乐福十分近，关键是海清的服务不错，从前台到客房服务员，个个脸上挂满笑容，让人感觉十分亲切。', '短评打分': 5}
{'短评内容': '房间设施不错，够大，干净，保洁服务员很好，有送水果和报纸，交通还算方便。看海不行，前台服务差。尽量不要住在这个酒店。早餐贵品种不多，酒店配套的餐饮也不怎样。', '短评打分': 1}
{'短评内容': '位置不错，就在奥帆附近，而且面积非常大。早餐也非常丰盛，就是感觉设施有些旧了。估计是时间长的原因。整体感觉不错！', '短评打分': 5}
{'短评内容': '非常好， 每次都住。 有游泳池，乒乓球等设施。\n现在价钱便宜下来了， 更可以入住。\n位置很好。 推荐入住。\n饭菜也很好。  \n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '厕所滲水系统不好，别的都还可以。', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': 'C座实在是太小了，而且竟然马桶堵了，这是我住这么多宾馆第一次遇到，当然，服务态度还是不错的。C座实在是太小了，而且竟然马桶堵了，这是我住这么多宾馆第一次遇到，当然，服务态度还是不错的。', '短评打分': 1}
{'短评内容': '打车不好打。安静倒是很安静。住了五星级酒店里便宜的房间，很小很紧凑，不过下次过来青岛，同等的预算还是选择四星的酒店。', '短评打分': 5}
{'短评内容': '酒店设施还不错，空调力度很够，唯一不足就是标间的卫生间居然是没门的。很奇怪的设计。。酒店的位子不错，很容易找到。', '短评打分': 5}
{'短评内容': '非常好， 每次都住。 有游泳池，乒乓球等设施。\n现在价钱便宜下来了， 更可以入住。\n位置很好。 推荐入住。\n饭菜也很好。', '短评打分': 5}
{'短评内容': '酒店位置优越，出门1分钟就是海边，交通比较方便，只是有点堵车。房间很干净，略小了一点。不过啤酒节期间性价比算是很好的了。', '短评打分': 5}
{'短评内容': '酒店入住服务较好。房间干净设施较好。', '短评打分': 3}
{'短评内容': '总体感觉不值这个价格，可能是因为靠近海边吧，所以房间的条件确实不好，特别小，浴室的喷头还不能取下来，反正不太方便。', '短评打分': 5}
{'短评内容': '位置较好，但性价比不高，B座房间太小，设施简陋。客房服务员工作马虎，面纸、牙刷都忘了补充。早餐不错。', '短评打分': 1}
{'短评内容': '位置不错，位置不错，位置不错，位置不错，位置不错，位置不错，位置不错，位置不错，位置不错，位置不错，位置不错，位置不错，位置不错，位置不错，位置不错，位置不错，位置不错，位置不错，位置不错，位置不错，位置不错，位置不错，位置不错。', '短评打分': 5}
{'短评内容': '酒店整体环境不错,C座的豪华家庭房不错，有两张大床,一个卫生间使用起来有些局促,主卧的房间很大，次卧就显得小多了。', '短评打分': 5}
{'短评内容': '服务态度热情，酒店周围环境好，酒店设施齐全，就是单人间小了点。', '短评打分': 5}
{'短评内容': '住的B座单人 卫生地址都不错 就是房间有点小', '短评打分': 3}
{'短评内容': 'The service in this hotel is good. Suugest to stay in B or A building', '短评打分': 5}
{'短评内容': '位置好，海边，景色很不错。打车的话挺方便，如果坐公共交通的话不推荐。', '短评打分': 5}
{'短评内容': '房间太小,急促,有味道,不喜欢.欢迎水果还不错,但整体不够四星水平.\n不过离市中心很近,采购很方便.', '短评打分': 1}
{'短评内容': '酒店设施还可以房间有点小。服务热情态度好，希望继续保持。\n', '短评打分': 5}
{'短评内容': '装修不错， 服务也不错，虽然公共交通不方便点，但打出租车非常方便，酒店有专门等候的出租车，这点希望酒店一直要坚持。否则出行太不方便', '短评打分': 5}
{'短评内容': 'B座服务台服务态度一般，房间设施略显陈旧。', '短评打分': 5}
{'短评内容': '非常不错， 除了B座单间较小外， 很好。', '短评打分': 5}
{'短评内容': 'B座实在太差了，房间很小而且洗澡时候没有玻璃门，弄得水到处都是', '短评打分': 1}
{'短评内容': '酒店的条件很不错  不过公寓楼不像四星的    A座还不错  很想不通为什么侧门不开呢  每次都要绕很远  对于没车的我们不方便   不过住起来不错  ', '短评打分': 5}
{'短评内容': '前一晚的房间不好，房前有施工的，今晚换了一间，好些了。', '短评打分': 1}
{'短评内容': '不好，前面施工，影响客户人睡觉，客人不满意。酒店也没提前通知我们。', '短评打分': 1}
{'短评内容': ' 酒店服务较好，在海边，交通也方便，单人间的房间稍微显小些。', '短评打分': 5}
{'短评内容': 'A座是5星级； B座的单人间最便宜， 房间较小，设施也比较旧。很干净。\n公寓楼（C1 座)的单人间是1米半大床， 比较好。\n可以享受游泳池，桑拿，等设施。 离海边很近。\n酒店内饭菜很好。', '短评打分': 5}
{'短评内容': '环境不错，靠近海边，房间设计格局不错，早餐的种类很丰富，充分考虑到了不同人士的要求，下次还会选用该酒店', '短评打分': 5}
{'短评内容': '房间超级小，很袖珍，不过靠海边就是贵，另外一点，晚上下雨，下水道的声音很响，一晚上都没有睡好', '短评打分': 1}
{'短评内容': '酒店外部奢侈非常不错，环境非常好，内部设施稍微有点老，但是基本不影响，总之还是蛮好的', '短评打分': 5}
{'短评内容': '酒店整体环境不错,A座最豪华了.我们入住的是C座的豪华家庭房,不错有两张大床,两个卫生间,尤其是主卧的房间很大,缺点是主卧的淋浴房没有任何的遮挡,外屋一开门容易看到.C座的早餐一般不太值50元.', '短评打分': 5}
{'短评内容': '跟3年前去相比，房间陈旧些了。C楼有独立底层的前台。服务还是不错。下次来还是住海情。', '短评打分': 5}
{'短评内容': '不错的酒店，早餐很丰富，离海也不远。。。', '短评打分': 5}
{'短评内容': '服务不错，饭菜也丰富。客房尽管有些旧，但是很温馨。', '短评打分': 5}
{'短评内容': '感觉不错~~~下次来青岛还住海清~~~再会~', '短评打分': 5}
{'短评内容': '我住的是B座房间设施太旧但是早餐在A座，早餐不错。', '短评打分': 5}
{'短评内容': '环境很不错，距离海边也很近，晚上闲来出去溜溜还是不错的，不过就是C座房间太小', '短评打分': 5}
{'短评内容': '酒店环境很不错，服务员的服务态度也不错。', '短评打分': 5}
{'短评内容': '地理位置很好，虽然价格偏高点，但也还值得', '短评打分': 1}
{'短评内容': '什么5星级酒店啊，哇，完全被骗了的感觉，房间在楼梯拐角处，不好', '短评打分': 1}
{'短评内容': '几乎每次去青岛都会住在这个酒店，房间装修比较陈旧了，面积也很小', '短评打分': 5}
{'短评内容': '酒店的房间面积与介绍及其不符，实在是太小太陈旧了。', '短评打分': 1}
{'短评内容': '卫生间极干净，护发素十分赞。最重要的是半夜很安静，不像新东，半夜有女人敲门，保安还懒得管。', '短评打分': 3}
{'短评内容': '房间视野挺好,能看大海,房价还算合理。', '短评打分': 3}
{'短评内容': '卫生间极干净，太勇于挑战了，居然是玻璃面盆，应该很难打理吧。', '短评打分': 3}
{'短评内容': '标准的三星级酒店 真的很不错 地理位置好 房间干净 早餐丰富 服务员热情', '短评打分': 5}
{'短评内容': '房间太小', '短评打分': 3}
{'短评内容': '早餐很丰盛，但房间之小难以想象，很有压抑感。性价比很一般，除非选择豪华间还算可以。', '短评打分': 1}
{'短评内容': '一般一般                   性价比不高', '短评打分': 1}
{'短评内容': '很一般。', '短评打分': 3}
{'短评内容': '住的公寓房，总体评价一般。优点是离海边比较近。缺点是房间一般，比较小，登记入住等不太方便，前台在C1座，房间在C2座', '短评打分': 5}
{'短评内容': '谢谢', '短评打分': 3}
{'短评内容': '酒店很好，，早餐很好，就是房间小了点', '短评打分': 3}
{'短评内容': '地理位置、服务、环境都很好，住的很舒服。', '短评打分': 5}
{'短评内容': '地理位置很好，服务也不错，早餐也很好。。。', '短评打分': 5}
{'短评内容': '帮朋友订的，据说还行。帮朋友订的，据说还行。帮朋友订的，据说还行。帮朋友订的，据说还行。', '短评打分': 5}
{'短评内容': '酒店位置好，离海很近，景色宜人，酒店健身设施全，泳池很好，就是房间有点小装修旧。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '情定青岛，青岛海情大酒店，让我忘不了的魅力大海！', '短评打分': 5}
{'短评内容': 'Price is reasonable. Refrigerator is not cold, chair is broken, the quality of breakfst needs to improve.', '短评打分': 1}
{'短评内容': '第一次入住是同事预订的，各方面都不错。出差青岛时首选该酒店。', '短评打分': 5}
{'短评内容': '到处施工…', '短评打分': 3}
{'短评内容': '服务水准高，设施完善，能看海，环境好。不错的酒店。', '短评打分': 5}
{'短评内容': '四星级酒店中，价格较高些，但设施好，环境不错，客户很喜欢。', '短评打分': 5}
{'短评内容': '多次定这家酒店了，客户一如既往的给予好评，环境好，服务水准高！', '短评打分': 5}
{'短评内容': '很好的酒店，观海，走廊很不错，温馨感很强！', '短评打分': 5}
{'短评内容': '日本客户住的，他们觉得非常好，濒临海边，能看海，设施不错！', '短评打分': 5}
{'短评内容': '酒店还是很不错的 特别喜欢那里的走廊 呵呵', '短评打分': 5}
{'短评内容': '入住的是C座公寓楼，房间设施比较简单实用，性价比还可以。就是酒店在施工修建3栋楼之间的连廊，早晨8点开始，有些吵。', '短评打分': 5}
{'短评内容': '还好!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '酒店还不错，但是我当时订了两个房间，到了后居然告诉我只订了一间。而且，餐厅在不同的建筑。有点不方便。', '短评打分': 5}
{'短评内容': '总的来说，是个不错的酒店，虽然稍微贵了些，但性价比还是不错的。', '短评打分': 5}
{'短评内容': '位置不错，环境也不错，早餐也还可以，下次还会考虑入住院。', '短评打分': 5}
{'短评内容': '店的地理位置不错，靠近海边，条件也很不错！\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '酒店还是不错的。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务部错，就是小贵了一点，希望多点折扣就好了', '短评打分': 5}
{'短评内容': '地理位置很好,态度不错,早餐有点贵.总体来说比较满意', '短评打分': 5}
{'短评内容': '酒店的地理位置不错，靠近海边，条件也很不错！', '短评打分': 5}
{'短评内容': '价格不算便宜,还没早餐.在修路,不方便.', '短评打分': 1}
{'短评内容': '\r\n海情酒店的工作人员服务态度亲切热情，酒店干净舒适，地理环境优越，印象很好！', '短评打分': 3}
{'短评内容': ' 服务态度很好 非常人性化 贵了点… 不过值得', '短评打分': 3}
{'短评内容': '这个酒店不错，我是6月过去的，外面就是东海路和雕塑园什么的，反正环境挺好，如果是度假这里不错。', '短评打分': 5}
{'短评内容': '还不错，值得去住住，关键是位置好，非得20字啊', '短评打分': 5}
{'短评内容': '非常不错的酒店，服务超好，性价比高，比武胜关强', '短评打分': 3}
{'短评内容': 'A楼不错。就是价格有点高\n\n房间很舒服的。\n前台的服务水平应加强些，感觉有个别服务人员水平稍稍弱一些，大多还不错的。', '短评打分': 5}
{'短评内容': '酒店位置非常好靠近钟楼，底下就是机场大巴起始站', '短评打分': 3}
{'短评内容': '不错，很好的酒店，就是酒店的布局不是很好。', '短评打分': 5}
{'短评内容': '不错，酒店早餐，服务质量，卫生都很好，不过就是入住的户型不是很满意，总之不错，价位有点贵就是了。', '短评打分': 5}
{'短评内容': '舒适的商务酒店，值得推荐。服务好，早餐丰盛，就是结账有点慢，可能因为太忙了吧。', '短评打分': 5}
{'短评内容': '不错的酒店，服务一流，早餐也比较好，很好！！！', '短评打分': 5}
{'短评内容': '还可以 就是太吵了  总起来说 环境还可以\n就是没有服务到位 ', '短评打分': 5}
{'短评内容': '酒店老了点，但服务不错，还可以，早餐比较丰富，边上就是五四广场，去玩不错', '短评打分': 5}
{'短评内容': '怎么讲呢。。如果打分的话就给75分吧~~\n海情，青岛的老牌四星酒店，房间可看海。设施嘛。只能说中规中矩。打折很低的话。。推荐可以去~~', '短评打分': 5}
{'短评内容': '青岛海情大酒店 已经是第二次入住了，亲身体验推荐大家去哈。。就是价格不是很稳定。。呵呵', '短评打分': 5}
{'短评内容': '青岛海情大酒店 离海边很近，是我希望的酒店，占地面积也很大，不错哦。。推荐。', '短评打分': 5}
{'短评内容': '性价比比较高，主要是早餐的比较好。值得推荐。', '短评打分': 5}
{'短评内容': '非常舒适，特别适合商务出差人士，每次来都会入住这里///', '短评打分': 5}
{'短评内容': '位置很好，住的很舒适，以后还会来。。。。。。', '短评打分': 5}
{'短评内容': '酒店很不错，公寓楼不推荐入住，喜欢热闹的人这家酒店离闹市有点远，购物不方便，装修挺好的，有水果赠送，还行', '短评打分': 5}
{'短评内容': '可以看海，性价比很高，交通便利，朋友闻名入住的。', '短评打分': 3}
{'短评内容': '性价比很高，位置不错，在海边，海景房景观真不错的。', '短评打分': 5}
{'短评内容': '环境还可以  就是太吵了 隔音效果也很差 半夜里有不和谐的男女声音从隔壁传来。 ', '短评打分': 5}
{'短评内容': '酒店无论从服务质量还是卫生等其他方面都是不错的，下次去还会选择那里！', '短评打分': 5}
{'短评内容': '十一前入住,到店后非常失望,所谓的公寓楼不像个酒店,更像学生宿舍.原定了380元的房间,房间实在太小,换了一个稍大些的,要530元的,可早餐还要50元每人.性价比太低.不会再住.', '短评打分': 1}
