{'descr': '非常喜欢，以后还会买的', 'star': 5}
{'descr': '一共住了7晚，感觉很不错，交通方便，门口113路车坐2站就可以乘到地铁，坐3站可以到雍和宫，国子监孔庙。（一开始不知道，还去转地铁。）宾馆服务也很好，自助餐很丰富，有不少适合南方人口味的菜，还有水果和冷盘菜。房间内电脑网速很快，暖气足，袜子一晚就干。隔音效果不够好，但白天玩累了，晚上大多睡得着。', 'star': 5}
{'descr': '酒店交通比较方便，从北京西站和北京站过来都比较方便，距离地铁车站倒一段公交就到了。\n服务员态度不错。自助早晚餐不错。\n房间干净卫生，电脑速度快，暖气相很足，我住的电脑三人房6116，家人都很满意，感觉物有所值，。\n唯一小缺憾，卫生间偏小，热水供应限量。\n下次还会来。', 'star': 5}
{'descr': '小旅馆，但离考点近，位置不好找，我十一月分去的北京，没暖气整个房子很冷只能用空调开暖风，有电脑但u盘插不进去且没光驱，本来订的价格是714,不知为什么结帐时774,问前台说我那房258一天。房子位置靠边那边上有个门还直通外边还没上锁我一个十几岁的女生不但不安全还很冷,这样的房子怎么也不值258.要考雅思的同学最好不选这家，因为房子不隔音，选教育考试学院对面那家还是靠谱一点。', 'star': 1}
{'descr': '因为离要去的地方比较近，就选择了这里。还是感觉可以吧。要是下次来的话，还住着。有朋友需要会推荐。', 'star': 5}
{'descr': '优点：价格合理，房间内有电脑，速度很快，房间还算干净，早饭10元，品种味道对得起十块钱；\n缺点：位置不是很好，去三环路步行10分钟，地铁站步行至少20分钟。', 'star': 5}
{'descr': '服务人员很热情，办理入住速度很快，但房间里有蟑螂。', 'star': 1}
{'descr': '干净室内温度好，吃饭便宜，品种多味道也挺好。7011房间的下水修了两次没修好。总的感觉应该在95分吧！。', 'star': 3}
{'descr': '店的位置挺好找的，并且周围吃的东西很多，住店环境不错，挺干净的。', 'star': 5}
{'descr': '宾馆真的不错，服务热情周到，用餐经济实惠，交通便捷，是一家不错的宾馆，值得选择。', 'star': 3}
{'descr': '前台服务好，隔音好，网速好，电脑好，房间配置全。', 'star': 5}
{'descr': '挺好的，很干净，餐也不错，住的感觉还是挺好的', 'star': 5}
{'descr': '住了两天，印象很好。\n隔音很好，很安静。服务人员都是笑的，舒服。\n自助餐很划算。离地铁大概15分钟步行路程。', 'star': 5}
{'descr': '酒店就在小区中，外观挺普通的，但是前台接待人员挺热情的，服务挺好，房间隔音效果不太好，但是还挺干净整洁的。酒店周围都是居民楼，所以周围的小餐馆很多。酒店自身的餐饮很好，餐厅很干净，都是自助的形式，早餐10元，中餐晚餐都是15元，菜很多，味道也好，强烈推荐，很超值。酒店周围的交通还挺发达的，到那里挺方便的', 'star': 5}
{'descr': '不错，性价比高。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '房间设施不错,还有电脑的.前台服务人员态度相当赞~很安静.适合三人住宿.有两层相当于两间.暖气相当足,开窗睡了.就是离地铁站稍远了点,不过TAXI 10块就可以到.非常推荐!', 'star': 5}
{'descr': '挺好的服务！', 'star': 3}
{'descr': '只此一次，太差了，更要人无法忍受的是，凌晨两点有人在楼道闹事半个小时，酒店竟然当旁观者。', 'star': 1}
{'descr': '    不错   很方便', 'star': 3}
{'descr': '考试图近便，服务还算可以，条件一般。不过价格在这呢。', 'star': 5}
{'descr': '房间比较安静,无异味,电脑网速比较快,特别是十五元的自助餐挺好的', 'star': 3}
{'descr': '位置挺好的。', 'star': 3}
{'descr': '不错！环境挺好，房间里有台式电脑，网速也快，周围吃饭的地方很多', 'star': 5}
{'descr': '干净.性价比高。', 'star': 3}
{'descr': '内容', 'star': 3}
{'descr': '退房很快，不收押金。挺好的。早餐，午餐，晚餐都很便宜。\n\n', 'star': 5}
{'descr': '非常超值，服务态度好，已经住过三次', 'star': 3}
{'descr': ' 房子比较旧，有些异味，提供的自助餐比较不错，十五元一位；住宿不收押金只交房费，还有电脑用起来很方便。', 'star': 3}
{'descr': '入住快捷，服务态度好，是理想的选择，比较干净，现在早餐同样收费不好', 'star': 5}
{'descr': '房间有点小，还算干净', 'star': 3}
{'descr': '很好，房间很干净。我很满意和家的一些设施啊。', 'star': 5}
{'descr': '复式房真的不错哦，还有两层呢，两个电视，一个电脑，上网速度还不错啊，很干净，地理位置也不错哦，我已经办了会员卡，以后还会来的。这个店门口有好吃的香辣锅，都不错，打车到什刹海大概十五快钱，到机场七十，各方便都不错，推荐大家来哦！\n对了，楼上那个床，一米八宽，可以睡三个人，也就是说复式房就可以睡四个人哦！厉害了，以后合伙来北京玩的时候人多可以定这个哦！', 'star': 5}
{'descr': '环境蛮好的,位置也不是很偏,前台MM和服务人员很亲切,感觉很好,住了三天,觉得很不错,如果有机会会过去住的.', 'star': 5}
{'descr': '环境很好，还是别墅区', 'star': 3}
{'descr': '环境不错，交通方便，还来。', 'star': 3}
{'descr': ' 酒店不错 自助餐物美价廉 十分超值', 'star': 3}
{'descr': '的确很不错！电脑复式房，俩电视，一大一小俩床，有电脑。尤其是这里的自助餐，又实惠又干净，非常满意！', 'star': 5}
{'descr': '很一般的  不咋地啊   隔音效果很差  我当日1点入住  下午6点我就退房了  床很硬  设施也一般  价格也不便宜  还是沈阳三隆中天好', 'star': 1}
{'descr': '环境干净，装修比较新，比较适合商务人士短住~', 'star': 5}
{'descr': '真的感觉不错，服务态度也好，房间很干净，洗澡水也热，性价比确实满高的。', 'star': 3}
{'descr': '酒店很温馨，很有家的感觉，总体环境都很好，下次还会来如家入住的。', 'star': 5}
{'descr': '酒店还行房间装修的也不是太差，价格还行，酒店和一般的快捷连锁比较都差不多，环境都还好。位置出行很方便。', 'star': 3}
{'descr': '房间不错比较干净，早餐不太好，出行比较方便。', 'star': 5}
{'descr': '继住了一天，换了床单，不错。 睡的挺好。做了二次叫醒电话没放好，服务员来房间问了，很负责，感谢。', 'star': 3}
{'descr': '继住了一天，换了床单，不错。 睡的挺好。做了二次叫醒电话没放好，服务员来房间问了，很负责，感谢。', 'star': 3}
{'descr': '酒店服务礼貌热情周到。房间隔音效果很差，头晚碰上团队几乎半夜未眠，痛苦。东北地区民众声大性急，忍了没发声投讼。整体评个好吧，价格与收到的服务成正比-满意。且附近没有其它更好的宾馆可选择。', 'star': 5}
{'descr': ' 环境不错.服务也不错.', 'star': 5}
{'descr': '卫生和服务都不错 ', 'star': 5}
{'descr': '很好很方便很满意', 'star': 5}
{'descr': '不错的服务，性价比比较高。儒家都是不错的。再来。', 'star': 5}
{'descr': '在金州办事方便，位置不错，离大商近，逛商场买东西，非常方便。', 'star': 5}
{'descr': '多次入住这家酒店，感觉还不错。要是能优惠点就好了。', 'star': 5}
{'descr': '地理一般，离机场与大连景区较远，基本属于郊区了。周边环境一般，酒店内环境，卫生，服务都还不错。', 'star': 1}
{'descr': '昨天住的房间挨着电梯口，所以比较吵。其他方面还可以。', 'star': 5}
{'descr': '很好，虽然空间小点。但是很温馨，很干净。性价比还算可以。要是再便宜20-30元就更好了。', 'star': 3}
{'descr': '虽然空间很有限，但是感觉很温馨。有家的感觉。', 'star': 5}
{'descr': '比较不错', 'star': 5}
{'descr': '位置就在金州高速路边上,交通还是很方便的；但是不是在市中心；房间的整体环境条件也很不错的；性价比还是比较高的；值得推荐一下；', 'star': 3}
{'descr': '一般我出门就选如家性价比很好,住着又很舒适就是像回家一样.', 'star': 3}
{'descr': '酒店的比较温馨，挺安静也很整洁，就是位置稍微偏了一点，其他方面还不错', 'star': 3}
{'descr': '酒店卫生很好,房间小了一些,设施要是能有电脑更好了,地理位置非常好.', 'star': 3}
{'descr': '服务不错，早上自费的早餐也很不错', 'star': 5}
{'descr': '感觉酒店各方面都还挺不错，服务也很热情，而且价格也不贵 ，还是比较满意的。', 'star': 5}
{'descr': '这家的酒店性价比还是挺不错的，即经济有干净，值得推荐', 'star': 5}
{'descr': '房间内部环境不错，床有点硬，热水供不上', 'star': 5}
