{'短评内容': '老酒店了', '短评打分': 5}
{'短评内容': '隔音比较差，离机场近只用10分钟到。', '短评打分': 5}
{'短评内容': '除了离机场近一点,没有什么值得说的地方.另外,服务员感觉象警察,连小孩子和爷爷奶奶睡还是父母一起睡也要问清楚,规定不允许变动.早上八点多,我们去餐厅吃饭,回来一看居然服务员已经在打扫房间了,没有任何道理.', '短评打分': 1}
{'短评内容': '有吹风，可上网，有免费送机服务，押金要交500元，早餐没来得及吃，不知道怎样~~住的时候最好要求一个比较安静的房子，我住在临街的房间，吵死了~~地段很好，总的来说还是值的~~', '短评打分': 5}
{'短评内容': '总体感觉不错，周围吃饭也很方便', '短评打分': 3}
{'短评内容': '酒店离机场很近，但接机服务一定要去前台登记才生效，切记！！', '短评打分': 5}
{'短评内容': '应该来说还是不错的。', '短评打分': 5}
{'短评内容': '这家酒店不错', '短评打分': 5}
{'短评内容': '这个酒店式我在重庆住过最差的酒店', '短评打分': 3}
{'短评内容': '距离机场近，有送机服务，如转机休息可考虑', '短评打分': 5}
{'短评内容': '干净舒适.\r\n性价比高~', '短评打分': 5}
{'短评内容': '一家不错的酒店，离机场很近，床够大，很干净，这样的价格还有免费送机服务，很适合转机的人住，周边有一些饭店，吃饭也很方便，不足之处是设施稍有些旧，我住的房间沿街，有点吵', '短评打分': 5}
{'短评内容': '除了离机场近些，没感觉好', '短评打分': 1}
{'短评内容': '说句实在话，我本人相当后悔住再这个酒店。在重庆住过很多酒店，在相同价位上，这个是最差的', '短评打分': 1}
{'短评内容': '应该说这家酒店很不错，离机场就几分钟车程而且还很方便，性价比很值得，房间也不错，比双流机场的宾馆好多了。', '短评打分': 5}
{'短评内容': '推荐的原因：的确离江北机场很近\r\n不推荐的主要原因：前台小姐服务很不好！态度极其差！希望酒店能够多多培训，服务行业做的就是服务。酒店本身装修过整体不错，但是就因为前台接待的人员各方面不到位影响到酒店真的很不好。希望改进，\r\n      我是2月19号入住的，大概16：-17：入住的前台的服务员居然还染指甲，这个让人看了很倒胃，服务业的应该多熟悉基本服务业常识', '短评打分': 5}
{'短评内容': '因为客户在空港区，住在这里非常的方便。', '短评打分': 5}
{'短评内容': '不错，离机场近，客房还行。', '短评打分': 5}
{'短评内容': '酒店离机场很近，方便客户出行，酒店的设施还行。', '短评打分': 5}
{'短评内容': '晚上有那种骚扰电话', '短评打分': 5}
{'短评内容': '性价比一般', '短评打分': 5}
{'短评内容': '入住的感觉还可以，卫生服务都还可以，位置好交通方便。', '短评打分': 3}
{'短评内容': '服务很好很周到，价格适中，出行也很方便', '短评打分': 3}
{'短评内容': '设施比较旧，酒店的服务不是很到位，其他还可以吧', '短评打分': 5}
{'短评内容': '酒店很干净的,酒店的位置离机场很近的,位置还可以的,卫生服务以及房间的设施都是不错的,价格也很合适的,整体来讲酒店的性价比不错的酒店', '短评打分': 5}
{'短评内容': '不错的酒店，就是地毯脏了，', '短评打分': 5}
{'短评内容': '对一个出门旅行的人来说，酒店的设施是可以的。', '短评打分': 5}
