{'短评内容': '很旧，很老，价格很贵，不过处于市中心，地理位置还不算偏僻', '短评打分': 1}
{'短评内容': '该地区一家不错的酒店，每次来都这里。交通方便，干净整洁，整体性价比可以，', '短评打分': 5}
{'短评内容': '床很舒服，但总台服务态度不好', '短评打分': 3}
{'短评内容': '服务比较差，周边施工也比较吵，硬件设施还凑合', '短评打分': 1}
{'短评内容': '房间内设施较旧，应该是老酒店，与宁波同等价格的酒店相比性价比不高', '短评打分': 1}
{'短评内容': '晚上9点前热水一直热不起来,没有办法洗澡.', '短评打分': 3}
{'短评内容': '在奉化算比较好的酒店了，性价比也可以，就是服务意识需要提高。', '短评打分': 5}
{'短评内容': '价格便宜。。宾馆有些老了。。\n还行吧~\n卫生间有些破旧。。。\n地毯估计也有很久了。\n床还可以。感觉不是很硬\n', '短评打分': 5}
{'短评内容': '这个酒店管理有问题，晚上没有地方停车。问保安，他随手一指，要我停到对面。竟然是另外超市一个的收费停车场。还有这个酒店的拖鞋好像是回收的，隔音特别差。', '短评打分': 1}
{'短评内容': '_好', '短评打分': 3}
{'短评内容': '！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '很不错的一家酒店，我和朋友们都很满意！就是客房浴室里面洗澡的喷头和烧开水的水壶建议要换一下了，都是坏的 ', '短评打分': 5}
{'短评内容': '这个价位的酒店还算可以..........', '短评打分': 5}
{'短评内容': '酒店还干净，价格也不错，就是隔音效果有点差，旁边开电视听得好清楚', '短评打分': 5}
{'短评内容': '入住酒店后.感觉比以往舒服.', '短评打分': 3}
{'短评内容': '房间干净整洁，服务热情周道', '短评打分': 5}
{'短评内容': '？房间有些旧？位置很好…？下次会再去入住', '短评打分': 5}
{'短评内容': '150的价钱。早餐差不说，简直就是不够吃。房间装修一股味道。电梯摇摇晃晃。怕死人。下次肯定不住。建议大家住宁波丽兹酒店', '短评打分': 3}
{'短评内容': '建筑实在是太旧了，设备陈旧。房间给的上网用的网线实在是太短了！！严重影响客人使用。。反正这家店还是关门的好。住起来影响心情的', '短评打分': 1}
{'短评内容': '350元以内，性价比高酒店奉化唯一的选择', '短评打分': 5}
{'短评内容': '酒店太差，我本人强烈建议取消这家酒店，电梯坏了，沙沙响，没有维护记录，怕的要死。房价很差。早餐一塌糊涂。最多150价钱。', '短评打分': 3}
{'短评内容': '\r\n酒店电梯沙沙响，吓死人，早餐差的不得了，最多150的房价买280。下次睡街上也不敢住这家酒.', '短评打分': 1}
{'短评内容': '还不错的,下次还会来的', '短评打分': 5}
{'短评内容': '环境处于市中心，较闹。不过好在密封较好，关好门窗后不妨。价格合理，适合工薪层选择。', '短评打分': 3}
{'短评内容': '\r\n太老的宾馆。。。\r\n\r\n地毯旧的褪了颜色，，，\r\n\r\n\r\n不会再去了', '短评打分': 1}
{'短评内容': '交通便利，价位适中，服务嘛本人认为还需要再提高，应该给客户发发水果之类的，哈哈，', '短评打分': 5}
{'短评内容': '这个价格能住这样的酒店还算划算的', '短评打分': 5}
{'短评内容': '酒店是我的客人住的，客人说酒店里面的网线很短，但是插头跟网线的接口距离很长，这样怎么上网？', '短评打分': 5}
{'短评内容': '这个价位的酒店还算可以了', '短评打分': 5}
{'短评内容': '房间的窗户关不紧, 刮风的声音响了一晚. 房间陈设比较陈旧, 很一般的酒店', '短评打分': 1}
{'短评内容': '在闹市区，逛街也很方便，比较不错', '短评打分': 3}
{'短评内容': '还不错的酒店', '短评打分': 5}
{'短评内容': '酒店地处奉化市中心，对面就有超市，附近有很多饭店及娱乐场所，不过离溪口景点有点远，还有15KM左右', '短评打分': 5}
{'短评内容': '位置还行，出行还是很方便的，房间的卫生和设施也还不错，服务也可以，整体感觉这家酒店的性价比还是较高的', '短评打分': 3}
{'短评内容': '到奉化住这里很方便，购物游玩都很方便，位置优越，早餐很丰富。', '短评打分': 5}
{'短评内容': '前台服务很差;房间里面的东西摆的乱七八糟的,很不干净!电梯不稳定;早餐的服务人员对人都是爱理不理的.', '短评打分': 1}
{'短评内容': '酒店卫生状况不这么好，早餐花样少', '短评打分': 1}
{'短评内容': '我觉得酒店挺不错的，出来玩，交通挺方便的，环境也不错，价格我们觉得还比较合适，挺好的。', '短评打分': 3}
{'短评内容': '我住的是最顶层，是新装修过的，房间的卫生和设施都还不错，酒店的服务也还可以，我觉得这家酒店性价比还是比较高的 值得推荐', '短评打分': 3}
{'短评内容': '酒店的服务卫生方面还是不错的,设施也挺齐全的,价格也蛮合适.', '短评打分': 5}
{'短评内容': '比较满意', '短评打分': 5}
{'短评内容': '这家酒店整体给我感觉都很不错，价格也优惠，住着很舒适', '短评打分': 5}
{'短评内容': '早餐很差，其他一般', '短评打分': 3}
{'短评内容': '早餐很差，其他一般', '短评打分': 3}
