{'短评内容': '空调冷的就没用', '短评打分': 4}
{'短评内容': '离火车站非常近,交通方便,经济实惠,可以暂存行理,服务不错,满意', '短评打分': 3}
{'短评内容': '离火车站非常近，挺适合短期旅途，干净。水温调了很长时间，忽冷忽热，下水道不太通畅。电视有点小。', '短评打分': 5}
{'短评内容': '位置好的没的说，但是酒店装修一般，服务不错', '短评打分': 3}
{'短评内容': ' 酒店位置优越，很方便，房间隔音也不错，下次还会入住，赞一个', '短评打分': 3}
{'短评内容': ' 酒店不错，干净，整洁。', '短评打分': 3}
{'短评内容': '卫生间设计的不错。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '真的很不错  环境很好 就是房间有点小  早饭很好吃  呵呵 ', '短评打分': 5}
{'短评内容': '真的很不错  早餐也很好吃  服务态度很好 住着很舒心  强烈推荐', '短评打分': 5}
{'短评内容': '还不错，值得住，希望对大家有用！！！！！！！！！！！！1', '短评打分': 5}
{'短评内容': '，很干净，卫生间空间有些窄，装修年代比较长了，不过性价比还可以', '短评打分': 3}
{'短评内容': '环境不错，价格不高，推荐', '短评打分': 3}
{'短评内容': '挺安静的，价格合理，地铁二号出口左手边就能看见，不过需要过一个地下通道', '短评打分': 3}
{'短评内容': '价格还可以，不过没有电脑，只有网线，电视台也少，晚上很无聊！', '短评打分': 5}
{'短评内容': '为什么不返还30元的消费券呢？实在是搞不懂了', '短评打分': 5}
{'短评内容': '房间很好!早餐很好吃!', '短评打分': 3}
{'短评内容': '已经入住,空间小', '短评打分': 3}
{'短评内容': '酒店很干净,地理位置也很方便，周边买吃的地方也很多。交通又很便利。', '短评打分': 5}
{'短评内容': '离火车站比较近，但是里面房间的设施比较陈旧', '短评打分': 1}
{'短评内容': '就在上海站对面,挺干净的,就是房间小点.\u3000', '短评打分': 3}
{'短评内容': '酒店整体还不错，空间方面，汉庭的好像都不是很大，不过差不多吧，离上海火车站很近，窗户外面就是，不过窗户是两层的，隔音还可以。离地铁站走路3分钟左右，挺方便的。就是早晨感觉没什么料，比较简单，包子是甜菜馅的。。', '短评打分': 5}
{'短评内容': '酒店条件不错，性价比高。离火车站近，交通很方便', '短评打分': 5}
{'短评内容': '虽然靠近铁道。但是还算比较安静。隔音效果不错。房间干净整洁，设施有点旧，总体来说还算不错·', '短评打分': 5}
{'短评内容': '非常好！服务好，房型好，真的一点都不像快捷酒店啊！', '短评打分': 5}
{'短评内容': '整洁、舒适、安全措施好、员工警惕性也高、早餐实惠饮料品种多；特别适合赶早班火车。脸盆大但似乎不利于节水。特别令人惊喜的是床头还有根网线，当然，如果再有个床用电脑桌就更是超五星享受了。不足的是：1.饮用水只有1瓶。2.盥洗台小了点。', '短评打分': 5}
{'短评内容': '房间空间台太小，房间比较旧，服务不够周到。', '短评打分': 1}
{'短评内容': '酒店很干净，还送早餐。地理位置也很方便，楼下买吃的地方也很多。交通又很便利。推荐。', '短评打分': 5}
{'短评内容': '酒店比较清洁，整齐。免费得自助早餐很丰富。', '短评打分': 5}
{'短评内容': '房间很整洁，窗户很大，感觉蛮温馨，离火车站非常近，便捷。', '短评打分': 5}
{'短评内容': '位置好是绝对的关键，距离火车站近在咫尺。但是也是因为太靠近车站，有些吵闹。', '短评打分': 5}
{'短评内容': '很好的酒店，值得下次再来，离火车站超近，大床很不错', '短评打分': 5}
{'短评内容': '不错，干净卫生。酒店报价好像比网上报价低', '短评打分': 5}
{'短评内容': '离火车站很近，但是房间真的很小！不过热水真的很给力！这点很满意，所以推荐。另外电视也小，将就吧。', '短评打分': 5}
{'短评内容': '该酒店地点好，离地铁近，出行方便，卫生佳，早餐还可以。', '短评打分': 5}
{'短评内容': '离火车站很近，不用走多远，晚上很安静，早上倒是有些声音，单床房太小了，不过只是住一个晚上，将就一下，哈哈，总体感觉还可以', '短评打分': 5}
{'短评内容': '如果从上海火车站下车，此酒店位置无敌。就在东南出口出来，往东走，就在火车站行包托运处的对面。第一次来竟然走过了，后来根据门牌号往回走找到的，太近了。非常棒！而且上海火车站地处市中心，这站是地铁1、3、4号线的换乘站，去哪里都方便。酒店距离3、4号线2号出口不到100米。不过和去火车站一样，都需要走一下过街地道，稍微有点小不便。无意中看到酒店电梯内的电梯检验合格标志才知道，这家汉庭原来是铁路局自办的', '短评打分': 5}
{'短评内容': '环境，服务不错，因为靠近火车站，所以有点闹，其他都蛮好', '短评打分': 5}
{'短评内容': '酒店环境还行，就是太吵。而且我们住了两晚，借了四次吹风机，他们说酒店就一个，被借出去了。大冬天，洗完头发，就得呆到房子，干了才能出来。要不然，就得感冒。', '短评打分': 5}
{'短评内容': '蛮干净的  很方便交通 服务态度好  下次还会去的  购物吃法都方便', '短评打分': 5}
{'短评内容': '就靠在地铁站旁边，挺方便的，房间也挺宽敞，干净，下次还会入住。', '短评打分': 5}
{'短评内容': '舒适满意', '短评打分': 3}
{'短评内容': '位置比较好，离火车站太近了，晚上也不吵闹，家具也可以，服务也都还好，挺满意的', '短评打分': 5}
{'短评内容': '总台接待比较热情，房间较小。卫生间毛巾有一条居然没洗干净。有擦皮鞋的痕迹。', '短评打分': 3}
{'短评内容': '位置很方便   就在南广场边上   房间也很不错   我住的百元特价房    阳光超好   窗户也大    房间也很干净   ', '短评打分': 5}
{'短评内容': '交通便利，出行方便，环境不错，服务很好，值得推荐', '短评打分': 5}
{'短评内容': '其实就那样啊，一直都是这样的，价格在上面了啊。你要它能有多好的啊', '短评打分': 5}
{'短评内容': '很好 位置不错 环境也不错 价位合理 以后还会选择', '短评打分': 5}
{'短评内容': '位置离火车站近，确实方便乘早班火车。房间还算干净，电视机老旧，不清楚，遥控器还不能用。\n\n装修一般。适合就是睡一觉赶火车的人。', '短评打分': 5}
{'短评内容': '不错，在上海站前面，出行很方便。酒店各方面还不错，性价比挺高的', '短评打分': 5}
{'短评内容': '可以说是离火车站南广场最近的酒店了，世博会后修路安了护栏得走地下通道了。不然的话，出站2分钟就能到酒店前台。好几次订了其他酒店，，除了火车站一犯懒就住这个店了，确实很方便。', '短评打分': 5}
{'短评内容': '房间还是比较大的，位置也很好，到火车站只有2分钟时间。周围餐厅比较多。', '短评打分': 5}
{'短评内容': '挺方便的，半夜从机场赶过来，很好找，也比较干净', '短评打分': 5}
{'短评内容': '酒店位置紧邻火车站和长途总站，却比较安静，楼下就有24小时营业的便利店，很方便！总体来讲很不错，下次还会选择', '短评打分': 5}
{'短评内容': '交通方便，不过房间好小。', '短评打分': 3}
{'短评内容': '酒店离火车站很近，从东南出口出来后向左走约一百米就看到了，非常好找，酒店很好，前台效率和态度都很好，房间非常干净，空间也挺大，', '短评打分': 3}
{'短评内容': '很方便', '短评打分': 3}
{'短评内容': ' 方便，干净', '短评打分': 3}
{'短评内容': '地理位置非常方便，服务态度不错，卫生还可以', '短评打分': 5}
{'短评内容': '房间不错哦，满意', '短评打分': 3}
{'短评内容': '离火车站很近，比较方便，要搭火车的可以选择这个', '短评打分': 5}
{'短评内容': '酒店离火车站很近。', '短评打分': 3}
{'短评内容': '地点好。服务不错.房间不大，设备很全，下次还会去住。', '短评打分': 5}
{'短评内容': '很好，方便，干净，价格便宜，安静。真希望去每个城市都能享受这样百元房', '短评打分': 3}
{'短评内容': '满不错的  环境也还可以   地理位置不错  出行很方便', '短评打分': 5}
{'短评内容': '交通便利，就在车站边上，但宽带有问题，折腾了很久也没搞定', '短评打分': 1}
{'短评内容': '环境很好，很干净', '短评打分': 3}
{'短评内容': '地理位置不错,交通方便,价格较合理,下次去上海还会住的.', '短评打分': 5}
{'短评内容': '感觉不错，虽然在火车站旁边但是还是比较安全的。', '短评打分': 5}
{'短评内容': '酒店很干净这点我很喜欢  服务态度也蛮好的  我定的是大床房间  感觉房间有点小\n还有一点是我在网上看到的是预定保留到晚上8点钟的  可是到了酒店服务员说是保留到6点  我因为汽车晚点 赶到的时候快要6点多了  服务员就说再不来就要帮我退掉了 我问她不是8点吗 她说她接到的消息是6点  还好我赶上了 要是我没赶上就郁闷了 ', '短评打分': 5}
{'短评内容': '酒店不错 很干净 位置不错\n哈哈\n服务很好\n推荐~~', '短评打分': 5}
{'短评内容': '国庆节期间在这住了两晚，一是当天夜里11点的火车刚到上海，急于休息，二是第二天要赶7点的高铁，方便赶车。总体来说印象一般，卫生表面来看还不错，但装潢简陋，卫生间天花板上有一大块的黑霉点。更不好的是没有备用的被子，一床薄被晚上明显不够。', '短评打分': 1}
{'短评内容': '床很大。不错。', '短评打分': 3}
{'短评内容': '关窗后较安静，总体不错。', '短评打分': 3}
{'短评内容': '干净，不错！位置也方便，很安静！以后还会入驻', '短评打分': 5}
{'短评内容': '优点：离火车站最近的经济型酒店，出站广场左手转弯便是，紧靠售票大厅，服务还行但算不上热情。\n缺点：即便是大床房的房间空间也太小，难以想象标间放两张床怎么放，睡觉必须闭窗否则外面噪音较大，卫生表面功夫做的不错，但有明显死角，比如床头对着的书桌侧板，脏的不像话，毛巾洗漱用具倒是每天都换，但对有两套用具的大床房来说，完全可以环保点，让客户选择在门把上挂牌或床上放卡决定是否需要清洗更换。', '短评打分': 1}
{'短评内容': '守信用，打电话过去，帮我将房间留到9点！', '短评打分': 3}
{'短评内容': '该208元一晚的房间太小了，这我都忍了，住进去就发现有老鼠，把我包里的一个桶面啃了，郁闷之极，要是谁住进去，晚上睡着了被老鼠咬了，那就惨了，而且你还没有证据证明你是被老鼠咬得，没法赔偿你。大家要小心。不要只关心酒店位置，安全极为重要！酒店有老鼠。极为不满，对该酒店。', '短评打分': 1}
{'短评内容': '服务不错，硬件环境也可以，一楼大厅有我喜欢的免费咖啡，O(∩_∩)O~省了买咖啡的钱，只是房间有点小不过够住了！', '短评打分': 5}
{'短评内容': '离开火车站很近，交通很方便，周围是个大商圈，很热闹，酒店也很干净，价格小贵，总体来说不错', '短评打分': 5}
{'短评内容': '环境不错,交通也很方便', '短评打分': 3}
{'短评内容': '帮朋友定的，听她说还不错，离火车站也很近，推荐下~', '短评打分': 5}
{'短评内容': '性价比非常棒的一家酒店。房间内服务设施细节非常到位。值得推荐。', '短评打分': 5}
{'短评内容': '很好 离火车站近但是也很安全安静的。出行有地铁也很方便 酒店屋内干净整洁 。下次还回去住~', '短评打分': 5}
{'短评内容': '酒店很容易找，出了地铁出口就能见到汉庭。周日房相当实惠，安排的房间很干净和安静，下次还会选择该酒店的！', '短评打分': 5}
{'短评内容': '还挺不错的，非常满意', '短评打分': 3}
{'短评内容': '很近，就在出了站的左边。但是被楼挡住，看不到，要走到旁边才看到。其他的中规中矩，交通位置比较占优势。服务态度很好。尤其是存包处的大哥，有趣又直爽。', '短评打分': 5}
{'短评内容': '还行，房间很小，卫生一般，火车站边上的原因吧，周围有些乱', '短评打分': 3}
{'短评内容': '位置是没得说的,而且汉庭现在管理很好,需要房卡才可以上电梯,赞一下,没想到经济型酒店也可以做到这样.', '短评打分': 5}
{'短评内容': '节假日优惠大，靠近火车站，非常方便到达，开动电梯需要房间钥匙保证安全，前台服务主动积极，房间够大，够整洁，物超所值。', '短评打分': 5}
{'短评内容': '服务规范,推荐入住.  近期在网上订房入住,一周以上可联系修改入住日期.酒店地址:火车站南广场出口左拐,经过地铁出入口过街就可以看见.', '短评打分': 5}
{'短评内容': ' 豪华大床房 真不错 只要100', '短评打分': 3}
{'短评内容': '位置挺好，出站口旁边，比较好找，帮别人订的，环境一般，这个价格这个位置还算是不错的了，出差随便住住还可以的', '短评打分': 5}
{'短评内容': '不错环境很好', '短评打分': 3}
{'短评内容': '酒店的位置很好，就在火车站边上，上下地铁换乘很方便，KFC、大娘水饺、吉野家等餐饮店以及若干的便利店步行2分钟就到，太平洋百货也是超近。就是楼后面就是铁道，有些吵，但关紧窗户可以忽略。', '短评打分': 5}
{'短评内容': '地理位置不错，距离上海火车站很近，出门有地铁1、2、3、4号线、公交。930路可以到城隍庙、豫园、人民广场等景点。去其他地方也很方便。性价比高，不足之处是房间无衣柜，脱下衣服存放不方便，洗头液和沐浴露是三合一的。其他都很好，下次还会住。', '短评打分': 5}
{'短评内容': '性价比无疑是不错的', '短评打分': 3}
{'短评内容': '酒店的交通真的比较方便，服务很热情，但希望在卫生方便需要改善。还有晚上房间的塞的小广告很多哦！电梯需要刷卡，很安全', '短评打分': 5}
{'短评内容': '己入住，条件还行', '短评打分': 3}
{'短评内容': '非常建议坐火车到上海的朋友住此家酒店,因为离火车站实在是太近了,而且有地铁1\\3\\4号线,就在售票大楼正对面,买返程票很方便,酒店的电梯是用门禁卡的,安全,赞一个~~', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '房间比较小，服务还好。', '短评打分': 3}
{'短评内容': '已经多次入住过了，位置非常好。本人对酒店要求不高，因为经常出差，对交通便捷非常看重。所以强烈向朋友们推荐这家酒店。对门就是火车站售票处，地铁、公交都很方便。只是早饭过于简单，这也是汉庭之类快捷商务酒店的通病吧！房间非常干净、舒适。', '短评打分': 5}
{'短评内容': '方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便方便', '短评打分': 5}
{'短评内容': '酒店很干净服务很好', '短评打分': 3}
{'短评内容': '房间干净,交通便利。', '短评打分': 3}
{'短评内容': '出了火车站步行没多远就到，蛮好找的，交通出行离地铁很近，服务员态度一般，卫生状况也还行，热水忽大忽小的，还算满意吧', '短评打分': 5}
{'短评内容': '8月12号入住该酒店，由于是网上订好的，所以到时很快就办了入住手续，但给的房间是二楼靠近铁路的很吵！于是要求调换房间，总台很快给调到了四楼一个安静的房间，服务还是不错的，表扬一下。房间设施还行，卫生也不错，总得来说这个价位这种房间还是相当不错滴。最难得的是在这么吵闹的地段四楼房间居然很安静！下次来还会考虑住在这里。', '短评打分': 5}
{'短评内容': '总的来说还可以，最好的方面就是离火车站近，很方便', '短评打分': 5}
{'短评内容': '服务还是那么的好，以后还会来。服务还是那么的好，以后还会来。', '短评打分': 5}
{'短评内容': '还行，就是靠近马路边有点吵。。。。。。。', '短评打分': 5}
{'短评内容': '离火车站步行5分钟，从窗户可以看到铁轨，有双层玻璃，隔音还行。', '短评打分': 5}
{'短评内容': '其他都好，就是灯是坏的，很是郁闷！希望下次不要出现这个情况！特价房就降低品质啊！不过房间蛮好的！值得推荐！', '短评打分': 5}
{'短评内容': '100y的价钱，200y的服务，当然超值，而且离火车站就50米，离地铁口50米，就在门口了，居然很安静，超值。', '短评打分': 5}
{'短评内容': '服务挺不错的，而且房间条件也还不错;找到酒店很方便，距离地铁站挺近的。', '短评打分': 5}
{'短评内容': '干净整洁，服务不错，很好，以后还会去这里住，这次表妹去上海就是我给订的这里', '短评打分': 5}
{'短评内容': '帮朋友订的，还不错，交通方便,推荐大家考虑。', '短评打分': 5}
{'短评内容': '房间旁边就是火车轨道啊…', '短评打分': 3}
{'短评内容': 'very convenient and close to the railway station. if the price is lower that should be better.', '短评打分': 5}
{'短评内容': '不错，推荐！住的是周日百元房，房子很安静，网速很快，100块钱，真的很值！', '短评打分': 5}
{'短评内容': '条件不错，会推荐的。离火车站挺近，出行方便，且宾馆卫生条件也不错。', '短评打分': 5}
{'短评内容': '从来没住过这么差的汉庭酒店，\n1，没地毯，光地板，一进去特别不舒服\n2，空调开关那边坏掉了，时而工作，时而不工作\n3，电视信号差的要命，节目频道好像没几个\n4，刚入住就不能上网，网络在维修，估计经常性的，不过后来修好了\n5，没停车场，害我在外面停了两晚，交了100元的停车费\n反正下次不会入住了', '短评打分': 1}
{'短评内容': '位置离上海火车站很近。对第二天早上坐火车的人比较方便。只是我怎么没有看到100块钱的超值享受?我也是在网上订的?怎么没有', '短评打分': 5}
{'短评内容': '百元房性价比超高 就是超时要收100多 总体满意', '短评打分': 3}
{'短评内容': '\n很实惠', '短评打分': 3}
{'短评内容': '房间虽靠近火车站但听不到太大声音，就是小了一点，其它还可以', '短评打分': 3}
{'短评内容': '位置离火车站近比较方便，但是噪音很重，卧具、房间的烟味也很重，不堪忍受。', '短评打分': 1}
{'短评内容': '  满意', '短评打分': 3}
{'短评内容': '价格便宜，位置离上海火车站超近。对第二天早上坐火车的筒子们比较方便。', '短评打分': 5}
{'短评内容': '感觉蛮干净舒适的，房间和床也够大。靠火车站地铁站,出行也比较方便。唯一不足是我入住时候，网络不好,整晚都用不了网。', '短评打分': 3}
{'短评内容': '酒店整体还不错，是100元假日优惠价格，很划算\n但是我的房间噪音很大，好像外面或者楼上的空调器声音，整个晚上都有点吵', '短评打分': 5}
{'短评内容': '100块钱的超值享受。只有网上预订才有的。', '短评打分': 5}
{'短评内容': '酒店服务很好，除了一点不足希望可以改进！结付款的时间有点长，差点耽误了赶飞机。', '短评打分': 5}
{'短评内容': '100元很超值。房间还不错。又靠近火车站。', '短评打分': 5}
{'短评内容': '1.蛮干净的。\n2.窗户的隔音效果不错，双层的。', '短评打分': 5}
{'短评内容': '早餐还可以，性价比也不错，就是房间的设施及卫生状况比较差哦。', '短评打分': 5}
{'短评内容': '地理位置不错，也很干净，房间也大，就在火车站旁边，价格合理，下次还来这里。', '短评打分': 5}
{'短评内容': '住的是百元大床房，性价比还可以，电视小了点，也不清楚', '短评打分': 5}
{'短评内容': '交通很方便，还蛮好的，以为在铁路边会比较吵，但是隔音是很不错的吧。', '短评打分': 5}
{'短评内容': '位置很好，就在上海站出门左边一点，到上海转车很方便', '短评打分': 5}
{'短评内容': '这家酒店就在火车站售票大厅对面，整洁干净，最大特点是便捷，到浦东机场乘机场五线非常方便，适合一大早在浦东机场乘飞机的客人。', '短评打分': 5}
{'短评内容': '汉庭快捷酒店（上海火车站店）离火车站很近，交通饮食极其方便，性价比高', '短评打分': 5}
{'短评内容': '富春红8709', '短评打分': 3}
{'短评内容': '酒店很靠近火车站，出差住还不错的，里面设施也齐全，离汽车站也很近', '短评打分': 5}
{'短评内容': '挺干净的！还不错！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '只要去上海几乎都会住在这里，除了电视小了点外，其余都不错，', '短评打分': 5}
{'短评内容': '非常感谢这家店的前台的陈小姐!我离开店时很匆忙,竟然把衣服忘记了,她打电话给我,并想办法寄给了我.感谢这家店的保洁人员将衣服送到前台;感谢电话员给我打电话.', '短评打分': 5}
{'短评内容': '物超所值，百元房，绝对超值', '短评打分': 3}
{'短评内容': '房间虽然小，但安排还和很好，隔音不错，美中不足是房间没闹钟。。', '短评打分': 3}
{'短评内容': '这间酒店干净，整洁。服务很到位，我比较满意，高级大床房很不错，值得推荐！', '短评打分': 5}
{'短评内容': '地理位置可以，有点吵，比其他快捷稍贵。', '短评打分': 3}
{'短评内容': '实惠蛮好的,出行方便，离地铁站近，隔音效果也不错', '短评打分': 5}
{'短评内容': '酒店位置不错，交通方便，服务很好，卫生较好。就是太靠近火车站，有点吵。', '短评打分': 5}
{'短评内容': '不错,离上海火车站极近,房间干净,卫生,安全.是出差人员的首选酒店.', '短评打分': 5}
{'短评内容': '酒店还可以。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店就在火车站旁边，很便利，房间的设施有点陈旧。', '短评打分': 5}
{'短评内容': '环境整洁干净，价格合理，性价比高', '短评打分': 3}
{'短评内容': '地方还是蛮方便的 走路1分钟就到售票处了 就是提供的毛巾啊什么的很旧 都磨破了 建议自备。。', '短评打分': 5}
{'短评内容': '环境不太好                前台也不怎么样', '短评打分': 1}
{'短评内容': '距离火车站比较方便。省去奔波劳累之苦，就是周围环境稍微有点吵，酒店卫生不错。', '短评打分': 5}
{'短评内容': '酒店距离上海火车站很近，非常方便。服务态度很好。房间也很干净，空间也比较大。大床很舒服。虽然是临街的房间，但是晚上也很安静。', '短评打分': 5}
{'短评内容': '除了交通方便，其他都一般，房间太小，不是很满意。', '短评打分': 1}
{'短评内容': '汉庭推出的周日百元大床房非常经济实惠。15元得早餐味道也不错。', '短评打分': 5}
{'短评内容': '房间太小 太吵 但交通还可以 一出南广场没多远就到了', '短评打分': 1}
{'短评内容': '和其他汉庭差不多，毕竟招牌在那里，还是一如既往的干净', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '酒店位置很好，房间略小，电视也太小，浴室很大', '短评打分': 3}
{'短评内容': '住得不错', '短评打分': 3}
{'短评内容': '酒店位置非常好，方便。安静，被子有点厚，感觉不是很舒服，总体很好，推荐。', '短评打分': 5}
{'短评内容': '不错，这是第二次入住，交通非常方便，就是卫生间设备不好', '短评打分': 5}
{'短评内容': '设施新，方便快捷，性价比高，大厅有免费的咖啡和奶茶', '短评打分': 5}
{'短评内容': '这是第二次住该酒店，连电熨斗都没有借到。除了位置好，其他太一般了。', '短评打分': 1}
{'短评内容': '还不错，只是靠近火车站，有点鱼龙混杂的感觉。其他都不错，交通方便', '短评打分': 5}
{'短评内容': '不错，中央空调制热很好。。。。。。。。。。。很难的', '短评打分': 5}
{'短评内容': '连锁酒店。性价比还是比较高的，而且口碑好住宿环境也不错，印象很好.', '短评打分': 5}
{'短评内容': '不错的地方，交通方便的很！以后还会住宿的。', '短评打分': 5}
{'短评内容': '很近 电梯刷卡很人性化\n就是房间小了点 \n空调很给力', '短评打分': 5}
{'短评内容': '挺好找的，房间挺干净的。床品一般！！！\n反正就这样呗！', '短评打分': 5}
{'短评内容': '地方很好找，房间也很干净，如果要在火车站边上住的话是很好的选择，价钱也不贵。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '房间太小，没有早餐。服务也不行。价格也高。有待提高。', '短评打分': 1}
{'短评内容': '便利，整洁，性价比高，以后到上海还会住这里。', '短评打分': 5}
{'短评内容': '干净,卫生,不愧是大品牌,各方面的管理都不错.赞一个!', '短评打分': 5}
{'短评内容': '整体不错。电梯的刷卡进入设计的好。拒绝了很多的骚扰。', '短评打分': 5}
{'短评内容': '靠近火车站，方便但不嘈杂', '短评打分': 3}
{'短评内容': '真正的出门就是火车站，旁边就是售票大厅，交通很方便，隔音不是很完美，隔壁大声能听到，总的来说在上海这个地方性价比很高了，下回应该还住这个酒店', '短评打分': 5}
{'短评内容': '干净，舒适，便利,地理位置方便，服务态度好！', '短评打分': 5}
{'短评内容': '离车站很近，挺方便的。\n不过房间隔音不太好。\n', '短评打分': 5}
{'短评内容': '给爸妈订的，回来反映说还不错，挺干净，冬天缓和，随离火车道近，但火车声很少。', '短评打分': 5}
{'短评内容': '都还挺满意 就是电视频道很少 卫生方面不错 挺干净的', '短评打分': 5}
{'短评内容': '房间很干净，服务比较热情，  交通很方便。', '短评打分': 5}
{'短评内容': '还可以，蛮干净的，服务态度不错', '短评打分': 3}
{'短评内容': '离火车站2分钟.比较方便 ,也有机场5号线,对于赶早班飞机的还满好的.就因为这才住这的.', '短评打分': 5}
