{'descr': '环境非常好，周围很便利。', 'star': 5}
{'descr': '还算不错，就是价钱没比门市价便宜多少，还挺干净的，就是房间有点歪', 'star': 5}
{'descr': '交通方便，楼下就是古文化街，到意大利风情街，劝业场，瓷房子，鼓楼都只有几站路。我们都是走着去的。房间每天都打扫得很干净。', 'star': 5}
{'descr': '挺好的，位置不错，价格合理，有机会再来住啦', 'star': 5}
{'descr': '洁净,有电梯,可以WIFI上网,很清静,交通也方便.', 'star': 5}
{'descr': '地理位置很好，服务态度很好~！！狠值得去~！', 'star': 5}
{'descr': '汉庭不错,服务还可以,挺干净卫生的.就是房间小了点', 'star': 5}
{'descr': '酒店环境不错，地理位置也相当好，就是大床房房间小', 'star': 5}
{'descr': '离古文化街非常近，步行几分钟就到了，离海河也很近，就是房间超小，我们住的房间在最里面，走廊就像走迷宫一样，不过服务员倒是蛮热情的，房间也算干净', 'star': 5}
{'descr': '周日百元房入住的，房间那叫一个小，基本上开门、脱鞋、上炕可以一气呵成，呵呵。最不能忍受的是，早上好早就有一堆一堆的人出去，说话好大声，而酒店的所谓中央共享又特比拢音，听的太清楚了，根本没法睡（设计不合理），不会再住了', 'star': 1}
{'descr': '条件很不错 干净又整齐 在河边上 晚上沿着海河走走 实在是享受 就是入住很慢 等了很久', 'star': 5}
{'descr': '楼下就是不错的旅游景点，环境好，出入方便。就是房间有点小。', 'star': 5}
{'descr': '这个酒店前台服务很差劲，服务员与客人争吵，说话刁钻，吵架水平很高，实在佩服，而且前台不提供打火机，别的城市汉庭都有的。', 'star': 1}
{'descr': '服务不错，环境也很好，整体评价优。值得推荐', 'star': 5}
{'descr': '地点，环境不错，酒店干净，服务业不错，性价比高', 'star': 5}
{'descr': '优点：对于观光、购物、交通来说，酒店的位置非常方便，酒店周边的景色也非常漂亮。服务员的服务很亲切周到，房间干净整洁，我个人比较喜欢卫生间的设施。15元一位的早餐也很不错。\n缺点：房间确实不大（本人住的是高级大床房），不过考虑到酒店所处的位置也就无所谓了。', 'star': 5}
{'descr': '我已入住成功', 'star': 3}
{'descr': '住的舒服', 'star': 3}
{'descr': '各方面都比如家好。还特别感谢这个店的保安张师傅，女儿发烧从医院回来下午6点钟了，本来这里是没有晚餐的，但在得知我和女儿从早到晚还没吃过东西时，前台小姐呼叫张师傅，出来了个保安，后来就是这个保安把他自己的面条让给了我们吃，一大盘有超多西红柿鸡蛋的面条才收了15元。心理特别的温暖！因为在这个价位上酒店条件不错，更因为这次面条事件，让我决定了将来外出如果地理位置满足我的条件下，我会继续选择汉庭！', 'star': 5}
{'descr': '在古文化街这个位置很好，出门就是古文化街，没事去逛逛也好，每次去天津都住这，很好', 'star': 5}
{'descr': '床垫太硬了 第二天浑身疼 以为自己瘦才觉得硬 结果问了同层一位较胖住客 也说因为太硬本打算住三天的 睡着不舒服今天就退了 其他都还可以 前台客房服务及一位岁数较大的保安员态度特别好！！值得表扬！！但在当今这个竞争激烈的服务性行业 光有良好的服务是远远不够的！硬件设施更加重要！！ ', 'star': 1}
{'descr': '周边环境理想', 'star': 3}
{'descr': '不错，邻近旅游街区', 'star': 3}
{'descr': '卫生、价格、服务都可以，就是房间小了点，电视有事不清楚。交通方便', 'star': 5}
{'descr': '地理位置不错，房间卫生还可以，就是房间有点慢！服务还不错！', 'star': 5}
{'descr': '房间较小，也太简陋，服务、价格和卫生还可以！', 'star': 5}
{'descr': '房间设计简洁优雅，我很喜欢。安静、卫生服务也都挺满意的。', 'star': 5}
{'descr': '位置非常好，旁边就是古文化街和码头，晚上夜游海河，风景很棒。\n房间挺干净，就是小了一点，还有，电视也非常小。', 'star': 5}
{'descr': '环境很好，就是等房等了很久。很喜欢。', 'star': 3}
{'descr': '还不错啊  玻璃电梯不错 离海河比较近看夜景方便 楼下就有名流茶馆', 'star': 5}
{'descr': '性价比很好 只是商家太精明 我一个人住商务大床房 酒店就把房间里的矿泉水拿走了一瓶 感觉不太好', 'star': 3}
{'descr': '会向朋友推荐时因为地理位置好，但店内真的不怎样。我定的是大床间，下雨屋顶居然漏水。。。厕所的浴巾不知怎的，臭臭的，像脚气味！隔音很不好，隔壁有人咳嗽，听得一清二楚，没睡好', 'star': 5}
{'descr': '交通位置很好，就在狮子林桥头，去哪里都方便,到5大道打的15元、东站8元起步价，晚上去看天津之眼很近，还可去新意街酒巴逛。酒店整洁干净，服务标准化，满意。有两点不足的是，1）同样标准的商务大床间，面积上却略有不同，一间大些，一间小些。2）由于有顾客延住，有一间房间是到晚上才住入的。', 'star': 5}
{'descr': '房间很干净，整体还可以，就是所有服务员总板着脸，没有任何笑容，起码的亲切感都没有', 'star': 3}
{'descr': '房间很干净，也比较安静。去新世界和远东百货都方便。海河边的风景也不错。下次还会住。', 'star': 5}
{'descr': '酒店位轩不错，古文化街的十八街麻花店很好，可以买点尝尝。酒店环境服务都不错，床也很大。就是窗户开得太小，而且太高。呵呵，据说是不匀许开太大。', 'star': 5}
{'descr': '酒店服务很好，交通也很便利，门口就是名流茶馆哦', 'star': 5}
{'descr': '很不错的酒店。位置好，服务也不错。值得推荐 ！', 'star': 5}
{'descr': '很好，谢谢', 'star': 3}
{'descr': '很周到，谢谢', 'star': 3}
{'descr': '还不错，但是房间小。窗根本都看不到。', 'star': 3}
{'descr': '房间很小，没有挂衣服的地方，走廊像迷宫一样。服务员态度很好，胜在它的地理位置，离各种景点都很近，走路就到了。', 'star': 5}
{'descr': '应该是新开的酒店，房间和卫生间都很干净，不知道是因为定的节假日百元房的原因，还是房间本身就很小，没有衣柜。不过酒店紧邻古文化街，名流茶馆，海河码头等地，还是很方便的，是个不错的快捷酒店，值得推荐。', 'star': 5}
{'descr': '房间太小', 'star': 3}
{'descr': '环境不错，而且旁边就是古文化街，很容易找到这家店。', 'star': 5}
{'descr': '总体上是好的，但办理入住的时候太慢了，等了40多分钟。', 'star': 5}
{'descr': '房间整洁，位置极佳，去各个地方都很方便，强烈推荐', 'star': 5}
{'descr': '酒店较新，房间很多，有点像迷宫。\n晚上上网速度极其的慢，测了一下网速，居然和猫一样56K!', 'star': 5}
{'descr': '地点很好  海河边上 周围有望角楼 古文化街 离意式风情区 大胡同都很近 很好。但是隔音效果一般 ', 'star': 5}
{'descr': '房间干净，地理位置优越，交通方便，去各个景点都方便', 'star': 5}
{'descr': '接待态度真好', 'star': 3}
{'descr': '满好的！挺干净的！服务也还可以！价格也实惠！', 'star': 5}
{'descr': '还可以，很方便，不过还是有点贵的，和附近的相比', 'star': 5}
{'descr': '地段非常好，就在旅游景点附近，出门便利，古文化街值得看看', 'star': 5}
{'descr': '入住', 'star': 3}
{'descr': '离天津站打车就是起步价 8元。离繁华地带真的都很近。如果脚力好的话，全用走的都没问题。但是离天塔和水上公园不进，如果去要那两个地方的话住这就不太方便。酒店旁边有个平价小卖部，还挺实惠的。不好的地方就是这个酒店的窗户啊实在太小了。住的189的商务大床，说是能看到窗外的风景，但是要想看见外面的风景估计至少得身高180以上。那窗户下半段使用挡板挡住的。反正简而言之就是那窗户真让人憋屈。客用品的话没有梳子', 'star': 5}
{'descr': '离火车站较近,附近还有很多景点,地势较好,设施较新,服务态度好.大厅等候时还有自助咖啡与上网.', 'star': 5}
{'descr': '还好', 'star': 3}
{'descr': '感觉不错', 'star': 3}
{'descr': '环境不错 干净卫生  前台接待人员服务态度很好', 'star': 5}
{'descr': '新开业的酒店，设施及环境都很不错，唯一不足的就是该酒店的总台服务人员，态度有点冷冰冰的，建议热情一点。', 'star': 5}
{'descr': '影像不错，虽然房间小但干净位置好价格合理，满意', 'star': 3}
{'descr': '房间里有点味道, 其它还好. 位置也比较不错,很好找', 'star': 5}
{'descr': '环境不错，装修挺好的', 'star': 3}
{'descr': '还不错，环境挺好，隔音也不错，地理位置优越', 'star': 5}
{'descr': '房间卫生还不错 环境都很好 服务也不错 总之都很好', 'star': 5}
{'descr': '房间很干净，淋浴的水也痛快，床很舒服，总体不错', 'star': 3}
{'descr': '地理位置好，紧邻古文化街，干净、整洁，就是房间较小，不过对得起这个价钱了。', 'star': 5}
{'descr': '地理位置好，紧邻古文化街，干净、整洁，就是房间较小。', 'star': 5}
{'descr': '感觉挺好的。虽然地方不大，但是很舒适。', 'star': 3}
{'descr': '酒店位置真的很棒~交通便利~晚上出门就能看到美丽的海河夜景~房间设施齐全，干净~唯一的小缺点晚上隔音有点差~', 'star': 5}
{'descr': '淋浴水量充足，十分舒服，位置不错，可以在海河边散步，也可以去古文化街闲逛。', 'star': 5}
{'descr': '很好，设施很新，隔音很好，而且还提供各种增值服务，如免费打印，喝咖啡 茶什么的。就是地点写的不够明确，不太好找', 'star': 5}
{'descr': '还不错 景色很好 就在海河附近 就是交通不太方便', 'star': 5}
{'descr': '是新开的酒店，里面设施各方面都很新，而且地处古文化街，不仅有古建筑而且还有现代建筑。站在十字路口，左手是古文化街，右手是现代化的闹市，什么东西都有，吃的玩的ktv，还有新世纪广场，这个地方实在是太好了，强烈推介。', 'star': 5}
{'descr': '作为一个第一次网上订酒店的人 我隆重向大家推荐这家酒店，原因如下\n1.十分干净。 2·暖气很爽 3·服务周到 4.热水舒服啊！ 5.位置还可以。好找  6.一个字 值\n  如果非要找出缺点 就是网上订的话 客房只保留到中午12点 切记切记！', 'star': 5}
{'descr': '服务态度挺好的 就是房间有点小不过两个人住也可以了 ', 'star': 5}
{'descr': '地理位置不错，紧挨着海河，从窗户能看到天津之眼，出了宾馆就是古文化街~设施也很齐全，卫生也很好~总之相当满意，推荐~！', 'star': 3}
{'descr': '可以的说 房间不是很大 卫生不错,河景房一般  ', 'star': 5}
{'descr': '比较安静，位置也比较好，基本上到哪里都有公交车', 'star': 5}
{'descr': '地理位置不错，干净，就是房间小，没有单独坐的地方，卫生间干净，热水，空调都不错，如果是短住的话，还是可以接受。', 'star': 5}
{'descr': '位置好，在古文化街最繁华地段，出行还是挺方便的，房间卫生条件挺好的，住宿环境很不错', 'star': 5}
{'descr': '酒店离古文化街超近，也很新，住着很舒服', 'star': 3}
{'descr': '酒店的地理位置很不错，吃喝玩乐购物都蛮方便的，房间舒适干净，环境很不错', 'star': 5}
{'descr': '环境不错，设施比较新，缺点就是晚上有点吵，好像旁边有个夜总会，不时的歌声有点妨碍休息', 'star': 5}
{'descr': '卫生还不错，房间比较小，服务也还不错，中央空调比较暖和，推荐给大家，', 'star': 5}
{'descr': '环境不错 设施齐全', 'star': 3}
{'descr': '房间硬件设施配备齐全，服务很到位，卫生条件好，住宿条件满意', 'star': 5}
{'descr': '真的很不错的酒店啊，下次还会住这边的啊，环境和价钱都很合理啊。', 'star': 5}
{'descr': ' 成功入住，大堂气派，房间也比预想得要好，很干净，地段好，特别方便', 'star': 3}
{'descr': '百元房真的很值，设施挺新的。暖风很好，比如家和七天设施稍微好些。', 'star': 5}
{'descr': '很新，环境不错。...............................', 'star': 5}
{'descr': '性价比不错，干净快捷，100元的周日大床很合适，新开的点，环境，卫生都很好。', 'star': 5}
{'descr': '位子真的很不错，离古文化街很近，又毗邻海河，风景很好，并且房间很干净。', 'star': 5}
{'descr': '不错 挺好的 很干净 很 干净  很干净 ', 'star': 5}
{'descr': '屋内环境、气氛、卫生状况都比较满意，就是没有对外的窗户，只能看到酒店内部~', 'star': 5}
{'descr': '很新很安静，房间整洁舒适，交通便利，休闲购物商旅都很适合。只是前台服务生不会笑，态度有点让人失望。', 'star': 5}
{'descr': '环境不错，一楼大厅一般，房间稍小，视野还可以', 'star': 5}
{'descr': ' 己入住，并退房，谢谢！', 'star': 3}
