{'短评内容': '老星级酒店，较旧，二号楼蚊子多不值。', '短评打分': 2}
{'短评内容': '酒店硬件尚可，但服务响应有些迟缓，难以保证按时入住。', '短评打分': 3}
{'短评内容': '酒店地理环境很好，设施也不错，交通便利，旁边就是公园，总体性价比不错。就是床下了些。值得入住。', '短评打分': 5}
{'短评内容': '环境很好，夏天来可以免费游泳，孩子很喜欢。\n榕园的自助早餐品种很丰富，可惜只提供单早，还得另加一份。', '短评打分': 5}
{'短评内容': '已经是多次入住，感觉不错，性价比比较高，除了宽带不免费，需要增加每天10元，有些郁闷。', '短评打分': 5}
{'短评内容': '已经很多次入住该酒店，由于疏忽，现在补上点评。\n值得推荐的酒店。', '短评打分': 5}
{'短评内容': '园林式酒店，环境很好，服务不错，毕竟是四星级的酒店，算是南宁老牌的接待酒店了，公务出差可以选择。', '短评打分': 5}
{'短评内容': '＋物超所值，赞', '短评打分': 3}
{'短评内容': '已经是明园的老住客了，今天又办理续订。对这里的环境和设施还算满意，就是商务中心的收费太贵，打印一页收费5元，扫描一页收费10元，传真要9元。总之，公务出差是不错的选择。', '短评打分': 5}
{'短评内容': '25日从新华泰转移到了明园，从位置上来说，这里更方便，环境更好，毕竟是四星级的酒店，郁闷的是宽带不免费，每天要收10元。无形中提升了房价。', '短评打分': 5}
{'短评内容': '很差的酒店，连网线都弄不好，技术工人给我弄了一晚上，还上不了，说换一个人来，结果一晚都没人来，第二天我就换地方了，协议房还都是在地下室，难受', '短评打分': 1}
{'短评内容': '常在明园入住，感觉不错，但这次给安排在了2号楼的一楼，有些地下室的感觉，潮气较重，其它方面还可以。', '短评打分': 5}
{'短评内容': '是比较老的一个酒店，设施有点旧了．住住还可以,马马虎虎吧.', '短评打分': 5}
{'短评内容': '房间采光很好，装修的风格比较中式化，服务员态度很好，蛮有礼貌的，房间卫生条件不错，而且都有专人每天打扫的', '短评打分': 5}
{'短评内容': '酒店位置不错，附近出行很方便，有很多条公交路线，另外，酒店餐厅服务很好，菜的口味不错，价格也很优惠，值得一住', '短评打分': 5}
{'短评内容': '房间硬件设施不错，很齐全， 还可以上网，另外卫生条件不错，服务员每天都会更换床单，以及消毒洗漱用品，感觉住着很放心', '短评打分': 5}
{'短评内容': '酒店位于市中心，交通很方便，内部住宿环境比较优雅，大楼典雅气派，设计的比较豪华时尚，给人的整体感觉比较温馨', '短评打分': 5}
{'短评内容': '本来定的是四晚的明园，入住时因为房间没了，給转到旁边的明园新都，价格不变，呵呵，美死了。\r\n酒店服务不错，位置很好，很方便，性价比也不错，在南宁就以此为落脚点了。', '短评打分': 5}
{'短评内容': '酒店硬件条件不是很达标.软件服务也挺一般的,位置还好挺方便出行.其它各方面也很一般.', '短评打分': 1}
{'短评内容': '+酒店设施太旧', '短评打分': 5}
{'短评内容': ' 饭店为庭院式，院内环境优美，设有游泳池。', '短评打分': 5}
{'短评内容': '位置还可以出行都还不错，房间也很干净很卫生，服务态度挺一般的，价格也还可以，性价比还是比较不错，还是很不错的一家酒店我挺满意的。', '短评打分': 5}
{'短评内容': '位置不错，特别是自驾车，比较容易找到，距离市中心商业圈也不远，对面就是购物广场，旁边是人民公园，出门办事，购物，游玩都挺合适。\r\n不足之处，住宿也要收停车费，一晚十元，我们住了两晚，交了二十元，很是不爽。房间浴缸下水太慢，洗澡时候脚都泡在水里。\r\n另外，只送单早，另外一份得另加２０元，１．２米以下孩童还得收１３元。\r\n供大家参考吧。', '短评打分': 5}
{'短评内容': '酒店的硬件条件我觉得非常不错，也比较干净，位置相对来说还算方便，就是价格稍微高了一点点，其他都还不错。', '短评打分': 3}
{'短评内容': '酒店装修和设施都有些陈旧,但是服务和卫生还不错,而且在离市中心比较近,交通蛮便利', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;非常非常好。地段好，环境虽然在市中心还是和花园一样。尤其服务一流。我提前打电话叫订一张火车票。没有哦任何担保到的时候就给我了。感动。&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '设施什么的是三星的标准,服务不怎么样,完全没有服务的意识!', '短评打分': 3}
{'短评内容': '确实这样，现在这个时候还有蚊子，地下室的感觉也不好。', '短评打分': 3}
{'短评内容': '这种价格住在这里算是不错了，不过2号楼确实是太旧了点，尤其是1层象是地下室的感觉。', '短评打分': 3}
{'短评内容': '酒店是旧了些，房间（特别是2号楼），但是环境还是很不错的，这种价位也就住在这里了', '短评打分': 3}
{'短评内容': '很烂的一个破酒店了,是南宁人都不会介绍你去住.&lt;br /&gt;\n其实南宁还是有很多蛮新的酒店的.', '短评打分': 3}
{'短评内容': '一点评论都没？难道没有人去过&lt;br /&gt;\n', '短评打分': 3}
