{'短评内容': '酒店还行 就是被子是破的   毛巾是破的', '短评打分': 5}
{'短评内容': '酒店很新，各种硬件设施都还可以。软件服务还需要进一步提高，如前台要微笑接待、及时打扫卫生等。\n刘星宝', '短评打分': 3}
{'短评内容': '已经入住', '短评打分': 3}
{'短评内容': '房间很漂亮，但是在床头的右侧有个小窗户，貌似外面能看到里面，但是里面看不到外面，虽然窗子外面是封闭的通风口但是没有窗帘心理还是觉得不舒服。床头的左侧就是洗手台。没有可以放电脑的地方，房间的商务性不强。', '短评打分': 1}
{'短评内容': '迷你房间也很温馨，可惜双人房没有预定到，', '短评打分': 5}
{'短评内容': ' 酒店环境还行，感觉挺舒服的', '短评打分': 3}
{'短评内容': '价格合理，简洁干净，交通方便，就是隔音效果不好，外面的声音听得很分明，我们去住的时候，外面有个工地在施工，大概是晚上11点多到了，居然还很明显得听到外面施工的那种刺耳的声音，第2天换房还是一样，这点要好好改善，本来住酒店就是为了休息好，结果我们住了2个晚上都是这样，根本就睡不好。', '短评打分': 5}
{'短评内容': '典型的经济型酒店，各方面还算贴心。如有朋友想入住还是比较推荐！                                                       ', '短评打分': 5}
{'短评内容': '还好啦         \n服务蛮不错滴 早上 有人施工  有点 小吵                     ', '短评打分': 5}
{'短评内容': '环境不错，挺干净的，交通比较便利，离学校比较近。值得再次入住。\n环境不错，挺干净的，交通比较便利，离学校比较近。值得再次入住。\n环境不错，挺干净的，交通比较便利，离学校比较近。值得再次入住。\n', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '我已到达宾馆，已经入住。', '短评打分': 3}
{'短评内容': '装修简单，卫生一般，有的房间潮气很重，不过价格很便宜！', '短评打分': 3}
{'短评内容': '酒店装潢十分温馨  住起来还算舒服  热水也热的挺快的  唯一有点点美中不足的就是：  迷你房型没有窗户  而且感觉房间与房间和走廊之间的隔音效果不是很好哟', '短评打分': 5}
{'短评内容': '数字电视的信号不好 ', '短评打分': 3}
{'短评内容': '房间很干净，住起来很舒服，厕所的卫生也搞得很好！就是隔音效果不是很好，窗子全部关上还能听到外面说话的声音，其他还比较满意，厕所配个梳子更好了！', '短评打分': 5}
{'短评内容': '房间条件很好，服务也还行，可惜没有早餐不太方便', '短评打分': 5}
{'短评内容': '离高铁站和步行街有点远，离汽车西站很近。去南岳路过可以考虑暂住。', '短评打分': 5}
{'短评内容': '干净，舒适，价格略为偏高，服务人员态度生硬，欠缺训练。总体而言，还是值得推荐。', '短评打分': 5}
{'短评内容': '完美，住得相当舒服~而且够大~灯光合适地板干净，隔音也不错', '短评打分': 5}
{'短评内容': '位置挺好，出入也方便，服务态度一直ＯＫ！', '短评打分': 5}
{'短评内容': '蛮好的。设备很新。配置还不错。性价比很高。', '短评打分': 5}
{'短评内容': '条件不错，但无餐厅，下水道堵塞', '短评打分': 3}
{'短评内容': '非常不错的酒店 性价比很高 真个一栋楼都是酒店 比较气派\n房间干净 宽大 舒适', '短评打分': 5}
{'短评内容': '很不错的酒店 喜欢 再会住\n有停车场\n挨着南华大学很近\n房间大干净舒适', '短评打分': 5}
{'短评内容': '推荐，各方面都不错，要是房间有24小时充电插座就更好了', '短评打分': 3}
{'短评内容': '普通大床房太差了，三角形的房子，一看就知道是边角利用。住了压抑。', '短评打分': 5}
{'短评内容': '   刚进去感觉还蛮好的，住了几天后就发现问题了，地板好像没怎么打扫干净！还有就是一到中午的时候就停电！难道这么大个酒店还没发电机，问服务员也只是说机器检修，难道非要中午热死人的时候检修？', '短评打分': 1}
{'短评内容': '房间很大风格很喜欢，可惜靠街边相对很', '短评打分': 3}
{'短评内容': '环境还是挺好的,也挺干净的,就是有点吵,因为正好是靠马路边的房间;再有超市和吃东西的地方隔的有点远,不是很方便', '短评打分': 5}
{'短评内容': '服务不错 就是物业装修太吵', '短评打分': 3}
{'短评内容': '\n11111', '短评打分': 3}
{'短评内容': '还可以，设施比较新，因近马路，有点吵。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店很干净卫生，不错，值得推荐。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间很干净，风格很不错', '短评打分': 3}
{'短评内容': '很不错,环境,服务都不错,房间也很大\n.感觉不错.支持.', '短评打分': 5}
{'短评内容': '酒店位置在路口,交通很方便,价格便宜,服务可以,下次还入住', '短评打分': 5}
{'短评内容': '这个酒店装修不错，房间比较大，服务也不错，下次还会去住', '短评打分': 5}
{'短评内容': '装修简单大方   房间也比较大   就是电视信号不好  暖气也只有晚上八点到早上八点有。总体还不错', '短评打分': 5}
{'短评内容': '酒店设施较新，但是电视信号断断续续，也没有万能充电器，不能方便客人。', '短评打分': 5}
{'短评内容': '今天的服务很好，', '短评打分': 3}
{'短评内容': '服务态度不好.', '短评打分': 3}
