{'descr': '还可以还可以还可以还可以还可以还可以还可以还可以', 'star': 5}
{'descr': '就他家需要付担保，本来服务还算不错想给个好评的，结果早上洗澡，水不是很热，凑合洗了，结果洗一半水就凉了，大冬天的让我洗了个凉水澡！！！在他家没多远有个机场巴士停靠站，但下午5点就没车了。', 'star': 1}
{'descr': '就他家需要付担保，本来服务还算不错想给个好评的，结果早上洗澡，水不是很热，凑合洗了，结果洗一半水就凉了，大冬天的让我洗了个凉水澡！！！在他家没多远有个机场巴士停靠站，但下午5点就没车了。', 'star': 1}
{'descr': '我住的大床房，首先是房间比较干净，卫生间不是那种用玻璃隔了个罩子，而是真正的卫生间。我要的2楼靠小区那边的房间，很安静。\n晚上睡得不错，下次如果到那边还会选择。', 'star': 5}
{'descr': '我住的大床房，首先是房间比较干净，卫生间不是那种用玻璃隔了个罩子，而是真正的卫生间。我要的2楼靠小区那边的房间，很安静。\n晚上睡得不错，下次如果到那边还会选择。', 'star': 5}
{'descr': '房间不大还算干净，就是15元的自助早餐差劲点，不值', 'star': 3}
{'descr': '房间不大还算干净，就是15元的自助早餐差劲点，不值', 'star': 3}
{'descr': '西大直街的汉庭是最贵的汉庭 也是汉庭里面条件最不好的 ', 'star': 1}
{'descr': '还行吧，没有春天好，屋子小，没电脑，网络接笔记本接不上，电视不是液晶，房费还那么贵，春天干净时尚', 'star': 3}
{'descr': '干净舒适，不错，窗户比较高，邻近街道但是也不太吵。服务员干净漂亮，声音甜美', 'star': 5}
{'descr': '干净舒适，不错，窗户比较高，邻近街道但是也不太吵。服务员干净漂亮，声音甜美', 'star': 5}
{'descr': '地理位置好,坐公交方便;去机场也方便.酒店卫生条件还可以.服务态度还可以，下次去再光顾.赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞.', 'star': 5}
{'descr': '干净简约，感觉非常不错，只是临街有些吵。另外卫生间非常干净整洁，舒适简约，给好评。服务员态度极其温柔，非常礼貌。唯一不足是网速不是很快，不过也相当满意了。', 'star': 5}
{'descr': '干净简约，感觉非常不错，只是临街有些吵。另外卫生间非常干净整洁，舒适简约，给好评。服务员态度极其温柔，非常礼貌。唯一不足是网速不是很快，不过也相当满意了。', 'star': 5}
{'descr': '＋房间太小，还靠着库房总有动静，其他还可以。', 'star': 3}
{'descr': '据说还不错，给朋友订的，地点还可以，交通也方便', 'star': 5}
{'descr': '给朋友订的，据说还可以，呵呵。地点不错,以后还会住吧', 'star': 5}
{'descr': '酒店小而温馨，我们一家感觉不错……', 'star': 3}
{'descr': '比较干净卫生。房间比预期的小，灯光不足。', 'star': 1}
{'descr': '交通不方便 堵车打不着车 郁闷没赶上飞机', 'star': 1}
{'descr': '交通方便，汉庭统一的风格。楼下50米就有火车票代售点很方便。\n\n不足之处是价格有点高了，即使在全国的汉庭中比较也偏高。', 'star': 5}
{'descr': '很好。', 'star': 3}
{'descr': '环境不错，地点不错。比较干净！~环境不错，地点不错。比较干净！~环境不错，地点不错。比较干净！~环境不错，地点不错。比较干净！~', 'star': 5}
{'descr': '环境不错，地点不错。比较干净！~环境不错，地点不错。比较干净！~环境不错，地点不错。比较干净！~环境不错，地点不错。比较干净！~', 'star': 5}
{'descr': '此店各方面条件都不错，周边设施比较好，值得推荐。', 'star': 3}
{'descr': '很好！很干净', 'star': 3}
{'descr': '很好！很干净', 'star': 3}
{'descr': '酒店很干净，位置也好，交通方便，价格实惠，下次还住这里。 \n', 'star': 5}
{'descr': '酒店很干净，位置也好，交通方便，价格实惠，下次还住这里。 \n', 'star': 5}
{'descr': '很舒服，很亲切，家的感觉', 'star': 3}
{'descr': '很舒服，很亲切，家的感觉', 'star': 3}
{'descr': '酒店挺好，离哈尔滨师范大学，还有一个新东方学校很近，就是网速很慢', 'star': 5}
{'descr': '酒店挺好，离哈尔滨师范大学，还有一个新东方学校很近，就是网速很慢', 'star': 5}
{'descr': '酒店很干净也很安静，新春百元房很经济。附近有粥铺。交通也很方便。房间没有衣柜，只有四个衣架。不知其他房间是不是这样。', 'star': 3}
{'descr': '酒店很干净也很安静，新春百元房很经济。附近有粥铺。交通也很方便。房间没有衣柜，只有四个衣架。不知其他房间是不是这样。', 'star': 3}
{'descr': '经济实惠，但是最近怎么涨价了？\n比周围的几个经济酒店高了不少', 'star': 5}
{'descr': '经济实惠，但是最近怎么涨价了？\n比周围的几个经济酒店高了不少', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '好', 'star': 3}
{'descr': '经济实惠，距离办事地点很近，比较方便快捷\n、', 'star': 5}
{'descr': '经济实惠，距离办事地点很近，比较方便快捷\n、', 'star': 5}
{'descr': '很好，很舒适，热水供应的不错，温度也很好', 'star': 5}
{'descr': '很好，很舒适，热水供应的不错，温度也很好', 'star': 5}
{'descr': '很多事不是凭感觉表达清楚的，一旦决定了，必须执行\n', 'star': 5}
{'descr': '很多事不是凭感觉表达清楚的，一旦决定了，必须执行\n', 'star': 5}
{'descr': '住宿条件舒适', 'star': 3}
{'descr': '住宿条件舒适', 'star': 3}
{'descr': '有一些设施不是很合理，温度不稳定，不是凉就是热。', 'star': 1}
{'descr': '有一些设施不是很合理，温度不稳定，不是凉就是热。', 'star': 1}
{'descr': '经济实惠，有时候想起来去住的时候，却没有房间。', 'star': 5}
{'descr': '经济实惠，有时候想起来去住的时候，却没有房间。', 'star': 5}
{'descr': '服务非常周到，房间非常干净整洁，住得非常舒适。', 'star': 5}
{'descr': '服务非常周到，房间非常干净整洁，住得非常舒适。', 'star': 5}
{'descr': '很不错，服务态度也很好，就是半夜到的话找吃的很困难', 'star': 5}
{'descr': '很不错，服务态度也很好，就是半夜到的话找吃的很困难', 'star': 5}
{'descr': '服务不好,房间有点冷`````````````````\n', 'star': 1}
{'descr': '服务不好,房间有点冷`````````````````\n', 'star': 1}
{'descr': '我订的是高级大床房，但进屋后第一感觉是好小！房间太小，床也很硬！房间的暖风让人感觉很闷！透不过气！感觉钱花的冤！', 'star': 1}
{'descr': '我订的是高级大床房，但进屋后第一感觉是好小！房间太小，床也很硬！房间的暖风让人感觉很闷！透不过气！感觉钱花的冤！', 'star': 1}
{'descr': '同等价位来说，很一般，廉价的二合一洗发兼沐浴露；不隔音！', 'star': 1}
{'descr': '同等价位来说，很一般，廉价的二合一洗发兼沐浴露；不隔音！', 'star': 1}
{'descr': '一如既往的不错 ~~~~~  下次还选这家', 'star': 5}
{'descr': '一如既往的不错 ~~~~~  下次还选这家', 'star': 5}
{'descr': '住了好几次，总体感觉适中，服务态度很好，交通方便，就是房间有些局促~', 'star': 5}
{'descr': '住了好几次，总体感觉适中，服务态度很好，交通方便，就是房间有些局促~', 'star': 5}
{'descr': '经常住，地点好交通便利，但是有点吵，冬天能好点', 'star': 5}
{'descr': '地点好，交通便利，早餐太差，比锦江之星差多了，不吃', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '总体来说不错的~就是房间显得小了点  不过还算干净整洁~', 'star': 5}
{'descr': '在汉庭酒店哈尔滨西大直街店住了两天，感觉这里的环境很好、工作人员的态度非常好，尤其是四楼的服务员在我们退房后发现我们落下的贵重财物以及身份证及时通知了我们，使我们的贵重财物失而复得。对此，我们由衷的感谢这位服务员以及汉庭的员工，下次再来哈尔滨一定还会住这家店。同时，也向其他在哈尔滨准备住宾馆的朋友们推荐此店。', 'star': 5}
{'descr': '+条件还好 ', 'star': 5}
{'descr': '除了酒店前台的办理速度慢了些，其他都很不错，汉庭的管理感觉有了很大的提高', 'star': 5}
{'descr': '交通比较不便，浴室里面的浴液和洗发液竟然是一种液体，对皮肤肯定不好，根本没敢用，服务员的面孔没有一点表情，只有那张嘴在动，非常冷淡。还不如，如家和7天。', 'star': 1}
{'descr': '虽然房间不大，但是很舒服。建议不要两人合住，因为确实有点儿小。', 'star': 5}
{'descr': '真的很不错~  性价比很高\r\n\r\n大床很舒适  也很干净  ', 'star': 5}
{'descr': '+就是网速慢，慢到一定境界了', 'star': 5}
{'descr': '该酒店管理不错', 'star': 5}
{'descr': '+酒店干净交通方便', 'star': 5}
{'descr': '环境很好，低楼层有点吵，总体不错，很干净，交通也比较方便', 'star': 5}
{'descr': '还可以，适中。位置不错，方便。\r\n还可以，适中。位置不错，方便。', 'star': 5}
{'descr': '+高级大床房空间感觉还是比较局促，而且房间地板翘起，强上有污水印迹，希望能从新装修', 'star': 5}
{'descr': '酒店位置较偏，房间很小，来个客人连张可以做的椅子也没有，也没有给客人坐的空间。而且，前天连半个小时延时退房都不允许，强调电脑定的。我说，电脑都是人操作的！态度很牛逼！', 'star': 1}
{'descr': '酒店挺干净的，床很舒服，就是房间太小，而是不是所有的房间都能电梯直达，拖着个行李箱走楼梯太不方便了，前台素质有待提高', 'star': 5}
{'descr': '+满意', 'star': 5}
{'descr': ' 酒店还行 只是直接在旅店住宿的价格和预订的一样 没得到什么优惠', 'star': 5}
{'descr': '房间太小啦~！！！不过卫生还可以~服务态度也很好~地理位置还算方便吧~', 'star': 3}
{'descr': '房间太小啦~！！！不过卫生还可以~服务态度也很好~地理位置还算方便吧~', 'star': 3}
{'descr': '房间太小啦~！！！不过卫生还可以~服务态度也很好~地理位置还算方便吧~', 'star': 3}
{'descr': '房间有点小~另外通过网上预定的房间位置都不太好~不过要在哈尔滨学新东方这家位置最好了~', 'star': 5}
{'descr': '房间有点小~另外通过网上预定的房间位置都不太好~不过要在哈尔滨学新东方这家位置最好了~', 'star': 5}
{'descr': '房间有点小~另外通过网上预定的房间位置都不太好~不过要在哈尔滨学新东方这家位置最好了~', 'star': 5}
{'descr': '总体还不错，环境、卫生、位置都还可以。就是房间太小，另外周围有点乱。', 'star': 5}
{'descr': '总体还不错，环境、卫生、位置都还可以。就是房间太小，另外周围有点乱。', 'star': 5}
{'descr': '总体还不错，环境、卫生、位置都还可以。就是房间太小，另外周围有点乱。', 'star': 5}
{'descr': '+不太好', 'star': 5}
{'descr': '+不太好', 'star': 5}
{'descr': '+不太好', 'star': 5}
{'descr': '位置非常不错，哈尔滨中心地段出行交通方便，配置也比较达标。', 'star': 5}
{'descr': '位置非常不错，哈尔滨中心地段出行交通方便，配置也比较达标。', 'star': 5}
{'descr': '位置非常不错，哈尔滨中心地段出行交通方便，配置也比较达标。', 'star': 5}
{'descr': '卫生设施还行，位置还行，价格倒是挺便宜的，和一般的连锁酒店差不多。', 'star': 5}
{'descr': '卫生设施还行，位置还行，价格倒是挺便宜的，和一般的连锁酒店差不多。', 'star': 5}
{'descr': '卫生设施还行，位置还行，价格倒是挺便宜的，和一般的连锁酒店差不多。', 'star': 5}
{'descr': '服务不好，紧邻高架桥，噪音大，性价比不高', 'star': 1}
{'descr': '服务不好，紧邻高架桥，噪音大，性价比不高', 'star': 1}
{'descr': '服务不好，紧邻高架桥，噪音大，性价比不高', 'star': 1}
{'descr': '很不错 距离大学也很近 卫生什么的就不用说了 总之很值得推荐', 'star': 5}
{'descr': '很不错 距离大学也很近 卫生什么的就不用说了 总之很值得推荐', 'star': 5}
{'descr': '很不错 距离大学也很近 卫生什么的就不用说了 总之很值得推荐', 'star': 5}
{'descr': '交通不太方便~', 'star': 5}
{'descr': '交通不太方便~', 'star': 5}
{'descr': '交通不太方便~', 'star': 5}
{'descr': '房间略小 和同价格宾馆比 略差 隔音一般', 'star': 5}
{'descr': '房间略小 和同价格宾馆比 略差 隔音一般', 'star': 5}
{'descr': '房间略小 和同价格宾馆比 略差 隔音一般', 'star': 5}
{'descr': '位置很好挺方便出行的，卫生和设施条件也不错住起来挺舒适的.连锁酒店性价比蛮高的.', 'star': 5}
{'descr': '位置很好挺方便出行的，卫生和设施条件也不错住起来挺舒适的.连锁酒店性价比蛮高的.', 'star': 5}
{'descr': '位置很好挺方便出行的，卫生和设施条件也不错住起来挺舒适的.连锁酒店性价比蛮高的.', 'star': 5}
{'descr': '太一般', 'star': 1}
{'descr': '太一般', 'star': 1}
{'descr': '太一般', 'star': 1}
{'descr': '还可以', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '酒店很好 很舒适', 'star': 5}
{'descr': '酒店很好 很舒适', 'star': 5}
{'descr': '酒店很好 很舒适', 'star': 5}
{'descr': '第一次入住汉庭，总体感觉还可以，服务态度非常好', 'star': 5}
{'descr': '第一次入住汉庭，总体感觉还可以，服务态度非常好', 'star': 5}
{'descr': '第一次入住汉庭，总体感觉还可以，服务态度非常好', 'star': 5}
{'descr': '酒店空调不好，开很久室内依然很闷，夜里多次热醒。导致我感冒。虽然其他方面仍然值得夸奖，但出行生病仍然太令人失望了。', 'star': 5}
{'descr': '酒店空调不好，开很久室内依然很闷，夜里多次热醒。导致我感冒。虽然其他方面仍然值得夸奖，但出行生病仍然太令人失望了。', 'star': 5}
{'descr': '酒店空调不好，开很久室内依然很闷，夜里多次热醒。导致我感冒。虽然其他方面仍然值得夸奖，但出行生病仍然太令人失望了。', 'star': 5}
{'descr': '和兴路……交通便捷的地方，具商业、大学（工大、黑大之间）都很近！房间格局及面积都不赖！应该是商务首选！', 'star': 5}
{'descr': '和兴路……交通便捷的地方，具商业、大学（工大、黑大之间）都很近！房间格局及面积都不赖！应该是商务首选！', 'star': 5}
{'descr': '和兴路……交通便捷的地方，具商业、大学（工大、黑大之间）都很近！房间格局及面积都不赖！应该是商务首选！', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '很好', 'star': 5}
