{'短评内容': '房间视线很好。卫生间有点问题。', '短评打分': 4}
{'短评内容': '不错，可以泡温泉，可以看日出。', '短评打分': 3}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '温泉较为简单，比较老的度假村，早餐不错\r\n', '短评打分': 3}
{'短评内容': '环境很美，氡泉泡起来很舒服，服务热情，空气清晰，非常适合度假休闲，卫生很干净', '短评打分': 3}
{'短评内容': '酒店的早饭很不错，但是泡温泉的池又小又少，还不如就在房间里泡，但是这样一来，就还不如到承天了，就是看中有露天的，才定的这家酒店。照片上的大池子不是泡泉的，是个游泳池。', '短评打分': 1}
{'短评内容': '酒店里有氡温泉，房间是欧式建筑，有很大的阳台，空气清新，餐饮还可以，饭菜种类多些，可选择，位置还可以，比较适合自驾过来旅游休闲', '短评打分': 5}
{'短评内容': '环境清新、安静，适合休闲、养生，交通不太方便。', '短评打分': 3}
{'短评内容': '环境很美 适合休闲、养生', '短评打分': 5}
{'短评内容': '是家别墅式酒店，酒店在山里，风景很好，环境不错，适合度假休闲，房间装修的比较现代，空间很大，服务员会按时打扫房间的，卫生条件不错，住的很舒服', '短评打分': 5}
{'短评内容': '这里的服务员很热情，温泉鱼疗泡起来好舒服，环境很美，做为养生的地方挺不错。', '短评打分': 5}
{'短评内容': '环境很好，住起来很舒服.位置不错.自驾车可能方便一些，因为周边都是山道.希望酒店能够提供接车服务望改善一下.', '短评打分': 5}
{'短评内容': '是去氡泉旅游的好住所，餐厅的山珍不错。\r\n就是入住酒店了，去泡氡泉还要另外收费有点贵', '短评打分': 5}
{'短评内容': '交通不方便 .\r\n早餐不错 . \r\n\r\n', '短评打分': 5}
{'短评内容': '酒店处在太里面了,交通超不方便的.自己开车还好,如果等车就烦死了.\r\n另外,大堂有一个柜员服务超不好的,一点笑容都没有.哎,除了温泉其它没什么好的!', '短评打分': 5}
{'短评内容': '酒店的服务和价格不相符，餐厅不好', '短评打分': 1}
{'短评内容': '卫生还可以,服务态度也比较热情,就是设施比较简陋,感觉门不安全,浴缸也有些小,下次去会选更舒适一些的酒店了.', '短评打分': 3}
