{'短评内容': '住的比较舒服', '短评打分': 5}
{'短评内容': '说是说4星，可根本没挂牌，我住的是豪华单人间，房间感觉是翻新从新装修的，但格局还是以前的样，当晚淋雨完发觉水漫金山了，下水道堵住，打电话给前台，很不耐烦，服务态度很差，客房服务员到还可以，到房间打扫完后，在我的要求下送了2条干净的毛巾过来，第二天早上洗完澡用毛巾时闻到毛巾有股味，不知是柴油味还是什么味，总之感觉很差，早餐就更加不用谈了，那个绝对不是什么早餐，感觉和如家差不多的，可能比如家更不如，绝', '短评打分': 1}
{'短评内容': '服务非常的差，家具陈旧，床不舒服，早饭很差。坚决不推荐', '短评打分': 1}
{'短评内容': '   干净  空调不热', '短评打分': 3}
{'短评内容': '是清真 饭店  早餐还是不错的  其他就是有些小贵 ', '短评打分': 5}
{'短评内容': '早餐还不错，就是洗澡水忽冷忽热很不稳定。离火车站也蛮近。下次会再考虑的。', '短评打分': 3}
{'短评内容': 'not a good service especially the reciptionest', '短评打分': 1}
{'短评内容': '隔音不太好 早餐也很一般 与四星级有一定差距 希望能改善', '短评打分': 3}
{'短评内容': '性价比一般，房间还算干净吧。', '短评打分': 3}
{'短评内容': 'not good servic, cold face of the receptist', '短评打分': 1}
{'短评内容': '查了一下，价格比4个月前贵了100，可是服务比原来还差。前台服务员根本没有服务意识', '短评打分': 1}
{'短评内容': '酒店的价格偏高，隔音效果较差，性价比太低！\n\n在入住酒店 check in 时，我反复向前台服务人员强调：“夜里有噪音我休息不好，请给我安排一个安静的房间”。结果给我安排的房间是外临马路，下靠歌厅。\n夜幕降临时，马路对面的锣鼓声和唢呐声清脆响亮、赏心悦目；\n夜深人静时，马路上嘈杂的车辆声让房间的空气发颤；歌厅里跑调嚎啕的歌声和音乐声让心发慌；疯狂的迪斯科震撼声让床发抖；......。各种杂音折腾的', '短评打分': 1}
{'短评内容': '房间比较大 设施齐备 服务也够周到 总体感觉不错 缺点是隔音差 楼上mm的高跟鞋折磨了我俩小时', '短评打分': 3}
{'短评内容': 'it is OK, it is OK, it is OK', '短评打分': 5}
{'短评内容': '环境不错，可以推荐！周围吃饭很方便，就是打车较难！晚上广场舞很热闹！', '短评打分': 5}
{'短评内容': '很好！给力的一个饭店！服务不错！宾馆设施也给力的啊！', '短评打分': 5}
{'短评内容': '隔音不好', '短评打分': 3}
{'短评内容': '还可以吧，性价比一般，不过交通还是比较方便的。', '短评打分': 5}
{'短评内容': '离车站很近，做动车的话很方便，酒店的位置不错，是一家民族酒店~~~\n\n就是吃饭不太方便~~~\n\n服务态度还好，有待加强~~~\n\n\n\n', '短评打分': 5}
{'短评内容': '＋位置方便。环境一般，早餐差。', '短评打分': 3}
{'短评内容': '           酒店环境一般，前台服务一般，整体不是很好性价比不高！！！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '民族饭店设施服务斗还不错', '短评打分': 3}
{'短评内容': '相当不错', '短评打分': 3}
{'短评内容': '位置有点偏远，如果是去富士康不算远，早餐有些特长，，，别的没什么印象。。。', '短评打分': 5}
{'短评内容': '硬件不错，软件太差。前台服务员就像木头一样毫无表情', '短评打分': 1}
{'短评内容': '酒店不错，早餐和之前比有很大进步，每天的菜式都不同，口味也不错', '短评打分': 5}
{'短评内容': '酒店房间面积较大，也较干净，就是价格较贵，早餐很是一般。', '短评打分': 5}
{'短评内容': '第一次住清真饭店，酒店环境还不错，感觉设施有点老，不错总体来说还是不错的', '短评打分': 5}
{'短评内容': '是一个民族饭店，服务基本OK。就是廊坊小了点，周围没有啥好去的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '卫生条件不错，但是房间内水和咖啡没有送，早餐比较简单', '短评打分': 5}
{'短评内容': '这是一个月内底二次入住该酒店了。第一次的原因是前台给的房间离歌舞厅太近，太吵。这次刚一到前台，就跟前台打了招呼。晚上入住还算顺利。只是退房时，客房服务员说少了小方巾，非常不爽。因为确认是客房服务员忘记将小方巾放到卫生间了，所以我们坚持让客房服务员来解释。但最后不了了之。希望酒店能对此事给予重视，一般客人都不会贪恋小方巾那区区几元钱。酒店的此行为很影响客户心情。', '短评打分': 5}
{'短评内容': '酒店房间干净，前台服务也不错，就是价位有点高，早餐太差！！', '短评打分': 5}
{'短评内容': '酒店位置很好找，从高速下来后，一直沿银河北路，过银河大桥，就到了。房间还算整洁干净，就是晚上的歌舞厅很吵，一直到12点以后，才安静下来。', '短评打分': 5}
{'短评内容': '枕头太硬、太高，位置比较难打车，其他还不错，', '短评打分': 1}
{'短评内容': '窗外阁音不好', '短评打分': 3}
{'短评内容': '酒店非常值得入住，很卫生，安静，停车也很方便，下回还会入住。', '短评打分': 5}
{'短评内容': '还可以，软件有待提高', '短评打分': 3}
{'短评内容': '环境较好，设施新！', '短评打分': 3}
{'短评内容': '交通还便利不错，房间设施还好，早餐也行，值得推荐', '短评打分': 5}
{'短评内容': '酒店还算不错，装修都很新的，服务还是一般前台的培训还是没有到位签个单特别麻烦，硬件方面还行，地理位置还是稍微偏些不过对我没有什么影响，性价比还是没问题。', '短评打分': 5}
{'短评内容': '酒店设施卫生挺好的，位置离我办事的地方很近，价格还是挺合适的，', '短评打分': 5}
{'短评内容': '民族饭店不错 卫生服务 环境都不错  早点在丰富一点就更完美了  谢谢亿龙网', '短评打分': 5}
{'短评内容': '1. 标间还不错， 只是隔音没那么好。\n2. 前台服务员假如笑脸欢迎客人的话会更好。', '短评打分': 5}
{'短评内容': '服务交通还可以，卫生也行。但屋内太冷，洗漱用具太少。', '短评打分': 1}
{'短评内容': '该酒店清洁、安静，住着比较舒适，以后住宿会首选民族饭店。', '短评打分': 5}
{'短评内容': '客房硬件还行，但服务还需很大提升，特别是前台。', '短评打分': 3}
{'短评内容': '酒店设施很好，只是位置偏了一点，附近购物，餐饮不方便，服务一般', '短评打分': 5}
{'短评内容': '在廊坊应该算不错的酒店，位置是有点偏，不过廊坊市区本来不大。', '短评打分': 5}
{'短评内容': '设施很新很好用，服务也不错，晚上还是比较安静的。不过位置稍微有点偏，总体上比较好，推荐一下。', '短评打分': 3}
{'短评内容': '民族酒店设施很新，很好用，服务也不错，位置一般。总体推荐', '短评打分': 5}
{'短评内容': '环境还不错，但床比较小，有待改进', '短评打分': 5}
{'短评内容': '住的稍微离市中心远点，但廊坊很小，都无所谓，酒店档次还是挺高的。', '短评打分': 5}
{'短评内容': '设施很不错，价格还可以然后态度我去的还是比较晚没有什么太多接触，房间还是蛮干净的感觉还是挺不错的一家酒店毕竟是刚开业的所以设施上面还是比较有优势的。', '短评打分': 5}
{'短评内容': '地方稍偏一点点,打车比较困难，服务员一般', '短评打分': 5}
{'短评内容': '很新的酒店，可以，价钱也不高，出门吃饭很方便，酒店二楼的餐饮不好吃', '短评打分': 5}
{'短评内容': '我的身份证登记的时候，前台没有给我，等我回去要的时候，前台说没有，民族饭店有欺骗行为', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '卫生环境不错 设施比较新,比较齐全,服务态度一般', '短评打分': 5}
{'短评内容': '性价比超高,物超所值.各方面都非常棒.', '短评打分': 5}
{'短评内容': '性价比还可以，有些装修的味道，位置偏了些，其他都可以', '短评打分': 1}
{'短评内容': '服务态度差了些.不过室内的硬件和软件条件还不错.性价比还是挺不错的.', '短评打分': 5}
{'短评内容': '一切都很好，还会去住', '短评打分': 5}
{'短评内容': '整体感觉很不错的酒店，卫生条件很好，设施完善，性价比高，还会住的。', '短评打分': 5}
{'短评内容': '在廊坊来说还是不错的酒店了~', '短评打分': 5}
{'短评内容': '内部设施很到位，内部环境很好，已经达到4星级的标准。豪华单人间很大，超出我的想象，很好。', '短评打分': 5}
{'短评内容': '感觉很舒适，\r\n值得推荐。\r\n房间设施很舒服。', '短评打分': 5}
{'短评内容': '酒店环境还行，位置挺好找的，房间也很干净，服务态度也很不错。', '短评打分': 5}
{'短评内容': '酒店环境还行，位置挺好找的，房间也很干净，服务态度也很不错。', '短评打分': 5}
{'短评内容': '酒店室内的比较潮，霉味比较重.早餐提供的种类不多.其它各方面都不错.', '短评打分': 5}
{'短评内容': '感觉不错的酒店，房间很干净，前台人员也很热情周到，早餐不错，在廊坊这个城市这家酒店性价比蛮高的。', '短评打分': 5}
{'短评内容': '服务很差，下次不去了', '短评打分': 1}
{'短评内容': '开业才五六个月，设施很新，说是三星半，四星也够了。377元的豪标，很好', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '室温太低  空调微热', '短评打分': 1}
