{'descr': '位置和环境蛮好的，就是房间小了点！呵呵！', 'star': 5}
{'descr': '挺好的，就是有点小，百元房不是随时都有，但是价廉物美！', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '环境舒适服务周到', 'star': 3}
{'descr': '很暖和挺好', 'star': 3}
{'descr': '感觉还行，总体和7天，如家的感觉差不多，当然也有不一样的地方。因人而异吧。。。', 'star': 5}
{'descr': '房间不错，服务也很好，前台有免费的曼妥思可以吃哦。不过我订的大床不知道为什么变成了双床，我很郁闷，不知道是不是我自己订错了', 'star': 5}
{'descr': '酒店还凑合，位置比较好，购物吃饭都比较方便', 'star': 5}
{'descr': '性价比较高，地理位置优越，服务态度还行，是汉庭一贯的风格', 'star': 5}
{'descr': '\n很好,下次还来', 'star': 3}
{'descr': '不错很快，也真的很便宜，没有想到汉庭也能那么便宜，下次还来', 'star': 5}
{'descr': '冬天来的，房间很暖和，整体感觉不错，干净，价格也不错。下次来了还来。', 'star': 5}
{'descr': '干净，简单。洗面池没有放在卫生间而是在一进门的地方，很别扭', 'star': 5}
{'descr': '感觉挺好的  服务也不错~~交通也很方便', 'star': 5}
{'descr': '很不错 安静 位置也很方便 最廉价的房型也很安静', 'star': 5}
{'descr': '房间太小', 'star': 3}
{'descr': '中午到达酒店停水，等了好一会才入住。就是感觉酒店做大的同时能够加强管理，细节想得不错但维护有待加强，想打一份文件居然说机器坏了，有些遗憾。', 'star': 5}
{'descr': '环境不错，但入住期间可能是对面建筑施工，有点吵！', 'star': 3}
{'descr': '快捷酒店位置不错,安全方面上电梯需拿房卡还是放心的。周边有如家、七天等同类型酒店，选择住此酒店的人没有更高的追求,硬件能接受,服务思想和意识特别需要提高,向服务员提出退房时间是否可以延至13：00（饭后时），先期问服务员说我们说了不算，应请示领导，退房时另一服务员说你没有找我。我不知这样的酒店是为谁服务的，让顾客去询问何时领导在？还是让顾客一次次询问，酒店未建立好的内部信息沟通渠道，更没有为顾客服', 'star': 1}
{'descr': '很舒适，不错！性价比很高，很整洁，服务态度很好', 'star': 5}
{'descr': '汉庭入住感觉很好', 'star': 5}
{'descr': '感觉没有什么好的，吃亏啦！感觉没有什么好的，吃亏啦！感觉没有什么好的，吃亏啦', 'star': 1}
{'descr': '这次是开车去北京的，在天通苑办事，住这儿非常方便，有停车位，服务也好，', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '周边环境不错，服务周到，卫生状况不错，24小时热水，很不错', 'star': 3}
{'descr': '+墙皮脱落应该解决', 'star': 5}
{'descr': '＋环境不错，房间整洁干净，热水充足，值得再次入住。', 'star': 5}
{'descr': '还行。', 'star': 5}
{'descr': '总体来说便宜舒适，白天稍微有些吵，洗手池旁边没有地方放毛巾', 'star': 1}
{'descr': '挺不错的 管理也挺严格  卫生挺干净  不错的', 'star': 3}
{'descr': '环境整洁，服务很好，从入住到使用，都能做到很好！', 'star': 3}
{'descr': '+环境卫生和设施很好！', 'star': 5}
{'descr': '性价比非常不错的酒店，位置不错，靠近太原街商业区，总体不错', 'star': 5}
{'descr': '特价房小的有点憋屈。但是，他们的服务态度还是不错的！早餐也不错！下次去沈阳还去住！', 'star': 5}
{'descr': '房间小如鸽笼，白窗帘业已变成灰窗帘．．．', 'star': 1}
{'descr': '不论是地理位置还是周围的环境，卫生挺好，各方面都不错下次还会选择这里。', 'star': 5}
{'descr': '屋子不大，距离地铁站也不算近，不过总体而言还是对得起这个价格~', 'star': 5}
{'descr': '服务态度好，但隔音、硬件等设施太差，就是比旅店稍好点！', 'star': 1}
{'descr': '位子很好，中心区域，就是胡同小点，开车不好找。', 'star': 5}
{'descr': '一进房间有一点说不清的味道，很潮湿的那种味道', 'star': 5}
{'descr': '好 不错的酒店  干净  卫生   交通方便', 'star': 3}
{'descr': '总体来说还不错，前台工作人员服务很好，房间还比较干净，有些潮，总体来说可以~~', 'star': 5}
{'descr': '挺不错的 虽然在太原街 但是挺安静的 也很干净 ', 'star': 5}
{'descr': '住了两天，很舒服，太原街吃的很方便！床很软很舒适', 'star': 5}
{'descr': '总体还不错，房间干净，服务也不错，位置不是太好找。', 'star': 5}
{'descr': '住了太多次了，服务员都和我熟的不行了。服务我很满意\r\n', 'star': 5}
{'descr': '位置较偏，地铁公交不方便，周围餐厅超市等附属设施不便', 'star': 3}
{'descr': '离地铁站较远，交通不便；周围噪音较大，服务效率低，不推荐', 'star': 1}
{'descr': '服务周到。热情，很有人情味。', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '除了房间小点，其它都还可以，不过特价房要求也不能太高了。', 'star': 5}
{'descr': '性价比还是比较好的，就是房间有点小，台盆在外面不是很舒服，楼下比较嘈杂，不关窗户都休息不好', 'star': 5}
{'descr': '已入住', 'star': 5}
{'descr': '地方太小了。而且和标价199的不符合。只给住特价房。大家别上当。', 'star': 1}
{'descr': '服务很不错，酒店也很干净舒适，就是位置有点偏。', 'star': 5}
{'descr': '洗手池在厕所的外面，厕所是玻璃的，很透明。', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '性价比总体感觉尚可，只是位置稍偏。不过在北京，这样的价格入住这样的酒店，大体上说得过去。', 'star': 5}
{'descr': '房还不错，就是卫生间格局不行，洗手台在外面，小得连洗衣服的地方都没有', 'star': 1}
{'descr': '不错的酒店', 'star': 5}
{'descr': '总体来说一般般吧，酒店位置还可以，房子蚊子很多，房间感觉比较潮湿', 'star': 5}
{'descr': '又加住了一晚', 'star': 3}
{'descr': '还不错，除了房间有点小', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '挺不错的', 'star': 5}
{'descr': '地理位置不方便', 'star': 5}
{'descr': '还可以，快捷酒店。', 'star': 3}
{'descr': '最近沈阳出差比较频繁，每次都住这里。主要觉得服务比较好，响应很快', 'star': 3}
{'descr': '不错不错，下次还来', 'star': 3}
{'descr': '性价比比较高', 'star': 5}
{'descr': '该酒店所处的地理位置很好，特别适合购物；要说意见的话，就是房间很小，只适合1位成年人入住。', 'star': 3}
{'descr': '地点不错，就是位置不太好找，在步行街附近，都是单行线。', 'star': 3}
{'descr': '几次来沈阳，都住这里，房间还可以，很大。服务也不错', 'star': 5}
{'descr': '一般', 'star': 5}
{'descr': '地点很好，房间太小。性价比还可以。', 'star': 5}
{'descr': '整体酒店环境不错，就是能适当推出特色优惠最好，停车位不够', 'star': 5}
{'descr': '位置有点偏,卫生很好', 'star': 1}
{'descr': '以前定过，这次依然满意', 'star': 5}
{'descr': '还可以吧，出差住住，不太讲究环境的话，性价比还行。', 'star': 5}
{'descr': '房间有点小，其他的都还可以，主要是地理位置好。', 'star': 5}
{'descr': '还可以吧', 'star': 5}
{'descr': '条件一般，前台服务员业务不精。', 'star': 3}
{'descr': '还行！', 'star': 1}
{'descr': '位置理想 离沈城最繁盛的商业街太原街咫尺之遥，就是房间小了点！ ', 'star': 5}
{'descr': '还不错，管理很严格，感觉超安全，就是房间有点小', 'star': 5}
{'descr': '刚住进房间空调漏水，后来墙面漏水，不过服务员服务态度很好，很热情。我们也不是多事的人，就住下了。位置很好，在繁华区。', 'star': 5}
{'descr': '如家嘛，当然还是那样的如家。', 'star': 5}
{'descr': '性价比好，便宜', 'star': 5}
{'descr': '交通不方便，建议坐到地铁口再打车，距离公交站口比较远，卫生服务还可以', 'star': 1}
{'descr': '总体可以', 'star': 5}
{'descr': '不错，就是早餐品种太少', 'star': 5}
{'descr': '地点有点偏，很容易错过路口，不太好找。', 'star': 5}
{'descr': '服务员没有培训好，一般的常识都不知道。', 'star': 1}
{'descr': '地理位置不错,房间卫生清洁水平有等提高', 'star': 5}
{'descr': '如果不是去的时候没有立即入住，对该酒店的评价会更高，但总体来说还是很不错的，值得推荐。', 'star': 5}
{'descr': '房间里太差了,', 'star': 1}
{'descr': '位置比较偏，好在价格便宜~', 'star': 5}
{'descr': '我住的是商务大床B，是推出的特价，整体感觉不错！位置安静，开车适宜，周边交通和餐饮方便，就是白天过城铁，窗户外面有N只大狗不停的叫，晚上N多特殊服务名片，有点烦！', 'star': 5}
{'descr': '位置有点偏，其他还好！', 'star': 3}
{'descr': '位置有点偏，其他还可以', 'star': 5}
{'descr': '很好！', 'star': 5}
{'descr': '位置非常好找，室内设施齐全，房间封闭很好，非常暖和，我空调打到26度竟然感觉是凉风', 'star': 5}
{'descr': '总体来说环境一般，内部空间太小，门关不严，门边居然关上后有缝隙', 'star': 5}
{'descr': 'not bad', 'star': 5}
{'descr': '还是不错的~就是卫生间设计有点问题~\r\n浴巾比较硬~别的都还好~\r\n\r\n就是汉庭没有饮水机~很不方便~自己烧的水有浓烈的消毒水味道~', 'star': 5}
{'descr': '春节期间，我们选择了这家酒店，该酒店的地理位置闹中取静。另外从酒店出发至太原街商业中心步行不足十分钟，周围交通便利。酒店硬件设施在经济型酒店中当属不错，还能免费提供上网服务。软件设施中，服务人员待客热情，卫生良好。唯一不足的是酒店仅提供早餐服务，中、晚餐没有。', 'star': 5}
{'descr': '位置偏,服务一般', 'star': 1}
{'descr': '不错 态度很好', 'star': 3}
{'descr': '服务态度比较好，但是需要信用卡的预授权，很郁闷', 'star': 5}
{'descr': '蛮好的，屋子很热 不过有点干 总的来说还不错', 'star': 5}
{'descr': '这次住了新春特价房，就此价位来说非常超值，特别是前台服务生态度不错，值得表扬！有一点就是房间里有点太热了。', 'star': 5}
{'descr': '这个地点是相当偏僻啊 简直就跟在贫民窟里一样。。。服务也很一般。。。卫生也很一般。。。我们是十一去的 要是有得选择的话绝不会住在这里了。。。\r\n\r\n', 'star': 1}
{'descr': '晚上房间门缝里塞的全是特殊服务名片，感觉很乱。', 'star': 1}
{'descr': '地方有点偏远，环境一般', 'star': 5}
