{'短评内容': '老牌子酒店，设施太旧。服务态度有待提升，位置还可以。', '短评打分': 2}
{'短评内容': '还不错吧，设施陈旧点，但是服务还是比较到位的', '短评打分': 5}
{'短评内容': '还可以吧。 交通很方便，房间挺大的。', '短评打分': 3}
{'短评内容': '老牌酒店，地理位置好，方便便利，价格偏高', '短评打分': 5}
{'短评内容': '老古董设施太陈旧不宜居住位置太偏远离市区', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '位置好，服务一般，浴盆稍显小浅，但设施没问题。', '短评打分': 5}
{'短评内容': '酒店属于少见的古董级老酒店，正规化的管理团队给人留下较深的印象，但是硬件条件老化也是不争的事实，适合怀旧的人或者游客去动物园旅游观光居住，但是价格还是偏高', '短评打分': 5}
{'短评内容': '环境不错，地理位置好，交通方便，是一个适合办公出差的居所。', '短评打分': 5}
{'短评内容': 'the hotel is just normal\nwhat a expensive hotel!', '短评打分': 1}
{'短评内容': '饭店位置很方便，新装修的，2楼设施比3楼的好。酒店服务很好，早餐比较简单。卫生一般。', '短评打分': 5}
{'短评内容': '0德宝饭店不错，各方面设施完善。', '短评打分': 3}
{'短评内容': '特别感谢这家店的门童，在我拿了很多东西打车不便的情况下，一直帮我站在路口打车，服务态度极佳，强力推荐！', '短评打分': 5}
{'短评内容': '地理位置尚可，但酒店设备较陈旧，性价比不高。', '短评打分': 1}
{'短评内容': '电视如果能多些频道就更好了，HBO等等，而且那个点播电影也很不便捷，操作总是无效', '短评打分': 5}
{'短评内容': '环境不错，交通便利！适合出差会议以及接待嘉宾。', '短评打分': 5}
{'短评内容': '商务出差不错，交通方便，就是卫生间洗澡是没看到防滑垫，洗澡时要小心了。为了给其他用户提供更有价值的意见，请您发表20个字以上的点评', '短评打分': 5}
{'短评内容': '帮朋友订的，老四星了，设施真的看着挺老，大厅还行，在海淀区如果旅游位置好', '短评打分': 1}
{'短评内容': '离地铁站有点远。拿着行李走了段距离，关键是周边环境不卫生。感觉不好。房间地毯也不是很干净。', '短评打分': 1}
{'短评内容': '不错。\n这个地方是在市中心。很繁华。\n交通方便。\n离我这次办事的地方比较近，所以选择了这个地方。\n', '短评打分': 5}
{'短评内容': '德宝饭店很好,谢谢你们的推荐。', '短评打分': 5}
{'短评内容': '整体感觉还可以吧，就是房间冰箱内饮品种类少，清扫房间时没有及时补充，另外没有咖啡实在是不好，能改进最好了', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '酒店房间不错 还带一个小厅 服务也好 离展览馆很近 走路只要几分钟', '短评打分': 5}
{'短评内容': '交通方便，就是价格不便宜，不过是个四星也还可以', '短评打分': 5}
{'短评内容': '服务态度还是很好的哦，卫生也做的相当不错，住起来还是很舒服的。', '短评打分': 5}
{'短评内容': '+还可以，谢谢。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务质量很好.酒店整体也不错.就是设施有点陈旧.床不是很舒服', '短评打分': 3}
{'短评内容': '很干净服务人员态度也很好就是设备旧点', '短评打分': 5}
{'短评内容': '真的挺好的', '短评打分': 5}
{'短评内容': 'the food is expensive and not so good', '短评打分': 3}
{'短评内容': "it's only the swimming pool that is good", '短评打分': 1}
{'短评内容': '设施不错！  就是床太硬，睡的不舒服。。。', '短评打分': 5}
{'短评内容': '酒店环境优雅，价格偏高，交通便利，下次还会入住。', '短评打分': 3}
{'短评内容': '四星级酒店，条件很好，交通便利，价格稍微高了点。', '短评打分': 3}
{'短评内容': '酒店比较规范，管理也相当不错，硬件设施相对比较齐全，价位也还相当合理', '短评打分': 3}
{'短评内容': '酒店比较老，设施基本齐全，只是价格相对较高，相比周边的西苑宾馆和新建的几家商务酒店都要高出40-50%，但是酒店的服务员明显受过正规的培训，房间也相当整洁规范。', '短评打分': 5}
{'短评内容': '酒店不错，价格高了点，如果价格降一些，会更受欢迎。', '短评打分': 5}
{'短评内容': '这个酒店几前就住过,到近期还保持一样水准.', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置不错，价格合理，环境还行，值得推荐！', '短评打分': 5}
{'短评内容': '该酒店卫生条件好，交通方便，就是设施旧了一点，总之还是不错的酒店。', '短评打分': 5}
{'短评内容': '位置西直门跟前，离地铁站近。是一家标准的四星级酒店，没什么特别的地方，也没有不好的地方，就是好像电视效果不太好。', '短评打分': 5}
{'短评内容': '位置不错，价格合理，服务可以，值得推荐！', '短评打分': 3}
{'短评内容': '+位置好,价格合理!', '短评打分': 5}
{'短评内容': '环境、卫生、服务都不错，就是续房给涨价了，让人觉得很不合理。', '短评打分': 5}
{'短评内容': '很实惠的，环境也好，消费实在，针对于出行等问题交通也方便，总之是好啊', '短评打分': 3}
{'短评内容': '环境不错，条件不错，价格合理，值得推荐！', '短评打分': 5}
{'短评内容': '不错…', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '已入住德宝饭店515、505房间。', '短评打分': 5}
{'短评内容': '也许是太老的缘故吧,设备不是很好,而且隔音很差.', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一切都是那么陈旧', '短评打分': 1}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '酒店近地铁站,周边生活设施方便,房间干净舒适,出差可选择住这酒店.', '短评打分': 5}
{'短评内容': '酒店的豪华房太陈旧了，房间布置也不合理，灯光暗淡。跟豪华不相配；价格也不合理。', '短评打分': 1}
{'短评内容': '地理位置不错，其他的就没什么可说的了。', '短评打分': 5}
{'短评内容': '可以的', '短评打分': 3}
{'短评内容': '总体还可以的', '短评打分': 5}
{'短评内容': '酒店的内部设施一般  走的时候把手机落在了房间了 后来前台打电话通知我们来取手机 这一点酒店做的非常好！其他的条件如性价比来说不如北京的民族饭店 ', '短评打分': 5}
{'短评内容': '一走进房间有一股霉味，卫生间的厕所一直在漏水，浴缸的水蓄满后水一会儿就会漏完，房间挺大，我家宝宝住了一晚回家后就病了……（和星级宾馆不符）', '短评打分': 1}
{'短评内容': '老四星级酒店了，除了硬件配置稍旧之外，其它方面都还可以。', '短评打分': 5}
{'短评内容': '位置非常好，因为我家住附近，有客人来就定在这儿。而且西临北京展览馆、动物园和服装市场，东邻嘉茂购物中心和地铁城铁站，南面是华堂商场和人民医院，交通和生活都很方便。', '短评打分': 5}
{'短评内容': '交通便利、安静、性价比高', '短评打分': 5}
{'短评内容': '地理位置很好，交通非常方便，相对于四星级价位还可以，但是硬件设施较陈旧。', '短评打分': 5}
{'短评内容': '这是个位置相当不错的酒店，只是装修旧了些，但是毛巾、床品很好。', '短评打分': 5}
{'短评内容': '位置还可以', '短评打分': 3}
{'短评内容': '有点旧，不过很干净', '短评打分': 5}
{'短评内容': '对于4星级酒店来说，条件的确有些一般，不过还算可以', '短评打分': 3}
{'短评内容': '早餐价格贵了些，但是如果对床的大小要求严格的话，可以选择这里的大床间，建议选择12层以上的楼层，因为交通噪声太大，毕竟离西直门太近了', '短评打分': 5}
{'短评内容': '地理位置不用说了，坐落在距离西直门交通枢纽仅3分钟路程的主干道旁边，周围交通涵盖了地铁、轻轨、公交车，到哪里都很方便。马路对面是华堂商场，地下有超市上面是商场，用来闲逛挺好的。再往西一些有北京市著名的动物园服装批发市场，和海洋馆、北京展览馆等设施，总得一句话，这个位置真的是很不错。至于房间，我们入住的是328的特价房，一般水平吧，就是位置有点偏僻，装修有些陈旧，刚进去的时候确实和很多人说的一样有一', '短评打分': 3}
{'短评内容': '饭店旧了点，对客人的宣传少了点，如免费设施等应多向客人介绍。', '短评打分': 5}
{'短评内容': '地理位置不用说了，坐落在距离西直门交通枢纽仅3分钟路程的主干道旁边，周围交通涵盖了地铁、轻轨、公交车，到哪里都很方便。马路对面是华堂商场，地下有超市上面是商场，用来闲逛挺好的。再往西一些有北京市著名的动物园服装批发市场，和海洋馆、北京展览馆等设施，总得一句话，这个位置真的是很不错。至于房间，我们入住的是328的特价房，一般水平吧，就是位置有点偏僻，装修有些陈旧，刚进去的时候确实和很多人说的一样有一', '短评打分': 5}
{'短评内容': '还可以!', '短评打分': 3}
{'短评内容': '酒店本身价位较高，但折后可以接受。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '特价房间有异味', '短评打分': 1}
{'短评内容': '老牌酒店了，到西直门附近办事又不想住儒家之类的，就可以选择这里，4星水平，就是有些旧了，服务都还不错。适合给一般领导预定。呵呵~', '短评打分': 5}
{'短评内容': '我觉得这个价钱在北京能住上四星的酒店，，也算不错了，位置也不错，，，8分', '短评打分': 5}
{'短评内容': '朋友21：00离店，只给算了半天房费，感觉不错。', '短评打分': 5}
{'短评内容': '離動物圓很近方便帶小還去玩', '短评打分': 3}
{'短评内容': '一樓早餐要記得提前一天訂(如訂房不含早餐)才有折扣, 不然就得付78RMB.', '短评打分': 5}
{'短评内容': '这个位置还行，出行还是比较方便的，房间的卫生和设施也还不错，服务也挺好的，整体感觉这家酒店的性价比还是比较高的', '短评打分': 3}
{'短评内容': '三樓港式點心 很好吃. (68折) 但需加 15% 手續費', '短评打分': 3}
{'短评内容': '幫忙快遞的門房主管態度不好~只願意幫忙叫快遞 其他的都得客人自己來.對於時間不方便的客人 是一大困擾.', '短评打分': 5}
{'短评内容': '酒店有些老旧了一些,房间设施装修都是旧的,卫生服务还可以,位置很好出行很方便.', '短评打分': 3}
{'短评内容': '设施太旧，房间阴暗。价格还可以，周边方便。', '短评打分': 1}
{'短评内容': '为自家亲属预订去住过。据说酒店挺不错的,环境很好,周围交通也挺方便的,价格也算合理，尤其是特惠房。', '短评打分': 5}
{'短评内容': '酒店太老了所以酒店整体感觉很陈旧,性价比不是很好,而且酒店有个夜总会很乱还有小姐开房很吵.旁边有其他酒店比他要好.', '短评打分': 3}
{'短评内容': '酒店有些老旧了,设施也是有些老,卫生还不错,位置很好交通方便,下次不会在选这家酒店,希望能够翻新一下更好.', '短评打分': 3}
{'短评内容': '酒店地理位置很好，只是设施有些陈旧，服务态度很好。', '短评打分': 5}
{'短评内容': '酒店的位置还不错，如果到这个附近来的话还是可以考虑他，但是酒店条件比较旧一点，相对来说比较老了。', '短评打分': 3}
{'短评内容': '为到上级公司办事，在西直门附近找到德定是档次，硬件设施，网络通讯，交通和服务等均可再次作为入选择的酒店，说到服务，因为只住了一晚，第二天一早6：30就离店，没有太多机会去体会，不好评说。', '短评打分': 5}
{'短评内容': '酒店地理位置很好，性价比较高，卫生间需要改进。', '短评打分': 5}
{'短评内容': '位置不错，设施一般', '短评打分': 3}
{'短评内容': '位置很方便，但是设施有些陈旧', '短评打分': 5}
{'短评内容': '位置不错，由于设施较为成陈旧，相对价格稍贵。', '短评打分': 5}
{'短评内容': '就在西直门地铁和北京展览馆之间交通很方便，有华堂商场和嘉茂大厦等购物中心，吃饭的地方很多。\r\n酒店比较温馨，服务也不错。缺点就是没有院子。', '短评打分': 5}
{'短评内容': '酒店的位置一般，服务环境虽然还不错，不过硬件设施太旧了，感觉下次都不想去住了。', '短评打分': 3}
{'短评内容': '位置不错，服务很好，环境设施也还可以，好象就是隔音不是很好，住的325房，离电梯还有段距离，可晚上老听到电梯铃声。', '短评打分': 5}
{'短评内容': '是家老酒店了,位置很好,价格也合适,就是房间内设施有些陈旧,不过卫生还不错.', '短评打分': 5}
{'短评内容': '酒店很干净，服务和环境也不错，交通很方便', '短评打分': 5}
{'短评内容': '酒店设施比较旧，其他还比较不错的，服务很周到，地理位置也不错', '短评打分': 5}
{'短评内容': '地段不错，设施稍微有些老，总的来说性价比还不错。', '短评打分': 5}
{'短评内容': '设施有点陈旧了，该装修了，地理位置是很方便的，交通也便利', '短评打分': 5}
{'短评内容': '地理位置不错,交通方便,酒店比较旧了,早餐还可以', '短评打分': 5}
{'短评内容': '酒店除了位置比较好，离我办事地点比较近以外，感觉别的地方都不行，装修不好，实在是太旧了，早餐贵也不好。', '短评打分': 1}
{'短评内容': '酒店挺不错的,环境很好,周围交通也挺方便的,价格也很实惠', '短评打分': 5}
{'短评内容': '酒店挺好的，位置对我办事很方便，设施也不错', '短评打分': 5}
{'短评内容': '酒店的服务不行，给我感觉很不舒服，第二次去我们就不住这里了，不过德宝的位置很不错。', '短评打分': 1}
{'短评内容': '对于该酒店的服务人员素质一般，针对客户有很强的倾向性，不同人不同待遇，这是很不应该的，而且应该有更快捷的入住和结帐方式，客人在酒店的前台耽搁的时间太长。硬件还是不错的。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '一位同学就在附近上班，为了方便住了进去。&lt;br /&gt;\n感觉有点老旧，没有一顶点时尚气息，四平八稳的风格，4星有点勉强了。维护的马马虎虎。', '短评打分': 3}
{'短评内容': '还算说得过去吧', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
