{'短评内容': '旅店设施有些旧，但经济实惠', '短评打分': 4}
{'短评内容': '每年去拉萨都会住这里，很喜欢这里的感觉，可以认识很多朋友，旅游信息也可以很快获得', '短评打分': 5}
{'短评内容': '马马虎虎，前台服务态度差，房间不太感觉，除了那墙上的涂鸦这唯一的亮点。', '短评打分': 1}
{'短评内容': '很好很顺利', '短评打分': 3}
{'短评内容': '住宿条件不好，而且贵，脏，和平措相比实在是太差了', '短评打分': 1}
{'短评内容': '各方面都很一般，没有什么值得推荐的，地点还可以。', '短评打分': 1}
{'短评内容': '还行，我一个人一间，和其他人比起来好象有点奢侈啦。', '短评打分': 5}
{'短评内容': '还不错，晚上有点冷，设备陈旧，经济实惠考虑还是可以', '短评打分': 5}
{'短评内容': '帮朋友定的，感觉还可以，就是人员杂，设施陈旧', '短评打分': 5}
{'短评内容': '这次是帮朋友定的，他要求比较高吧，所以感觉条件稍微差了点。不过还是经济实惠为主', '短评打分': 5}
{'短评内容': '不错的选择，离八廓街很近。从日喀则回来后为了多一些体验，在拉萨住了另外一家同样价格的旅馆，两相比较，更加觉得选择东措没错。', '短评打分': 5}
{'短评内容': '预订的房间不错，晚上有些冷，一定要开暖风机', '短评打分': 5}
{'短评内容': '到拉萨的第一站，位置很好，适合初到不适驴友', '短评打分': 5}
{'短评内容': '房间的卫生条件还不错，就是这个热水很恼人，每天早上起来要拿他们的热水器烧', '短评打分': 5}
{'短评内容': '设施较为陈旧，但是价格很合适\r\n房间内电源较少，且这边上网是无线网络~~\r\n走廊墙壁上全是涂鸦，很值得一看~', '短评打分': 5}
{'短评内容': '两个晚上两个房间，马桶都没有马桶圈，改进吧！', '短评打分': 5}
{'短评内容': ' 挺好，有文化味。墙上到处是涂鸦。\n', '短评打分': 5}
{'短评内容': '设施有些老旧，但人气不错，是背包客较为理想的住宿这地。', '短评打分': 3}
{'短评内容': '背包客聚集的地方，驴游氛围浓，是一个很适合自助游的地方。', '短评打分': 5}
{'短评内容': ' 设施相当破旧', '短评打分': 5}
{'短评内容': '感觉很不错', '短评打分': 5}
{'短评内容': '刚才评论后不能修改，增加一点小建议，就是在标准间房间里床头增加电源插线头，更加人性化就好了。', '短评打分': 3}
{'短评内容': '初次入住，感觉很好，和网上各驴友评价相同。\r\n进入房间之前就是一片驴友的气息，很自然，很温馨。', '短评打分': 5}
{'短评内容': '还可以吧，在拉萨基本都这样。到那了应该多住几家。', '短评打分': 5}
{'短评内容': '住这一酒店主要是为了旅游，因为很多驴友都在这里，酒店房间布置还可以，打扫的挺干净的，就是洗澡水不是很好，可能因为是太阳能的，水总是忽冷忽热的，价格方面我觉得还是比较合适的。', '短评打分': 5}
{'短评内容': '不如以前了', '短评打分': 1}
{'短评内容': '不错 无线网络时断时续的', '短评打分': 3}
{'短评内容': '位置不错  靠近布达拉和大昭寺 购物什么的都很方便', '短评打分': 5}
{'短评内容': '他们供应热水时间短晚上7点到早上6点，但是那天早上6点以前起来，还是没有热水了，位置不错，服务也还行，如果夏天还是不错。', '短评打分': 3}
{'短评内容': '房间没有宽带不太方便,其它还可以,挺满意的,性价比不错,在拉萨这边算是比较好的了.', '短评打分': 3}
{'短评内容': '总体感觉不错，我是第一次去拉萨，酒店位置很好，相互行交通比较的便利', '短评打分': 3}
