{'descr': '环境不错，服务也挺好的，早餐有吕梁风味，值得推荐', 'star': 5}
{'descr': '这家是我住过的最差的如家，房间特别小，从来没住过这么小的。而且房间内收到一些不正经的名片，说明管理不好。早餐不好吃，相比其它如家来说。周边交通不方便，也没什么好吃的餐馆，只住了一晚就闪人了。', 'star': 1}
{'descr': '酒店挺干净的，就是空间小点。', 'star': 3}
{'descr': '服务态度都挺好的，地方也很方便离武林广场很近，就是附近现在在造地铁，会有点影响，不过整体还是很不错的', 'star': 5}
{'descr': '帮朋友订的还不错', 'star': 3}
{'descr': '环境有点吵，房间很小', 'star': 3}
{'descr': '很干净，就是地理位置差了点打车不方便.。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '距西湖不是一般的远，走路30-40分钟。外面修地跌，吵。', 'star': 1}
{'descr': '还是一如既往的好，就是这房间稍微小了一点点.', 'star': 5}
{'descr': '居然房间会有无窗的，下次再定得备注一下了', 'star': 3}
{'descr': '感觉同样的温馨，前台服务态度超好，还有早餐吃了他们茶餐厅的，感觉12块钱很值，虽然东西没那么豪华，但是都是很有营养的，最主要的是发现土司烘烤的东东，考好后好好吃。', 'star': 5}
{'descr': '性价比很好,卫生很干劲,隔音不好', 'star': 3}
{'descr': '周边各种条件都满充足的。就是因为正在修建地铁所以晚上的时候有些很难找到该酒店。且白天因为地铁修建，会有一定的噪音。', 'star': 5}
{'descr': ' 这个地方还不错 交通蛮方便的 设施很好 尤其是这的电视 我很喜欢', 'star': 3}
{'descr': '在建地铁，所以出门的路都被堵住了，打车都不好打，离着西湖还是远一点的啊，我我走回来，很累的说~~', 'star': 5}
{'descr': '如家，还是不错的！感觉应该装修一下了~~', 'star': 5}
{'descr': '性价比较高了，就是如果靠内侧会比较吵，地理位置很好，吃饭逛街很方便', 'star': 5}
{'descr': '靠南边的房间对面在装修，有点吵。特别是早上很早就动工了，一大早就被吵醒，郁闷。', 'star': 5}
{'descr': '隔音差点,其他还好吧.\n还有就是有点偏,位置不怎么好,', 'star': 5}
{'descr': '酒店位置很隐蔽，不过因为施工倒是比较“好找”。好在晚上工地不施工，较为安静。\n房间隔音不好，卫生不错。\n可能因为房价的原因，401房间在最里边，面积很小，一张床放进去就占得满满的了。\n如果只是歇歇脚待一天这里倒是还行，出门就有中式快餐。\n', 'star': 5}
{'descr': '这个价位的酒店还不错，就是浴室的门关不太住，隔音效果比较差。也算价廉物美了~', 'star': 5}
{'descr': '面积有点小，不过麻雀虽小五脏俱全，室内的设施都比较齐全。\n隔音效果不是很好，其他都不错。。。', 'star': 5}
{'descr': '还好。。。。位置偏。。。还没吹风机。。。如家一直都这样的', 'star': 5}
{'descr': '商务大床房跟普通的大床好像没什么区别，貌似比我昨天住的大床还小。', 'star': 3}
{'descr': '  还好', 'star': 3}
{'descr': '还是很温馨的感觉，就是旁边在修地铁，出行不便。', 'star': 3}
{'descr': '國際慣例 170 商務大床 正月17\n\n水很舒服。\n\n位置稍偏，不太好找，不過附近有地鐵站，大約地鐵站建完以後會牛逼許多。\n\n去各個景點還算方便，走大約10分鐘便有無限公交車站。\n\n靠近延安路，這個不錯。\n\n嗯，以上。\n\n似乎沒有什麽不太滿意的。\n\n唔，除了看到前臺那借吹風機那個忙，剛被借又有其他人來借...\n\n覺得，大約，每個房間配個吹風機該花不了多少錢。\n\n呃，以上。', 'star': 5}
{'descr': '环境好，很安静，但交通方便，干净舒服，189块就可以住电脑房，性价比很高啊，推荐', 'star': 5}
{'descr': '上次去过一次，住的是大床房  就在西湖广场后面  我们是步行的 没几分钟就到杭州大厦了，施工什么的也没有感觉很吵  价钱也便宜  反正还回去的！', 'star': 5}
{'descr': '不错。喜欢粉色的床单。整体是比较干净的。就是里面宽带提供的网速是在是太慢了。', 'star': 5}
{'descr': '环境不错，是如家一如既往的风格，就是位置稍微有点偏。', 'star': 5}
{'descr': '卫生不错，就是不太好找。幸亏有导航，还打电话问路才找到。', 'star': 5}
{'descr': '挺好的  旁边就有步行街  到西湖断桥打车14元  挺方便', 'star': 3}
{'descr': '地方太偏，坐车不方便，其他都还好。', 'star': 3}
{'descr': '房间虽然不大，但是很温馨，很干净。服务很好，很耐心~', 'star': 5}
{'descr': '基本可以.房间小了点.', 'star': 3}
{'descr': '很划算，服务态度很好，离开的时候忘了拿充电器，后来他们及时告诉我，交还给了我', 'star': 5}
{'descr': '挺干净，去西湖交通还是满方便的。就是房间小了点。', 'star': 5}
{'descr': '总体感觉还不错，很喜欢被套的颜色，不过不喜欢每个城市的如家有些不一样。', 'star': 5}
{'descr': '服务质量还不错，只是位置不好找！找了很久才找到的！', 'star': 5}
{'descr': '接近市区，服务挺好哦\n交通方便，房间都不错 ', 'star': 5}
{'descr': '房间还不错 比较卫生 房间稍微小了点  看上去挺温馨', 'star': 5}
{'descr': '环境安静，酒店旁边就有一家好吃的餐馆，附近的交通也很方便，坐4站公交车就可以到达西湖边，也很容易打到出租车，好评！', 'star': 5}
{'descr': '还不错吧 总体来说还是蛮舒服的 下次有机会还是会去的', 'star': 5}
{'descr': '地理位置不错，价格也很合理，人员态度也挺好的', 'star': 5}
{'descr': '还可以，满意', 'star': 3}
{'descr': '已入住,房间不错，干净也不小,就是修地铁不好找', 'star': 3}
{'descr': '环境一般，价格偏高，面临街道隔音效果差。', 'star': 1}
{'descr': '不方便停车，房间面积太小。洗手盆漏，淋浴喷头不太好用。', 'star': 3}
{'descr': '我已入住，谢谢！', 'star': 3}
{'descr': '地方不错很安静，还有电脑可以用，楼下还有个快餐店，很不错的一个地方 推荐一下', 'star': 5}
{'descr': '装修很温馨', 'star': 3}
{'descr': '酒店很好～', 'star': 3}
{'descr': '不错，就是隔音不是很好，挺干净的。喜欢如家的感觉，真的如家', 'star': 3}
{'descr': '酒店位置挺好，周边交通很便利，性价比也很高。', 'star': 5}
{'descr': '服务极差', 'star': 3}
{'descr': '房间宽敞舒适，设施齐全，服务热情周到，出行也很方便。', 'star': 5}
{'descr': '服务人员态度热情，房间干净整洁，设施也完善，住的很舒适。', 'star': 5}
{'descr': '服务人员随叫随到，房间收拾的也挺干净，卫生间设计的很时尚，用品都很新，感觉很不错。', 'star': 5}
{'descr': '房间挺宽敞，也挺干净，设施很好，电视机是新的，床也很干净很舒适。', 'star': 5}
{'descr': '酒店靠近汽车站，交通挺便利，周边餐饮也挺多，酒店卫生也不错，房间里挺干净的。', 'star': 5}
