{'短评内容': '卫生 安静价格不贵 这个酒店的地理位置非常优越 服务员也很不错 床品 卫生间这些都还不错 物有所值 推荐', '短评打分': 5}
{'短评内容': '酒店很不错，下次还要这家了！', '短评打分': 3}
{'短评内容': '酒店很舒服', '短评打分': 3}
{'短评内容': '位置非常好，房间条件也不错，卫生也还可以。', '短评打分': 5}
{'短评内容': '房间设施很好，朋友很满意，这已经是第二次入住，相信下次去唐山还会选择这家酒店', '短评打分': 5}
{'短评内容': '酒店不错离市中心很近，万达广场对面，购物餐饮都方便。', '短评打分': 3}
{'短评内容': '酒店设施很好，空间很大，朋友很满意！！！！！', '短评打分': 5}
{'短评内容': '酒店对面就是万达商场,交通方便,可离钢厂的大烟囱太近,空气质量不敢恭维。早餐还行,房间内的灯泡该整修了,第一晚就坏了三颗,设施待改进', '短评打分': 3}
{'短评内容': '很不错的酒店，服务人员的服务非常好。以后还会再入住。', '短评打分': 5}
{'短评内容': '该酒店房间虽然不太大,不可细处着眼,可谓难得.', '短评打分': 5}
{'短评内容': '房间空调控制面板失灵，两次闭闸后才正常。', '短评打分': 3}
{'短评内容': '酒店房间较小，但是有水果送，总体感觉还不错。推荐入住。', '短评打分': 5}
{'短评内容': '各方面都还凑合，应该在唐山算好的了吧。下次可能还会住', '短评打分': 5}
{'短评内容': '服务好。', '短评打分': 3}
{'短评内容': '酒店地址位置不错.........................................', '短评打分': 5}
{'短评内容': '房间很温馨。', '短评打分': 3}
{'短评内容': '交通方便，可以推荐。交通方便，可以推荐。交通方便，可以推荐。', '短评打分': 5}
{'短评内容': '不错，服务，设施都挺好，性价比高，推荐。', '短评打分': 5}
{'短评内容': '感觉还还可以，          下次有机会还会考虑。     ', '短评打分': 5}
{'短评内容': '服务还可以', '短评打分': 3}
{'短评内容': '在万达广场对面 交通及购物方便 旋转餐厅很有特色 电梯只有一部 等待时间很长', '短评打分': 5}
{'短评内容': '环境不错  自助早餐很丰盛，略微遗憾的是床单被罩比较磨人！', '短评打分': 5}
{'短评内容': '酒店性价比比较高，旋转餐厅很有特色，服务态度非常好。', '短评打分': 5}
{'短评内容': '很好，设施不错，态度不错，很热情，值得推荐', '短评打分': 5}
{'短评内容': '晚点入住的，态度很好，设施也不错，就是有点冷吧，不过客服还是拿过来了暖风机，真是无微不至啊！', '短评打分': 5}
{'短评内容': '旋转餐厅真的旋转。', '短评打分': 3}
{'短评内容': '市中心，附近有抗震纪念馆、万达广场、唐山百货等', '短评打分': 5}
{'短评内容': '市中心，离抗震纪念碑很近，对面就是万达广场', '短评打分': 5}
{'短评内容': '房间很好 商务大床很明亮 4星该有的都有 亮点在厕所马桶居然撒了花瓣 办理入住时全程陪同到房间 每日水果 小礼物 旋转餐厅 舒服的床   对面是万达广场 一切都那么美好 差在结账时 先说房间鼠标垫没了 我说没有看见 后说我用擦手巾擦鞋了 其实原来快捷酒店的毛巾最终我都擦鞋的 ', '短评打分': 5}
{'短评内容': ',房间设施新，服务态度好，赞', '短评打分': 3}
{'短评内容': '酒店位于唐山市中心，地理位置极好，挂牌四星，暖气设施也都可以，就是房间稍微显得小了一点，挺好的！', '短评打分': 5}
{'短评内容': '酒店位置非常好，对面就是万达广场，超市，饭店，电影院一应俱全。\n美中不足是早餐种类有些少，不够丰富，还有就是服务员进房间的时候最好确定客人不在房间内再推门进去。。。。', '短评打分': 5}
{'短评内容': '早餐很丰盛.房间还可以.结帐时等了很长时间.', '短评打分': 5}
{'短评内容': '还不错~~~ 就是楼上的旋转餐厅的菜做得不敢恭维啊~~', '短评打分': 5}
{'短评内容': '酒店位置不错，服务态度也比较好。值得推荐', '短评打分': 5}
{'短评内容': '酒店环境不错，房间布置也挺温馨的，以后再来唐山还住这酒店。', '短评打分': 1}
{'短评内容': '刚进门总会有毕恭毕敬的接待，客人挺多，对面万达也开了，比较方便。', '短评打分': 5}
{'短评内容': '酒店位于唐山市中心，地理位置极好，挂牌四星，暖气设施也都可以，就是房间稍微显得小了一点，挺好的！', '短评打分': 5}
{'短评内容': '酒店在唐山来说是很不错的了，温馨舒适，网速也快，早餐丰盛，位置很好，就是价格稍贵，值得推荐。', '短评打分': 5}
{'短评内容': '地点非常好，服务也很好，态度很亲切，就是房间小一点了', '短评打分': 5}
{'短评内容': '酒店总体还可以，离市中心较近，服务很到位，就是设施相对陈旧，房间较小。', '短评打分': 5}
{'短评内容': '只能说还可以。前台很小，办入住时人多了感觉较乱，第一印象不太好。房间设施还可以', '短评打分': 5}
{'短评内容': '地点非常好，服务也很好，态度很亲切，就是房间小一点了。', '短评打分': 5}
{'短评内容': '同事介绍的一家酒店，觉得挺好的，不要求多奢华，温馨干净就可以，这里做到了', '短评打分': 5}
{'短评内容': '经常住这里，感觉性价比很值，对过的万达广场要是开业了，会更火的。', '短评打分': 5}
{'短评内容': '地理位置好，交通方便，购物方便，房间干净，每次来都住这', '短评打分': 5}
{'短评内容': '房间够大，让人舒心，位于市中心，很好找，周围环境不错。', '短评打分': 5}
{'短评内容': '1、房间太暗\n2、开关接触不良，找人修才修好\n3、晚上有骚扰电话\n4、隔音一般\n5、早餐一般', '短评打分': 5}
{'短评内容': '酒店地理位置佳，交通方便，房间干净，服务态度很好', '短评打分': 5}
{'短评内容': '酒店很新，服务很好，也很干净，就是卫生间较小。', '短评打分': 3}
{'短评内容': '干净整洁，必要用品完备，性价比高，值得入住。', '短评打分': 5}
{'短评内容': '酒店设施很新，虽然房间不大但是布局合理，设施安排到位使用很顺手\n房间门很重，不好开关\n早餐还可以，中午晚上还有自助\n\n', '短评打分': 5}
{'短评内容': '酒店地理位置佳，交通方便，房间干净，服务态度很好', '短评打分': 5}
{'短评内容': '服务很细心，房间整洁，总体来说还是挺不错的。', '短评打分': 5}
{'短评内容': '房间很暖和，即便穿短衣短裤也不觉冷，适合夫妻同住。', '短评打分': 3}
{'短评内容': '地理位置很好，房间环境也不错，就是小了点。装修及设备比较老旧，服务很到位。', '短评打分': 5}
{'短评内容': '酒店比较陈旧，不是很理想', '短评打分': 3}
{'短评内容': '地理位置优越，装修比较老，旋转餐厅不错，', '短评打分': 5}
{'短评内容': '服务很好！！！！！！！！！！~~~~~~~', '短评打分': 5}
{'短评内容': '服务很好！~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '总体来说感觉还是挺不错的，早餐也还行。但是对于五星级的宾馆来说却是没有看到很突出的优点。不过一般也住不了很久，所以要求也就不是很高了。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '酒店设施很新，虽然房间不大但是布局合理，设施安排到位使用很顺手\n房间门很重，不好开关\n早餐还可以，中午晚上还有自助', '短评打分': 5}
{'短评内容': '酒店不错，设施很新，硬件齐全，服务热情，美中不足的就是房间小些，价格贵些。', '短评打分': 3}
{'短评内容': '新华酒店，第一次入住，感觉服务非常好，房间里很多细节也是在其他酒店没有见过的。总之下次还会来', '短评打分': 3}
{'短评内容': ' 房间尚可但是没4星的等级，早餐也很一般。早上结账竟然等了30分钟，打印机一坏再坏', '短评打分': 3}
{'短评内容': '酒店设施很新，虽然房间不大但布局合理\n服务员热情周到', '短评打分': 5}
{'短评内容': '酒店空间较小，晚上在二层凤凰餐厅吃的，早餐在旋转餐厅。饭菜做的soso，不过服务态度挺好的。酒店也很干净，还送了水果和小饼干，总体还不错。\n\n', '短评打分': 5}
{'短评内容': '酒店空间较小，晚上在二层凤凰餐厅吃的，早餐在旋转餐厅。饭菜做的soso，不过服务态度挺好的。酒店也很干净，还送了水果和小饼干，总体还算不错。', '短评打分': 5}
{'短评内容': '地理位置好，设施较新\n赠送水果和玩具熊，孩子很喜欢', '短评打分': 5}
{'短评内容': '服务很好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置较好，房间状修较新，卫生状况好，性价比较高，下次还会推荐朋友入住。', '短评打分': 5}
{'短评内容': '在唐山找到好的性价比的酒店真是不容易，这个酒店是性价比比较好的了', '短评打分': 5}
{'短评内容': 'all tangshan hotel is no cost-performance ratio.', '短评打分': 5}
{'短评内容': '酒店服务态度很好！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店服务很好。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店所处位置不错，旋转餐厅看看唐山一览无余。早餐还可以。', '短评打分': 5}
{'短评内容': '酒店离机场很近，40分钟左右的时间，硬件设施还行', '短评打分': 5}
{'短评内容': '这次定的价格是396还不带早餐的，性价比太低了。酒店淋雨的水刷个牙还行，洗澡真是有点纠结。', '短评打分': 1}
{'短评内容': ' 酒店前台不给力，我这刷着卡呢她在那打私人电话，其它还0k', '短评打分': 3}
{'短评内容': '   还不错', '短评打分': 3}
{'短评内容': '酒店比较专业，卫生间较小，早餐一般，总体还行。', '短评打分': 3}
{'短评内容': '服务周到，位置较好，就是晚上有骚扰电话。不过可以考虑入住。', '短评打分': 5}
{'短评内容': '唐山的老牌四星，设施有点陈旧，服务好，交通便利，周边正在搞基建有点闹 \n现在天气热了，没空调，房间很闷热，让人难以忍受，如果能改进就好了', '短评打分': 5}
{'短评内容': '唐山的老牌四星，服务好，交通便利，周边正在搞基建有点闹 \n现在天气热了，没空调，房间很闷热，让人难以忍受，如果能改进就OK', '短评打分': 5}
{'短评内容': '交通方便，老牌四星，服务优质，干净卫生，出差必选。', '短评打分': 5}
{'短评内容': '唐山的老牌四星，服务好，交通便利，只是周边正在搞基建有点闹', '短评打分': 5}
{'短评内容': '周边正在搞建设，卫生还好，网速挺快的，服务也不错。', '短评打分': 5}
{'短评内容': '唐山老四星酒店 以后去还会选择的 就是设施比较旧 但是服务不错', '短评打分': 5}
{'短评内容': '多次住了，非常不错。服务质量比以前还要好了~', '短评打分': 5}
{'短评内容': '  环境不错', '短评打分': 3}
{'短评内容': '房间不大，洗澡水太小了，其他方面可以。因此去唐山几次都住在新华。', '短评打分': 5}
{'短评内容': '安全舒适，安保人员面对车辆敬礼，还真让人有当领导的感觉。房间条件可以，推荐！', '短评打分': 5}
{'短评内容': '酒店挺好的，下次还住', '短评打分': 3}
{'短评内容': '说实在的，每次到唐山住都很纠结啊，新华虽然不满意，但是也不得不选择啊。这次去很不满意，前台小姐态度一管的差，预授权金额连问都不问就直接刷卡，电视不好用，房间的设施很陈旧，晚上有一个灯怎么都关不上，没办法把房卡给拔了，无语。。。', '短评打分': 1}
{'短评内容': '新华酒店还是挺不错的，早餐在唐山的酒店算挺好。服务也好。房间设施一般偏上巴。总体感觉不错。', '短评打分': 5}
{'短评内容': '唐山的老四星酒店，性价比还是不错的，酒店鼓舞还算用心，就是前台的服务态度有点差。', '短评打分': 5}
{'短评内容': '很不错的酒店，而且还送给水果，下次还会住在这里哈，就是周边环境太糟糕了', '短评打分': 5}
{'短评内容': ' 非常不错。', '短评打分': 3}
{'短评内容': '高不成，低不就，听说餐厅是旋转的，以为很高档，然而早餐质量实在不敢恭维，煎鸡蛋拿上来都是凉的，房间内部也有点陈旧了，酒店管理可见一斑。我定的是380元的大床房，四星，很不值，建议大家不要再去了。', '短评打分': 1}
{'短评内容': '不错的酒店，在市中心，马路南侧对面是在建的万达广场、西侧是一个什么大型建筑待建。服务不错，进来就送欢迎茶，有两个红富士苹果。住背马路的一侧，很安静。有个落地门，外面是小阳台。挺干净，反正作为这个级别的酒店，服务整体不错了。', '短评打分': 5}
{'短评内容': '酒店环境服务都不错，每天的水果和睡前的天气预报等服务非常贴心，但洗澡水太小，价格偏高', '短评打分': 5}
{'短评内容': '洗澡水太小了，上网网太慢了，洗手间有的时候有味道。。别的还好。。。', '短评打分': 5}
{'短评内容': '还可以，比较温馨，周边商城餐饮比较多，还会去住。', '短评打分': 5}
{'短评内容': '酒店环境服务都不错，但是现在房间比较干燥。', '短评打分': 5}
{'短评内容': '价格合理 周围挺方便  就是前台服务员态度非常一般  房间卫生也一般 特别是卫生间', '短评打分': 5}
{'短评内容': '不错，虽然房间紧凑了一点，但服务挺好的。入住时还送了兔子玩具。吃饭回来，还给沏好了茶。不错。', '短评打分': 5}
{'短评内容': '唐山新华大酒店不错的上商务酒店，服务态度好，主动积极。每天的水果和睡前的天气预报等服务非常的贴心 \n', '短评打分': 5}
{'短评内容': '不错的上商务酒店，服务态度好，主动积极。每天的水果和睡前的天气预报等服务非常的贴心', '短评打分': 5}
{'短评内容': '酒店的服务人员的服务很周到，并且酒店提供6中不同种类的睡枕，很贴心。', '短评打分': 5}
{'短评内容': '住的很舒服。喜欢房间的灯光~~电梯比较慢', '短评打分': 5}
{'短评内容': '酒店服务还是相当给力的，旋转餐厅也挺好玩的，住了很多四星酒店感觉这家最超值，下次去唐山还是这家。', '短评打分': 5}
{'短评内容': '房间设施还可以，尤其是入门处的感应灯不错。服务员服务热情。', '短评打分': 5}
{'短评内容': '房间设施还可以，尤其是入门处的感应灯不错。房间有点偏小。第一天早餐种类太少。', '短评打分': 5}
{'短评内容': '房间设施还可以，尤其是入门处的感应灯不错。房间有点偏小。', '短评打分': 5}
{'短评内容': '房间布置得比较温馨,洗手间小了点,但还算干净', '短评打分': 5}
{'短评内容': '房间面积还算比较大，就是卫生间的面积有点小，房间设施比较齐全，客房服务人员服务热情到位，我住的时候属于春节促销期，酒店位置出行方便，要是能够在促销期的价位来看的话，算是唐山性价比较高的酒店，推荐。', '短评打分': 5}
{'短评内容': '酒店的客房服务人员服务很热情和及时，但是酒店的中央空调暖风不是很热，比较冷，我找服务员要了个电暖气，但是半夜竟然停电了，我是被冻醒的，郁闷，酒店的早餐不是很丰盛，比较失望，和大唐凤凰园假日酒店的早餐比起来性价比差很多。推荐大唐凤凰园假日酒店的早餐38元品种非常丰富，是我在太原住过的酒店中最丰盛的。', '短评打分': 5}
{'短评内容': '1.环境不错，服务不错，晚上还提供热毛巾、小点心、热茶，虽然没吃，但感觉很温馨。\n2.性价比很高。\n3.但是，早餐数量太少，而且早餐供应不上，盘子都是空的。', '短评打分': 5}
{'短评内容': '老酒店了，住过几回，又重新装修了，不过价格不是很实惠。', '短评打分': 5}
{'短评内容': '还行，觉得比锦江贵宾楼好些。就是门口停车太乱。', '短评打分': 5}
{'短评内容': '酒店服务非常好，热情，有家的感觉。早餐也不错，地理位置也好，值得推荐。', '短评打分': 5}
{'短评内容': '很温馨。在唐山一直住这个酒店。 位置也很好，宾馆不远有不少吃饭的地方', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': ' 还不错', '短评打分': 3}
{'短评内容': '唐山新华大酒店地理位置好，出行方便,酒店设施还行，服务不错,性价比差\n', '短评打分': 5}
{'短评内容': '房间小但比较温馨，豪华商务房还不错，早餐尚可', '短评打分': 5}
{'短评内容': '酒店不错，特别是早餐比较丰盛，在唐山算很不错的了。', '短评打分': 5}
{'短评内容': ' 我很满意', '短评打分': 3}
{'短评内容': 'the hotel is just normal\nwhat a expensive hotel!', '短评打分': 1}
{'短评内容': '地理位置好，出行方便,酒店设施还行，服务不错,性价比差', '短评打分': 5}
{'短评内容': '酒店工作人员每个人都很热情，这就让我感觉到心里很暖，其次房间的干净整洁让我这么挑剔的人都难以找出不足，继续向朋友推荐！祝工作愉快！', '短评打分': 5}
{'短评内容': '酒店虽然有点老，但是房间很干净，很温馨。位置也挺好，就在纪念碑斜对面。 只是房间偏高，还不包含早餐。', '短评打分': 5}
{'短评内容': '很不错的酒店，出行方便。 酒店卫生干净，服务超好，尤其大堂经理女士，很耐心，热情。祝新华大酒店越办越好。', '短评打分': 5}
{'短评内容': '环境很好，服务不错,值得再去,开车去住是个很好的选择', '短评打分': 5}
{'短评内容': '酒店位置好，卫生可以，价格偏高,东西没变,早餐/房价却涨了', '短评打分': 5}
{'短评内容': '经常住在新华,服务很好,价格有点高,但是在唐山还算可以.', '短评打分': 5}
{'短评内容': '还不错，性价比较高\r\n卫生方面还可以，出行也方便', '短评打分': 5}
{'短评内容': '新华大酒店的服务很好，有迎宾茶和开床服务，无论是前台，迎宾，门童，或服务员都有亲切的笑脸，让人感觉很舒服。但房间面积小，淋浴水流也不是很大。', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 5}
{'短评内容': '唐山新华大酒店环境不错 很方便快捷 再优惠点儿就更好了', '短评打分': 5}
{'短评内容': '酒店位置有点偏，设施有点旧，服务也不怎么样，价格还是有点高的。', '短评打分': 3}
{'短评内容': '酒店不怎么样，设施有点旧，说是离高速最近的实际跟我前面定的取消的酒店在一起，有点上当的感觉。', '短评打分': 1}
{'短评内容': '不错的酒店，值得一住。下次去还会住那儿，在这儿就说说有些不满意的地方吧。1、前台的服务让人看着不舒服，无论入住还是结账，前台总是板着脸，也不说话，速度不是很快。2、房间写字台的电话是坏的，各种控制开关让人很费解，也不太好用，晚上睡觉的时候为了关廊灯和空调折腾了10多分钟。3、卫生间的设备不是太新，面池的水流大，而洗澡花洒的水流小，不是特别舒服。4、中午点了客房送餐服务，很慢，两个平常的炒菜，弄了5', '短评打分': 5}
{'短评内容': 'the hotel is ok but expensive', '短评打分': 5}
{'短评内容': '新华酒店的服务非常不错，价格有些高。但是在唐山还算不错的。', '短评打分': 5}
{'短评内容': '第一天到得时候  拎了一个大纸箱 门口的迎宾居然没反映 还自己提到前台 结果前台的那个男服务员更没礼貌  一直在那儿看着我朋友笑  我觉得这酒店的有些服务员素质过低  然后到了房间  居然在床上找出一根比我头发长出两倍的头发  不知道客房时怎么打扫的 ', '短评打分': 1}
{'短评内容': '服务还好，硬件设施差点。', '短评打分': 5}
{'短评内容': '很干净，服务态度相当好，是值得一住的酒店。', '短评打分': 5}
{'短评内容': '服务非常好！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 3}
{'短评内容': '服务非常好！！！！！！！！！！！！！！！！！！！！！！！！！！！！11', '短评打分': 3}
{'短评内容': '电梯比较慢，浴室地漏味道太大，别的还好,', '短评打分': 5}
{'短评内容': '服务态度非常好！！！！！！！！！！！！！！！！！！！1', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '+我已成功入住唐山新华大酒唐,该酒店不错', '短评打分': 5}
{'短评内容': '现在新华的服务真的很不错，到店问候等都不错。', '短评打分': 5}
{'短评内容': '评分忘改了，应该总体评分4分以上', '短评打分': 3}
{'短评内容': '在唐山应该是性价比最好的4星了', '短评打分': 5}
{'短评内容': '你不能想象，该酒店居然有蚊子，而且很多，让你没办法入睡。\r\n\r\n真是受不了！', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '服务不错，价格还可以，设施有些老。', '短评打分': 5}
{'短评内容': '我觉得这家酒店很好。', '短评打分': 3}
{'短评内容': '我觉得这家酒店很好。', '短评打分': 5}
{'短评内容': '酒店每天有水果，空调声音很小，不错', '短评打分': 5}
{'短评内容': '酒店还不错，价格有点高。', '短评打分': 5}
{'短评内容': '还算不错，洗手间反味道。', '短评打分': 5}
{'短评内容': '酒店服务现在非常好，酒店设施有些老，但是整体还不错。', '短评打分': 5}
{'短评内容': '住过很多次，不错的', '短评打分': 3}
{'短评内容': '早餐不错，其他都一般。', '短评打分': 5}
{'短评内容': '住过很多次了，不错的，性价比再高一点就好了', '短评打分': 5}
{'短评内容': '感觉非常好，很人性化，房间内都提供免费的水果和瓶装水，服务也很好！', '短评打分': 5}
{'短评内容': '还算可以的,唐山应该能数得上,但是~~ 早餐在旋转餐厅,值得赞以下', '短评打分': 5}
{'短评内容': '服务质量有了很大改善，价格还是有些高，定在300左右还不错', '短评打分': 3}
{'短评内容': '服务质量比以前好了很多，价格还是有点高', '短评打分': 5}
{'短评内容': '服务尚可，在唐山算不错的', '短评打分': 5}
{'短评内容': '位置不错，性价比一般', '短评打分': 5}
{'短评内容': '该酒店早餐在20楼旋转餐厅,还不错.不好的是,浴室里面没有封闭的洗澡设备', '短评打分': 5}
{'短评内容': '酒店顶层的餐厅不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '价格还行 但位置有些偏 还是值得推荐的', '短评打分': 3}
{'短评内容': '宾馆附近餐厅较少，其他挺好', '短评打分': 3}
{'短评内容': '没有上次入住的感觉好，卫生间有味道，而且没有看到赠送的鲜花（马桶上有些花瓣不知道算不算？）\r\n不过整体来说性价比还算可以~', '短评打分': 5}
{'短评内容': '去唐山总住这家酒店。', '短评打分': 5}
{'短评内容': '总的来说，不推荐。酒店太旧，唯一的优点是还比较安静。早餐9点就结束了。没吃到', '短评打分': 1}
{'短评内容': '房间太小了 旋转餐厅还不错 ', '短评打分': 5}
{'短评内容': '还算可以，性价比还好！！！', '短评打分': 5}
{'短评内容': '住在这里感觉还可以,就是吃的地方距离酒店比较远!', '短评打分': 5}
{'短评内容': '酒店有点旧，卫生间有点异味，服务挺好，上网很慢，老是掉线。', '短评打分': 5}
{'短评内容': '酒店的商品部价格高！', '短评打分': 3}
{'短评内容': '服务态度很好，就是房间太小。\r\n\r\n唐山酒店普遍性价比不高。', '短评打分': 5}
{'短评内容': '不错的酒店，我到唐山出差的第一选择', '短评打分': 5}
{'短评内容': '不足：冬天会冷，只能进被子。卫生间小。', '短评打分': 5}
{'短评内容': '酒店不错，每次去都住', '短评打分': 5}
{'短评内容': '房间有些老，但是很干净，价格在唐山也算还可以。', '短评打分': 5}
{'短评内容': '地理位置好，设施显旧，价格高了。', '短评打分': 3}
{'短评内容': '价格适中，房间有点旧，位置非常好。', '短评打分': 3}
{'短评内容': '酒店显的稍旧，其它还可以。', '短评打分': 3}
{'短评内容': '性价比不错，适合商务。', '短评打分': 5}
{'短评内容': '房间比较老，价钱有些贵。', '短评打分': 5}
{'短评内容': '价格调高了,服务.环境等却未变', '短评打分': 5}
{'短评内容': '2010年重新调价了，不如以前合适了', '短评打分': 1}
{'短评内容': '唐山新华大酒店环境不错，就是有点老。价格在唐山还算可以。', '短评打分': 3}
{'短评内容': '新华大酒店是一家老酒店，设施比较老，但是很干净。价格在唐山还算不错。', '短评打分': 5}
{'短评内容': '去唐山经常住的就是这个了，很不错的，刚翻新过，还是有点味道的，不知道为什么翻新后把浴缸给取消了，觉得不爽。\r\n总体还是很不错，值得', '短评打分': 5}
{'短评内容': '这家的服务实在不敢恭维，大厅显得比较拥挤，而且二楼餐厅，人比较杂乱。希望店家提高服务质量。房间的硬件设施在这个价位算很不错的了。', '短评打分': 1}
{'短评内容': '我故乡的酒店，每次出差到这里都住这家，这次新装修了，很美的房间，出乎意料。', '短评打分': 5}
{'短评内容': '位置很好，房间有异味', '短评打分': 3}
{'短评内容': '位置还不错，房间有异味，好像是发霉的为道，只是离我办事情的地方很近', '短评打分': 5}
{'短评内容': '位置不错，适合商务、旅行等。', '短评打分': 5}
{'短评内容': '还不错~', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '除了房间有点小，其他都不错', '短评打分': 5}
{'短评内容': '唐山最好的酒店', '短评打分': 5}
{'短评内容': '商务酒店，不错', '短评打分': 3}
{'短评内容': '挺不错的，住过很多次了，地理位置好', '短评打分': 5}
{'短评内容': '除了房间有点小，其他都是不错的，特别是吃早餐的旋转餐厅，可以俯瞰整个唐山，对得起这个价格', '短评打分': 5}
{'短评内容': '入住的时候，变天，冷啊，服务员送来了电空调。顶楼层的旋转自助早餐，还不错，最好能包在房价里。', '短评打分': 5}
{'短评内容': '酒店的条件，设施都还不错，感觉挺满意的，位置交通也都挺方便的，再去肯定还会住这里的。', '短评打分': 3}
{'短评内容': '在唐山相同价位的酒店来讲,很不错.', '短评打分': 5}
{'短评内容': '位置比较好，服务也不错，就是早餐需要改进。', '短评打分': 3}
{'短评内容': '早餐太贵，样式单一。\r\n', '短评打分': 1}
{'短评内容': '酒店的环境硬件设施都比较达标，卫生服务也很好，出行交通比较方便，价格合理适中，整体来讲算是比较不错的酒店，值得推荐入住。', '短评打分': 3}
{'短评内容': '基本上不错，下次再住吧', '短评打分': 3}
{'短评内容': '性价比较好，值得推荐', '短评打分': 5}
{'短评内容': '价格在250-280就更好', '短评打分': 5}
{'短评内容': '上网很快，早餐也很好，卫生间小了点', '短评打分': 5}
