{'descr': '很不错，就是停车位不多，', 'star': 5}
{'descr': '服务态度可亲，我要去富春吃早茶，前台立刻就去114查询了地址和联系电话。非常温馨的感觉。', 'star': 5}
{'descr': '汉庭风格，我一直中意。你懂的。双网口，多插座，有UPS口，店堂3次饮料。前台服务礼貌。但这家上电梯不必刷卡。', 'star': 5}
{'descr': '太吵了，上次春节的时候住过觉得很安静，所以又订了。\n结果发现这次吵得不行，噩梦啊\n整体的环境还可以了，这个价格也算还好了', 'star': 5}
{'descr': '推荐，周围交通方便，饭店不少，前台服务生不错，尤其是个高个男服务生，业务熟练。', 'star': 5}
{'descr': '不错，干净，服务不错！', 'star': 3}
{'descr': '设施不错，家庭房的双床都是大床，浴室水流强大，很喜欢，只是临街闹了一点，还能接受，到泰州还住这里。', 'star': 5}
{'descr': '有新酒店的样子，还不错，只是临街闹一点，还有想帮他们省点电都不行，这种天被子太厚，热得睡不着，希望酒店可以环保一些，根据天气调整一下被子的厚度，虽然麻烦一些，谢谢。', 'star': 5}
{'descr': '很不错  插座够用的  服务也很到位  价格稍贵', 'star': 5}
{'descr': '不错的店~\n我以后还会入住的，泰州的汉庭确实不错', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '距离我出差的活动地点很近，交通也很便利。服务也不错~', 'star': 5}
{'descr': '去的时候三楼发票系统坏了，不爽，虽然承诺说一周后邮寄。其他还好。', 'star': 1}
{'descr': '去的时候三楼发票系统坏了，不爽，虽然承诺说一周后邮寄。其他还好。', 'star': 1}
{'descr': '周边吃的比较方便，环境整体较好，房间较干净，大堂等待处比较舒适，', 'star': 3}
{'descr': '周边吃的比较方便，环境整体较好，房间较干净，大堂等待处比较舒适，', 'star': 3}
{'descr': '交通较方便，房间比较干净，服务不错，住个几个汉庭，这个整体空间比较舒适', 'star': 5}
{'descr': '交通较方便，房间比较干净，服务不错，住个几个汉庭，这个整体空间比较舒适', 'star': 5}
{'descr': '位置不好挺方便出行的.而且作为连锁酒店,室内的硬件条件各方面都挺不错的.整体感觉还不错.', 'star': 5}
{'descr': '位置不好挺方便出行的.而且作为连锁酒店,室内的硬件条件各方面都挺不错的.整体感觉还不错.', 'star': 5}
{'descr': 'good', 'star': 5}
{'descr': 'good', 'star': 5}
{'descr': '酒店是今年才开张的，非常干净，有免费的咖啡奶茶还有免费的上网，真的不很不错', 'star': 5}
{'descr': '酒店是今年才开张的，非常干净，有免费的咖啡奶茶还有免费的上网，真的不很不错', 'star': 5}
{'descr': '非常方便的位置。由火车站坐4路公交车到体育馆站下车。步行5分钟就到酒店。4路公交等候时间较长，也可坐1路莲花四区下车，花3、4元坐人力三轮到酒店。', 'star': 5}
{'descr': '非常方便的位置。由火车站坐4路公交车到体育馆站下车。步行5分钟就到酒店。4路公交等候时间较长，也可坐1路莲花四区下车，花3、4元坐人力三轮到酒店。', 'star': 5}
{'descr': '酒店规模不大，服务上倒是挺不错的，态度挺热情的。', 'star': 5}
{'descr': '酒店规模不大，服务上倒是挺不错的，态度挺热情的。', 'star': 5}
{'descr': '酒店挺经济实惠的，整体感觉性价比不错。', 'star': 5}
{'descr': '酒店挺经济实惠的，整体感觉性价比不错。', 'star': 5}
{'descr': '，交通十分便捷，公交车和汽车站都在附近，附近不远也有大型的购物商场，购物也很方便。', 'star': 5}
{'descr': '，交通十分便捷，公交车和汽车站都在附近，附近不远也有大型的购物商场，购物也很方便。', 'star': 5}
