{'短评内容': '每次都这里，可以。', '短评打分': 5}
{'短评内容': '还不错~就是早餐有点凉，房间有点凉~是在没地方在这里凑合住一宿也行~', '短评打分': 5}
{'短评内容': '离车间近，但是有点吵，酒店有有点旧，空调不热，房间有点冷。', '短评打分': 5}
{'短评内容': '价高质次，服务态度极差，不赶时间就别住！！！', '短评打分': 1}
{'短评内容': '房间条件不错', '短评打分': 3}
{'短评内容': '离火车站近，所以不是太安静，价格还算可以。空间凑合，隔音不是很好。', '短评打分': 1}
{'短评内容': '酒店位置方便，价格合理，卫生条件比较好，服务态度好。', '短评打分': 5}
{'短评内容': '条件一般，卫生一般，除了交通比较方便外没什么可推荐的。', '短评打分': 1}
{'短评内容': '沈阳瑞心龙源酒店不错，就是靠火车道近点，酒店很老了，但环境还好 隔音不太好 会听到火车的声音', '短评打分': 5}
{'短评内容': '不错，就是靠火车道近点，早餐凉点，不错，就是靠火车道近点，早餐凉点，', '短评打分': 5}
{'短评内容': '酒店很老了，但环境还好  隔音不太好  会听到火车的声音', '短评打分': 5}
{'短评内容': '距离火车站很近，交通方便，就是稍微有点吵了。', '短评打分': 3}
{'短评内容': '设施一般，像个招待所，旅游团队入住较多，离火车站太近了。', '短评打分': 3}
{'短评内容': '没入住，去了直接刷卡要的发票，可恶的ELONG信用卡担保。不过位置真是不好。', '短评打分': 1}
{'短评内容': '非常不错有机会还会入住！！~ 距离火车站非常近 交通方便 服务也很好 打扫非常及时', '短评打分': 5}
{'短评内容': '环境一般，服务好', '短评打分': 5}
{'短评内容': '感觉非常不好，整个宾馆有股味道，房间窗户打不开，服务态度又不好，早餐太简单了。', '短评打分': 3}
{'短评内容': '感觉非常不好，整个宾馆内都有一股大蒜味，房间的窗户打不开换气，南方来的客人味道可不好受。总台及楼层服务员态度也不好，问楼层服务员早餐在几楼？服务员竟告诉我在一楼。下次不来住。', '短评打分': 1}
{'短评内容': '酒店很难找，出租车司机都找不到，离火车站的确很近，房间小，味道重，地板都烂了，卫生间灯都不会亮，让人怎么洗簌。价格比其他酒店还贵', '短评打分': 1}
{'短评内容': '设施较好.服务尚好,客房稍小,宽带不畅,总体感觉性价比不错.', '短评打分': 5}
{'短评内容': '卫生很差，电梯很危险。小心！！！', '短评打分': 5}
{'短评内容': '不错,方便，很干净。值得推荐。不错,方便，很干净。值得推荐。', '短评打分': 3}
{'短评内容': '酒店标准间设施一般,离北站比较近,步行五分钟。价位还可以。', '短评打分': 5}
{'短评内容': '房子不错，比较卫生。可以长期住。地址位置也不错。', '短评打分': 5}
{'短评内容': '还可以吧，就是有点脏，热水不热。', '短评打分': 5}
{'短评内容': '价格不贵，离火车站很近，还是不错的。就是空间稍微有些小。', '短评打分': 5}
{'短评内容': '基本可以，离北站很近，出了站口左走，走到头就到了，步行不到五分钟。也比较方便，缺点就是室内稍微有些潮气', '短评打分': 5}
{'短评内容': '总体来说还不错，主要是位置方便，便于出门在外，尤其是要赶路的朋友', '短评打分': 5}
{'短评内容': '洒店位置好，交通方便，设施有点陈旧，价位能接受，可以推荐。', '短评打分': 5}
{'短评内容': '早餐要是再好点，就更好了。总台服务也非常好。', '短评打分': 5}
{'短评内容': '位置好，价格便宜，适合在沈阳北站倒车时住，条件一般，住的房间还有味道，毛巾当然会是旧旧的、粗糙的啦  其它的还行', '短评打分': 1}
{'短评内容': '地理位置不错，周边设施齐全。就是房间比较旧有股味道。早餐也一般', '短评打分': 5}
{'短评内容': '不错的地方 很方便 服务也很好                       ', '短评打分': 5}
{'短评内容': '位置不够明显找起来不是很方便 但是离火车站很近 性价比很不错 总体不错', '短评打分': 3}
{'短评内容': '有点旧,离火车站近，有点乱。不过交通方便。', '短评打分': 5}
{'短评内容': '酒店各方面还是不错的，就是服务稍差！有待改进~', '短评打分': 3}
{'短评内容': '酒店设施很旧，房间小，可能是靠近沈阳北站的缘故很嘈杂，就是离车站近，适合早起赶火车的人士居住。', '短评打分': 1}
{'短评内容': '酒店综合起来不是很理想。但是还算是对得起这个价钱。怎么说位置优越', '短评打分': 3}
{'短评内容': '很一般的酒店。只是离火车站近，价格便宜而已。', '短评打分': 1}
{'短评内容': '价钱公道 性价比很高 有机会还会住这里，早餐也很好', '短评打分': 5}
{'短评内容': '对得起这个价。。。房间装修一般但是空间还蛮大，前台服务可以', '短评打分': 5}
{'短评内容': '早餐一般，就是位置好，服务一般，下午有时候不打扫房间', '短评打分': 5}
{'短评内容': '性价比比较高的酒店 不错', '短评打分': 5}
{'短评内容': '+房间太小,服务一般,热水不稳', '短评打分': 5}
{'短评内容': '+环境很好 早餐也不错', '短评打分': 5}
{'短评内容': '前台服务员的态度需要再进行强化培训一下。', '短评打分': 1}
{'短评内容': '酒店位置难找、设施破旧、根本不舒服、如不差钱最好不去', '短评打分': 1}
{'短评内容': '位置好，离北站很近，早餐也不错', '短评打分': 5}
{'短评内容': '酒店的枕头就是高了些', '短评打分': 5}
{'短评内容': '帮同事预定的，同事回来说没有如家快捷好，挺一般的。', '短评打分': 1}
{'短评内容': '沈阳瑞心龙源酒店位置非常好，出行方便，早餐也不错,设施应该更新', '短评打分': 5}
{'短评内容': '离火车站很近 很方便', '短评打分': 5}
{'短评内容': '位置非常好。早餐也不错', '短评打分': 3}
{'短评内容': '位置非常好，出行方便，早餐也不错', '短评打分': 5}
{'短评内容': '酒店的设施陈旧，装潢粗糙，舒适性无从谈起，房间隔音效果不好，我住的房间（534）床垫子的边缘居然塌陷了！另外浴室玻璃设计的有问题，在里面洗澡看不到外面，在外面却能清楚地看到里面，有没有浴帘，尴尬。这个酒店的唯一好处就是离沈阳北站很近。', '短评打分': 1}
{'短评内容': '早饭差点，离火车站近点。总体比北京街的雅悦酒店强点。', '短评打分': 5}
{'短评内容': '    交通方便、服务态度好。设施还行。\r\n   但早餐品种较少，对会员没有什么优惠。', '短评打分': 3}
{'短评内容': '服务态度好，设施可以。价格对会员来说，偏高。', '短评打分': 5}
{'短评内容': '服务较差，设施旧，一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '门外的广告牌不太显眼，大厅里面有点脏。', '短评打分': 5}
{'短评内容': '酒店的整体还是不错，就是他的特价房不带上网。没有早餐的才120，', '短评打分': 5}
{'短评内容': '房间还算干净，地理位置也较好，出门就是车站。只是房间设置有些陈旧，早餐一般。', '短评打分': 5}
{'短评内容': '我感觉整体不是很好，房间比较旧，卫生间灯还坏了，性价比不高，', '短评打分': 1}
{'短评内容': '位置很方便，条件只能算一般，很干净，住起来还算可以。', '短评打分': 5}
{'短评内容': '不值这个价，不推荐！', '短评打分': 1}
{'短评内容': '离火车站很近,出行很方便!服务也还好!\r\n', '短评打分': 5}
{'短评内容': '位置还不错，这边出行还是很方便的，房间的卫生和设施还好，服务还可以，整体感觉这家酒店的性价比还是比较高的', '短评打分': 3}
{'短评内容': '148元/天，狗窝一样。', '短评打分': 1}
{'短评内容': '房间很干净，卫生和设施还是不错的，位置也还好，出行很方便，服务也不错，性价比还是比较高的 值得推荐', '短评打分': 3}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '各方面都还算不错，可惜就是没有行李寄存，我想这个应该算是基本服务吧？', '短评打分': 5}
{'短评内容': '位置不错，设施也还可以。', '短评打分': 5}
{'短评内容': '位置很不错，其他的也就这样', '短评打分': 5}
{'短评内容': '位置很方便，离火车站很近，淋浴的水热的比较慢，而且床边的瓷砖都没有了', '短评打分': 3}
{'短评内容': '房间设施较差！', '短评打分': 1}
{'短评内容': '总体来说还可以', '短评打分': 5}
{'短评内容': '早餐简单，环境条件一般', '短评打分': 5}
{'短评内容': '酒店位置很好很方便,卫生很一般,服务还可以,房间比较小设施比较齐全.', '短评打分': 3}
{'短评内容': '酒店还是比较不错的，他们的硬件设施，环境服务和地理条件都是比较不错那种，而且价格也适中，我觉得挺好的。', '短评打分': 5}
{'短评内容': '设施很陈旧了,酒店太老了；而且那个单人床特别小,一个人睡都很不舒服；整体感觉这个酒店条件还不如连锁酒店呢；性价比太低了；', '短评打分': 1}
{'短评内容': '地理位置很好，紧邻北站，交通方便，周围购物方便。北站前人流杂乱。酒店设施很一般，价格还算合理，性价比较好。', '短评打分': 5}
{'短评内容': '俺到酒店后，才发现用“港澳通行证”来办理订房手续居然有问题。那柜台女服务员说，酒店有这样的规定，就是要求港澳旅客提供出入中国境内的日期，这是啥一回事？', '短评打分': 1}
{'短评内容': '酒店位于市中心，出行交通都很方便，环境硬件设施都很达标，卫生服务也很不错价格也非常合理，性价比很不错的商务酒店还是可以推荐入住的。', '短评打分': 5}
{'短评内容': '酒店设施环境不是很好,设施比较陈旧些.', '短评打分': 1}
{'短评内容': '总体来说还是可以的，主要靠近火车站，给出差人士给予了很大的方便', '短评打分': 5}
{'短评内容': '酒店环境卫生比较不错，而且位置交通方便，价格很合适。', '短评打分': 5}
{'短评内容': '今年回家住了一次。总体给我的感觉还是过得去。房间也挺干净的。也较安静。就是找这家酒店不好找，在不显眼的位置，要去的话就要问。', '短评打分': 5}
{'短评内容': '一般,房间太小,空调不能达到室内温度,有些冷!', '短评打分': 3}
