{'短评内容': '交通便利，位置很好，走5分钟就是万达广场', '短评打分': 4}
{'短评内容': ' 马桶虽是美标的，但要把陶瓷水箱盖揭开还有技巧才能冲的下去，不能一直按着按钮，要按一下快速把手移开才行。', '短评打分': 3}
{'短评内容': '房间布置很精致，看得出很注意细节。关键床非常舒服，这个月来烟台还要住这。', '短评打分': 5}
{'短评内容': '位置可以；就是房间有点小，卫生间也不大；餐饮不错，楼下有KTV，方便', '短评打分': 5}
{'短评内容': '服务中规中矩，房间干净，很方便。建议以后早餐采用自助形式，别管客人多少，这才有星级酒店的范儿。', '短评打分': 5}
{'短评内容': '电视频道多，还有法语的，出乎意料。房间大，设施还行，早餐不是自助而是份饭但没人事先说明。', '短评打分': 1}
{'短评内容': '价格很便宜，性价比很高，位置也很方便，停车位太少了！', '短评打分': 5}
{'短评内容': '酒店环境真不错,设施也蛮好的,特别喜欢他们家的被子,很舒服.就是毛巾太硬了,希望下次住的时候,能有柔软舒适的毛巾', '短评打分': 5}
{'短评内容': '酒店设施很好，价格又很实惠，交通也比较便利，下次还会选择。', '短评打分': 5}
{'短评内容': ' 酒店一如以往的安静整洁,并赠送水果了.如果能提供浴袍就更好了.', '短评打分': 3}
{'短评内容': '二星的价格，四星的品质，绝对物超所值，而且地段也不错，到哪都挺近，下次去还住这。', '短评打分': 5}
{'短评内容': '位置不错，设施稍微老旧一点，服务中规中矩。9楼餐厅菜贵了点。', '短评打分': 5}
{'短评内容': '硬件还不错，不愧是人民银行开的，我住的是大床房，连插座都是西门子的，有一点不足的就是淋浴房下水太慢，把地漏拿起来还是不行，希望能改进，下次应该还会去。', '短评打分': 5}
{'短评内容': '酒店很干净，里面装修也不错，房间也挺大', '短评打分': 3}
{'短评内容': '服务挺好的，周到热情，早餐挺好吃的，周边交通出行方便，坐公交或者打车都没问题，房间隔音采光也很好', '短评打分': 5}
{'短评内容': '房间卫生很好，干净整洁，服务员态度热情周到，周边交通出行蛮便利的，住宿条件很好', '短评打分': 5}
{'短评内容': ' 酒店不错,要是房间能配浴袍就更好了', '短评打分': 3}
{'短评内容': ' 酒店比较干净,也比较安静,远眺的景色也不错.比较满意', '短评打分': 3}
{'短评内容': '非常新的一个酒店，虽然是三星级，但是设备很新，而且管理的也很好。服务人员看商务虽然没有经过很专业培训，但是他们发自内心微笑和热心服务，更让人感到宾至如归。另外这是人民银行开办的酒店，台阶修得很高，上下不方便，让人感到一种衙门高高在上感觉。', '短评打分': 5}
{'短评内容': '客房服务很好，卫生条件不错，干净整洁，周边交通比较便利，停车位很充足', '短评打分': 5}
