{'短评内容': '还不错的说', '短评打分': 4}
{'短评内容': '给老板司机订的酒店，主要是价格蛮便宜的。', '短评打分': 5}
{'短评内容': '房间很潮，睡起来不舒服，交通也不太方便，晚些时候想去吃东西，周围也很难找到。但这个价格很低，别的地方估计很难找的到了。', '短评打分': 1}
{'短评内容': '床垫超级硬，其他还行，出门就是公交站点，交通方便。', '短评打分': 5}
{'短评内容': '很旧啊，而且很潮湿。觉得很一般吧。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '比较好找，算干净，没窗户有潮气味儿，周边交通挺方便，这个价格不能要求太高', '短评打分': 3}
{'短评内容': '其实这个价位这个地段，还不算差。但经营理念有问题：周一到周四都没问题，一到周五就开始赶人，估计要高价借给外来游客了', '短评打分': 1}
{'短评内容': '交通便利，安静，不过设施比较陈旧，离地铁很近', '短评打分': 5}
{'短评内容': '128的价格住这样的房间已经很不错了  电视如果是数字电视多好呀！ 霉味住进去，吹空调就会不见了。  性价比不错。', '短评打分': 5}
{'短评内容': ' 一百九十八的价格偏贵了 装修也很古老', '短评打分': 3}
{'短评内容': '，宾馆很宽敞…服务态度也蛮好。靠近定西路，有很多餐馆。总之，是个物美价廉的好地方', '短评打分': 3}
{'短评内容': '很烂，条件很普通吧，服务员态度不好，还是安排在一楼，通风很不好，进去简直要窒息了，还不给换房间，要加钱。这价钱还不如随便找一个招待所算了，还比这便宜', '短评打分': 1}
{'短评内容': '房间总体不错，就是潮气比较重，气味有些大！', '短评打分': 3}
{'短评内容': '还可已', '短评打分': 3}
{'短评内容': '环境好,房间干净,交通便利,服务一般,特价房价格很实惠', '短评打分': 5}
{'短评内容': '非常一般', '短评打分': 3}
{'短评内容': '酒店满意', '短评打分': 3}
{'短评内容': '房间是挺大的…但是总有种奇怪的感觉……一楼半地下的房间虽然便宜，但是手机几乎没有信号…而且电视只有10个台…能看的台只有CCTV 1…哎哎哎', '短评打分': 1}
{'短评内容': '价格虽然很便宜，但是太潮湿了，味道也很重！', '短评打分': 1}
{'短评内容': '宾馆的地理位置不错，在延安西路旁边。 卫生各方面都好，这个价格住这样的条件不错了。', '短评打分': 5}
{'短评内容': '到底是特价房，很一般，宽带也没有，卫生条件还算好吧，其他的也就不怎么样了', '短评打分': 1}
{'短评内容': '环境不错，服务态度不错，离地铁站很近，出行很方便', '短评打分': 5}
{'短评内容': '如果你是外国人的话，登记的程序慢一点，但是房间都干净。', '短评打分': 5}
{'短评内容': '交通很便利，比较容易找到，就在高架边上，要往小弄堂里走几步，算是闹中取静。\n因为住的是特价房，所以在地下一层，空间很大，就是比较潮湿。设施齐全，如果是没有太高要求的话，还是可以住住的。', '短评打分': 5}
{'短评内容': '上海出差，还好提前预定了酒店，环境也还不错挺满意的，下次还会选择', '短评打分': 5}
{'短评内容': '住的是地下室，很潮，而且感觉比较危险，离我要去的华山医院较远', '短评打分': 1}
{'短评内容': '打扫的很干净，不总体感觉家具，房间，用品都好陈旧', '短评打分': 3}
{'短评内容': '宾馆的地理位置不错，在延安西路旁边。 卫生各方面都好，最吸引人的是价格~！', '短评打分': 5}
{'短评内容': '太潮太脏，地面比招待所还脏，一股难闻的气味，千万别住。', '短评打分': 1}
{'短评内容': '房间地面看上去很龌龊，有股难闻的味道，太潮湿。', '短评打分': 1}
{'短评内容': '性价比还可以。就是半地下室空气不是很好。', '短评打分': 5}
{'短评内容': '很好服务周到安', '短评打分': 3}
{'短评内容': '不错、、、、、、、、、、、、、、、、、、、、、、、、、、', '短评打分': 5}
{'短评内容': '这宾馆不错', '短评打分': 3}
{'短评内容': '服务还蛮到位的，只是一层的房间我觉得空气不是很好，类似于地下室了。', '短评打分': 5}
{'短评内容': '酒店里面的东西太旧了，毛巾都烂了还在用，不值得推荐', '短评打分': 1}
{'短评内容': '非常便宜，不过设施很旧，床也是硬邦邦的，电视机很不清楚', '短评打分': 5}
{'短评内容': '酒店设施很旧了，但是价格比较便宜，位置也很好找，还不错', '短评打分': 5}
{'短评内容': '不错哦', '短评打分': 3}
{'短评内容': '环境幽雅，不错。', '短评打分': 3}
{'短评内容': '条件一般，但是价格合适，地理位置方便办事。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '6个错', '短评打分': 3}
{'短评内容': '位置还行，比较安静，可能是一楼位于负一层，感觉不太好，不过蛮卫生的！', '短评打分': 5}
{'短评内容': '很差很不给力，而且很贵，跟住招待所感觉差不多。。。', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '位置不错，离江苏路地铁站挺近，性价比算高。只是电视只有8个频道，没什么电视可以看，不过还比较安静。', '短评打分': 5}
{'短评内容': '被褥干净、洗澡水热、靠高架比较近，有点吵', '短评打分': 5}
{'短评内容': '干净、洗澡条件好、床铺太硬、电视频道少，晚上睡觉吵', '短评打分': 5}
{'短评内容': '还不错，特价房是半地下的，感觉有点潮，但位置不错，离江苏路地铁站挺近，性价比算高。只是电视只有8个频道，没有有线电视太可惜了。', '短评打分': 5}
{'短评内容': '一般般吧。方便实惠，就是有点普通，但是一分价钱一分货吧~', '短评打分': 5}
{'短评内容': '一般般吧，就是一家很普通的旅店~不过还蛮方便的~', '短评打分': 5}
{'短评内容': '房间和位置都很好服务也不错', '短评打分': 3}
{'短评内容': '酒店服务很好', '短评打分': 3}
{'短评内容': '这家旅馆交通方便，干净，清静，缺点是；台阶太高，行李搬动不便，有小买部，小商品店更好。', '短评打分': 5}
{'短评内容': '都好。就是电视台太少了。外面附近有个85度。晚上饿了可以吃。', '短评打分': 5}
{'短评内容': '在上海这样的都市,有这样简简单单的住房条件,也可以啦。两个字,实惠', '短评打分': 3}
{'短评内容': '给爸妈定的，老人家说睡得好，离华山医院近，不过床铺有点薄！', '短评打分': 5}
{'短评内容': '服务好，价格便宜。交通方便。卫生也干净。  性价比蛮高。在上海来说。、', '短评打分': 5}
{'短评内容': '酒店很干净、很卫生，下次还会去的！工作人员也很热情！', '短评打分': 5}
{'短评内容': '我们定的特价房，在负一层，还可以，从火车站坐地铁到江苏路要走好远，坐公车还挺方便，但是坐车慢，房间总体还行!', '短评打分': 3}
{'短评内容': '地理位置和服务都不错，价格也比较合适。而且当时享受的是特价', '短评打分': 5}
{'短评内容': '每次去都住这里 安静环境好 交通方便 下粗去还住那里~', '短评打分': 5}
{'短评内容': '性价比比较好，交通 比较方便，设施和卫生条件好可以。', '短评打分': 5}
{'短评内容': '还不错，唯一的缺点就是房间内没有有线电视！收到的几个本地台还不清楚，强烈建议更换', '短评打分': 5}
{'短评内容': '性价比高，卫生条件还算可以…交通便利！', '短评打分': 3}
{'短评内容': '特价房是地下室，没有任何窗户，空调是坏的，电视只有9个台，其中两对是重台，洗漱间也很垃圾，很狭小！', '短评打分': 1}
{'短评内容': '地点还方便，但设施很一般了，电话不好用.地铁2号先附近', '短评打分': 1}
{'短评内容': '我觉得上海这样的酒店算是比较便宜又实惠的了,我订的是特价房,单人标准间,设施还可以,有洗浴用品,洗澡水也不错,半地下室,不过我白天总出去办事,也没感觉光线不好.\n有空调,只是晚上我想多要一床被子,服务员说没有了没给拿.让我把空调开热一点.', '短评打分': 5}
{'短评内容': '空调有问题，其他都不错，比较满意啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '不错的，房间大，就是有点旧，地段好，性价比高', '短评打分': 5}
{'短评内容': '好 每次去上海都住他家 性价比高！推荐！', '短评打分': 5}
{'短评内容': '除了便宜，其他真的没有什么可以说的。尤其是特价房间。', '短评打分': 1}
{'短评内容': '房间还好，性价比不错，就是老了点，还不错', '短评打分': 5}
{'短评内容': '帮我妈妈定的酒店，妈妈说宾馆还是很干净的，就是没有手机信号，这一点很不方便。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店的位置还是很不错的，坐车什么的都挺方便的，酒店很幽静，下次还会去的。', '短评打分': 5}
{'短评内容': '这个酒店不错，热水非常好，屋里有空调，很暖和。卫生搞得也很不错。我住在1016房，淋浴下水有点堵，但是问题不大，酒店会处理的。唯一不能够满意的就是无法上网，我的笔记本电脑有无线网卡，但是上不了网，就这点让我不满意。其他都不错。推荐各位朋友来此酒店住宿。', '短评打分': 5}
{'短评内容': '总体来说还可以，价位和地段也可以，朋友们可以参考\n', '短评打分': 5}
{'短评内容': '整个宾馆弥漫着一股霉味亦或是消毒水的味道,天花板和墙角不同程度的有霉点,空调打开之后有股怪味,不过,虽然是在地下一层,但是采光还是有的.酒店前台阿姨脸很臭,而且不能刷卡.... ', '短评打分': 1}
{'短评内容': '价格实惠  服务周到', '短评打分': 3}
{'短评内容': '地段较好，但房间有股霉味，且设施陈旧，不象是标间，感觉较差', '短评打分': 1}
{'短评内容': '酒店还好.热水很大空调制热好', '短评打分': 3}
{'短评内容': '酒店环境还可以,周边也很方便。就是离地铁站稍微远了一些!总体来说比较满意。', '短评打分': 3}
{'短评内容': '比较理想 很经济 卫生环境很干净 出行很方便 交通便捷 服务态度很好\n值得推荐 以后会常来住', '短评打分': 5}
{'短评内容': '好呵呵，价格合理，服务周到，下次还想入住这个酒店', '短评打分': 5}
{'短评内容': '如果自费出门的，住这家的单人床间还可以。', '短评打分': 5}
{'短评内容': '整体来讲还算好，地理位置也不错。因为离那些景点之类的都很近。不过有几点不好：\n1. 毛巾居然是破的，建议赶紧换换吧。。。\n2. 离地铁稍微有一点点远。600米左右。', '短评打分': 5}
{'短评内容': '后悔，很老旧的酒店，房间霉味儿太重了，电视遥控器不好使', '短评打分': 1}
{'短评内容': '性价比很高，很安静，交通便利，附近餐饮设施齐全', '短评打分': 5}
{'短评内容': '蛮好的\r\n', '短评打分': 3}
{'短评内容': '还行吧，在上海200元以内的，延安路上的这条件过得去', '短评打分': 5}
{'短评内容': '条件实在不好，设施陈旧，不隔音，吹风机也不能借', '短评打分': 1}
{'短评内容': '市区的酒店，设施一般吧，床位还蛮充足的，服务也不错', '短评打分': 5}
{'短评内容': '因為走兩步路就可以到如家快捷了..那邊好多了\n對面還有漢庭快捷.都比這家好...\n', '短评打分': 1}
{'短评内容': '还可以吧，没想象的那么差。符合我的要求，呵呵', '短评打分': 5}
{'短评内容': '很简单的宾馆，门口写着138的房价，但现在要300多 ，世博会期间没办法，都翻倍，双人标间B，床是90宽的，并没这里写的那么宽大，而且很硬，一个简单的电视柜，和一个简单的桌子，太简单了，两个凳子一个小园桌。不过为看世博，将就，平时不建议', '短评打分': 1}
{'短评内容': '我老婆去住的，回来说还不错，当时是看世博，交通还算比较便利，服务他读也不错。', '短评打分': 5}
{'短评内容': '美宇还行。', '短评打分': 5}
{'短评内容': '总的给人感觉还可以，交通也方面，就是利用世博会那么高收费（每晚318元）还没有提供早餐，这一点不好。', '短评打分': 5}
{'短评内容': '该宾馆居住的环境比较好,交通也较为便利,房间的服务也很满意,这样的宾馆真的很不错.', '短评打分': 3}
{'短评内容': '.居住的很满意，各方面都较好。', '短评打分': 5}
{'短评内容': '地理位置好,交通方便,价格合适,服务好!', '短评打分': 3}
{'短评内容': '房间小了点，不过在市中心，去哪里都方便，性价比还不错', '短评打分': 5}
{'短评内容': '嗳…………\r\n\r\n世博会期间朋友来上海定的房间，房间是给朋友住的~！！\r\n\r\n\r\n朋友来自北方，一进去第一句话就是：这么迷你呀……%&#183;#￥253\r\n\r\n\r\n\r\n无语，不过，服务还算不错吧~！', '短评打分': 1}
{'短评内容': '性价比不错，交通也很方便', '短评打分': 5}
{'短评内容': '环境不错，交通也很方便。', '短评打分': 5}
{'短评内容': '在世博期间值得推荐，与以前相比涨价太厉害，性价比一般', '短评打分': 5}
{'短评内容': '设施一般但是位置很好', '短评打分': 5}
{'短评内容': '总体上感觉还不错，就是退房候不能寄存行李，这点不是很理想。', '短评打分': 5}
{'短评内容': '性价比比较好，其他的就一般般了', '短评打分': 5}
{'短评内容': '位置较好，在目前上海的酒店算性价比较高的。', '短评打分': 5}
{'短评内容': '酒店服务不错，可谓闹中取静，但隔音效果一般，电视效果也不太好，性价比尚可。', '短评打分': 3}
{'短评内容': '卫生条件不错，位置也适合，就是房价较平时偏高。', '短评打分': 5}
{'短评内容': '可能是建成多年了，所以酒店的设施比较陈旧，我住的那间连抽气扇都坏了，枕头只有一个。但位置还算可以，可以说是闹中取静，离4号线要步行15分钟左右，出入打的也挺方便的。', '短评打分': 5}
{'短评内容': '设施陈旧，卫生一不是很好，但考虑到性价比，还是可以接受。毕竟这个地段和价格，还是实惠的。', '短评打分': 1}
{'短评内容': '世博会期间（184天），门外广告灯箱标价138元/天，实际价格320元/天。房间地毯很大霉味！总之“招待所的待遇，三星级的价格”', '短评打分': 1}
{'短评内容': '号', '短评打分': 5}
{'短评内容': '服务细致、周到！地理位置好，交通方便。性价比很高!', '短评打分': 5}
{'短评内容': '交通很方便。性价比很高。', '短评打分': 5}
{'短评内容': '地段还算可以,房间设施一般,卫生间的用具都很旧了,...\r\n  整体说来算及格吧,...', '短评打分': 5}
{'短评内容': '位置还不错啦，如果是去虹桥机场的话是个不错的选择', '短评打分': 5}
{'短评内容': '还可以就是床比较小了店', '短评打分': 5}
{'短评内容': '什么宾馆，就是一个小招待所，价格接近300 太不值了', '短评打分': 1}
{'短评内容': '总体来说不错的，很方便，但就是最后一晚我的房间里出现了蟑螂…头一次去南方，不知道这种状况是否常见…', '短评打分': 5}
{'短评内容': '服务超级差的宾馆，而且前台那个长得像男人一样的女客房经理服务态度超级差，我住店时甚至与之发生口角，把巡警都找来了。', '短评打分': 1}
{'短评内容': '第一次给出这么差的评价，设备老旧就不说了，人家不可能年年换新的。晚上隔壁的人聊天，我真的不想听，可声音太清晰了。半夜忽然听到声音，以为有人在我房间说话，猛然醒来，才发现说话的人在楼道里。。。。。。\r\n世博会了，提价，咱理解，可是，可是，无语了', '短评打分': 1}
{'短评内容': '一般的酒店', '短评打分': 1}
{'短评内容': '不错的地方', '短评打分': 5}
{'短评内容': '居然和所定的房型不一样，晕', '短评打分': 1}
{'短评内容': '交通方便，卫生也很好，就是房间小点', '短评打分': 5}
{'短评内容': '床太硬，卫生间太小，洗澡没有挂衣服的地方', '短评打分': 5}
{'短评内容': '不错，可以上网的，位置很好找，就在电力医院旁边。', '短评打分': 5}
{'短评内容': '酒店位置比较偏,而且房间感觉也比较阴沉,并且当时退房迟了点,前台就按半天的房费收取了,这点挺不满意的,处理问题很不人性化,整体感觉性价比不怎么样.', '短评打分': 3}
{'短评内容': '酒店的环境一般,设施比较简单陈旧,不过还算舒适,服务还可以,地理位置不错,交通比较便宜.', '短评打分': 3}
{'短评内容': '条件很差，没有早餐，附近也很少有吃饭的地方，电视很烂。但比较安静。', '短评打分': 1}
{'短评内容': '酒店的床小了点，设施旧了点，别的都还好', '短评打分': 5}
{'短评内容': '酒店比较安静，就是设施有点简陋，位置很便利不过离地铁站还是有点距离的', '短评打分': 5}
{'短评内容': '酒店比较安静，就是设施有点简陋，位置很便利不过离地铁站还是有点距离的', '短评打分': 5}
{'短评内容': '酒店所在的位址非常方便,服务也很到位,性价比也很适合.', '短评打分': 5}
{'短评内容': '设施硬件配置有些陈旧了，座椅有些地方都被烟头汤过了，其它都还好价格比较优惠性价比还不错，地铁2号线附近出行交通也很方便，还是可以推荐入住的酒店。', '短评打分': 5}
{'短评内容': '在这里住了一晚，酒店的服务还比较可以，经济型酒店要求没那么高，周边出交通还行，价格还比较合理', '短评打分': 5}
{'短评内容': '卫生不错，价格也便宜。', '短评打分': 5}
{'短评内容': '距离地铁一站路，非常方便。\r\n\r\n如果非要找一个缺陷，就是酒店隔音不是太好', '短评打分': 5}
{'短评内容': '酒店太小了,环境卫生很差,各方面综合都很不好,后来看见旁边有间莫泰要是知道旁边有莫泰就会选择住莫泰了', '短评打分': 1}
{'短评内容': '酒店的环境比较安静，价格也是挺优惠的，就是卫生条件很一般', '短评打分': 5}
{'短评内容': '不是很容易找到 距地铁站大概一站路距离 环境很好很幽静 因为入住时间晚了 所以之前预约的大床间没能留住住的标准间 总体来说性价比很不错 下次来上海应该还会考虑住的', '短评打分': 5}
{'短评内容': '酒店位置很好，出门都很方便。', '短评打分': 5}
{'短评内容': '酒店看起来不是很舒适,设施很陈旧设备是坏的,灯有的都不亮.', '短评打分': 5}
{'短评内容': '酒店整体来说还不错', '短评打分': 5}
{'短评内容': '酒店的服务员挺好的，挺热情周到的，价格也挺实惠的，位置不错交通挺方便的。', '短评打分': 5}
{'短评内容': '酒店的服务卫生还是不错的，价格也挺实惠的。', '短评打分': 5}
{'短评内容': '不错，闹中取静。出门就是公交车站，吃的地方也多。', '短评打分': 5}
{'短评内容': '酒店的服务还可以，地理位置也不错交通挺方便的。价格也比较实惠，就是房间面积小', '短评打分': 5}
{'短评内容': '情况一般，但交通方便，', '短评打分': 3}
{'短评内容': '我们住了4天，感觉地点位置很好，周边交通条件良好，宾馆的设施完好率高，没有不方便的感觉。当时是春节期间，无法供应早餐，但服务人员为我们提供怎么吃早餐的方法，我们很感激。以后到上海，还想住在美宇宾馆。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;住过一天还是比较满意的，设施都还蛮新的！交通很方便，就是吃饭不是很方便&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '挺干净的，就是房间，卫生间比较小，不过离地铁站还挺远的，要走段路的，周围吃饭的地方也只有江苏路上有一些，打的到淮海路差不多12元的样子，去机场也很方便，门口也有车可以直接到，打的也没有多远，基本还是挺满意的。', '短评打分': 5}
{'短评内容': 'anna上网方便不?请说说,谢谢啊', '短评打分': 3}
{'短评内容': '我定的是标间B,按地理位置来说,性价比算可以的,是刚装修的,硬件都满新的,就是洗发水这些的不太好,最好自己带一些隔音也不错的,早餐是简易的粥和油条这些的,但挺干净的,填点肚子没问题的.但宾馆附近没有什么可以吃饭的地方,唯一一个香港小厨会敲竹杠的!!打的到南京路去吃吧:&lt;br /&gt;\n提醒:普通标件原来是半地下的,所以价格这么便宜.', '短评打分': 3}
