{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务还是很好的，房间也蛮干净的。~~~~~~~~~推荐', '短评打分': 5}
{'短评内容': '酒店干净整洁，很喜欢特色大床房的榻榻米式的感觉。\n并且交通也很方便，去步行街、厦大、轮渡和SM城市广场都有直达车。', '短评打分': 5}
{'短评内容': '订的是个性大床房，感觉被图片欺骗了，环境很一般！房间很小就10出平方米！根本没介绍的那么大！卫生也一般，有一间墙有点湿', '短评打分': 3}
{'短评内容': '环境好，干净卫生，服务态度好，交通方便，价格经济实惠，建议入住，', '短评打分': 5}
{'短评内容': '很不错,价廉物美,位置合适,还会去住,房价能再低点就好了', '短评打分': 5}
{'短评内容': '环境很好 还免费升级了房间 ～', '短评打分': 3}
{'短评内容': '酒店不错哦，环境安静，干净卫生', '短评打分': 3}
{'短评内容': '服务态度很好，房间很经济，挺好！厦门的朋友很热情！', '短评打分': 3}
{'短评内容': '房间很大，住着舒服，免费国内长途电话很给力，总体来说很好很满意…', '短评打分': 3}
{'短评内容': '不錯的酒店, 服務態度非常好, 地點也十分方便.', '短评打分': 5}
{'短评内容': '干净、安静、整体环境不错，路边的早点摊位不错的。', '短评打分': 5}
{'短评内容': '.26号入住的青年阳光酒店，服务不错，但环境与设施不值大床房397的价格，感觉物不所值！', '短评打分': 3}
{'短评内容': '舒適,溫馨,服務員也熱心,很好...但隔音差了一點', '短评打分': 5}
{'短评内容': '非常不错的酒店，虽然地址偏一点点，但是很幽静，榻榻米非常舒适，服务也很给力，值得一去。', '短评打分': 5}
{'短评内容': '酒店不错，位置安静，附近吃饭逛街的地方也多，房间很干净。是这次福建之行最满意的一次住宿。', '短评打分': 5}
{'短评内容': '地理位置很好，散步行到车站也才10分钟，交通便利，环境幽静，房间也很舒服干净。我住进的时候正在装修，白天稍稍有点噪音，晚上非常安静，保证了睡眠，在厦门游玩很开心。下次去还住这家，离我喜欢吃的冰店很近啊！太好了！ ', '短评打分': 5}
{'短评内容': '酒店位置不错，也安静，房间硬件也好。飘柔和强生噢', '短评打分': 5}
{'短评内容': '酒店布置还算小巧，但感觉卫生不够过关，厕所还是有股味道', '短评打分': 1}
{'短评内容': '房間品質不錯，乾淨整齊，空調冷熱適中，電視清晰且節目多樣，床鋪柔軟舒適，唯價格198還加收政府基金等費用有些小貴', '短评打分': 5}
{'短评内容': '总体还不错，电吹风风量太小，宽带网速挺快的，要有无线就更好了，有朋友来厦门，还是会推荐的你们这里！！！', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '有点不好找到位置，是家小酒店，里面的环境一般吧，房间也都不大，价格还可以。以后有机会哦还是会去住的。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '贪他家新，去年十月份新开的，结果导航找不到，引到别家去，小路不好找，得另外找人问。房间进去没有相片那么好看，无玻璃的房间空气不对流，还有股味道。总体还是不错', '短评打分': 5}
{'短评内容': '隔壁电视看到半夜，最让人头疼的是被子太厚，爱斯基摩人恐怕都感觉热，并不是每个人都喜欢空调开到很低，反正一夜无眠', '短评打分': 3}
{'短评内容': '酒店性价比很高，而且酒店房间内可以免费打国内长途电话，很人性化的酒店，酒店离海边还算近，适合去厦门旅游的人住。', '短评打分': 5}
{'短评内容': '酒店很不错，环境很好服务也很好。离中山路商业街也很近。', '短评打分': 5}
{'短评内容': '交通很方便，服务态度温馨。房间舒适，尤其是床很好，旅行首选。', '短评打分': 5}
{'短评内容': '第二次入住酒店感觉服务态度依然好，不同风格房间值得再次体验', '短评打分': 5}
{'短评内容': '酒店的位置在一个小巷子里，不是很好找。但是距离去鼓浪屿的码头不远，而且步行200-300米有BRT，我认为交通还是比较方便的。酒店只有三层，所以没有电梯。住的是商务间，基本上跟照片上展示的一样，甚至更好一点。房间很干净，设施也比较新。提供的服务也很人性化，长途、IPTV点播、上网都是免费的，而且网速算不错的，有10Mb带宽。清洁人员的工作也蛮负责的，放在桌子上的小费没收。。。就是晚上有时会收到提供', '短评打分': 5}
{'短评内容': '房间很干净，床睡的很舒服。。。。\n下次还会来的', '短评打分': 5}
{'短评内容': '很好的一家经济型酒店，个性大床房日式设计，很可爱。', '短评打分': 5}
{'短评内容': '虽然房间有点偏小，白天旁边有建筑装修的声音，但晚上还是很安静的，可以暂离城市的喧嚣，总体还不错，可以推荐！', '短评打分': 5}
{'短评内容': '很好，服务态度很好，电视可以点播，可以免费打长途，挺体贴的，\n', '短评打分': 5}
{'短评内容': '不错，服务挺好的，电视可以播，特色房和个性房我女儿更喜欢个性房', '短评打分': 5}
{'短评内容': '房间很整齐，也很舒服。服务非常好啊。··特别是今天回家的时候。服务员还帮忙叫了的士。真的是太感动了。。下次一定还住这家。', '短评打分': 5}
{'短评内容': '服务很好，房间有点小，地段也不错的，离中山路和轮渡都很近，就是入住的几天楼上在装修，吵得不行...非常郁闷...房间内茶叶等没有提前放，不方便的是没有晒衣服的地方..我住的是312，里面的淋浴喷洒坏了...总体来说不错的..期待下次来的时候可以看到改进....', '短评打分': 5}
{'短评内容': '性价比不错，房间挺干净，也很安静，出门交通也很方便', '短评打分': 5}
{'短评内容': ' 很好，国内长途免费！', '短评打分': 3}
{'短评内容': '总体不错，服务员态度也很好，建议卫生间加个浴帘。', '短评打分': 5}
{'短评内容': '酒店总的来说还不错，服务态度也还可以，不过周围在施工，还好晚上没有噪声', '短评打分': 5}
{'短评内容': '根据入住人反映：所入住的房屋空气不好。因为太迟（晚上十一点到店）、太累，且是信用证担保而没有换地方。', '短评打分': 1}
{'短评内容': '房间很干净，大家入住的信心可以加强了，基本设施都有，我入住的是个性大床房，房间略小，估计是在12平米左右把，三口之家会有些局促。电视有ITV，不错。唯一很遗憾的就是房内有宽带，但没有WIFI，偏偏我只带了IPAD，只有跑到大堂去用了，查旅游景点啊，计划行程啊有点麻烦。', '短评打分': 5}
{'短评内容': '离湖滨南路汽车站比较近，适合第二天赶车入住；不过所谓个性大床房实在是不敢恭维，不仅房间小，而且床也小，更那个的是房间基本没有坐的地方，所谓的榻榻米，坐起来也很不舒服！', '短评打分': 5}
{'短评内容': '地方有点偏，不过总得来说离哪都近\n内部环境不错，不过窗户不够严实，早上被阳光照射照到醒。', '短评打分': 5}
{'短评内容': '满意了满意了满意了满意了满意了满意了满意了满意了', '短评打分': 5}
{'短评内容': '干净    环境安静   服务好   就是节假日比平时贵了好多。。。。。。。', '短评打分': 5}
{'短评内容': '非常安静，热情的服务人员，地理位置不错，五一价钱小贵', '短评打分': 5}
{'短评内容': '不错，满意', '短评打分': 3}
{'短评内容': '隔音效果太差，隔壁在施工，很早就开始工作，严重影响休息。房间很小。', '短评打分': 1}
{'短评内容': '  很好  很干净 服务态度也是非常的好  下次还会选择', '短评打分': 5}
{'短评内容': '酒店房间除了小一点,还是有点潮湿!其它各方面还凑合!网速和免费打长途挺好的!', '短评打分': 5}
{'短评内容': '环境很不错，设施很好很齐全，服务也很好', '短评打分': 3}
{'短评内容': '除了有点偏僻   的士找不到外  其它的都还行', '短评打分': 5}
{'短评内容': '服务不错，硬件设施挺好，比较近步行街，交通还可以！', '短评打分': 5}
{'短评内容': '这家酒店很干净，地理位置也不错，离轮渡码头等都很近，很好呢\n', '短评打分': 5}
{'短评内容': '还不错的风格，挺舒适的。美中不足之处是大门位置是巷子里', '短评打分': 5}
{'短评内容': '酒店房间的设计很漂亮，卫生干净，酒店里有DVD机，设备很齐全，酒店提供十大免费服务，想得很周到，工作人员的态度非常好，很有质素，距离湖滨长途汽车客运站很近，步行五分钟就到了，下次去厦门还住。。。', '短评打分': 5}
{'短评内容': '布景装潢很好，新开的酒店，服务不错，硬件不错，总体让人满意', '短评打分': 5}
{'短评内容': '房间很不错很漂亮，出差都有住。很方便，下次办会员，', '短评打分': 5}
{'短评内容': '房间还可以', '短评打分': 3}
{'短评内容': '因为只睡一晚，不是很深入的了解，还算干净', '短评打分': 5}
{'短评内容': '不错不错不错的店哦···········以后 还会来', '短评打分': 5}
{'短评内容': '真的很不错，做的很细致，很喜欢，下次还会考虑，推荐', '短评打分': 5}
{'短评内容': '房间出人意料的好，服务态度也很好。虽然房间有点小但是很干净，有功夫茶，因为我们订得是特色大床房附近施工改成个性大床房。下次还会入住。', '短评打分': 3}
{'短评内容': '还不错 设施很齐全 床也很大 只是房间比预计中的小了点', '短评打分': 5}
{'短评内容': '该酒店很好很好.总台小姐及保安都非常热情.房间实施很新.走廊及房间铺设的地毯很厚实.宽带网速快.空调制暖不错.在厦门很难得.交通较方便.在厦门该店价格较低.性价比高.我们今后来厦门.还会住这里. ', '短评打分': 5}
{'短评内容': ' 酒店环境不错。', '短评打分': 3}
{'短评内容': '挺干净的，设施也都很好，就是旁边有在施工，有点吵，总体不错啦~很好很好~~', '短评打分': 5}
