{'短评内容': '周围环境不错，酒店太老了，应该装修了', '短评打分': 5}
{'短评内容': '在施工，不过对住宿影响不大，我们住在18栋，离海挺远的必须开车去，要是下过雨路简直没法走\n村内餐厅没敢去，都是去南戴河市里面吃的\n住宿条件嘛，符合心理预期，不要把这当做400多的酒店，毕竟平时才100多，以这个标准来看待硬件和服务，就知足了', '短评打分': 5}
{'短评内容': '虽然有属于自己度假村的海滩，但是，室内的卫生状况真是令我难受，所以，我建议住惯宾馆的人可不要选择住进来，没有人打扫卫生，卫生间里脏脏的，哪儿哪儿都脏脏的。就是离海滩非常近，走路用10分钟就到了。', '短评打分': 1}
{'短评内容': '住的宽松，离大海也很近，就是外环境没有施工完，餐厅吃和卫生很差。', '短评打分': 5}
{'短评内容': '这家酒店是跟碧海蓝天酒店合在一起的。明显的比碧海蓝天稍差一些。但价位摆在那，也可以了。\n1，先说屋内设施：我定的是复式的，有两种选择，A款是：楼上是一张双人床，楼下是两张单人床；B款是楼上是两张紧挨着的单人床，楼下是两张单人床。本来我们当初选的是A款，但进屋后发现楼上没有卫生间，因为我们是跟父母一起去的，所以不方便；于是我们又选择了B款，楼上楼下都有卫生间。但是，A款的楼上有电视，B款的楼上没有电', '短评打分': 5}
{'短评内容': '还行，凉快，蚊子多', '短评打分': 3}
{'短评内容': '也许我们住的不是时候，临海路上正在施工，路不好走且时常过卡车，住宿的房间也属于可选房间中较差的，厕所基本上天天都要找人来通，服务人员态度还好。针对这样的条件旺季的价格绝对是难以接受的，淡季价格稍能平复下。酒店附近的沙滩还不错，水中没有杂物吧。', '短评打分': 1}
{'短评内容': '标间是一个三层大别墅改成的9间房子，我觉得要2层或者3层都不错，当然1层也很方便，不过3层的露台更方便烧烤等活动。房间比较干净，设施较陈旧，不如老东家碧海蓝天，私家海滩很脏，不如昌黎，目前整个秦皇岛地区海水很脏，污染越发严重。', '短评打分': 5}
{'短评内容': '服务不错，环境也比较幽静，美中不足的就是附近海滩在施工', '短评打分': 5}
{'短评内容': '还不错，适合自驾，屋子干净宽敞，有个大露台可以烧烤！\n缺点房间没有冰箱，电话也是坏的，不会主动打扫房间\n到处都在施工\n', '短评打分': 5}
{'短评内容': '推荐', '短评打分': 3}
{'短评内容': '\n酒店还可以 离海边也不远 海水比浴场清澈 地方偏僻 适合驾车过来', '短评打分': 3}
{'短评内容': '价格不贵，环境很好，清静，小别墅风格的造型很有情调。\n对于度假村来说服务不会像酒店一样，房间干净，设备完好就足够了\n私属海滩人不多，面积很大，沙质不错。', '短评打分': 5}
{'短评内容': '性价比很高的酒店，独栋别墅也很有意思，还有自己的沙滩更是不错，相比这个价值，真是很划算。不过就是度假村内还在施工，通往沙滩的路有些不好走，而且最重要的是周边没有商业，没地方吃饭。', '短评打分': 5}
{'短评内容': '环境不错，房间大，但室内一般。吃饭很差，需要出去另找饭店。', '短评打分': 1}
{'短评内容': '有私家海滩，房间比较大，还可携带宠物，适合自驾（吃饭比较贵，可自己驾车到市场买吃的）。如果单纯为了享受海滩，这里值得选择。', '短评打分': 5}
{'短评内容': '环境非常不错，尤其是清晨散步时，颇有味道。不过房间里设施实在一般，阳台门打不开，也全是蛛网。不能上网。', '短评打分': 5}
{'短评内容': '不错的酒店，旅游方便。下次还来这里。\n北戴河的首选。', '短评打分': 5}
{'短评内容': '位置很好，相当的清静，房间也非常干净，但只适合自驾车前往。', '短评打分': 5}
{'短评内容': '夏天去的，不是周末，周末价格会暴涨的，适合自驾的朋友居住，房间很大，就是蚊子，虫子比较多也。晾衣服不方便没地方晾，建议安个晾衣架在阳台上。总的来说还不错，有私人海滩，人比较少，走着就到了很好。海鲜很贵，地点比较便宜点，购物吃饭什么的不太方便', '短评打分': 3}
{'短评内容': '酒店还行，整个度假村内比较清静，我是十一去的，离海边很近，人也不多，房间很大，电热水器还不错，会所的饭做的不错，价格也不离谱，早餐15块钱有点简单；', '短评打分': 3}
{'短评内容': '环境优雅有私人海滩,店主很好 给我们了个复式别墅上下层的,价格物超所值啦觉得.美中不足那地方不好打车,适合自驾游独家,还好店主给了叫车电话,出行还算方便. 海边有一家卖海鲜的直接加工吃的,东北人,去吃了一次感觉像黑店,我们去了说没母螃蟹,不能炒只能清水煮,其实他有母螃蟹(带黄那种)也给炒就没给我们炒,海鲜不管你要多少,捞一堆先放的锅里再说,总之去锦绣大地住宿绝对没问题,很好,相当不错,千万别去海边', '短评打分': 3}
{'短评内容': '环境很好，临海的房子没有了，免费给升级成复式套房，俩人住有点奢侈，房子都是别墅样的很舒服，可惜出门不便不好打车，自驾就绝美了。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '我是十一去的，房间还比较干爽，电热水器用起来还行，花洒还好，整个小区环境很安静，私家海域很近，沙子很细，人少清净；会所的餐厅做的味道不错，海鲜也不贵，比外面大排档好很多，早餐15块钱，不太丰富；', '短评打分': 5}
{'短评内容': '  还凑合，卫生差些，周围环境还行，服务还可以。', '短评打分': 3}
{'短评内容': '还凑合，', '短评打分': 5}
{'短评内容': '房间相对比较干净，适合家庭出行。不过蚊子有点多。', '短评打分': 3}
{'短评内容': '类似公寓的服务，除了打扫卫生之外，没有其他服务。不含早餐。复式房，设备较简陋，离马路比较近，很吵。价格高，不值。下次会考虑同一院内离马路较远的碧海蓝天。', '短评打分': 1}
{'短评内容': '这个地方适合放松身心的度假式休息，靠近大海、远离城市的喧嚣，静静地住在这里能感受到世外桃园的惬意，没有竞争没有压力、在二楼的阳台上就可以看着大海发呆、晒着太阳打嗑睡，住在这个闲适的地方吧，给心灵放放假。', '短评打分': 5}
{'短评内容': '没有点评说的那么脏，对于普通人的要求来说，还算比较好的', '短评打分': 5}
{'短评内容': '比较失望,只是承包了碧海蓝天里面的几栋房子', '短评打分': 1}
{'短评内容': '酒店还不错，就是位置有点偏，自驾还是很方便的，私属沙滩很平缓，适合小宝宝', '短评打分': 3}
{'短评内容': '交通不是太方便，但环境感觉还行，是个休息的地方，自有的海滩比较方便，距离南戴河国际娱乐中心不远，玩累了可很短时间内回来休息。', '短评打分': 3}
{'短评内容': '这家酒店不好，服务人员少，结账不能刷卡，想延住都不办理，感觉星级价位不符。我是下次不愿意住了。', '短评打分': 1}
{'短评内容': '环境不错，比较清净，非常适合休息放松。', '短评打分': 5}
{'短评内容': '+对于不能银行支付感觉很遗憾', '短评打分': 5}
{'短评内容': '位置确实有点偏，如果没有开车确实有些不方便，其他的还可以，毕竟是带孩子去玩，只要孩子高兴就行！！', '短评打分': 5}
{'短评内容': '酒店的位置实在是不怎么好找，呵呵不过还好没走什么冤枉路跟着GPS到得。一进去感觉还是不错的有点海边小镇的感觉，不过房间挺大但是里面没什么东西感觉空空的设备都很简陋，为什也不是很干净，卫生间有点脏。服务还是不错的，打个电话一会就来人了。私家海滩还不错，就是干点什么都要收钱，我们弄了个大伞都不知道玩那支，随便找个地方刚插上就有老农过来要30元很郁闷，而且，海滩不是很干净比黄金海岸差的不是一点半点。总体', '短评打分': 5}
{'短评内容': '小院还是满别致的，随处转转挺好。水质不好，洗手、洗澡总感觉冲不干净。没有宽带。可以带狗，开始要30元宠物卫生费，后来看我家狗毛都剔光了，也是小小狗，就没再要。房间门锁有点问题，问了才知道要使劲往回拉着才能开。40元/小时的小电动车，哄孩子开开特别好。度假区自己的海边，还可以，跟北方的海边一样，没觉得特别干净，也不特别脏。', '短评打分': 1}
{'短评内容': '比较满意\n段朝晖', '短评打分': 5}
{'短评内容': '屋内设施陈旧，且不全', '短评打分': 5}
{'短评内容': '整体不错，周末人太多，平时去还是不错的。', '短评打分': 5}
{'短评内容': '度假村所有都很好~海滩也不错~就是吃饭不太方便', '短评打分': 5}
{'短评内容': '卫生不错，环境很舒服，人不是很多，沙滩没有那么多人，很休闲。有很多大浴场没有得乐趣。洗澡水不是很好，水压太低。建议有车的朋友去，没车真的别去，不方便。', '短评打分': 3}
{'短评内容': '环境挺好，服务也挺好，工作人员很热情耐心，总体来说不错。', '短评打分': 5}
{'短评内容': '酒店一般，离海太远。', '短评打分': 5}
{'短评内容': '11号入住，感觉干净，敞亮，海滩人比较少，玩着比较自在，但吃饭不是很方便，不开车不是很方便。', '短评打分': 3}
{'短评内容': '服务不错但是设施比较差', '短评打分': 5}
{'短评内容': '非常适合自驾去，要说不足之处就是服务内容比较少，', '短评打分': 3}
{'短评内容': '很干净，有自己的海滩，比较清静，环境也不错，由于交通不是很方便，适合自驾的朋友前往，另外吃饭到县城里比较便宜。', '短评打分': 5}
{'短评内容': '已经入住', '短评打分': 5}
{'短评内容': '舒适，适合带孩子玩，碧海酒店餐馆还不错，两天之行比较尽兴', '短评打分': 5}
{'短评内容': '优点：房间宽敞，离海近。\r\n缺点：价钱高，地方远。吃饭不方便，和碧海蓝天在同一个院子里，碧海蓝天有早餐券，锦绣大地没有，度假村内餐厅为碧海蓝天餐厅，费用太贵。', '短评打分': 1}
{'短评内容': '比较适合自驾游！有自己的海滩！每年热天来南戴河都住这', '短评打分': 5}
{'短评内容': '价格合理，装修未达到准四星', '短评打分': 5}
{'短评内容': '自驾车住在这里还是很好的,离海边五六百米,海滩沙子很细,人也不多,下海玩沙子很方便.设施略有陈旧,海滩也有一些垃圾,不过旅游区标准适当降级的话,性价比还是不错的.就是吃饭太费劲了,碧海蓝天内有早餐可以吃饱,其余的贵还吃不饱,因为吃饭问题提前返回了.', '短评打分': 5}
{'短评内容': '这家度假村距离闹市区很远，适合自驾游旅客，房间很大很舒适，环境幽静休息得不错，但是门口没有挂牌子，给不熟悉的游客造成不便', '短评打分': 5}
{'短评内容': '酒店店不错，比较干净，也敞亮，三人间七八个在里面聊天也不感觉人多，离海边也比较近，特别是海边人比较少，是个休养的好地方，不足的是位置相对比较偏，适合自驾的朋友前往。', '短评打分': 5}
{'短评内容': '酒店有海滩，海浴方便，房间宽敞明亮，标准间为1.2米的双床，比碧海蓝天的1米床舒服，餐厅用餐小贵，但与南戴河的饭店价格基本持平。有车入住很方便，没车不推荐。', '短评打分': 5}
{'短评内容': '优点：独立海滩。缺点：地点偏僻，餐饮较贵。 推荐自驾游的游客。', '短评打分': 5}
{'短评内容': '夏日度假好地方！', '短评打分': 5}
{'短评内容': '住起来很舒服，去海边非常近都不用出度假村，非常安静，感觉比较舒适安全，有住在家里的感觉', '短评打分': 5}
{'短评内容': '较好，用餐较不方便，比较安静，适合自带食品。', '短评打分': 5}
{'短评内容': '开车去较方便，离海近，住的比较舒服，卫生还行！', '短评打分': 5}
{'短评内容': '房间大、光线好，就是卫生不太好，床单好像没换。', '短评打分': 5}
{'短评内容': '位置不太好找，在去南戴河黄金海岸的老路上，和碧海蓝天度假村在一个院里，开车过了两趟又问了前台才明白锦绣大地和碧海蓝天是在一个独家村里的两家。位置较偏不是自驾车到达较难。比起碧海蓝天锦绣大地价位有明显优势，很多北京家庭选择这里。私享海滩还是很不错的，人少，大海像自家的后院。度假村环境比较幽静，适合全家独家，休闲。宠物狗也是度假村的一大景色，第一次看到人狗同泳有意思。餐厅是碧海蓝天的，在碧海蓝天前台二', '短评打分': 5}
{'短评内容': '位置太偏.设施一般.晚上回房间门居然打不开了.在门口等了半小时.服务员用梯子爬进去开的门（被蚊子叮的无语了）.服务员态度不错.环境说的过去.软实力不行', '短评打分': 1}
{'短评内容': '很好 就是位置偏了点 自驾车首选 环境很好！！', '短评打分': 3}
{'短评内容': '别的都可以 就是位置偏了点  自驾车去的话是很好的选择\r\n', '短评打分': 5}
{'短评内容': '还可以吧。暑期平常的价格200多比起其他的还可以，周末巨贵，可以理解一年也就夏天挣钱。地点不是很繁华，开车去比较好，有自己的沙滩，人不多，还可以带宠物，呵呵就冲这点去的。蚊子虫子多，要点蚊香开空调，环境是个小区-度假村-安静，还可以钓鱼不过是那个碧海蓝天度假村的，吃饭只有一个会所，很贵，我们自己带了好多吃的，就在房间聚餐了，还在沙滩处的有位大姐的摊子吃了一顿海鲜，每一样要了一点，四个人没吃完花费1', '短评打分': 3}
{'短评内容': '周边为荒郊，只能在度假村呆着，没车的朋友不建议去。', '短评打分': 1}
{'短评内容': '相比其他南戴河的酒店，价格有优势，但设施一般，因为靠海边蚊子虫子比较多，房间一般，窗户密封不好，度假村可以带宠物的，就应为这点所以才入住。', '短评打分': 5}
{'短评内容': '总体不错，性价比比较好。我们带孩子老人去的，定得复式房，比较安静，很好！', '短评打分': 5}
{'短评内容': '整体还不错，海边非常干净人也少，服务员态度很好，性价比很高。就是晚上蚊子非常多，去的朋友一定要准备驱蚊用品，还有如果不是自驾游建议不要住这里，这里根本打不到车，位置也比较偏僻', '短评打分': 5}
{'短评内容': '我再也不会到这家度假村去了，简直无语。不是一般的差，简直就是太差！', '短评打分': 3}
{'短评内容': '我是2010年7月9日入住的，有上当的感觉。这家度假村实际上是私人承包的，借用“碧海蓝天”度假村的房子，自己经营。很不专业。价钱比较高，服务比较差。看过我的评价的朋友们，千万不要再上当了。', '短评打分': 1}
{'短评内容': '位置有些偏，适合自驾游。\r\n自有沙滩浴场。\r\n设施等等一般。\r\n性价比较高！', '短评打分': 5}
{'短评内容': '度假村环境不错，但是周末人较多服务有些跟不上，如房间的打扫等。', '短评打分': 5}
{'短评内容': '不错，很安静的地方，也干净，沙滩步行5分钟就到，性价比不错。', '短评打分': 5}
{'短评内容': '去年去过一次  觉得不错  今年又去了 以后还会去 好地方', '短评打分': 5}
{'短评内容': '如果开车去可以选择这家酒店。', '短评打分': 5}
{'短评内容': '位置很不错,而且酒店有私家沙滩,房间里面也很宽敞,住着挺舒服的,价格也便宜,就是热水器是插电的,比较麻烦.', '短评打分': 3}
{'短评内容': '适合度假', '短评打分': 5}
{'短评内容': '环境挺好的，就是内部都没有房门，住起来感觉不太舒适，希望酒店能够改进，把复式的房间都安装上门', '短评打分': 5}
{'短评内容': '我们8月中住店 价格是400元复式套房。比我想象的好很多，房间很大。一家3代楼上楼下很实用。价钱也不贵。楼上是淋浴，水流不是特别大，可也够用。酒店的私人海滩很好，很干净。自带帐篷需要交30元的占地费。服务很好，服务员也很热情，就是不能刷卡。适合自驾游，离市区不远。很安静。没有早餐，吃饭有些不方便。我们自己带了电磁炉，不过南戴河的饭店有点贵，宫爆鸡丁25元，够贵吧！', '短评打分': 5}
{'短评内容': '整体来讲时一家很不错的酒店,位置很好,交通很方便,就是热水不方便,是那种热水器,还得等着.', '短评打分': 3}
{'短评内容': '这个酒店基本上来说很一般，环境和服务都过的去，我们周末过去价格挺高的，对于这个价格来说他们的设施不是太好，很一般了，位置还凑合，走着去海边十几分钟，算是可以，如果价格便宜点，平时的价格，还是可以考虑的。', '短评打分': 3}
{'短评内容': '本人刚刚从这个度假村回来，总体感觉还不错，服务人员态度好，环境比较舒适，离海较近，离周围的娱乐场所也不远。只是餐厅可容纳的人数太少了，如果碰上个大的旅游团，那么吃饭问题就是个麻烦，我们住了3天，基本上都是在外面吃的。其他情况还不错，下次我还会住那儿的。', '短评打分': 5}
{'短评内容': '酒店整体感觉不错,房间空气不好有些灰尘,热水器老跳闸很不安全,服务还可以,性价比比较好.', '短评打分': 5}
{'短评内容': '电力系统不太好，跃层的两个热水器同时打开，频繁跳闸。刚到屋子里面时发现有浮尘。外面停车场有点脏。', '短评打分': 5}
{'短评内容': '酒店的人员服务态度还可以,卫生也不错,价格也比较适中,就是房间的隔音比较差.', '短评打分': 5}
{'短评内容': '酒店服务环境很好，地理位置不是很好，有些偏，性价比比较高，其他都挺好的', '短评打分': 5}
{'短评内容': '我感觉酒店的位置交通不是很方便，别的都还行，价格挺优惠的，不过我不会在选择的', '短评打分': 1}
