{'descr': '楼道卫生比较差', 'star': 3}
{'descr': '交通便利，房间干净，洗手间稍显拥挤，房间不是很大，但设计的不压抑；环境安静。总之，感觉很好，下次来太原还住该酒店', 'star': 5}
{'descr': '不错，环境合适条件也好，整体感觉可以价位也比较合适，推荐', 'star': 5}
{'descr': '，酒店环境很好，就是不隔音', 'star': 3}
{'descr': '房间不错，很干净，离购物的地方也不远，就是离吃饭的地方有点远', 'star': 5}
{'descr': '酒店干净卫生、周边环境很好，距离商业中心很方便', 'star': 5}
{'descr': '安静舒适，值得。', 'star': 3}
{'descr': '很好,地点就在迎泽大街路口。吃饭距离也不远，打车也很方便。就是没有停车位', 'star': 5}
{'descr': '有点难找，但是北京的司机很热情，直接把我们带到了酒店门口。是在一个小区里面...环境还不错..就是刚进房间有股烟味，这点不太好接受。其他尚可，性价比还不错.', 'star': 5}
{'descr': '早餐很差，大床房没有窗有些憋气!其它还好', 'star': 3}
{'descr': '位置不错，服务也到位，就是旁边在施工，晚间有些吵~', 'star': 5}
{'descr': ' 酒店条件还可以，但是在旁边有一个施工工地，早上5点就开始施工，太吵了，不推荐。', 'star': 3}
{'descr': '性价比还可以，出行也方便，环境和服务质量还可以再加强一些。', 'star': 5}
{'descr': '当时定的是新春百元房，超实惠，屋里环境挺好的。就是旁边当时在施工，晚上有点吵。', 'star': 5}
{'descr': '就是条件有点旧了，需要多多改进呀，再大点就好了', 'star': 5}
{'descr': '很好，服务不错，房间也不错，下次一定还会去！！！', 'star': 5}
{'descr': '已经不是第一次住了，没的说，不错。', 'star': 3}
{'descr': '环境不错，服务周到，住在里边挺温馨，。。。。。。', 'star': 5}
{'descr': '交通还行，前台姑娘很蛮热情，小伙子不行。房间还算大。晚上住的蛮安静。', 'star': 5}
{'descr': '感觉价格有些高，不过还行，估计下次还会再去\n', 'star': 5}
{'descr': ' 不错 很干净', 'star': 3}
{'descr': '酒店很安静，房间也很大很干净。值得推荐!', 'star': 3}
{'descr': '还好，就是太不便利。拐来拐去，不好找。是坐落在小区里的。比较安静时最大的优势。', 'star': 5}
{'descr': '这个价钱也算不错了', 'star': 3}
{'descr': '入驻的是百元房，没有窗户，不过总体感觉不错', 'star': 5}
{'descr': '在小区里面，确实有点难找，而且酒店过道比较狭窄，有如迷宫。', 'star': 5}
{'descr': '服务员服务还是很到位的，就是本人对北京不是很熟悉，找了一会才找到。', 'star': 5}
{'descr': '就在迎泽大道口，交通很方便。房间也干净。不过我到的时候前台正好一批团，所以check in速度比较慢。不过态度还都蛮好的。', 'star': 5}
{'descr': '此价格与酒店价格一样的，没什么折扣。还算可以', 'star': 5}
{'descr': '环境在同价位中不错 服务态度很好 可以说是连锁酒店中不错的选择', 'star': 3}
{'descr': '不错。到火车站很方便，酒店也干净。还可以步行到汾河，看汾河很有意思的事。', 'star': 5}
{'descr': '环境干净整洁，服务态度非常好，卫生间的卷纸是心相印的，杯子很好看，挺超值的', 'star': 3}
{'descr': '地点不错，很方便。房间也过得去，比如家好。。。不过，床上有几根头发，所以下次住便捷酒店要自带床单了！', 'star': 5}
{'descr': '没想象中难找么,交通还挺方便的', 'star': 3}
{'descr': '一般般吧！没有窗户！！！小小悲剧！\n一般般吧！没有窗户！！！小小悲剧！', 'star': 5}
{'descr': '已住如家', 'star': 3}
{'descr': '房间干净整洁，只是靠近路边比较吵。周边环境不太好', 'star': 5}
{'descr': '地方太难找,其他还可以', 'star': 3}
{'descr': '不错，挺干净的，环境也很安静。不过要是有衣服清洗烘干服务就好了', 'star': 5}
{'descr': '4汉庭很一般，价格贵', 'star': 3}
{'descr': '酒店马马虎虎，还算干净，交通比较方便，卫生一般，设施很简陋，临时住一晚上可以，住多几天就不太舒服了。', 'star': 5}
{'descr': '已经入住了，感觉一般…毛巾什么的不干净…卫生间马马虎虎…其他的都还行…唉，出门在外，将就着吧…服务就那样了…', 'star': 3}
{'descr': '很好的快捷酒店，干净、整洁，服务周到，安全意识好。所处位置四通八达，交通便利。靠近汾河绿化带，早晚可到河边呼吸新鲜空气，散步、运动健身。\n\n提供早餐服务，且干净卫生。\n\n标间靠近街道有点吵。', 'star': 5}
{'descr': '交通方便，前台服务态度好，周边吃饭的地方也不少，买东西方便，旁边有无人看管的免费车位，大概能停10辆车。', 'star': 1}
{'descr': '酒店各方面还行，就是水笼头不知道为啥用了之后鸣响。地上还有个葡萄皮。', 'star': 3}
{'descr': '为了给其他用户提供更有价值的意见，请您发表50个字以上的点评\n跟其他如家一样的，只是在小区里，可能不太好找。不过外面有很多小吃，很不错。\n离商场地铁站都很近，交通比较方便。推荐！', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '酒店环境不错，很幽静，服务也很好，就是找时花了不少功夫', 'star': 3}
{'descr': '离北师大很近，步行10分钟，家长来送孩子入学比较好的一个选择。环境干净整洁，还有天台可以晒衣服。周围饭店也很多，吃饭什么都恨方便。早餐有15元的自助，虽然价格便宜但是品种齐全也很干净。', 'star': 5}
{'descr': ' 时尚整洁，房间门很紧，不易关!', 'star': 3}
{'descr': '很好!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', 'star': 5}
{'descr': '房间不错，就是床有点硬，门口是主干道，交通比较方便，附近吃饭的地方也不少', 'star': 5}
{'descr': '服务不错，主要是位置好，每次都住那里，就是只有早餐，还要出去吃饭，比较麻烦', 'star': 5}
{'descr': '不错的选择，不过有点难找，不在大马路边上，在新街口路的一条支路，有个叫“小西天”牌楼进去，离积水潭地铁站也的点距离，不过到是非常幽静。', 'star': 5}
{'descr': '位置不错，干净卫生，就是价格有点高了，希望降低价格。', 'star': 5}
{'descr': '还不错，毕竟离客户近，呵呵呵~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '干净整洁，安全。服务到位。位置好，交通方便。', 'star': 5}
{'descr': '地理位置不错，在后海附近。服务很周到，房间也很干净。\n就有一点，地点太难找了，刚过去住的时候找了半天才找到...\n总体来说还是很满意的。', 'star': 5}
{'descr': '酒店非常安静，地理位置非常优越！ 在最宽的大道上～设施齐备', 'star': 5}
{'descr': '交通方便，周围也有很多超市和吃东西的地方，离火车站也不是很远。', 'star': 5}
{'descr': '太原的汉庭酒店水准都比较高，个人很喜欢。这家汉庭也不例外，位置很好，很舒适。', 'star': 5}
{'descr': '以前在外地出差选择的都是汉庭，这次到太原了，当然还是选汉庭，服务周到，干净整洁，最主要的是它家有相当不错的电吹风哦，嘿嘿，由于本人属于短发，所以得天天打理，出差带吹风太不方便了，有了汉庭我就什么都不怕了！！', 'star': 5}
{'descr': '服务器很热情并且很漂亮。地理位置也很好。值得推荐给大家', 'star': 5}
{'descr': '干净 整洁  小空间 大利用  就是没有停车场 其他都挺好', 'star': 5}
{'descr': '挺好的第二次 入住了 如果去太原换会选择的', 'star': 5}
{'descr': '住的还可以，服务态度热情。交通便利，周围吃饭方便，就是离地铁口有点远。', 'star': 5}
{'descr': '出门住过很多汉庭，就是他们的标准统一。\n预定并住了一晚，第二天去五台山过夜。预定第三天的时候，太原汉庭才说只招待内宾。害我要提着大行李搬酒店，为什么不早说呢？', 'star': 1}
{'descr': '实惠呀，位置不错。', 'star': 3}
{'descr': '环境不错，信价比高。', 'star': 3}
{'descr': '位置不错，停车有点费劲！', 'star': 3}
{'descr': '附近吃饭交谈都很方便，房间很干净，隔音效果好，网速可以，值得推荐，下次来还会住。', 'star': 5}
{'descr': '真的有家的感觉，我的同学都非常满意，就是离地铁口有点远', 'star': 5}
{'descr': '很不错的酒店，离地铁近，交通便利，周围吃饭方便。', 'star': 5}
{'descr': '连锁酒店房间布局类似，不过很不满意的地方就是床单太陈旧了，应该定期更换，大部分床单都气球了！', 'star': 5}
{'descr': '位置在迎泽大街旁边 购物出行很方便 酒店干净卫生，在浴室还有防滑垫 挺贴心，比较满意', 'star': 5}
{'descr': '房间还是普遍的比较小，但是感觉还是挺温馨的，唯一略感不足的是床单不够好，都气球了！建议更换新的。', 'star': 5}
{'descr': '还可以吧，干净，地理位置挺好，离火车站也不远', 'star': 5}
{'descr': '服务、房间、位置都很好，要是有个窗户就更好了', 'star': 5}
{'descr': '整体还不错,就是办理入住,退房速度太慢,希望改进', 'star': 5}
{'descr': '如家的隔音墙简直可以说形同虚设，从八点开始，有些声音真是感觉在空旷的原野上传来的雷声，半夜十二点都会被吵醒！', 'star': 1}
{'descr': '环境很好，很安静，而且距离北师大很近。很满意！', 'star': 5}
{'descr': '酒店很安静，只是房间有点小而已。距离北师大很近，附近有不少小吃，还算方便', 'star': 5}
{'descr': '住的还可以，服务态度挺好。', 'star': 3}
{'descr': '还算不错，设施可能不如一些别的酒店，服务态度很热情。', 'star': 5}
{'descr': '帮朋友预订的，连续两次入住，感觉还不错~', 'star': 5}
{'descr': '地理位置很好。房间干净舒适。性价比比较高。', 'star': 5}
{'descr': '还不错，挺好找的，不过司机根本不知道是积水潭店，而是小西口。而且离地铁也没有那么近。不是问口倒是有小吃', 'star': 5}
{'descr': '本来定的双人间，结果给的大床房，在不提前通知的情况下还不给换房。\n环境很一般，以后不会再住那里了。', 'star': 1}
{'descr': '电话错了,态度真他妈差', 'star': 3}
{'descr': 'good~设施配的都挺齐，而且服务很周到，态度很和蔼靠谱，服务是比较满意的，周围都是电影机构哦，中影集团，中国电影资料馆', 'star': 5}
{'descr': '还不错~~交通挺方便的~~不过房间不是很大~~~总的来说~还是不错的~\n', 'star': 5}
{'descr': '酒店的设施不错，房子都很干净，尤其是床，特别有家的感觉，很推荐', 'star': 5}
{'descr': '还不错，房间比较干净，24小时热水，性价比高. ', 'star': 5}
{'descr': '还好吧，我定的特惠大床房，住房部十点给我们打电话说只有商务大床房，所以改定的商务房', 'star': 5}
{'descr': '闹中取静，周边餐饮挺多，有家四川餐馆，不错，还有烧烤，还可以，', 'star': 5}
{'descr': '由于地处居民区里面，所以比较干净也比较安静，但是房间的隔音太差，隔壁或者楼上一点动静就很响。', 'star': 5}
{'descr': '小区环境幽静，但房间隔音太差，楼上要是洗澡，就害怕水会喷下来', 'star': 5}
{'descr': '房间很小，但是位置还不错，出门坐车比较方面。酒店在居民区，比较安静，但是头一次不太好找。服务态度很好。推荐入住吧', 'star': 5}
{'descr': '总体还不错，安静，整洁，出行方便，就是周边环境不是很好，我是蛮喜欢如家的,', 'star': 5}
{'descr': '整体感觉不错，但是清洁人员在打扫卫生时把卫生间打扫的更干净会更好，呵呵', 'star': 5}
{'descr': '虽然不是太好找，但是环境还是比较安静的。可以再来入住。', 'star': 5}
{'descr': '挺干净，价格也合理，就是不太好找\n还好现在有好几个指示牌挂上了', 'star': 5}
{'descr': '干净整洁。在小区里，有些不好找，不过周围由于都是居民区，环境很好，晚上也安静,还有就是房间似乎有些小啊~~', 'star': 5}
{'descr': '我觉得这个如家太难找！为什么一路上没有路标，总体感觉还好！就是没有空调！', 'star': 3}
{'descr': '离地铁还算近，房间比较小。由于在小区里，所以非常安静。还算满意。', 'star': 5}
{'descr': '性价比高，在居民小区内，安静。性价比高，在居民小区内，安静。', 'star': 5}
{'descr': '服务很好，就是房间好小啊，一张床就几乎把房间占满了（我订的是特惠房，208元）。', 'star': 5}
{'descr': '床和被子都很软，就是位置有点难找，总体还是不错的', 'star': 5}
{'descr': '价格比较合理，交通方便，环境和服务还不错，是出差住宿的不错选择', 'star': 3}
{'descr': '有点小贵，不过很舒服，如家一向都是很温馨那种呵呵', 'star': 5}
{'descr': '已入住', 'star': 5}
{'descr': '打开房门发现房间一片狼籍,问了总台才知道上个住客退房后忘记打扫了!还是第一次碰上这种事:-(还好马上换了房间.', 'star': 5}
{'descr': '地理位置很好,离积水潭地铁站很近,交通方便,卫生不错,难得是很安静,在小区里附近吃饭看电影很方便.很满意', 'star': 3}
{'descr': '条件还不错，我要的是个大房间，有阳台，感觉比较舒适，不是227那种。', 'star': 5}
{'descr': '干净，服务很到位，我出门就住如家酒店不错的选择。。。。。。。。。。', 'star': 5}
{'descr': '位置不错，离地铁2号线积水潭站很近\n房间的隔音不太好', 'star': 3}
{'descr': '服务很好', 'star': 5}
{'descr': '干净整洁交通方便离地铁不远位于小区里吃饭很多选择很满意', 'star': 5}
{'descr': '挺不错的酒店，干净整洁。在小区里，虽然有些不好找，不过周围由于都是居民区，环境很好，晚上也安静。', 'star': 3}
{'descr': ' 己经入住,', 'star': 5}
{'descr': '小西天二店的位置在小区内很安静，但离积水潭地铁站走路需15分钟左右。坐地铁相对方便。优点是周围吃的很多。。。', 'star': 5}
{'descr': '卫生一般，房间太小，窗户基本被挡，啥也看不见，蚊子太多。', 'star': 3}
{'descr': '服务好，卫生条件一般，房间太小，早餐15元，且不方便。蚊子特别多，有窗的房间窗户离旁边的楼特别近，基本上和黑天差不多，停车位比较紧张，不花钱。小西天一店离的不远，条件应该不错。', 'star': 1}
{'descr': '酒店很舒服，周围交通很方便，很适宜居住', 'star': 5}
{'descr': '太不好找了，而且我们约定了，到了居然没有房，等了一个半小时才入住。好在服务态度还不错。', 'star': 5}
{'descr': '比较不错的酒店，服务员的素质比较高，房间也很干净，虽然设施不是很好，但是挺温馨。让人住进去真的有一种在家的感觉，下次去了一样会选择这家店。', 'star': 3}
{'descr': '感觉还是比较不错的，房间非常的干净，工作人员素质也比较高。下次去了还会选择', 'star': 5}
{'descr': '服务很好，卫生也好，是京城闹中取静最好的地方，下回还会去的。遮光布很有助于多睡会。细节见证品质。', 'star': 5}
{'descr': '环境还可以，周边饭店挺多，有几家川菜馆盖浇饭很不错，有车位，房间挺温馨', 'star': 5}
{'descr': '觉得整体感觉很不错  下次还会考虑', 'star': 5}
{'descr': '不错。\r\n还比较好。\r\n比较满意\r\n下回还会继续住\r\n比较安静', 'star': 3}
{'descr': '还不错', 'star': 5}
{'descr': '还不错。服务比较其它店要好些。\r\n旁边也有比较多吃得了。离地铁站也近。', 'star': 3}
{'descr': '还不错', 'star': 5}
{'descr': '很舒适的小店，性价比好。', 'star': 5}
{'descr': '服务一般~~', 'star': 5}
{'descr': '性价比超高.而且房间也不错.国为是连锁酒店所以相对来讲比较规范,我个人比较喜欢如家这类的酒店.住起来舒服.', 'star': 5}
{'descr': '第二次住，总体不错', 'star': 5}
{'descr': '除了地板有些股起来以外，别的都挺好的，性价比也高、', 'star': 5}
{'descr': '周边有夜市和一些北京小吃，就是房间隔音不太好，酒店服务态度很好！', 'star': 5}
{'descr': ' 马桶超级难冲  一次性用品的确没有锦江之星的多 很吝啬', 'star': 3}
{'descr': '里面房间很安静 卫生还不错！就是小了点 前台态度不错 ', 'star': 3}
{'descr': '一般一般，太一般了', 'star': 3}
{'descr': '一般', 'star': 1}
{'descr': '在一个闹中取静的地方，服务态度也很不错，尤其还提供有转换插头，虽然没用到，但还是证明考虑很周到。', 'star': 5}
{'descr': '位置有些偏僻，在一个小区里边，离公交、地铁有些距离\n环境不错，比较安静', 'star': 5}
{'descr': '很好的酒店，就是酒店周边环境比较嘈杂，其他都不错，性价比较高。', 'star': 5}
{'descr': '这里位于北三环的小西天居民区内。可以说是非常安全的。周围生活很便利。晚上很晚了，还有宵夜吃，很不错。走个几百米，就有小肥羊、肯德基、吉野家等等吃的。还有很不错的法国超市。另外还可以去中影看电影。离北师大也很近，可以再校园散步。离地铁站也很近，走路大概5分钟吧。走出巷子就是公交，直接可以到西单逛街，很方便。二店停车挺方便得，停车场是免费的。就是觉得吹风机少了点，店里只有2个，借起来不太方便。然后房间', 'star': 3}
{'descr': '位置还不错 就是马桶超级难用很难冲下去 还有一次性用品没有锦江之星给的足', 'star': 5}
{'descr': '环境还可以.离地铁积水谭大约步行十五分钟..在小区里面标识还可以再大些.', 'star': 5}
{'descr': '酒店硬件条件不错，就是服务不够热情.位置很好很方便出行.整体水平较高.', 'star': 5}
{'descr': '其他条件都不错，就是位置不好，有点难找，楼下的幼儿园还有周围的居民夏天时喜欢乘凉聊天，有点吵', 'star': 5}
{'descr': '就是有点偏，屋子有点小，其他一切都做得很好我很喜欢~~', 'star': 5}
{'descr': '总的来说酒店内部还算可以   但是开车进去相当的不方便   马路两边挤满了小商贩   非常拥挤', 'star': 3}
{'descr': '干净，但比较偏，安静', 'star': 5}
{'descr': '位置还不错，房间也还行和其他的如家感觉都差不多都是挺好的，价格也还是很合理，性价比挺高的。', 'star': 5}
{'descr': '电视搜索的台太少了和我在其他地方看的电视台少多了，一开始去的时候因为也不熟悉不是太好找知道位置就还行，价格还是有些贵了，房间也很一般。感觉没有什么特别的地方。', 'star': 1}
{'descr': '离地铁有些远，卫生不错很干净，设施完善，服务也蛮热情周到的，价格有些高了，其他都不错。', 'star': 5}
{'descr': '不错。就是地点不太好', 'star': 5}
{'descr': '综合来看性价比还凑合，不过特惠大床房没空调。', 'star': 5}
{'descr': '整体上还可以，就是位置不好找', 'star': 3}
{'descr': '整体可以', 'star': 5}
{'descr': '感觉很温馨~~就是位置不太好找~~', 'star': 5}
{'descr': '总的来说还是不错的酒店，就是刚进屋就发现马桶堵了，这点不是很好，希望以后能注意这方面的维护。', 'star': 5}
{'descr': '房间实在是拥挤。', 'star': 5}
{'descr': '地理位置很好，新街口附近有很多性价比超高的小吃。唯一不足的是楼下就是社区公用的健身器材，隔壁是一所小学，还好我们住在远离小学的一侧，否则清早会很吵。房间不错，如家的一贯作风，干净整洁。但4月的北京依然很冷，供暖系统却不给开，所以房间内很冷。总体来说性价比不错。', 'star': 5}
{'descr': '不错，安静，舒服！', 'star': 5}
{'descr': '小了点', 'star': 5}
{'descr': '双人房还不错', 'star': 3}
{'descr': '标准的如家配置，就是感觉大床房小了点', 'star': 5}
{'descr': '地点在一个小区里，，，而且要经过一条长长的市场。。。找了半天才找到。其他条件还可以，和众多如家没区别', 'star': 5}
{'descr': '设施差了些，位置难找了一些。', 'star': 1}
{'descr': '服务态度不太好，下午去的还要等半天才能入住1', 'star': 1}
