{'短评内容': '早餐很棒，位置优越。', '短评打分': 5}
{'短评内容': '说实话，老板娘人好到不行，但我订的时候大床房价格很高，入住后发现性价比不是很高，房间小可以将就，但被子和枕巾不太干净，尤其是浴室浴巾，而且我住了三晚，每次浴巾脏了，服务员收拾房间时都不会换，我扔在地上她都会重新捡起来挂上，真的无语了，不知是不是那边人真的不太爱干净。总之一句话，硬件不怎样，软件不错。', '短评打分': 5}
{'短评内容': '性价比很高 尽管小小的 却在细节处透着大气 房间有点小 洗澡非常舒服 还缺了张可放置物品的桌子 服务员很周到有礼', '短评打分': 5}
{'短评内容': '这家酒店很好，老板也很热情，距离大昭寺5分钟路程，玛吉阿米步行3分钟，很方便。', '短评打分': 5}
{'短评内容': '相当不错，性价比高，服务态度也好，位置不是太好找，服务员出来接的我们，让人很贴心', '短评打分': 5}
{'短评内容': '很好,干净小巧.很有藏式特色,服务也很温馨.', '短评打分': 5}
{'短评内容': '不错，既有宾馆的硬件水平，又有驴舍的氛围，大堂和餐厅都经常有驴友在交流，大门口还有各种驴友分享和发布的旅游信息。老板的服务态度好，由于位置在江苏路的一个巷子里不好找，老板亲自到江苏路上来接我们入住。房间设施算齐全而且干净，只是太小了点，缺少可放杂物的柜子和桌椅。装潢很有藏族特色，美中不足的是有五层楼还没有电梯。在屋顶可以晒衣服，且设有用餐区，也可以遥望布宫和远山，阳光下坐着发发呆很是惬意的说~', '短评打分': 5}
{'短评内容': '酒店交通很方便，前台服务员态度很好，安排的房间也很安静，整体感觉不错。', '短评打分': 5}
{'短评内容': '位置一流，离大昭寺只有500米。酒店老板服务一流。', '短评打分': 5}
{'短评内容': '很有特色的宾馆，很喜欢，老板娘也特别好', '短评打分': 3}
{'短评内容': '酒店虽然小，但很有藏式风格，有大酒店不同的入住体验，也挺干净的。可以推荐。', '短评打分': 3}
{'短评内容': '房间环境还不错，位置不好找出行还可以，价格还凑合。', '短评打分': 5}
{'短评内容': '酒店房间卫生条件很不错，这里的服务很好，服务周到热情，环境不错，性价比也蛮高的', '短评打分': 5}
{'短评内容': '酒店服务相当的好，价格经济实惠，房间装修风格比较独特，卫生很好，住宿环境一流', '短评打分': 5}
{'短评内容': '酒店周边环境很好，从酒店里可以看到百米外大昭寺的金顶，还可以眺望到布达拉宫，这里的服务员对我们很热情，也很热情的招待我们', '短评打分': 5}
{'短评内容': '新开业的酒店，很不错，酒店在在八廓街附近的巷子里，步行1分钟就能到玛吉阿米，房间打扫的很干净，舒适度特别好，服务周到热情，住宿环境很不错', '短评打分': 5}
{'短评内容': '很不错的酒店，房间装修的很有特，卫生条件很好干净整洁，服务周到热情，住宿条件很不错，下次还会考虑入住的', '短评打分': 5}
{'短评内容': '性价比很高的酒店，里面都是藏式的装修风格，居住条件干净舒适，服务员都很热情周到，住宿环境挺好的', '短评打分': 5}
