{'短评内容': '如家忠实用户，只要目的地有如家，就会住。', '短评打分': 5}
{'短评内容': '很好 适合入住，便宜实惠', '短评打分': 5}
{'短评内容': '我上次住这主要是为了第二天赶火车，我觉得这家酒店还可以，环境不错，要是价格在低点就更好了 ', '短评打分': 3}
{'短评内容': '如家的每一家店都让人感觉很舒适，一样的色调，熟悉的家的感觉。位置不错，距离主要交通干道中州路只隔一条马路，出行非常方便，而且去市中心和主要景点都不远。', '短评打分': 5}
{'短评内容': '当时临时由大床房改为标准间，没想到这里的房间超大，估计大床房也会如此。\r\n当时唯一不满意的就是早餐，饭菜可口度较差，难道是逼着你去外面吃正宗洛阳早餐？\r\n可口度如果你没概念，我可以解释两点，蛋炒饭的饭是粘粘的，肉炒菜里面没有瘦肉都是碎肥肉。\r\n出了做菜的方面其他部分都很不错。值得入住\r\n', '短评打分': 5}
{'短评内容': '交通非常方便，走五六分钟到中州中路就有81路和56路公交车，分别可以去龙门石窟和白马寺，附件还有一家建坤水席不错，真不同是吃个名气，又贵又不好吃', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，配置也比较齐全。卫生服务都还不错，很干净的酒店，地理位置也很不错，中心地带的位置价格算是合理吧，当时五一节期间还是可以理解接受的。', '短评打分': 5}
{'短评内容': '房间的卫生可以，比较干净，就是餐厅的桌子有很多时候都没人收拾，服务也还不错，别的还可以，上次去的时候正好赶上牡丹花卉节，价格也高了点，平常还可以，总的来说还行', '短评打分': 5}
{'短评内容': '房间挺干净的，服务也不错，就是价格稍微高了点，总的来说还可以 ', '短评打分': 5}
{'短评内容': '酒店新开业的卫生比较干净,位置很好到哪打车都很近,设施也比较齐全,服务也继承了如家酒店的好的服务.性价比很高的.', '短评打分': 5}
{'短评内容': '除了价格以外各方面都不错，牡丹花会期间房价上涨很迅速噢', '短评打分': 5}
{'短评内容': '因为当时有牡丹花会俩个会,酒店的价格还是可以理解的,环境硬件设施都很不错,位置也很方便.', '短评打分': 5}
{'短评内容': '就像如家其他的酒店一样，很干净，很舒服！卫生间比洛阳其他更贵一些的酒店都要大一些，舒服卫生一些。服务员素质很高。唯一不好的是，服务员忘记给我100元代金券了，哎！我也是坐上出租车之后才想起来的。', '短评打分': 5}
{'短评内容': '空调不太好用,卫生环境不错,就是离火车站有点远,不过交通还不错,说可以赠送优惠卷,但是服务员没给我', '短评打分': 5}
