{'短评内容': '很划算，性价比高，离西街超级近', '短评打分': 5}
{'短评内容': '虽然设施相对简单，但是却很干净卫生，有家的感觉。意外惊喜就是有几个房间的阳台是有吊椅的哦，好玩。老板也都不错，很热情周到。虽然离西街相当近，但是却相当幽静，在县政府边上，治安是没的说了。推荐，下次去还会考虑住这里的。', '短评打分': 5}
{'短评内容': '老板人很好房间也很干净给我们定的遇龙河漂流的筏工也很负责任', '短评打分': 5}
{'短评内容': '老板 太好了 非常热心 每次出去玩 都送我们去车站 还帮助 我们设计行程 真的是太好了 非常适合自由行的朋友', '短评打分': 5}
{'短评内容': '客栈离西街挺近的，环境感觉挺简洁大方，卫生很好，价格挺便宜，住的挺满意。', '短评打分': 5}
{'短评内容': '酒店属于那种闹中取静形式，很安静，也很干净，价格也不贵，感觉挺不错。', '短评打分': 5}
{'短评内容': '老板很热情，我们住的是个家庭套房，房间很大很明亮，总体感觉还是不错的。', '短评打分': 5}
{'短评内容': '我觉得挺不错，空间宽敞明亮，设施简单实用，服务热情周到，价格也合理，值得推荐。', '短评打分': 5}
{'短评内容': '就是西街旁边，感觉非常好，出来逛街游玩都不错，老板很热情', '短评打分': 5}
{'短评内容': '酒店老板人很好，很热情感觉很亲切，房间挺大的，打扫的很干净，设施挺简单，住起来感觉还不错。', '短评打分': 5}
{'短评内容': '客栈的主人特别和善，少了出门在外的感觉，像家人和朋友。\r\n步行不远就是漓江和西街，主人会介绍很多经验和常识，为游玩提供相当的便利。', '短评打分': 5}
{'短评内容': '老板是一对年轻的夫妻，人很好，本地人；去游泳时老板会告诉你游泳的安全地点；还有老板推荐的石锅鱼也很好吃，两个人点了一个锅只要35元，分量足，竟然没有吃完；而且旅途中的疑问老板都会热情告诉你；由于都是年轻人，出入老板都会热情地和你答话，而且还告知有洗衣机可以用；很喜欢这个旅馆，下次来阳朔还会入住。', '短评打分': 5}
{'短评内容': '周边环境很安静，内部环境很舒适，休息的很好，睡的很踏实。', '短评打分': 5}
{'短评内容': '房间挺大的，设施也算齐全，打扫的挺干净。24小时的热水，感觉住的挺舒适的。', '短评打分': 5}
{'短评内容': '挺干净，挺舒适，价格也挺便宜，值得推荐。', '短评打分': 5}
{'短评内容': '老板很好，人很随和，服务很周到，感觉很亲切。', '短评打分': 5}
{'短评内容': '位置不错，适合喜欢安静人士居住，里西街也挺近的。', '短评打分': 5}
