{'descr': '房间干净卫生，满分', 'star': 5}
{'descr': '位置很好 服务还可以', 'star': 5}
{'descr': '相对于价格，还算不错。不过设施条件是比较差。。', 'star': 1}
{'descr': '價格可以再低些！', 'star': 5}
{'descr': '宾馆距离火车站很近，我入住的是大标在二楼，没有电梯，走廊很长非常不方便，楼层服务员态度很好。早餐很简单，经济紧张的朋友可以考虑这里，后门就是人民公园', 'star': 5}
{'descr': '比较干净，还不错！', 'star': 5}
{'descr': '设施差，房间连椅子都没有，糟糕的宾馆。 \r\n', 'star': 3}
{'descr': '性能价格比低，设施差，以后不会入住，房间连椅子都没有，从来没有住过这么糟糕的宾馆。', 'star': 1}
{'descr': '很一般的酒店，价格偏高，其他都还好。', 'star': 1}
{'descr': '房间没有桌子不方便，上网只能在床上，但是有无线网络，不然就疯掉了。\r\n服务和卫生都挺好，早餐10元有点简单。', 'star': 3}
{'descr': '整体感觉还不错，但是服务员还是需要多加培训。。\r\n\r\n本来早上想睡个懒觉，10点过服务员就敲门了， 气得我恼火。 不过说是宾馆根据客户需要，统一给换床垫，还每个房间多给个枕头，多安逸的，我就忍了。。。。不过能不能等我退房了再整啊。。。\r\n\r\n\r\n', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '怎么我到哪里都这么背呢。半夜有一对夫妇在走廊里吵架，好像是抓奸来的，搞的头半夜几乎没有睡。我订的大床房，在2楼，卫生很干净，住着算是比较舒适，就是房间不是很大，并且没有写字台。', 'star': 3}
{'descr': '这个价位还算是不错，就是早餐稍微简单了点', 'star': 3}
{'descr': '一般，卫生间味道太重，是地漏的问题', 'star': 3}
{'descr': '离车站挺近，便宜，设施一般，不过挺干净。前台小姐太过热情了点。上……嘎嘎\r\np.s.宾馆餐厅的凉拌茄子挺好吃的……… \r\n推荐给像我这种住不起星级的，但要求干净舒适的人~~', 'star': 5}
{'descr': '就是地漏的问题，味道很重，但是服务员很热情', 'star': 1}
{'descr': '阴暗的房间，陈旧的设施，惟卫生间尚称干净．百多的价位称不上实惠，这样档次的客房算不上物超所值！！', 'star': 1}
{'descr': '总体性价比是比较高。价格便宜，卫生挺干净，服务比我住之前想的要好的多，看样子他们在服务上面倒是下了不少的功夫。装潢风格老了一点，跟锦江他们不是一个风格，现在一般只有星级才搞这样的装潢，经济型必须要有家的感觉才行。别的都是一般的酒店没什么两样，2张床，不过是液晶电视，应该是24寸的我估计，有一个电脑桌，网速只要不下载只是浏览网页还可以，估计是他们做了限速之类的。早餐简单了点，不过10元钱倒是便宜的价', 'star': 5}
{'descr': '我订的是单人间...房间和照片拍的一样,但是这几乎就是整个房间的大小了,没有写字桌,上网一塌糊涂,每分钟平均掉线5下...找服务员来了,修好了,说上网高峰,忍耐下...尽管服务很热情...床很硬,钢丝感觉很明显,早上起来背疼...不适合商务人士...因为连写字桌都没有...而且设计很有问题,点插头在床左边,床头柜在床右边...唉...就是价格便宜...\r\n不过总体感觉有些陈旧...唯一好的似乎就是', 'star': 1}
{'descr': '前台服务态度很不错\r\n不过地暖的味道有点大 ', 'star': 5}
