{'descr': '睡觉睡觉睡觉睡觉就三剑客之一。我的k', 'star': 5}
{'descr': '交通方便,价格合理,但是不处于繁华市区,到前门需坐3站地铁.服务素质参差不齐,入住当天服务不错,拿房卡后发现异味太大,当即可以调房.第二天的小姑娘态度就差了点,爱理不理的,批评一个.总体来说,适合预算不大的游客入住.', 'star': 5}
{'descr': '酒店位置不太好找，门头不显眼，酒店门口是公厕，房间挺一般，床垫容易下滑，不舒服，靠近走道，比较吵。......................', 'star': 1}
{'descr': '一条一条说吧。。。\n1、酒店位置不好找，打了无数通电话没有一通接通，一路打听到了酒店前台，发现前台有三拨客人，前台3位人员根本就无暇接电话，还说我打错了。。。无语\n2、酒店不能刷信用卡预授权\n3、进了房间一下子被电水壶吓一跳，外表一层全是白色石灰色的水垢，盖子还掉下来了，让服务员换，10分钟后一个紧紧是盖子没掉下来其他特征一样一样的电壶出现在我面前。。。还好酒店送两瓶瓶装水，就是火车站过街天桥上老', 'star': 1}
{'descr': '这个酒店太差了！是我住过最次的酒店，本来预定住3天的，最后只住了住了一天，要不是房费已交我一天都不会住！一出电梯就发现有很重的异味，房间里卫生不干净，床上还有头发什么的！浴室很滑没有防滑垫！总之太差！', 'star': 1}
{'descr': '酒店位置还是不错的，二环内，离地铁五号线天坛很方便哦，环境也还过的去拉', 'star': 5}
{'descr': '酒店位置不错，离天坛地铁挺近的，出去游玩还是很方便的', 'star': 5}
{'descr': '一进门发现卫生打扫的不够干净，遗留下来的头发比较多，水杯外面还有黄色的印记没有洗掉。', 'star': 1}
{'descr': '在北京二环以内，环境还行，交通很方便，工作人员服务态度也很好，原来订了三个特价标准间，入住的时候只有两间，后来以豪华标准间予以补偿，依旧是原来特价标准间的价格，很实惠，性价比很高！', 'star': 5}
{'descr': '主要是交通方便，服务一般，房间太小，卫生一般', 'star': 5}
{'descr': '入住的时候，出了点小事故，前台经理态度特别不好，\n房间味道很不好闻，卫生一般，设施也一般，柜子都是坏的。。。', 'star': 1}
{'descr': '价格比较便宜，出行相对比较方便，值得推荐', 'star': 5}
{'descr': '第一天进房间里面竟然有五六只苍蝇，我们拍了半天还有两只，厕所有股很浓的臭味，应该是下水道的。第一天客房打扫还可以，还送了两瓶矿泉水，之后的几天打扫非常马虎，拖鞋也不给了，地巾也没有了，最后一晚一家人被蚊子折磨了一晚。。。就床睡着还挺舒服。', 'star': 1}
{'descr': '.酒店房间很差.卫生间问道很大.蚊子特别多', 'star': 3}
{'descr': '价格不错， 很普通，很正常。交通方便，中规中距。', 'star': 5}
{'descr': '位置还不错，就是房间有一种发霉的味道，而且隔音不好，晚上有点吵。', 'star': 1}
{'descr': '酒店房间很干净，晚上四周很安静，酒店四周小吃饭店都很多，就是门被大树挡着，找了好久，还是打电话问前台才看见门在哪个地方!', 'star': 3}
{'descr': '位置还可以，但是不像网站上介绍的那么好，紧邻门口有一个老式公厕，这个时候的味道太冲。我是14点以后到达，但是酒店前台告知说还要在等待，因为我的房间还没有空出来，理由是我最晚到达时间是20点，这个理由我认为很不充分。过了一段时间后告诉我还有一间房间，是在1楼的楼梯口处，隔音很差，晚上12点左右都能听到外面很吵，不知是旅游团还是工作人员。入住的房间感觉不像是豪华标准间，不知是不是网站上介绍的特价的，不', 'star': 1}
{'descr': '不是很好找，而且卫生也不是很好，感觉有点脏脏的。', 'star': 1}
{'descr': '感觉这个酒店还不错，比较干净', 'star': 3}
{'descr': '一直住这家酒店，哪都好，就是房价越来越贵，房价的上涨直接影响我下次选择这里的决心，我不明白的是为什么大床的价格跟双床的还不一样，高出几十块，图什么呀？', 'star': 5}
{'descr': '坐车挺方便，就是一进屋里面有股难闻的味道，应该是下水道的问题吧', 'star': 5}
{'descr': '比较安静，距离地铁站近，交通还算方便..不过房间有点旧感觉', 'star': 5}
{'descr': '北京的酒店房间貌似都很小，这里的也是，厕所也小，房间里还有股大蒜头的味道，而且不是正宗的格林豪泰，只是加盟店', 'star': 1}
{'descr': '酒店服务态度太差,定的家庭房进去门锁都是坏的,要加个枕头要了两天才终于给加了一个,信用卡还不能预授权.', 'star': 1}
{'descr': '距离天坛很近，打车到天安门广场前面的正阳门很快，十几分钟就到了，交通比较方便。\n这次订了两间房，8229那间有问题，洗手间门关不上，地上的水挡也没有了，喷淋头水太小，而且不够热，本人要洗较热的热水澡。  还有就是感觉房间小，设施比较简单。上网速度有点慢。\n提出来希望酒店可以做得更好些。\n', 'star': 5}
{'descr': '房间干净整洁，不错', 'star': 3}
{'descr': '交通方便，价格合理，设施过得去，服务很好（在外面晾的衣服，下雨了，服务员帮忙收了，表示感谢）。', 'star': 5}
{'descr': '挺好', 'star': 3}
{'descr': '环境位生不太好', 'star': 3}
{'descr': '还不错    主要是离地铁近  天坛走路5分钟就到   楼下还有庆丰包子   周围还有好多饭店   地铁出口就是红桥市场   价位可以接受', 'star': 5}
{'descr': '不错，干净，舒适', 'star': 3}
{'descr': '木有小卡片啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊', 'star': 1}
{'descr': '环境还可以', 'star': 3}
{'descr': '各方面都不错 服务态度也好价格也好 字数不够。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店位置不错，性价比很高。\n室内卫生与服务也很好。', 'star': 5}
{'descr': '酒店服务人员态度很不错，不过酒店条件很一般。网上预订时是豪华标准间的促销，但是去到时候入住的是特价标准间，在一个角落里面，对流不太好。卫生间的马桶也不是特别好。但是这个地段，这个价位还可以把。', 'star': 1}
{'descr': '条件一般,位置好。总体不错。', 'star': 3}
{'descr': '酒店边上有个公厕，很臭很臭，房间小了点，而且墙上的墙纸有点剥落，卫生间的地漏不是很通，而且排风扇声音太吵了', 'star': 3}
{'descr': '房间卫生间有些异味，第二天就没了，总体不错比想像得要好，价格还行', 'star': 3}
{'descr': '特价的房间就是没法住啊（99.8元），窗户是朝向走廊的，白天不开灯跟晚上差不多，超级不隔音，而且卫生间特别有味，根本没办法通风，请问这样的房间怎么住？', 'star': 5}
{'descr': '酒店位置不错,闹中取静,离地铁天坛东门站仅几百米.周边还有多条线路公交车经过．是旅行住宿的首使,值得推荐.', 'star': 3}
{'descr': '还行吧，就是有点旧了，服务还好。--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '特价房内部设施还算过得去，虽然我这次发现这种加盟店比我从前住的真正的格林豪泰在设施和提供用具上质量存在很大差异，但是以这个价钱住这个位置这家店的水准还是值得的了。。。', 'star': 5}
{'descr': '酒店不错，不过离地铁还是稍远，再近点就更方便了', 'star': 3}
{'descr': '不错，虽然有点吵，但物有所值。', 'star': 3}
{'descr': '环境还可以,就是卫浴空间太小.不过只是晚上住,还挺经济的!', 'star': 3}
{'descr': '艾颂捷已入住格林豪泰酒店。', 'star': 3}
{'descr': '离北京站很近 ，，，离地铁也很近。。。。。。。。  位子在胡同里 。。 很有北京特色·  而且床单非常干净·', 'star': 5}
{'descr': '离地铁近,楼下有早点店,便宜,很好!', 'star': 3}
{'descr': '还是挺不错的，方便去景点，价格也适中，我会再来的。', 'star': 5}
{'descr': '透气性差，但是交通很方便，离地铁站近，勉强可以', 'star': 1}
{'descr': '服务好\n', 'star': 3}
{'descr': '还行.挺方便的', 'star': 3}
{'descr': '房间很大，卫生设施也挺好的。\n就是地方比较难找，希望把名字改一下，“格林联盟”和“格林豪泰”，刚开始找了半天', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '比较干净，服务态度很好，热情\n有点异味，一楼窗户不靠街，安静。\n床很舒服', 'star': 5}
{'descr': '挺不错的，好找，周围安静，有KFC和呷哺呷哺等餐馆。不过貌似现在涨价了。。', 'star': 5}
{'descr': '房间太小，通风不好，而且隔音不好！希望尽快改善', 'star': 5}
{'descr': '环境不错，交通也很便利', 'star': 3}
{'descr': '酒店服务不错，标间听暖和，就是小些，电视比较小。', 'star': 5}
{'descr': '环境不错！服务也很不错！就是地有点偏......', 'star': 5}
{'descr': '性价比很高，稍微有点不太好找，但交通很便利！', 'star': 3}
{'descr': '价格便宜,环境一般,交通还算便利,感觉比格林豪泰其他的酒店档次要低', 'star': 5}
{'descr': '价格合适，前台服务不错，但有的房间有味道，不过你可以和他们说一下，会很快和你更换的！', 'star': 5}
{'descr': '位置环境还可以，房间隔音效果太差，特价房性价比绝对一流', 'star': 5}
{'descr': '酒店服务及设施差。 如我住的房间洗手盆无水， 淋浴水要放20分钟才热而且忽冷忽热。可能是受其他房间使用淋浴影响。房间很冷向服务员要求加一床被也被拒绝。', 'star': 1}
{'descr': '房间比较小 没有穿衣镜 装修陈旧 服务很热情', 'star': 3}
{'descr': '很不错啊，值得一去，交通便利，很安静！下次再去北京还会选择折价款、酒店，适合出差，旅游的人们！！！', 'star': 5}
{'descr': '房间还不错，要是每天能提供一间有窗户的特价房就更好了，', 'star': 3}
{'descr': '价格挺便宜的，附近交通也挺方便。环境还不错，就是我的房间在一楼，走动的人比较多，隔音不是很好。', 'star': 5}
{'descr': '酒店位置相对好找，但附近环境不好，店门不远处有厕所。周围摊点较多。停车不方便。店内设施显得陈旧，房间隔音效果差。不作为首选入住。', 'star': 1}
{'descr': '还可以，实惠。', 'star': 3}
{'descr': '性价比可以，就是吵，房间隔音效果差 。还是可以入住的，尤其是家庭大床房', 'star': 5}
{'descr': '真的挺好 性价比高 楼下有家网吧和餐馆\n离地铁站十分钟\n外面的街上有吉野家肯德基', 'star': 5}
{'descr': '位置偏，不好找，房间也小。隔音效果也不是太好，格林豪泰应该是不错的，但这家一般吧', 'star': 1}
{'descr': '＋住得特惠大床房，房间不大很干净，房间的窗户对着走廊，所以隔音稍差，不过还在接受范围，总之对得起这个价格。', 'star': 3}
{'descr': '特价房太差了，又小又闷，而且在门口，特别的吵，住的很郁闷', 'star': 1}
{'descr': '很不错，周围景点多，距离地铁也近，很方便', 'star': 5}
{'descr': '房间虽然小点，但干净，住着很舒服，服务也很好！', 'star': 5}
{'descr': '房间小 普遍有气味 刚开始预订的特价房还有一股很浓重的屎味 后来调换了标间 但也有气味  设施比较简单 而且碰上浴室热水坏了五点后才能用 热水很不稳定 没法调冷暖 忽冷忽热 地点还好找 在天桥市场后面 有个工地边上\n', 'star': 1}
{'descr': '没想到是个小店，条件还可以，就是比较难找！', 'star': 3}
{'descr': '位置离地铁挺近的，附近玩的地方也挺多的，还不错！', 'star': 5}
{'descr': '房间比较合理,基本设施齐全,就是洗浴最好搞一个小浴箱,拘掉浴帘.', 'star': 5}
{'descr': '挺不错的，只是位置有点偏', 'star': 3}
{'descr': '服务员不错,地理位置很好,红挢市场后院穿过去距地铁很近', 'star': 3}
{'descr': '房间不隔音，其他还好，很暖和，第二次住了', 'star': 5}
{'descr': '挺好的。。。。。。。。。。。。。。\n，，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '家庭房确实不错也相对安静，前台的态度还可以。', 'star': 5}
{'descr': '还不错，环境和服务都还可以，性价比也比较高。\n只可惜周围吃饭的地方不怎么样。', 'star': 5}
{'descr': '总的来说还行，详细来说的话，主要说说缺点\n1、位置缩在里面，也许安静一些，不过相对也难找一些，不过安静为上\n2、房间很大，条件还不错，但是电视太小，我一开始以为是电脑液晶显示器\n3、房间隔音太差，早上服务员的声音不小\n4、走廊的灯不是声控的，偏偏房间还有个对着走廊的窗子，窗子还没窗帘，导致睡觉的时候很亮，我出去关了一次，不一会又被路过的人打开，又出去关了一次\n5、屋子里的暖气管道，水声哗啦啦……\n', 'star': 5}
{'descr': '好的店', 'star': 3}
{'descr': '交通方便，附近的餐馆也比较多，价格都挺实惠\n', 'star': 5}
{'descr': '＋总的来说挺好，格林豪泰的房子都不错，九九.八特价就更值了。交通比较方便。', 'star': 3}
{'descr': '房间很不干净，到房间，换拖鞋时，发现拖鞋是湿的，没有卫生纸，有一块毛巾，搭在马桶水箱上，没叠，7点钟，就借不到吹风机了。特价房，没法说。', 'star': 1}
{'descr': '卫生 服务都还是可以的 但是隔音差 另外没有一次性拖鞋 大家可以去试试', 'star': 5}
{'descr': '酒店的软性服务没有 配个保安可以解决很多事情，但是估计加盟店考虑成本吧所以人员缩减。致使晚上没有保安巡楼。我住的隔壁从23点开始一直到02:30一直就是叽叽喳喳的眉飞色舞说笑着 声音之大比情侣唱戏的声音还要大，但是没有人去管（因为没有保安）晚上睡觉的床真不是一般的硬 除了床单外就是硬的床垫了。第二天被楼道客房大姐吵起来后浑身那叫一个疼啊！本来被吵的睡的就晚 第二天早上还被客房大姐的嘹亮嗓门给二次叫', 'star': 1}
{'descr': '很潮湿，位置很难找，而且那天晚上楼顶上面的灯都没有开。', 'star': 1}
{'descr': '····························很好···············', 'star': 5}
{'descr': '同意刚刚的一位朋友的意见，一塌糊涂，去的其他酒店都安放了加湿器。就你们一家没有放，皮肤痒死了。', 'star': 1}
{'descr': '酒店位置描述不正确，很难找。\n另外没有安放加湿器', 'star': 1}
{'descr': '容易找到，交通便利。我们住的是豪华家庭房，干净舒适。服务员的态度也很好，值得推荐，下次还会选择这家。', 'star': 5}
{'descr': '房间比描述的要小点，隔音还是不太好吧，服务态度还是蛮好的。', 'star': 1}
{'descr': '还行，隔音不是很好。有机会还会去住，总体一般。', 'star': 5}
{'descr': '很好的一家店，我是看到有人批评说门前有个厕所，但是到了那里一看，公厕的现象对住店一点都没有影响。在那个地方，这个价钱非常超值！', 'star': 5}
{'descr': '总体感觉比较好  毕竟这个价格已经很便宜了\n优点呢  交通比较方便  离地铁站很近  位置很好 屋子相对比较干净整洁\n缺点呢  屋子通风不好  一开门就有股很大的潮气味道  还有就是 卫生间的地下特别容易积水  要注意防滑才行\n        ', 'star': 5}
{'descr': '隔音效果太差但性价比还行', 'star': 3}
{'descr': '环境不错，就是隔音效果一般，不过这个价格的性价比还是可以了。', 'star': 5}
{'descr': '总体感觉还可以，只是感觉房间不隔音，能很清晰滴听到走廊里的所有声音。另外，热水需要放很长一段时间才能“到来”，既感到不便，也是很浪费水的。', 'star': 5}
{'descr': '一下飞机，联系前台，客服很耐心的指路，并告知信用卡担保的房间不必考虑抵达时间，房间小巧，但住着感觉不错，满温馨的。下次来北京，还会住。', 'star': 5}
{'descr': '屋内很温暖，房间不错，晚上也比较安静，离地铁站很近，满不错的。', 'star': 5}
{'descr': '这次在一楼住的，不知道为什么暖气不太热，被子有点薄，建议给准备备用被子，不过也可能我们没找到。\n\n总之住的还算挺好的。', 'star': 5}
{'descr': '条件一般', 'star': 3}
{'descr': '还可以吧，地理位置还行，环境一般，不是格林豪泰，是格林联盟，服务满好！', 'star': 5}
{'descr': '物超所值，房间设计体贴入微，隔音较差是些许遗憾', 'star': 5}
{'descr': '说白了就是一个小旅馆，下次不会再入住。影响格林的名声。', 'star': 1}
{'descr': '这次因为没有旅游的人了，还是比较安静的，除了如果睡懒觉会被退房人的声音吵醒。。因为特价房窗户靠近走廊，所以声音会比较大。。。\n\n其他条件都很好。洗浴电视床等。。就是没有免费的矿泉水了，汗。。。。', 'star': 5}
{'descr': '房间环境很不错，位置稍微偏一点，价格适中，值得推荐。', 'star': 5}
{'descr': '房间不错，就是小点', 'star': 3}
{'descr': '服务不错，交通便利。。。。。。。。。。。', 'star': 5}
{'descr': '吵就一个字。。。住了三天一塌糊涂\n没有办法好好休息 隔音已经差到一定境界了\n每天7点多 打扫卫生的服务员就开始在走廊上叫来叫去了\n投诉也没有用 还有一些旅行团 5点多就要出发的那种 也在走廊上叫唤\n投诉了也没有用\n想象一下吧  在北京玩得很累 早上被吵醒两次。。。。\n\n而且是加盟店 卫生一般 门口一个公共厕所\n体育馆西路走进去有一段距离\n晚上黑灯瞎火的。。。', 'star': 1}
{'descr': '还可以吧，就是稍微小点，对得起这个价格了', 'star': 5}
{'descr': '干净干净干净干净干净干净干净干净干净干净干净干净', 'star': 5}
{'descr': '性价比高，适合推荐，，，建议四周脱落的墙纸粘一下，卫生间洗浴帘更换短一些的，别拖在地上，，，', 'star': 5}
{'descr': '位置一般，服务一般，房间却不是一般的小，一般情况下不会再入住！', 'star': 1}
{'descr': '酒店位置好，出门就是天坛，离北京站也很近。定的99.8块的特价房，比较干净，就是房间稍小', 'star': 5}
{'descr': '离地铁比较近。\n周围餐饮比较少，早餐不方便。\n房间比较干净，不是很大，但还是比较舒服的。', 'star': 5}
{'descr': '住的特价房，房内设施都很好，能上网，网速也不错。免费矿泉水。\n\n但是由于窗口在走廊，而且离楼道口比较近，所以可能会有一些噪音。而且不知道那天住的什么客人在讨论什么。反正就是晚上睡觉前和早晨很早的时候会比较烦，大概在讨论旅游的事情吧。还有就是服务员在很早的时候也声音比较大，那个呼机很讨厌。很烦。。。\n\n不过总体还不错，对于早睡早起的人来讲。。。。。而且前台服务态度很好。。。问路也不嫌烦，很感谢！', 'star': 5}
{'descr': '性价比挺好,环境一般,空间太小', 'star': 3}
{'descr': '比较满意', 'star': 3}
{'descr': '我定的是特价房,房间卫生干净舒适，就是隔音稍差点,但地理位置优越，地铁、公交出行非常方便，紧挨着天坛公园。总体而言物超所值，值得推荐', 'star': 5}
{'descr': '服务设施还是可以的 值得推荐 就是价格和周边的汉庭 如家 7天 百时来比较的话会稍高了一点点。喷淋头是不能拿下来的那种老式淋浴', 'star': 5}
{'descr': '88元特价勉强接受了，不过再高就不值得了，住的房间比较旧，卫生也差强人意', 'star': 5}
{'descr': '本来看网上对他家的评价说门口有个公共厕所对他家抱着一般的希望，结果比我想象中好很多，我们因为路上耽搁去的有点迟，我们定的房型没了，前台免费帮我们升级到豪华大床房。不过地理位置是满难找的，不过影响不大，值得推荐，下回去北京还会去他家住的！！！', 'star': 5}
{'descr': '此酒店位置非常优越，在平安里地铁口二十米距离，服务员的态度不好。', 'star': 3}
{'descr': '很好的，干净，宽敞，就是隔音不太好，不过可以忽略…', 'star': 3}
{'descr': '交通方便，但房间有点小。还可以吧。', 'star': 3}
{'descr': '地点位置很好，价格在北京来说很不错了。另外恶龙竟然有返券，感觉上很超值啊！', 'star': 5}
{'descr': '这次订得是特价房。由于有窗户，半夜和早上非常吵。楼道老是有人说话。再有门缝地下漏风。空隙不小。', 'star': 5}
{'descr': '卫生条件还不错，就是卫生间反臭迷漫整个房间，很难受，还有附近施工噪音很大。', 'star': 1}
{'descr': '走廊窗户外面的毛玻璃可见酒店为客户着想，但是隔音不好，早上其他房间客人出入走路的声音非常清晰', 'star': 5}
{'descr': '一开始进房间的时候感觉有点小，床板偏硬，可是在没有开暖气的时节就考虑到住户需要开了暖气，真的很贴心，排水系统，照明系统的一切正常，房间是地板的，很干净，床很大，交通蛮方便的，离地铁站近，天坛东门站，价格也便宜，窗户对着走廊其实不影响什么的，反正室内有排风扇，反正没有怪味。我很喜欢，下次还会继续选择格林豪泰&#183;&#183;&#183;前台服务也很热情有礼貌', 'star': 5}
{'descr': '第一次入住，位置不是很好找，但是离地铁和公交站都不是很远，出行很方便。酒店卫生还可以，设施很全，还有免费的2瓶矿泉水，因为没有什么牌子，就没敢喝，呵呵，就是房间有些小了，如有机会下次还去这里。', 'star': 5}
{'descr': '+交通便利,五号线B出口出站,直接往前走,第一个红绿灯往左转进去约三百米就是就可以(路口是工行)。性价比很高。', 'star': 5}
{'descr': '还可以就是小了点，还不是很容易找，下次还可能入住', 'star': 5}
{'descr': '其他都还好 就是房间有点窄 仅够1个人转身的空 而且窗户的位置靠着走廊', 'star': 3}
{'descr': '便宜就好，要求不要太高。\r\n就是比较难找，我从天坛东门站下地铁后绕了一小会儿找到的。', 'star': 5}
{'descr': '房间有点吵~~其他很好因为周围有工地~~特价房一般窗子是在走廊里~~所以吵咯', 'star': 5}
{'descr': '    酒店位置有点偏，但是如果熟悉了会发现这个地段很好！公交、地铁距离酒店都不足200米！头一次去的朋友，坐地铁在天坛东门站下车，在附近，不出100米，看到崇门地税，对面有个工商银行，往里走100米左右，左手边就看到了，标注“格林联盟酒店”！\r\n    我们住的是三楼99.8元的大床房，房间小点，两个人足够了！朝走廊窗户，外面还有玻璃护壁，可以打开通风，不用担心被人看到！\r\n    房间里有两瓶', 'star': 3}
{'descr': '房间潮湿，有味，而且特别小，不是正宗的格林豪泰，是一个加盟店，离地铁较近~', 'star': 1}
{'descr': '格林豪泰（北京天坛红桥店）我订的是99.8得特价房，酒店位置还可以，离红桥非常近，不过要穿过一条十分隐蔽得小胡同。酒店附近没有什么吃饭得地方，要想吃饭得往南走点，不过门口有一个网吧么，要是想上网比较合适。 \r\n房间不是很大，感觉有点憋得慌，其他还不错。下次还会再来得。。', 'star': 3}
{'descr': '酒店位置不太好找，房间有点小，两个人也够了！挺干净！', 'star': 5}
{'descr': '我订的是99.8得特价房，酒店位置还可以，离红桥非常近，不过要穿过一条十分隐蔽得小胡同。酒店附近没有什么吃饭得地方，要想吃饭得往南走点，不过门口有一个网吧么，要是想上网比较合适。\r\n房间不是很大，感觉有点憋得慌，其他还不错。下次还会再来得。。', 'star': 5}
{'descr': ' 性价比很高  很便宜  条件也不错  距离天坛很近', 'star': 5}
{'descr': '还可以，就是位置不太好找', 'star': 5}
{'descr': '很舒适，就是房间太小，不过价钱能接受，有机会还会住的', 'star': 5}
{'descr': '+环境还可以 隔音太差了 服务员在外面说话都能听到 退房时说床单染色 然我多交了十元 比较郁闷 整体不错', 'star': 5}
{'descr': '位置可以，旅游方便，靠近天坛，5号线地铁，价格上家庭房适合带着孩子住，才加18块钱，很超值啊。希望增加早餐的服务，给个面包就好啊', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '还不错 就是旁边有个厕所不好  让我感觉好恶心  味道也不小', 'star': 3}
{'descr': '虽然一开始有点小问题，但是解决了，总体来说不错，下次还回去，房间超乎想象。推荐', 'star': 3}
{'descr': '挺好。', 'star': 5}
{'descr': '离北京西站比较远，打车花了30块。入住的是98元的特价房，房间特别特别小。但是临时凑合一个晚上，也还将就吧。卫生还算干净。', 'star': 5}
{'descr': '环境舒适，整体挺好。价格微贵，较为推荐。', 'star': 3}
{'descr': '不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店房间比较小，设施比较陈旧，99.8的特价还不错，值得。如果平时价格就真的不值了', 'star': 5}
{'descr': '这种价格已经很超值了，就是房间有点潮湿。不过还是好评啊', 'star': 5}
{'descr': '交通便利从北京站可坐地铁换乘一次就到，房间条件一般。', 'star': 3}
{'descr': '+交通便利房间条件一般', 'star': 5}
{'descr': '很一般   不不喜欢他们的房型  窗户就在床边上  走廊什么声音都能听到\r\n', 'star': 3}
{'descr': '还行', 'star': 5}
{'descr': '感觉不错，性价比很高。干净，舒适，而且服务态度很好。\r\n', 'star': 3}
{'descr': '出门就是地铁，服务很热情，就是房间有些潮，下次还来住', 'star': 5}
{'descr': '卫生和服务都是不错的，就是住的那间没有窗子，晚上有点憋气，其他都还好', 'star': 5}
{'descr': '酒店卫生很干净，服务态度也很好，性价比较高，唯一不足的地方就是门口有公共厕所，经过时有异味儿。', 'star': 5}
{'descr': '服务态度不错', 'star': 5}
{'descr': '房间太小了，而且根本不像照片上看到的那样。门口就是厕所，环境太差了', 'star': 1}
{'descr': '位置还行，交通方便，离5号线不远，走5分钟左右楼下附近有早餐店。可是门边是公用厕所，大厅里味道就怪怪的。房间潮湿，太小，门距离床不到20公分。夜里噪音大，说是空调冷淋水从地板下走的。', 'star': 1}
{'descr': '位置不错，但房间比较小，比较旧，墙皮都掉了，房间里四个灯有两个不亮', 'star': 5}
