{'短评内容': '免费升级到套房，点赞', '短评打分': 4}
{'短评内容': '很喜欢这温泉度假村，我们是在下午5点左右入住的，房间的大床很过瘾，两家人一家是大床房，另一家是双床房，住一家三口都是绰绰有余。晚上去泡温泉印象尤其深刻，夏夜泡室外温泉，听着蛐蛐叫，没有烈日当头，真是惬意之至，好像室外有60多个温泉，我们都没泡遍，挑一些喜欢的泡，孩子最喜欢的是大大地造浪池，造浪时间很... 查看点评详情很喜欢这温泉度假村，我们是在下午5点左右入住的，房间的大床很过瘾，两家人一家是大', '短评打分': 5}
{'短评内容': '很喜欢这温泉度假村，我们是在下午5点左右入住的，房间的大床很过瘾，两家人一家是大床房，另一家是双床房，住一家三口都是绰绰有余。晚上去泡温泉印象尤其深刻，夏夜泡室外温泉，听着蛐蛐叫，没有烈日当头，真是惬意之至，好像室外有60多个温泉，我们都没泡遍，挑一些喜欢的泡，孩子最喜欢的是大大地造浪池，造浪时间很长，很过瘾。我们这些美女们，泡完红酒泡玫瑰，泡完玫瑰泡牛奶，狠狠的给身体美容，哈哈。回来后已经给很多', '短评打分': 5}
{'短评内容': '已经来过一次了，虽然对服务不够满意，但是喜欢这里的温泉，特别是入住后泡温泉每人88元，觉得还是很值的。希望酒店的饭菜质量和服务能有改进。', '短评打分': 5}
{'短评内容': '温泉水很好，周围环境也很好，到高速的路很好走，就是服务质量需要改进。', '短评打分': 5}
{'短评内容': '位置好找，环境很好，温泉很不错，服务也不错。我住的是套间，房间比较宽敞、干净。还会来！', '短评打分': 5}
{'短评内容': '这是第二次去了，还是去年试营业时跟旅行社去过，真的很好，意犹未尽，所以决定再去一次。这次是自己带孩子去的。酒店设施完善，卫生条件好，服务周到，只是餐饮能再扩大一些规模会更好。', '短评打分': 5}
{'短评内容': '非常好的酒店，不论商务办公还是度假都非常好', '短评打分': 3}
{'短评内容': '温泉很好，水很干净，温度也合适，就是酒店的服务实在需要改进，服务员没有很好的培训，新服务员太多。特别是我们出去一会，回来就发现门大开着，有人在里面刷油漆，实在无法让人忍受。这么好的自然环境，让一些不规范的服务影响了心情。', '短评打分': 1}
{'短评内容': '酒店温泉很好，房间也很干净，停车也挺方便的。只是服务员需要加强培训。为了泡温泉，还会再来。', '短评打分': 5}
{'短评内容': '环境不错，假山、喷泉、竹林、温泉，适合休闲度假！价格也比较实惠，唯一不足入住房间下水不好，卫生间漏水（希望是偶发事件），还是值得一住！', '短评打分': 5}
{'短评内容': '已入住谢谢', '短评打分': 3}
{'短评内容': '客房环境好', '短评打分': 3}
{'短评内容': '酒店环境服务都不错!只是餐厅服务时间短一点.', '短评打分': 3}
{'短评内容': '不错的酒店，符合五星级的标准！推荐入住，建议从网上预订，价格要比从柜台订房便宜100元左右。', '短评打分': 5}
{'短评内容': '不错的酒店，想想在睡觉前去泡泡温泉，再累的一天也会睡的很舒服的！', '短评打分': 5}
{'短评内容': '环境与设施不错，温泉不是特别干净，价格与当地的消费水平脱轨，服务水平有待提高。', '短评打分': 5}
{'短评内容': '酒店装修环境还不错感觉挺好的，前台感觉服务还好，酒店的位置说实话有点不太好找网上说的酒店标示不是很清楚不过到了当地之后感觉酒店标志还是挺清楚的，价格还算比较适中。', '短评打分': 5}
{'短评内容': '酒店位置挺好找的，服务态度和价格也不是太差，房间住着也很舒适，感觉还不错。', '短评打分': 5}
{'短评内容': '环境很好，房间也不错，东西都很干净，下次来还会选择这里。', '短评打分': 3}
