{'短评内容': '不错，朋友来了帮他开的。', '短评打分': 5}
{'短评内容': '世界杯期间每个房间还有两瓶免费啤酒赠送，感觉很贴心', '短评打分': 5}
{'短评内容': '装修比较新，服务态度也不错，值得推荐', '短评打分': 5}
{'短评内容': '服务不错 房间挺大', '短评打分': 3}
{'短评内容': '服务挺好 房间卫生环境不错', '短评打分': 3}
{'短评内容': '酒店服务态度好  入住舒适~', '短评打分': 5}
{'短评内容': '就是房内的沙发陈旧了', '短评打分': 5}
{'短评内容': '湘潭性价比最高的酒店', '短评打分': 5}
{'短评内容': '性价比高，酒店舒适，早餐丰富', '短评打分': 5}
{'短评内容': '不错，值得推荐给大家', '短评打分': 3}
{'短评内容': '不错，值得入住', '短评打分': 3}
{'短评内容': '总体还是挺不错的', '短评打分': 5}
{'短评内容': '不錯的一家酒店，性價比較貴，值得入住。', '短评打分': 3}
{'短评内容': 'ok!!!!!!!!', '短评打分': 5}
{'短评内容': '性价较高，但是还是值得入住的。', '短评打分': 5}
{'短评内容': '酒店的软硬件设施与酒店的星级标准一致。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': '卫生间有味道，不好闻', '短评打分': 5}
{'短评内容': '感觉很漂亮，很舒适，床很舒服', '短评打分': 5}
{'短评内容': '在湘潭这个经济欠发达的2线城市，里面有着这样一个酒店，觉得很不错了。内部都很好，就是酒店附近吃喝玩行不怎么方便。房间很干净，服务员也热情。不愧是湖南湘女多情啊。', '短评打分': 5}
{'短评内容': '洗手间有异味，沟渠的臭味涌上来了，要关洗手间门才能入睡。', '短评打分': 1}
{'短评内容': '早餐丰富，住过的6楼单人间房间挺大挺舒适', '短评打分': 3}
{'短评内容': '单人房很舒适，唯一不足就是卫生间设计有点不合理，洗澡的空间小了点', '短评打分': 5}
{'短评内容': '忘了， 早餐准备的各类食品也算蛮好， 但一点可以改善的就是； 很少高级酒店在烧烤面包缺了蜜糖，草莓或其它的Jam （只单独提供牛油）， 对国外的住客也许步习惯也很奇怪， 我也与酒店说起这回事， 但这是小事可以随时填补这一点。其它的早餐食品算完善。 谢谢。', '短评打分': 3}
{'短评内容': '什么都好！ 我住的是豪华套间（价格稍微贵了点但豪华房其实也够了）， 我喜欢这间酒店，尤其是睡床和洗浴间确实给住客很舒适的基本需求， 酒店的员工也很友善随和。 但是一个可以改进的就是， 这套房房间莫名其妙的缺了一个应该有的一个冰箱， 需问服务员但会随后提供。 ', '短评打分': 5}
{'短评内容': '是一家挺不错的酒店，很满意他们的服务意识和态度。但房间的空调温度和通风有点不好控制。', '短评打分': 5}
{'短评内容': '环境卫生比较好！！', '短评打分': 5}
{'短评内容': '这家酒店我都挺满意，环境好，价格始终，值得推荐\n', '短评打分': 3}
{'短评内容': '本以为选择了湘潭最好的酒店，但入住后有点失望。设施、早餐等都不理想。不知是否是因为当地的消费水准所限？', '短评打分': 1}
{'短评内容': '酒店的整体感觉好还可以的,服务卫生以及房间的设施都很好的,酒店的位置不错的,出行很方便的,性价比不错的酒店的', '短评打分': 5}
{'短评内容': '觉得酒店的卫生条件还是需要改进一下,打扫人员,打扫很不及时,还有价位有些偏高,酒店不在市中心,但打的挺方便的,其他方面也都挺好的', '短评打分': 5}
{'短评内容': 'breakfast so bad.', '短评打分': 3}
