{'短评内容': '这地方很不错的酒店了，棒', '短评打分': 5}
{'短评内容': '挺好的，就是我订的是单人间，确实有点小。', '短评打分': 5}
{'短评内容': '朋友说环境还不错，就是小了点，整体还算满意~', '短评打分': 5}
{'短评内容': '酒店太干，整晚嗓子鼻子很不舒服。电视频道太少而且不清晰，都没有芒果台。马桶不通畅，有味。前台的女孩都不会笑的，入住的时候还在打手机。', '短评打分': 3}
{'短评内容': '酒店不错，就是离开酒店打车是否不方便，或者说打不到，让酒店协作也很难，但是酒店确实不错，服务也好', '短评打分': 5}
{'短评内容': '吃饭还可以,就是个别服务员没有集体荣誉感,总体服务态度不错!', '短评打分': 5}
{'短评内容': '早餐很好种类比较多，比其他商务酒店强多了，不到200元很值。房间小了点，硬件软件服务很周全。', '短评打分': 5}
{'短评内容': '服务好，早餐丰富，但我住的1811房洗脸盆下水堵。', '短评打分': 3}
{'短评内容': '服务态度很好，而且环境很不错。最关键的就是网速很快，对我们这些需要哦经常出差而且要用网络的人来说很不错。', '短评打分': 5}
{'短评内容': '是一家不错的酒店服务好。卫生早餐都很好。', '短评打分': 5}
{'短评内容': '一如既往地支持你。加油\n还要够数才行。。。加 \n', '短评打分': 5}
{'短评内容': '酒店房间各个方面还可以，就是洗澡水不太热。', '短评打分': 5}
{'短评内容': '干净卫生，服务不错，档次也不错，我会推荐给我的朋友', '短评打分': 5}
{'短评内容': '挺不错的酒店，环境非常好，自助早餐非常棒，酒店人员的服务也很好，下次去的话，还会选择这一家', '短评打分': 5}
{'短评内容': '卫生不错，环境不错，蓝海大饭店一直是我不错的选择~', '短评打分': 5}
{'短评内容': '在广饶这个县城这样的酒店已经相当不错了，服务也不错。兰海的酒店整体来说都不错，只是有点冷，房间的空调不是很好，晚上睡觉有点冷。', '短评打分': 5}
{'短评内容': '  2月14日入住蓝海大酒店广饶店,房间内部不错,大堂显小了', '短评打分': 3}
{'短评内容': '空间大小和舒适度都很满意,硬件设施齐全,服务也挺不错的，可以看到当日的报纸，还有免费的果盘可以吃,床单、被罩、毛巾、浴巾都很干净。交通挺方便的,离广饶银座、佳乐广场不远，空闲时间可以去逛一下。', '短评打分': 5}
{'短评内容': '县城里就那么一家像样的酒店了，设施还行，三星的标志差不多了', '短评打分': 5}
{'短评内容': '这个酒店还不错,设施及条件还可以,值得推荐.', '短评打分': 5}
{'短评内容': '还不错，挺满意的。酒店设施挺新的，就是房间面积有点小。', '短评打分': 5}
{'短评内容': '酒店前台服务员只有一个男的，忙不过来！！！需要加强管理！！！！', '短评打分': 1}
{'短评内容': '酒店软件服务还行，但是卫生间有点小，比较鞠蹴。早餐的品种有点少。要是能在房间里加装冰箱和保险箱就更好了。不过在县城里能有这样的酒店也算不错了。下次去还会入住。', '短评打分': 5}
{'短评内容': '上周我在该酒店住过，它是广饶最好的酒店，该酒店的餐厅的菜也是很棒。另外，该酒店离广饶的大商场也较近，非常方便。下次去广饶，我会优先选择该酒店。', '短评打分': 5}
{'短评内容': '广饶出差的首选吧，单人间房间较小，酒店设施一般，早餐这个价位的酒店来说还不错了。服务比较好。酒店位置比较一般了。吃饭可以送餐，还不错', '短评打分': 5}
{'短评内容': '广饶唯一能住的地方。蓝海集团的，不过不够四星', '短评打分': 3}
{'短评内容': '刚到店就遇到跳闸，建议改进一下供电控制系统，服务员态度很好，', '短评打分': 5}
{'短评内容': '在县城中有这样的条件，已经是很不错的了', '短评打分': 5}
{'短评内容': '位置还是比较方便，房价你的卫生和设施都还行，但是就是感觉相对价格和它的当地的一个消费水平来比较的话，价格还是稍微有些高了，服务态度还可以。不过还是比较一般的酒店，要是再稍微低一些就更好了。', '短评打分': 1}
{'短评内容': '服务热情周到。房间卫生很好，但是有异味。早餐一般。', '短评打分': 5}
{'短评内容': '非常好的酒店 从软件的管理 服务 卫生 到硬件的客房条件 早餐 价位 地理位置 都很好。周围环境挺好的 离超市也不远 前台和客房的服务很好。之前从外地邮寄一个物品到酒店，但是当时我已经离店了，前台还给我打电话 主动联系我 帮我在邮寄到我现在的地方(当然 是我付的费 :-))  总之 整体印象5星！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '晚饭客人太多，有时候没有位子。卫生间地面洗澡后有积水。\r\n其他的都还不错值得推荐！', '短评打分': 5}
{'短评内容': '性价比很高的饭店，主要是在县城的事，不过的确不错！', '短评打分': 5}
{'短评内容': '酒店位置还可以，早餐很好。每天还送免费的水果。就是前台的速度有一点慢', '短评打分': 3}
{'短评内容': '总体还很好，就是前台的结账有一点慢，但态度不错', '短评打分': 5}
{'短评内容': '可以接受', '短评打分': 5}
{'短评内容': '房间环境和设施都不错，但前台的办事效率不高，价格还是适中，在广饶还不算贵', '短评打分': 3}
{'短评内容': '服务生的态度非常好，早餐品种丰富。', '短评打分': 5}
{'短评内容': '服务态度非常好, 卫生也很好,下次还会如住此酒店.', '短评打分': 5}
{'短评内容': '服务态度超好，设施很新也很齐全，价格也很便宜，特别是门口的服务生，服务态度实在是好的没话说。', '短评打分': 5}
