{'短评内容': '非常不错，服务态度好，停车方便。干净卫生!!!!', '短评打分': 5}
{'短评内容': '住的四楼，第一天入住，没有水小的问题，就是衣架好久没清理，一层灰，总体环境挺好，由其是前台客服人员超热情，有归属感…', '短评打分': 3}
{'短评内容': '酒店非常干净整洁，上网方便，停车也方便。', '短评打分': 3}
{'短评内容': '＋干净卫生，就是临街窗户隔音做的差了点，希望改进', '短评打分': 3}
{'短评内容': '该酒店在牡丹花节期间，普通标间的价格飙升至500元，但硬件设施及服务与卖价相比简陋得令人发指。毫无性价比可言。早上没有热水供应，传闻是锅炉坏了，服务人员的态度不能令人满意。总之，这间酒店是锦江之星中的极差代表，以后不会再入住，并会告知亲朋好友均不能选择这家酒店。', '短评打分': 1}
{'短评内容': '客房干净，服务热情', '短评打分': 3}
{'短评内容': '住过好几次，，床特别舒服，每次一住就是3,4天，习惯了~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '锦江之星一贯表现很不错，这家也很好，个人认为房间比较大，而且是类似于套间的形式，也许是房屋格局的原因。总之很不错，重要的是有个后院大停车场，这样开车的有福了。', '短评打分': 5}
{'短评内容': '跟所有锦江之星都一样吧，装修内饰等等。酒店位置算比较好找，坐车打车也方便，服务态度挺好。但是打扫卫生的阿姨似乎比较健忘还是不专业，拖鞋没主动放房间，卫生纸也没装好，要提醒了才给提供。', '短评打分': 5}
{'短评内容': '很干净，服务也很热情，房间布局配置都很不错，比如家强！', '短评打分': 5}
{'短评内容': '酒店房间比较小，说实话，同是锦江之星，比安阳的差', '短评打分': 1}
{'短评内容': '很干净,不错,就是服务不太好', '短评打分': 3}
{'短评内容': '房间里很干净，设施齐全，住着舒服。服务员热情，我从龙门石窟过来，不认识路，几次打电话问他们，服务员在电话里很耐心的指路。另外，看我们年龄较大，就安排了安静位置的房间。酒店周围有不同风味的餐厅，能满足客人的需求。交通也便利。再来洛阳，还会住这里。也会向朋友推荐。', '短评打分': 5}
{'短评内容': '一如既往的锦江之星，没有特别好更没有特别坏，适合普通商务人士入住', '短评打分': 5}
{'短评内容': '不错，挺好。就是服务员效率有点低，干什么事都太慢。', '短评打分': 5}
{'短评内容': '房间干净装修简洁，就是停车不够方便，总体还算不错，左侧几十米的翔*家家和烩面很好吃。', '短评打分': 5}
{'短评内容': '很满意酒店，第一次带宝宝出来玩，一大一小的床很适合一家三口住。', '短评打分': 3}
{'短评内容': '挺新的酒店位置也好可以再来住', '短评打分': 3}
{'短评内容': '很不错，干净卫生，进去后第一感觉就是挺好的，房间也挺大的，比我想象的还要大，原来看有人评论说五六楼的洗澡的水很小，开始还挺担心的，没想到水很大啊，洗的很舒服。。。', '短评打分': 5}
{'短评内容': '酒店位置还可以，周边餐饮（尤其一楼的渝蓉缘餐厅，饭菜质量好，价位合理）和购物很方便，服务周到，房间卫生打扫的很及时，表扬！！\n下次到洛阳还要住这里的。', '短评打分': 5}
{'短评内容': '很好的酒店，干净，装修简洁，各项设施用着也很舒适。房间内一大一小两张床，很适合家庭用。早餐做的很精致，比一些四星级酒店的早餐还好。周围两个停车场，很适合自驾游。一家人在这里住得很开心、满意。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '很干净，喜欢房间的色调，但是网上说离龙门石窟只有6公里，实际上酒店里写的是12公里，相差太远，希望信息能准确些。', '短评打分': 5}
{'短评内容': '酒店很不错。推荐。下次还来住。前台服务也很不错。', '短评打分': 5}
{'短评内容': '干净，卫生，服务态度好，值得推荐,今后还会住这种店。', '短评打分': 5}
{'短评内容': '前台小男孩服务台不怎么样，卫生间毛巾居然是硬的。房间干净', '短评打分': 1}
{'短评内容': '酒店挺不错的，停车很方便，开车去龙门石窟、白马寺、丽京门、真不同水席 都挺顺路的。酒店的服务和设施设备跟我在上海住的锦江之星都一样，感觉很好，以后也会推荐朋友来住这家店，希望下次入住洛阳西工体育场店时候能给我带来同样的感受。', '短评打分': 5}
{'短评内容': '房间格局不错，标准间适合家庭入住。周边吃饭的地方也还比较方便，但酒店位置有些偏', '短评打分': 5}
{'短评内容': '商旅出差性价比很高，旁边有条食街可选择地饭店很多价格也十分公道', '短评打分': 5}
{'短评内容': '和其他城市的锦江之星一样保持一贯的品质和服务水准，就是停车场太小', '短评打分': 5}
{'短评内容': '酒店还算不错，就是门口停车有点困难，车位较少', '短评打分': 5}
{'短评内容': '酒店地点不错，这么好的地点这个价位很合算；前台服务的两位美女热情开朗；房间干净整洁，面积虽小了一点，但这个价格不错了，地板是新装修，原木色，看着很舒服', '短评打分': 5}
{'短评内容': '房间很干净，早餐有优惠，马桶和脸盆是连在一起的，很新奇！离景点都很近很方便,适合自驾游！', '短评打分': 5}
{'短评内容': '第一次在洛阳住，感觉不错，离客户还很近，推荐ing', '短评打分': 5}
{'短评内容': '卫生好，设备全，性价比很合算。周围交通极为方便。工作人员态度好。15元的早餐物有所值，在隔壁用餐可以打八五折。临街的房间有点闹，换了房间就好了。', '短评打分': 5}
{'短评内容': '前厅应增加等待休息沙发.服务态度\\质量有待提高.', '短评打分': 3}
{'短评内容': '附近有条古色古香的小街，有不少吃店，沿小路可直通靠近洛浦公园。环境不错', '短评打分': 5}
{'短评内容': '酒店周圍環境不算太好. 不過價格合理, 房間也算是乾淨. ', '短评打分': 5}
{'短评内容': '还不错。\n住房条件不错。\n早餐较简单。\n其他的也还可以。', '短评打分': 5}
{'短评内容': '很舒适，很干净，就是房间临街，隔音效果不好，噪音大', '短评打分': 5}
{'短评内容': '环境不错 离学校很近 很方便 锦江之星一向不错的', '短评打分': 5}
{'短评内容': '确实不错的酒店，来洛阳就住这里。位置一般，离闹市3公里吧。', '短评打分': 5}
{'短评内容': '卫生条件不错，环境也不错，就是不能吃午饭和晚饭，还要去隔壁吃，虽然打85折，但价格很贵', '短评打分': 5}
{'短评内容': '十一期间全家去的洛阳，龙门石窟很好看。在这家店入住了两天，交通方便，早餐不错，服务热情。还有一发现，爱吃的朋友不要错过，出店门左转约百米有一信阳菜馆很不错。', '短评打分': 5}
{'短评内容': '+总的来说房间保持了锦江之星的特点，整洁卫生，但有两点做得不够，一、洗澡水太小，没法洗头(可能是我们住六楼，水压不够)。二、下', '短评打分': 5}
{'短评内容': '性价比不错，房间很不错，感觉和之前住的其他的锦江之星不一样', '短评打分': 5}
{'短评内容': ' 整体环境还好，门的隔音做的不好，楼道里过人听的很清楚，水温太低，并且水压不够', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '我订的是家庭房，房间空间大，装修简约清新，给人有家的感觉。唯一不足的是，我住六楼，淋浴间的水很小。', '短评打分': 5}
{'短评内容': '房间不错，就是停车服务不到位，没有留下带车客人的联系电话，有一辆车挡着我们的车出来，害的我们等了将近一个小时才离开酒店。', '短评打分': 3}
{'短评内容': '客房服务很好，每天都打扫都消毒，让人感觉很干净，卫生能给满分。', '短评打分': 5}
{'短评内容': '没有午餐和晚餐，不方便！', '短评打分': 5}
{'短评内容': '这次在离店前发生点不愉快，如果酒店能对带车来的客人进行登记就好了，万一妨碍他人可以进行联系挪车。', '短评打分': 5}
{'短评内容': '不在闹市区，环境比较好.紧邻的武警医院.价位比较适中.综合来讲还是不错的.', '短评打分': 5}
{'短评内容': '我一般出差就会住锦江之星，连锁酒店各方面服务都很到位.而且性价比也高.', '短评打分': 5}
{'短评内容': '锦江一贯的风格与服务，位置也不错。入住的朋友建议去后面的洛浦公园散步，酒店旁边有个好吃街，一楼有公用电脑。', '短评打分': 5}
{'短评内容': '餐厅没有午餐和晚餐很不方便，对于洛阳这个小城市来说房价太贵了。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '价廉物美.', '短评打分': 5}
{'短评内容': '我们一家四口住了一晚很满意，女儿喜欢这个地方。', '短评打分': 5}
{'短评内容': '很好的酒店，就是位置一般。设施新。', '短评打分': 5}
