{'短评内容': '单人足够', '短评打分': 5}
{'短评内容': '优点：酒店位置不错，离4号线非常近，去看世博的好地方。宾馆比较安静。附近吃饭的地方也比较多，晚上宾馆门口还有个小烧烤摊，可以解解馋\r\n缺点：房间很小，连个挂衣服的地方都没有。衣架都没有提供。\r\n房间电脑网速极慢，不知道的真以为上海市网速就这水平。。。', '短评打分': 3}
{'短评内容': '条件一般，如果是去看世博的话交通很方便，就是太小了，连个挂衣服的地方都没有。有电脑，不过网速很慢。宾馆外面每天晚上都有烧烤小摊，可以解下馋', '短评打分': 1}
{'短评内容': '当时是给朋友定的，离世博园比较近，还挺方便的', '短评打分': 5}
{'短评内容': '总体不错，下次有机会还去,多十块钱多租台电脑', '短评打分': 5}
{'短评内容': '酒店太小乐很一般', '短评打分': 5}
{'短评内容': '离地铁较近，交通相对方便，世博游的好选择。', '短评打分': 5}
{'短评内容': '对这里的服务比较满意，刚想起一条，如果能刷卡就更好了', '短评打分': 3}
{'短评内容': '地理位置好，离我们开会的地方很近，对这里的服务和设施都比较满意', '短评打分': 5}
{'短评内容': '在世博期间，宾馆房价普涨的情况下，这样的价格还是可以接受的，虽然房间比较小，但够了，卫生和服务都比较好，就是不能支持刷卡可要改的。', '短评打分': 5}
{'短评内容': '在闹市区，不是太好找，这个价格不含早餐，可能是因为在上海吧。', '短评打分': 5}
{'短评内容': '上海为波宾馆（凯地店），我认为性价比还可以(世博会期间），交通比较方便，如果宾馆能有比较专业的“世博”介绍那就更好了（我们的一点希望）。', '短评打分': 3}
{'短评内容': '刚刚入住上海为波宾馆，还行。', '短评打分': 5}
{'短评内容': '交通非常方便；房间设施别致；唯一不足是一定只收现金，押金也是现金，任何银行卡都用不了。住两天把我们现金都花光了。', '短评打分': 5}
{'短评内容': '位置很好，从世博园1号出入口打车只要12元，地铁站也很近，走路10分钟，大木桥站。但是硬件不行，房间很小刚刚能塞下两张床，其他设施和装修较陈旧。门的隔音也不太好，走廊上别人说话听的很清楚。但作为世博会的落脚点来说还是可以选择的，毕竟就睡一觉，也不讲究了', '短评打分': 5}
{'短评内容': '还行，离地铁口较近，周围用餐比较方便，观世博可以入住。', '短评打分': 5}
{'短评内容': '看世博会的话距离浦西世博园区很近1-2站地铁，很方便。', '短评打分': 5}
{'短评内容': '酒店虽小还较干净,去世博园很方便,但无法用信用卡结账', '短评打分': 5}
{'短评内容': '目前来说，还算是一个性价比较高的酒店，主要体现在交通上吧', '短评打分': 5}
{'短评内容': '为波宾馆离地铁四号线很近，交通非常方便。附近小吃店，超市就在宾馆门口，一百米左右的距离就可到。我是专门看世博的，坐地铁、餐饮都很方便。值得一提的是，我8月2日晾在公共晾台的衣服，中午下阵雨，宾馆服务员竟然帮我收好了，而当时我正在世博园区，事后回来知道后感动了老半天。我会推荐该酒店给我的同事朋友，让他们到上海看世博也住为波宾馆凯地店。', '短评打分': 5}
{'短评内容': '世博期间入住的家庭套房，总体上还是比较舒适的，但房间显得有些狭小，床单也觉得有些不卫生', '短评打分': 5}
{'短评内容': '性价比很高，不错', '短评打分': 5}
{'短评内容': '这个酒店比较方便服务态度也很好，就是房间太小了点', '短评打分': 5}
{'短评内容': '典型的质次价高，明显可以看出是将单人房改为标间', '短评打分': 1}
{'短评内容': '不能信用卡结账（都什么年代了）；退房后不能寄存行李（十多年来第一次遇到）。其他还马马虎虎。不推荐', '短评打分': 1}
{'短评内容': '宾馆很不错，有电吹风，很多宾馆都没这个，很干净，就是房间稍微小一点\r\n', '短评打分': 5}
{'短评内容': '服务态度还不错。\r\n没有无线网络。\r\n可以提供台式机出租（20元/天），免费宽带。\r\n刚进房间，感觉不错，比较温馨。\r\n然而仔细看看，对于有洁癖的人来说，还是有些地方不太干净。\r\n房间比较潮，隔音效果不好。\r\n床单3天才换一次。。。\r\n不过离徐家汇比较近，而且离世博的马当路入口及其他几个入口比较近，性价比较高。强烈建议去马当路入口，人少，能抢到中国馆预约票', '短评打分': 5}
{'短评内容': '不能刷卡，很不方便。离世博会还是很近的。交通真的很方便，我们打车13元就到世博会啦。起价是12元。屋子里有蚊子，上海的蚊子真厉害。', '短评打分': 5}
{'短评内容': '卫生还行，无环境，但店周围的早点味道不错价格也好', '短评打分': 3}
{'短评内容': '性价比一般，但世博期间可以选择。', '短评打分': 1}
{'短评内容': '这家酒店房间面积比较小，设施一般 整体感觉很陈旧，也显不出干净来，酒店的位置还不错，出行比较便利，价格方面都是满实惠的，住宿条件一般。', '短评打分': 5}
{'短评内容': '这家酒店第一次不是很好找，位置很不起眼，周边环境不是很好，交通不是很便利，打车还比较方便，内部环境也很差，感觉像是招待所，房间设施很简陋，而且还有异味。整体感觉很差。不适合推荐。', '短评打分': 1}
{'短评内容': '经济型连锁酒店，感觉都还不错，卫生比较干净，服务也蛮热情周到的，性价比不错的酒店，下次会考虑一下。', '短评打分': 5}
{'短评内容': '房间卫生都是挺好的但是就是感觉房间小了一些，服务态度还可以，位置找的时候还是挺费劲的不过认识之后出行挺方便的，价格还可以和当时比的话我感觉还是挺便宜的，还是挺不错的酒店。', '短评打分': 5}
{'短评内容': '还行。。。基本都不错~~酒店性价比也还可以！！', '短评打分': 5}
{'短评内容': '感觉非常不好！', '短评打分': 1}
{'短评内容': '位置还可以，下了地铁走6、7分钟，宾馆有点陈旧，房间也很暗。但是服务不错', '短评打分': 5}
{'短评内容': '不错，性价比可以', '短评打分': 5}
{'短评内容': '酒店的服务还好，我要求看了几个房间，前台一一答应。就是房间够小，不过卫生不错，性价比很高！！', '短评打分': 5}
{'短评内容': '房间很小，不能使用信用卡。', '短评打分': 5}
