{'短评内容': '将就。', '短评打分': 5}
{'短评内容': 'Elong的接线员竟然说这酒店是按四星标准建造的！！！！她太强了～～～我也被四星了一回。', '短评打分': 1}
{'短评内容': '酒店地处市中心，离周边商业区都不是很远。酒店设施完善', '短评打分': 5}
{'短评内容': '酒店环境不错,地方容易找,有提供早餐!!!!!', '短评打分': 3}
{'短评内容': '这酒店环境不错。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '性价比还是不错的，很安静，就在府南河旁边，早餐简单了点', '短评打分': 5}
{'短评内容': '早餐太差，不到结束时间有些食品就没有了。\r\n电梯就像老爷车，还常常被服务员和布草车塞满。\r\n十楼的茶庄非常好。', '短评打分': 5}
{'短评内容': '还别说比旁边的如家酒店性价比好了很多', '短评打分': 3}
{'短评内容': '住过几次，各方面都还可以', '短评打分': 3}
{'短评内容': '觉得可以，会向朋友推荐', '短评打分': 5}
{'短评内容': '卫生不错，房间稍小，前台服务还需高效一些', '短评打分': 5}
{'短评内容': '设备一般', '短评打分': 3}
{'短评内容': '总体上来说，性价比比较强，就是出门打的有时候比较难打，这是在成都哪都会的事情。', '短评打分': 5}
{'短评内容': '都还好，很干净很舒服', '短评打分': 5}
{'短评内容': '还可以挺安静的，就是前台小妹有点懒散看着不是很好，退房出来可能是上班高峰期打的等挺久的。', '短评打分': 3}
{'短评内容': '卫生还可以，挺干净，设施完善，地理位置交通方便，服务热情周到，性价比不错的酒店，值得推荐', '短评打分': 3}
{'短评内容': '酒店又老又旧，床还好硬，哪里是四星标准建造啊，设施和配件最多也就是两星标准建造的', '短评打分': 1}
{'短评内容': '是在是不敢恭维，讲实在点丢四川人的脸，还敢号称四星，楼高不到两米，房间实在是小，不过大堂还是真能唬人的，大堂里所谓的精品店，一看就是黑店，狗屁石头，开价九万八，呵呵，不怕你砍价', '短评打分': 1}
{'短评内容': '位置不方便，设施和4星标准完全不符也就勉强够上旧3星标准，前台太差查不出预定总让客人等好久', '短评打分': 1}
{'短评内容': '通风不好，有味道。设施和服务都不错，只是可惜，入住两晚，发现蟑螂、蚊子、小小苍蝇各一只。希望下次再住时，别再看到这些生物了。', '短评打分': 1}
{'短评内容': '位置不错，交通很方便挺好找。房间的卫生和设施也都还是不错的，我觉得这家酒店性价比还是比较高的 值得推荐', '短评打分': 3}
{'短评内容': '酒店位置和环境都不错，服务员也比较热情，就是地毯入住是什么样三天后退房还是老样，没吸一次。总体满意。', '短评打分': 5}
{'短评内容': '酒店位置不错，离文殊院景点很近的，房间也比较干净，就是硬件有点差，房间里空气流通不太好，房间有很重的难闻的味道', '短评打分': 5}
{'短评内容': '去成都担心余震,他们推荐这个酒店,没多想为安全就住了.&lt;br /&gt;\n这个酒店是井字型回廊式比我想像中漂亮,很有特色,确实很安全,出去就是府南河环境很好~房间设施还很新,大堂里有月亮山喷泉景致很漂亮~&lt;br /&gt;\n住了两天,服务方面也还不错,挺满意的.&lt;br /&gt;\n可以推荐~', '短评打分': 5}
