{'descr': '地理位置好，服务好', 'star': 4}
{'descr': '为了这两天考试方便租了房间，非常好，即安静又干净。', 'star': 5}
{'descr': '很好一家店子，干净，方便,距离北洼路就几十米，附近吃饭地方也很多，酒店布置很温馨', 'star': 5}
{'descr': '装修不错，隔音还行，就是睡得那个房间边上好像有个服务员的办公室什么的，老是声音挺大。可惜以后没早饭了。', 'star': 5}
{'descr': ' 还不错 比较干净 是闹中取静的地方', 'star': 3}
{'descr': '前段帮朋友订了2次，朋友都说好，这次自己亲自来住了一晚体验一下，感觉真不错，温馨舒适很田园的，内部环境颇有点欧洲小镇酒店的味道。而且早餐也不错，完全能吃得好吃得饱，服务态度超级棒文明有礼貌，很舒服的小酒店，就是位置稍微靠里一点，门口没有停车场，不过也还可以够用了。', 'star': 5}
{'descr': '不错，很干净、安静、装修有新意，服务人员见面就笑着说您好。', 'star': 5}
{'descr': '好温馨整洁的酒店呀！设施齐全，干净卫生，交通方便，闹中取静，出门2分钟就是北洼路公交站四通八达的，附近饭店超市都很方便，性价比不错，下次还来。', 'star': 5}
{'descr': '优舍的房间挺好,就是没电梯', 'star': 3}
{'descr': '环境不错，不过床垫太硬了，睡着会有些不舒服。', 'star': 5}
{'descr': '这个酒店不错！环境可以说是闹中取静，非常独特的一个酒店。', 'star': 5}
{'descr': '这个酒店不错！环境可以说是闹中取静，非常独特的一个酒店。如果是出差或者别的在周边的话，还是一个不错的选择！', 'star': 5}
{'descr': '环境好，价格适中，服务也不错.客房隔音很好住着踏实舒适.位置出行方便.印象很好.', 'star': 5}
{'descr': '挺好', 'star': 3}
{'descr': '电视节目比较少 其他的还不错', 'star': 3}
{'descr': '酒店不错!', 'star': 3}
{'descr': '不在主干道上，位置有点偏，不太好找。不过进入酒店的感觉很田园，楼道的窗帘都装饰一番。可能是快过年了，每个房间门上都贴上福字。房间里的装饰也很有意思，很独特！因为工作性质，在酒店只睡了两个小时，没来得及好好享受就离开了。', 'star': 5}
{'descr': '不错的酒店，服务态度很好，环境优雅，靠近紫竹桥，交通方便，周边有大型超市。', 'star': 5}
{'descr': '酒店超级好，很喜欢！以后会常来的。早餐的总类有点少！ ', 'star': 5}
{'descr': '很不错的酒店，就是没电梯。早晨很简单，价格能低些最合适。', 'star': 5}
