{'短评内容': '很好很很好很好很好很好', '短评打分': 5}
{'短评内容': '不错，下次还来。不错，下次还来。不错，下次还来。不错，下次还来。不错，下次还来。不错，下次还来。不错，下次还来。不错，下次还来。', '短评打分': 5}
{'短评内容': '不错，下次还来。不错，下次还来。不错，下次还来。不错，下次还来。', '短评打分': 5}
{'短评内容': '酒店的位置很好，离主干路很近，但又不吵，吃饭也很方便，只是感觉设施有点久。', '短评打分': 5}
{'短评内容': '非常不错的酒店，就是早餐差了些，有点与5星级酒店不相符！', '短评打分': 5}
{'短评内容': '以前也住过，酒店比较安静。早餐也比较丰富。88元一位有点贵。', '短评打分': 3}
{'短评内容': '房间太旧,质次价高,好象是个官办酒店一样.没有推荐的必要.', '短评打分': 1}
{'短评内容': '这个酒店质次价高,在重庆算教贵的,还没有早餐.设备也很旧.信价比太差', '短评打分': 1}
{'短评内容': '酒店整体评价不错，就是感觉现在房间的装修有点旧了，地毯比较脏，门的隔音效果也不是很好，走廊的声音听得很清楚，会觉得比较打扰休息。', '短评打分': 5}
{'短评内容': '房間較大,乾淨,性價比高值得一隹。', '短评打分': 3}
{'短评内容': '其实硬件设施挺不错的，卫生间比较干净，卫浴用品比较舒服吗，只是酒店人员的服务意识不高，感觉酒店不管是前台还是礼宾的素质不算高，特别是礼宾部的会向客人说重庆话，另外二楼的西餐厅的自助餐菜色不算丰富。希望改进。\n但是这还是一家很不错的酒店，只是需要改进。谢谢~~', '短评打分': 5}
{'短评内容': '价格很合理的五星级酒店，还包含早餐，挺不错的。酒店位置位于市中心，去客户处挺近挺方便的。尤其对得起它的价格，要攒一个啊赞一个！！！！强烈推荐~~~~~~', '短评打分': 5}
{'短评内容': '酒店很干净不错 下次还会住\r\n\r\n发送自HTC手机', '短评打分': 3}
{'短评内容': '各方面都不错，打车困难点', '短评打分': 3}
{'短评内容': '不错的酒店\n1、服务很好，还有送水果，是个惊喜\n2、床具很舒服，隔音也不错\n3、酒店内设施也不错，有免费的游泳池和健身房，很赞\n4、酒店服务人员素质不错', '短评打分': 5}
{'短评内容': '还不错 总体来说让人很满意了 不过外面再修东西 搞的灰尘比较大 有点郁闷 不过其他方面来说 还是不错了', '短评打分': 5}
{'短评内容': '非常不错的酒店，服务也不错，住起来很舒适，交通也方便，离电脑城很近，下次去还会继续住这家。。', '短评打分': 5}
{'短评内容': '酒店位置不错，但是比较旧了，卫生间也不大，服务态度还好', '短评打分': 5}
{'短评内容': '环境安静,交通便利,网速很快,设施完善.', '短评打分': 5}
{'短评内容': '很不错的酒店，性价比高。值得向dward商务人士推荐！房价中能包含早餐则更为合理。', '短评打分': 5}
{'短评内容': '交通,房间都还可以,但前台接待不好,我到时前台有四人,可等到她们问我第一声等了约十分钟。服务意识差些。', '短评打分': 1}
{'短评内容': '酒店很好', '短评打分': 3}
{'短评内容': '酒店位置不错，周围出行较为方便，值得商务人士入住！', '短评打分': 5}
{'短评内容': '还算不错价格实惠的五星级，周围环境不错，在顶楼俯瞰感觉很好\n', '短评打分': 3}
{'短评内容': '酒店硬件设施比较好，不过在管理上在细致点就完美了。例如如果有专业会议的时候签到处是否能不让大厅显得很乱。', '短评打分': 5}
{'短评内容': '已入住退房', '短评打分': 3}
{'短评内容': '己入住', '短评打分': 3}
{'短评内容': '员工的素质也要配得上五星呀？？？一般般。。。比旁边的申基差得太多了。。。', '短评打分': 5}
{'短评内容': '五星？？？硬件设施还可以，，员工素质还需提高呀？？', '短评打分': 5}
{'短评内容': '感觉不错，就是没有早餐卷，最后出去吃的早饭，不过总得来说，很不错。', '短评打分': 5}
{'短评内容': '第一次住南方君临干净.安静舒适下次还会选择它。', '短评打分': 3}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '很不错，就是价格高了一些，二楼的点菜和自助餐价格也稍高', '短评打分': 5}
{'短评内容': '还行，电脑就是摆设，前台服务一般,不过卫生还可以', '短评打分': 5}
{'短评内容': '酒店隔音太差。', '短评打分': 3}
{'短评内容': '第三次入住了，没什么变化，有件事情感到很不解，近两次笔记本一接上房间宽带就会蓝屏，用自带的3G上网卡一切正常。淋浴房玻璃门密闭不好问题依旧。', '短评打分': 5}
{'短评内容': '怎么又涨价老哦！这次涨的比前两次还挺多的！', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '住过两次，总体不错，提一点建议希望改进：淋浴房的玻璃门密闭不好，冲凉时水会渗到外面，卫浴地砖又不太防滑。\n', '短评打分': 5}
{'短评内容': '房间性价比还可以，房间设施一般（淋浴调水温困难），早餐一般。', '短评打分': 5}
{'短评内容': '酒店非常不错，早餐也不错，服务也行，房间内的设施有那么一点旧', '短评打分': 5}
{'短评内容': '总体上还是可以的!交通这些都还是比较便利！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '怎么这家酒店的价格又涨了哟，前不久才住过，就涨了一次，不过还三百多，这才多久，怎么又涨了！这次还涨得多些！再这么，酒店的性价比就不占优势了！', '短评打分': 5}
{'短评内容': '很不错的一家酒店，性价比挺高的！值得去试一下！', '短评打分': 5}
{'短评内容': '性价比不错的酒店,自助餐比较好,位置也不错', '短评打分': 5}
{'短评内容': '性价比比较高，环境中等偏上，服务质量还好，周围吃的地方多', '短评打分': 5}
{'短评内容': '还不错，就是又涨价啦！再涨，就没有性价比老哟！', '短评打分': 5}
{'短评内容': '酒店不错,服务也好.不过周环境一般,特别是购物不方便.', '短评打分': 5}
{'短评内容': '环境可以，和国内很多4星级酒店差不多，硬件还是不太满意，还是推荐一下', '短评打分': 5}
{'短评内容': '从刚开业就一直住这个酒店。房间一般般，早餐相比还是不错的。位置稍微偏了点，但吃饭打车都很方便。', '短评打分': 5}
{'短评内容': '屋子隔音效果不是特别好，但是卫生还是不错', '短评打分': 5}
{'短评内容': '大厅环境还可以，客房显得老旧，服务一般，结账时间很长，而且态度不是很好！', '短评打分': 1}
{'短评内容': '很差太差太差,就早餐服务好点,其它只能算两星级酒店.', '短评打分': 1}
{'短评内容': '性价比比较高的酒店了，服务员态度还算可以.....', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '酒店的服务很一般.室内也显得比较旧.', '短评打分': 3}
{'短评内容': '以这个价格订到五星酒店真的不错了，不过个人感觉酒店的设施和服务还没有达到五星的标准吧，服务态度不是很好。', '短评打分': 5}
{'短评内容': '很好的五星级标准酒店，唯一的不足是酒店位置稍微偏了点。要想购物，得打的去杨家坪，好在杨家坪也不算远，打的也就十几块钱。酒店附近的大小餐馆很多。', '短评打分': 5}
{'短评内容': '总的还不错,很干净,性价比很高.不过周围没什么商业.', '短评打分': 5}
{'短评内容': '典型的国内管理水平，与五星很不符，感觉很小气。', '短评打分': 3}
{'短评内容': '酒店位置虽然不是很居中，但是很安静，周围不远的街上吃的也多', '短评打分': 5}
{'短评内容': '性价比很高的酒店，非常值得推荐                                    ', '短评打分': 5}
{'短评内容': '价格和酒店比较 性价比高 总的来说算很好了', '短评打分': 5}
{'短评内容': '卫生好,电视旧', '短评打分': 5}
{'短评内容': '总体不错，但在我住过的5星酒店中管理方面尚属初级，比如我订了两份早餐，但进餐时服务经理非要我签消费单，说只登记了一人，就不能使用两位餐券，很奇怪的规定，也是很让人不愉快的做法，退房时向总台提出意见，但被和颜悦色而又义正辞严地驳回，无奈！', '短评打分': 5}
{'短评内容': '还行吧！就是前台的还养眼点，就更好了！~\r\n呵呵呵！', '短评打分': 3}
{'短评内容': '又涨了20元！希望定了价，就不要随便调整，20元是小事，但感觉不是很舒服！\r\n好像是住的多了，就要翘一翘！\r\n但要记住，可能就是因为性价比高，住的客人才多，一涨，感觉不好除外，而且优势就不一定存在了！', '短评打分': 5}
{'短评内容': '位置还是方便，只是房间潮气重，味道大。早餐还真不像个五星级的酒店。', '短评打分': 1}
{'短评内容': '卫生及舒适度很好，但酒店服務员的素質今人失望，两条门匙其中一条竟是另一房间的，我住了三天只用其中一条正确的门匙开门，没发现问题，退房时服務员竟多次问我们是否住两间房及要求我们解說，服務员的问题变成房客的问题。', '短评打分': 5}
{'短评内容': '距闹市区较远，距机场也较远，只适合在酒店附近办事的住宿。', '短评打分': 1}
{'短评内容': '周围吃饭地方很多 酒店和五星级还有差距', '短评打分': 3}
{'短评内容': '地理位置不错 但是觉得服务和设施和五星级还有差距', '短评打分': 5}
{'短评内容': '周围的环境还可以 吃饭的地方很多 但是质量离五星级还有距离', '短评打分': 1}
{'短评内容': '性价比很好', '短评打分': 5}
{'短评内容': '酒店挂的是5星，我觉得有点准五星的意思。各种设施还好，服务也还好，但是觉得跟五星还是有点差距。早餐有些贵。', '短评打分': 5}
{'短评内容': '非常差的国营式管理。电视又很少的国际频道。没有电影频道。在电视屏幕上经常闪烁让你观看收费频道。楼道噪音很大，与五星酒店的管理相差甚远。以后再不住这里。', '短评打分': 1}
{'短评内容': 'very good', '短评打分': 5}
{'短评内容': '5星的价钱，4星的卫生间，3星的房间，2星的舒适度，1星的性价比。', '短评打分': 1}
{'短评内容': '设施、服务及性价比都很好。周边吃饭的店面很多，唯一的不足是酒店周边没有大型商场。', '短评打分': 5}
{'短评内容': '前台服务态度不好 办理入住时间长\r\n早餐菜色 越来越缩水\r\n', '短评打分': 1}
{'短评内容': '离客户近，很方便', '短评打分': 5}
{'短评内容': '其它都还可以，唯独服务太死板！有点机械！', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '以前住这个酒店是因为性价比比较突出，说实话，位置稍微偏一些，而且现在不知道为什么，网速没有以前快了，有点遗憾', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '还可以住  就是房间房间大床房 搞成双床房了  写的双早 也不给我双早 虽然我一个人用不着...', '短评打分': 5}
{'短评内容': '总体说来不错。值得推荐', '短评打分': 3}
{'短评内容': '总体说来不错。值得推荐', '短评打分': 5}
{'短评内容': '性价比确实不错，只是周围的设施少了些，距离机场远了些。', '短评打分': 5}
{'短评内容': '酒店离市区比较远 叫车很慢 等很久 酒店设施还是可以的 就是大堂的香味太刺鼻....', '短评打分': 5}
{'短评内容': '住了2天，不知道为什么早餐差别那么大，第二天比第一天差很多，十分奇怪。门童很热情地要为我叫taxi,来了一辆不叫我上，让上他们叫的，要了司机10块钱，司机上车就跟我说不打表80块去机场，让我感觉特别差。还有就是等电梯一定要有耐心喔', '短评打分': 1}
{'短评内容': '打的稍微难一些，其他还可以，性价比不错\r\n网速好象比以前慢了。', '短评打分': 5}
{'短评内容': '性价比还不错，第一次在22楼吃早餐，挺有意思的。', '短评打分': 5}
{'短评内容': 'great hotel, like it', '短评打分': 3}
{'短评内容': '非常不错，很方便。 不过还是老样子，中央空调有点吵', '短评打分': 5}
{'短评内容': '还是不错的，不过就是中央空调声音大了一点。', '短评打分': 5}
{'短评内容': '一个很好的宾馆，下次去肯定还会选择。', '短评打分': 5}
{'短评内容': '高档酒店的首选', '短评打分': 5}
{'短评内容': '位置很好', '短评打分': 3}
{'短评内容': '酒店性价比高,每次去重庆,都会选择这家酒店.', '短评打分': 5}
{'短评内容': '设施、卫生、服务、食物都很不错。房间很大。但是隔音效果实在是不敢恭维。屋外走路声、隔壁的电视声清晰可辨。。。适合睡眠沉的人。', '短评打分': 5}
{'短评内容': '只想知道这家怎么会评的上五星，四星的价格，两星服务', '短评打分': 1}
{'短评内容': '服务和性价比，比较高…', '短评打分': 5}
{'短评内容': '性价比高，值得推荐', '短评打分': 5}
{'短评内容': '酒店的性价比还是蛮合适的,值得推荐', '短评打分': 5}
{'短评内容': '和君豪比起来，感觉房间不够大，设施显得有些落后，大堂的服务也没有人家亲切！\r\n不过，还是不错！\r\n', '短评打分': 5}
{'短评内容': '设施条件不错，价格在五星级里还算是比较优惠的', '短评打分': 5}
{'短评内容': '酒店服务很好，房间提供上网的网速也很快，价格也不高，整体很不错', '短评打分': 5}
{'短评内容': '黄金周住了两天，感觉如下：&lt;br /&gt;\n1。房间舒适，干净。卫生间蛮好的，热水不够热。&lt;br /&gt;\n2。2楼餐厅服务尚好，饭菜口味太一般。价位适中。&lt;br /&gt;\n3。前台态度生硬，要求延长1小时退房，坚决不答应，理由是：你的房费太便宜。因此不行。只好下来退房，但前台另外一接待员说：可以延长退房1小时。管理上显的不成熟。这一点不如索非特。4月份入住索非特退房时，接', '短评打分': 3}
{'短评内容': '很新，和舒服。硬件设施比海逸好。服务态度也很好，但是环境没有海逸成熟。特别是出租车很难打，常常不得不走到下一个路口去拦车。', '短评打分': 5}
{'短评内容': '在南方君临住了一晚上，酒店很新，房间的设施也很不错，就是卫生间小了点，感觉有些拥挤。服务不错，登记入住以后，有（可能是大堂领班）亲自带领我们入住房间。早餐品种较少，且口味一般。', '短评打分': 5}
