{'短评内容': '交通方便，环境很好，服务很好！', '短评打分': 5}
{'短评内容': '住的是日式风格，简洁漂亮，很喜欢！住的是日式风格，住的是日式风格，简洁漂亮，很喜欢！简洁漂亮，很喜欢！住的是日式风格，简洁漂亮，很喜欢！', '短评打分': 5}
{'短评内容': '不错，位置也挺好的', '短评打分': 3}
{'短评内容': '希望酒店在提高价格的同时也可以提高员工的素质和服务态度，这样才会让住客觉得金钱和服务是正比的。', '短评打分': 5}
{'短评内容': '这次在酒店住了十几天，由于是糖酒会，所以涨价了不少，其实对于酒店的很多方面还是很满意的，但就是唯一几点让我这几天住的很不舒服。第一，之前酒店说过会铺设地毯，但是我再次去了还是没有看到。第二，酒店的服务员早上8点过就在走廊上大声的说话，然后敲其他房间的门声音很大，吵的人睡不着，有次早上9点就来说打扫房间，这个会不会太早了点？？希望可以注意一下。第三，酒店是和其他的办公室公用一个电梯，所以导致了任何人', '短评打分': 5}
{'短评内容': '酒店价格不贵，可前台服务不到位，很久也没人接电话。', '短评打分': 1}
{'短评内容': '虽然酒店房间并不多，但是房间蛮有特色，有丰富的藏族风情。', '短评打分': 5}
{'短评内容': '房间很有特色，床也很舒服，就是电视没有对着床，看起来不方便！', '短评打分': 5}
{'短评内容': '相当不错。。。', '短评打分': 3}
{'短评内容': '独特的藏式装修方格，喜欢的应该会很喜欢。交通方便，但是不好找。房内要收钱的物品很多，但是大多数都标示不清楚，搞不清哪些是免费，哪些要收钱。', '短评打分': 5}
{'短评内容': '住的藏式单间,装修确实考究,很养眼,也干净舒适.位置很好找.前台服务要是能对旅游和交通信息更熟悉就好了.', '短评打分': 5}
{'短评内容': '总体装修风格很奇特，我住的藏式的，装修和用品实际上是比较简单的，造价很低，但是很有个性。早餐种类不多，但是味道很好，也能吃得很好。服务不错，每天还送报纸，而且酒店的餐厅味道好且实惠。', '短评打分': 5}
{'短评内容': '非常好~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店的地毯还是没铺上，这次没有住到自己喜欢的房间很遗憾，日式房的卫生间很糟糕，没有遮挡并且实木已经泡坏了，看上去脏兮兮的，另外一个就是空调声音有点响，住了很多个风情房，日式的住的最不舒服，希望下次有自己喜欢的房型住。', '短评打分': 5}
{'短评内容': '很有特色，每个房间都不一样，按个人喜爱选择房间，推荐。', '短评打分': 5}
{'短评内容': '差啊,酒店风格怪异,用具陈旧,哪有四星标准,晚上电话骚扰。除有特殊爱好者,不建议入住', '短评打分': 3}
{'短评内容': '很干净,很有特色,早餐很丰富,儿子每天都吃得饱饱的.', '短评打分': 5}
{'短评内容': '还行吧，味道一个藏香味。神神叨叨的一个酒店', '短评打分': 1}
{'短评内容': '还不错，很有特色，下次有机会还会去的，就是位置有些偏。', '短评打分': 5}
{'短评内容': '多次入住了，这次入住外面有点吵，还是希望酒店可以在走廊上铺地毯，房间的地板已经坏了，希望下次入住的时候已经维修好，还有就是冷热水不好调节，烫到皮肤很不爽。', '短评打分': 5}
{'短评内容': '还是觉得藏式房间比较温馨~~~~~因为这个房间装饰不是很喜欢！以后还是住藏式房间！', '短评打分': 5}
{'短评内容': '酒店装修很有特色，比较温馨，但就是走廊比较吵，有人走过都会听的清清楚楚，还有就是半夜有些客人在走廊上说说笑笑让人觉得无法休息。', '短评打分': 5}
{'短评内容': '房间异味太大，设施一般，既不方便，性价比太低。 一栋大厦只有最高两层是酒店，安全性可想而知！', '短评打分': 1}
{'短评内容': '地理位置还不错，但不是很容易找，因为入口在巷子里。酒店似乎挺火爆的，风情房没得选，去了只有巴西房。比较了一下看不出巴西房到底有多么鲜明的特色，还不如住便宜一点的藏式房。房间比较小。空调是独立的，很吵。其他都还好。', '短评打分': 1}
{'短评内容': '帽子丢了。。酒店有很认真帮忙找！但是能再找找吗？拜托！！！其他可以找的地方都找了，应该是落在酒店了。。。', '短评打分': 5}
{'短评内容': '酒店服务还不错，早餐有待改进；阿拉伯房间最好不要住，外面空调噪音极大，到了晚上整个房间就像开拖拉机一样，根本无法入睡；其他房间还不错，出行方面有公交车，旁边是居民生活区，吃东西还是可以的', '短评打分': 5}
{'短评内容': '酒店为藏式，比较有特色，就是房间太小', '短评打分': 3}
{'短评内容': '前台的热情度明显有所改进，也改进了送餐服务。就是房间的木地板有些地方踩起来咯吱咯吱的...', '短评打分': 5}
{'短评内容': '很有风格 就是位置不是太好...........', '短评打分': 5}
{'短评内容': '地板太响，网速太慢。其它还可以。', '短评打分': 3}
{'短评内容': '不错，藏式的房间装修的很有风格，也比较安静。其他房间都与众不同。\n', '短评打分': 5}
{'短评内容': '交通便利，酒店很有特色，床非常舒服，像在家里，', '短评打分': 5}
{'短评内容': '酒店电梯，走廊都比较精致，房内装饰摆设很有异域风情，特别是卫生间的设备，很满意！', '短评打分': 5}
{'短评内容': '再次入住，硬件不错。建议就是加强对服务员的管理，尤其是热情、亲切度方面，在前台总是冷冰冰的接待，说话非常生硬，虽然也有礼貌，但让人觉得很不舒服。比上次入住改进了送餐的管理，满意。', '短评打分': 5}
{'短评内容': '酒店房间布置的很好，但就是地板踩的嘎吱嘎吱响，还有希望在走廊上铺上地毯，要不然每次外面有人走过都会有响声，楼层服务员态度很好，但就是有时候说话声音很大。地理位置不错，打车比较方便，酒店餐厅的东西很好吃，值得推荐~', '短评打分': 5}
{'短评内容': '总体感觉不错，入住的感觉也不错，相当卫生。除了前台2个服务员服务态度不佳以外，没有什么其他的意见。', '短评打分': 5}
{'短评内容': '200多元对于这样酒店我觉得非常的划算，首先非常干净，其次东西都准备比较齐全！我住的是藏式风格因为比较便宜非常的好，当然你不喜欢藏式风格还有其他欧式风格，只不过有点贵！~~~整体来说干净，如果前台在亲切点那就更好了！', '短评打分': 5}
{'短评内容': '酒店很清新，住的很舒服，推荐风情房，服务很周到！', '短评打分': 5}
{'短评内容': '舒适，服务不错。', '短评打分': 3}
{'短评内容': '装修一般，酒店不像酒店，可价格不菲.......', '短评打分': 1}
{'短评内容': '交通便利，酒店很有特色，床非常舒服，像在家里，早餐也很好，性价比也不错。建议改进：餐厅送餐服务在晚饭时因服务人员不够而不能送餐，管理层面可以再完善。总体很好，下次再来成都还会选择。', '短评打分': 5}
{'短评内容': '总体感觉还不错，有机会的话，还会选择入住~', '短评打分': 5}
{'短评内容': '特色酒店，休闲都市中的一点红', '短评打分': 3}
{'短评内容': '不错，就是部分藏式房远远没有网上标的那么大', '短评打分': 5}
{'短评内容': '好吧，这个酒店小有点难找。之后藏式房间和想象的（网站图片）有点点区别，地板一踩就咯吱咯吱的响，隔音效果也不好。早晨没吃，不过别的酒店就算是单人间，也是送2张早餐卷，这里就1张。不过呢，总体来说还是蛮有特色的。', '短评打分': 5}
{'短评内容': '很不错，环境舒适，很喜欢~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '风格优雅，有特色，服务不错。值得推荐。交通便利，下次还可以过来住一住。', '短评打分': 5}
{'短评内容': '很好，很有特色', '短评打分': 3}
{'短评内容': '比较有特色的一家酒店，住的是藏式标间，可以wifi上网。有各条线公交车直达市区，跟武侯祠很近，那附近还有很多特色的小吃。', '短评打分': 5}
{'短评内容': '还不错莫', '短评打分': 3}
{'短评内容': '288元的房间非常小，没有书桌上网很不方便。第二天正赶上西博会，变成了408元，只能告退。', '短评打分': 5}
{'短评内容': '总体来说，酒店设计是花了心思，很有藏族风情的味道。给人感觉很不错。\n\n但是入住后发现，我们那间房的房间几乎每个墙面都有墙纸剥落，发霉的现象，感觉很不舒服；地板踩上去咯吱咯吱的响；洗澡时，水压时大时小，差点烫s我了。床头的木质部分，部分脱落。我们住的那间房，床头靠着窗，然后有风一直吹着头，仔细检查，发觉是玻璃漏风。睡了一晚，头痛了。', '短评打分': 1}
{'短评内容': '有异域特色，异国情调。六层还有户外平台，不错。适合情侣浪漫一夜', '短评打分': 3}
{'短评内容': '有特色的酒店，总体满意，装修细节不行，有股味道。', '短评打分': 5}
{'短评内容': ' 行政房裡面都佛像很昏倒。', '短评打分': 3}
{'短评内容': '酒店布置还不错，电梯可以清洁一下,其他都不错', '短评打分': 5}
{'短评内容': '房间比较大，有特色，房间卫生及酒店服务不错，下次还会再来，但价格觉得有些贵', '短评打分': 5}
{'短评内容': '一开始看了地中海风情房和普罗旺斯的，感觉普罗旺斯的有点素，而地中海的就很有风味。酒店的服务挺周到的，早餐也还行。只是酒店比较偏，周围没什么好逛的。', '短评打分': 5}
{'短评内容': '挺有风格的一家酒店。地板会嘎嘎作响，我住在13楼，服务员说晚上不吵，结果我一晚上都是迷糊着的，因为街上的汽车声呼啦呼啦的。窗帘不是很遮光，有待改进。', '短评打分': 5}
{'短评内容': '装修确实很有特色,但是, 房间卫生感觉一般, 前台的结账速度太慢, 明明只有一位顾客在结账还等了半天. 不过服务员的态度还是不错的', '短评打分': 5}
{'短评内容': '附近人少，安静，交通便利，临近草堂，空气很好，出门就是大路可以打车', '短评打分': 5}
{'短评内容': '很有特色', '短评打分': 3}
{'短评内容': '很不错的一家酒店，每间房间都有自己的特色。位置方便安静。就是前台的服务一般，希望改善！', '短评打分': 5}
{'短评内容': '从未见过这么差的酒店，估计这辈子也让人难忘记啦！不喜欢的原因主要是酒店风格方面，因之前有人评价特色风情房较好，也看了图片，所以也就住了，价格318元一晚，虽不贵，但希望是能够真如网评般八九不离十，八分就算了，也不计较了，但是那晚一进房间那一层，看见一排的红灯笼，给你感觉就是怪异得很，而且有一股很怪的香味，房间居然给我们留的是一间日式的，那个淋浴、洗盆、水龙头都老旧（淋浴外面居然是用一米高的木栅栏包', '短评打分': 1}
{'短评内容': '酒店藏式房间比较有特设，但进入13楼觉得有一股怪怪的味道，可能是藏式的特点吧，总体还很不错', '短评打分': 5}
{'短评内容': '房间和走廊设施都很新，浴室设备考虑周全，房间的席梦思很舒服，住的是藏式标间，和图片一样，很精致。会推荐', '短评打分': 5}
{'短评内容': '一般。。。。。。。。。。。房间装修陈旧简单.。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '刚从西藏下来，入住了藏式单间，房间小了点，但是这方面我的要求不高，毕竟一个人住，够用就行。感觉很温馨，很舒服，各方面设施都不错，对得起这个价格，有机会还会选择。', '短评打分': 5}
{'短评内容': '很方便，酒店功能很齐全', '短评打分': 3}
{'短评内容': '酒店风格非常好~就是比较难找 在红星美凯龙的后面 不过还算方便 出门就能打车 每个风格的房子得自己去看一下再住 本来住的意大利风情但实际上真的很一般 而且卫生间的墙也不是很干净 后来出去的时候看见有打扫好的已经退房的房子看了几间就选了芬兰房 这个比意大利好多了还干净 就是地板不太好都翘起来了 房子很大 厕所也大 电视也大 隔音也好 这个价格已经很不错了 推荐大家尝试优格有特色的酒店', '短评打分': 5}
{'短评内容': '这地方太偏了，晚上饿了什么吃的都没有，附近也是连便利店都没有，不方便。房间比想像中小很多，厕所有下水道很难闻。其他都挺好', '短评打分': 3}
{'短评内容': '特色风情房间设计新颖', '短评打分': 3}
{'短评内容': '新酒店，不错。', '短评打分': 3}
{'短评内容': '这次比前一次入住失望，有些屋子是挂壁空调，先代简约较简漏。', '短评打分': 3}
{'短评内容': '可以，服务态度好，环境也舒服，下次还会住这', '短评打分': 3}
{'短评内容': '酒店有特色，就是细节不够好，比如说酒店方位引导标志不清楚，寻找麻烦，还有网线连接不方便，空调滴水以及阳台门无法关闭等。', '短评打分': 5}
{'短评内容': '酒店环境不错，房间又大又干净，很有藏式风格，前台小姐态度也很好，就是早餐差了点', '短评打分': 5}
{'短评内容': '相当给力！装修别致考究，性价比高。下次还会选择。', '短评打分': 5}
{'短评内容': '三星的价格，四星的设施，五星的服务。但好像空调有点吵，设施时间长了也有些陈旧。希望管理员要定期维护。', '短评打分': 5}
{'短评内容': '藏式单间不错，风情房不能选自己喜欢的，这个有点郁闷，其他都很不错，就是卫生的细节还有待加强，另外洗脸盆的水太小了。', '短评打分': 5}
{'短评内容': '酒店干净明亮，三星的价格，四星的设施，五星的服务。但是酒店设施部分老化，希望能做定期保养。', '短评打分': 5}
{'短评内容': '是帮朋友订的，据朋友说藏式房间很漂亮，她还拍了很多照片，期待着看她的照片，关于其他方面还没有听她评论', '短评打分': 5}
{'短评内容': '很有特色，商务浪漫都适合!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '房间的设施还可以，交通也较便利，就是房间的隔音太差了，走廊的声音听的一清二楚的，尤其是早上，期待改进', '短评打分': 5}
{'短评内容': '酒店挺有特色的，交通也比较方便，就是卫生做得不太到位，卫生间洗手台的小木盒都发霉了', '短评打分': 5}
{'短评内容': '帮同事订的，没接到投诉，那就应该还不错，呵呵', '短评打分': 5}
{'短评内容': '这家酒店总天还不错，价格也合理，就是成都的出租太难打了，要是提供叫车服务就更好些了。', '短评打分': 5}
{'短评内容': '感觉不太好，房间内设施比较原始，住起来不是很习惯', '短评打分': 1}
{'短评内容': '特别的设计，房间比较干净。非常好~~~~~~~~~~~~~~~~~！去了峨眉山，回来还是选了这家，并且住了这的风情房，特别有意思，下次来还选这家。', '短评打分': 5}
{'短评内容': '特别的设计，房间比较干净。非常好~~~~~~~~~~~~~~~~~！', '短评打分': 5}
{'短评内容': '特别的设计，房间比较干净。非常好~~~~~~~~~~~~~~~~~~~！', '短评打分': 5}
{'短评内容': '有藏族特色，离机场相对较近。周边有一些小型超市，晚上也营业，要是想买一些零食和饮料挺方便。卫生间的浴液和洗发水也不错呦。', '短评打分': 5}
{'短评内容': '环境不错，服务周到，卫生很好，安静优雅，不错的选择，有机会再来！', '短评打分': 5}
{'短评内容': '我住的是藏式单间，很有特色。床很宽很舒服。六楼的餐厅很不错，早餐还不错。', '短评打分': 5}
{'短评内容': '酒店有特色，交通便捷。服务不规范，前台人员服务态度一般，价高了点。', '短评打分': 5}
{'短评内容': '酒店还可以，但是位置有点偏，周围汽车4S店较多', '短评打分': 5}
{'短评内容': '住的芬兰风情房，房间空间格局都很满意，地板有损坏了，毛巾一般，床很软，相当舒服。沐浴露和洗发水不错。', '短评打分': 5}
{'短评内容': '挺有特色的，不错不错！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '离市区太远 入住时说我没有预定 虽然按预订价给了一个大床房 但是很是不爽 条件也是一般般吧 ', '短评打分': 1}
{'短评内容': '这是第二次住了，还是不错的。上次是藏式风情，这次是阿拉伯。其实大装遑是一样的，小东西不一样了。\n', '短评打分': 5}
{'短评内容': '有藏族调调，安静！但半夜会有莫名电话打进来 影响睡眠！', '短评打分': 5}
{'短评内容': '酒店的位置较偏，不容易找到!前台服务质量一般，周围交通不是很发达，房间偏小', '短评打分': 1}
{'短评内容': '价格公道，服务可以，餐点一般，没有睡衣，液晶电脑，地点不错', '短评打分': 5}
{'短评内容': '酒店里的装饰还是很有风情特色的，住进去还是很有家的感觉，如果以后可以把家里装修成这个样子，还是很有情调的。', '短评打分': 5}
{'短评内容': '这家酒店住宿可以，虽然前台不大，但地方比较好找，离机场，锦里，宽窄巷子都不怎么远。房间内部布置还比较有特色。而且由于房间比较小，可以舒服的躺在床上上网。但早餐确实不怎样', '短评打分': 5}
{'短评内容': '酒店位置好，房间有特色。服务到位，但房间较小，早餐一般。', '短评打分': 5}
{'短评内容': '我感觉还可以，就是感觉价格不要随便乱动，今天听服务员讲要涨价，学生考试，可怜的孩子们。我们要支持学生，要降价', '短评打分': 5}
{'短评内容': '还不错的酒店，很有特色，但是前台的服务还需要提高。硬件条件可以，软件条件也需要跟上。', '短评打分': 5}
{'短评内容': '无语，不知道怎么说好。前台没有标明价格，我也看不到，到底是多少钱一个晚上，我也不知道，还有就是网上讲四星，我怎么感觉前台有个女孩子不是四星的要求，客户的事情永远是第一位的，服务至上，不知道上课了没有。还是希望改正。住在这里，是因为六楼的优客运动', '短评打分': 5}
{'短评内容': '很好，很安静，而且六楼就有运动健身房，爽。出差就住这个酒店', '短评打分': 5}
{'短评内容': '很有藏式风情的一家酒店!不过就是位置不太好找,在一个家装城的背后。很有情趣，值得推荐。', '短评打分': 5}
{'短评内容': '楼层高 空气比较好 服务员很热情\n房间很有特色', '短评打分': 5}
{'短评内容': '还行，性价比偏低了点，要是200到250就合适。', '短评打分': 5}
{'短评内容': '风情房很不错，比较干净，也很有特色，有机会可以去体验不同的房间。', '短评打分': 5}
{'短评内容': '非常喜欢该酒店，很有特色，推荐风情房。唯一不足就是交通不算太便利。', '短评打分': 5}
{'短评内容': '             酒店房间有点特色，感觉还行，早餐不理想。', '短评打分': 5}
{'短评内容': '很有特色的酒店，什么风格的都有。性比价高。··就是不怎么好找·····呵呵', '短评打分': 5}
{'短评内容': '第一次住藏式风格酒店，各项设施完备,早餐样式丰富。下次还会入住。', '短评打分': 5}
{'短评内容': '该酒店的房间很有特色，服务周道，整洁温馨，早餐也不错。\n', '短评打分': 5}
{'短评内容': '三星的价格,四星的装饰,五星的服务.服务员非常热情,推荐入住.', '短评打分': 5}
{'短评内容': '有特色的小旅店，酒店人員的服務态度很好，房間設計有心思,服务不错，下次还会入住。', '短评打分': 5}
{'短评内容': '第三次入住了，本次入住的是特殊风情房；总体感觉不错。', '短评打分': 5}
{'短评内容': '不错的酒店，不错的价格，下次来还会入住\n酒店比较新，早餐不错', '短评打分': 5}
{'短评内容': '这次住的是行政房，比藏式房好；酒店人員的服務态度很好.\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '房间里有些饰品很精致，看得出花了些心思，但价格略贵了一些，', '短评打分': 5}
{'短评内容': '很有特色，推荐，\n这次住的是藏式,酒店人員的服務态度很好.\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '还有，这酒店的服务人员挺不错的。如果是要去那附近办事的话住那里是还不错的选择。', '短评打分': 5}
{'短评内容': '酒店还不错，就是离市区太远了，这地方有点偏。在他们当地人所说的2。5环，到晚上十点后东西都没有得吃了。很麻烦。不过还好，打车不是很难打。', '短评打分': 1}
{'短评内容': '很有特色，推荐，\n这次住的是藏式,酒店人員的服務态度很好.', '短评打分': 5}
{'短评内容': '  很有特色，推荐，不知道其他房间怎么样，这次住的是藏式', '短评打分': 5}
{'短评内容': '  很有特色，强烈推荐，适合度假的情侣，环境卫生，希望价格再低点就好啦', '短评打分': 5}
{'短评内容': '自己是出差帮事情的，感觉个性房间还是有点不习惯，没有桌子办公和很不好！附件吃饭也不是很方便！', '短评打分': 1}
{'短评内容': '性价比很高的酒店，配套设施都很花心思，不错', '短评打分': 3}
{'短评内容': '有特色的小旅店，酒店人員的服務态度很好，房間設計有心思，不過不主張入住藏式房，反而歐式的不錯！', '短评打分': 5}
{'短评内容': '韩国特色房一般', '短评打分': 3}
{'短评内容': '感觉不错 通风也比较好 就是有些房间地板有点翘了', '短评打分': 5}
{'短评内容': '比较有特色把，就是隔音还是这个老火，这是我第3次入住了，之前说会改善，但是到现在都没改善隔音，但是民族特色确实很浓。', '短评打分': 5}
{'短评内容': '比较有创意，但是房间内没有地毯不是很舒服。', '短评打分': 5}
{'短评内容': '很差的酒店，近500块的房间，装修的很粗糙；空调功率不够，一直开着，可是仍然非常冷。洗手间转个身都转不开，早餐就更差了，小的不行！另有地方，竟然不开放！太差了！千万别住这个酒店！', '短评打分': 1}
{'短评内容': '说是特色酒店，但是装修设施真的不好。\n卫生间有霉味，房间里墙上的涂料已经脱落，地板很差。\n隔音非常不好。房间外的人说话听的很清楚。', '短评打分': 1}
{'短评内容': '藏式房很有特色，浴室就是放水的时候会漏水。床是没有架子的，直接放在地上。有机会其实还想住住别的风格的比如说西班牙拉，意大利拉。', '短评打分': 5}
{'短评内容': '很有特点的酒店。各方面都还是不错的，对旅游的客人比较合适。商务客应该不是首选', '短评打分': 5}
{'短评内容': '不错，服务员态度很好，房间也不错，就是里面没有针线包，前台也不肯帮着订出租车', '短评打分': 5}
{'短评内容': '风格不是很喜欢哈，本来说体验下的，然后晚上睡觉竟然能听见走廊脚步的声音还有隔壁说话的声音。', '短评打分': 1}
{'短评内容': '非常好,不同与以往住的传统酒店,很有特色,很干净.房间里面的配置也是比较高的,早餐也ok,很喜欢这家酒店的风格,以后来成都都会住这家酒店的.', '短评打分': 5}
{'短评内容': '环境优雅,五星服务.设施高档,干净整洁,推荐入住.', '短评打分': 5}
{'短评内容': 'Decoration was very nice, I had the Tibetan room.  The bed?  I slept like a baby with a full stomach.  The service was excellent and those working there were very polite and worked hard to make my sta', '短评打分': 5}
{'短评内容': '挺好，挺安静，服务也很好。地理位置也挺好，性价比很高。\n就是自己运气不好，分到一个不喜欢的风情房，晚上回来发现居然没有香皂，拖鞋非常小。\n推荐下回去住的时候先打电话订风情房的种类，以免分到一个不喜欢的。', '短评打分': 5}
{'短评内容': '卫生间地面有烟头，入住的时候没有打扫干净', '短评打分': 5}
{'短评内容': ' 这次住的是南欧风情，房间很大，床软软的，很舒服！！唯一的小缺点就是洗澡的水比较小，不过总体还是很满意，下次还会选择这里！o∩_∩o', '短评打分': 3}
{'短评内容': '服务员非常亲切，酒店装潢和设置都非常细腻、有品味，值得入住', '短评打分': 3}
{'短评内容': '很不错的酒店，非常有特点。但是离市区比较远，不太好打车。去武侯祠还蛮近的.', '短评打分': 5}
{'短评内容': '很喜欢的酒店，很好找。就在红星美凯龙后面。房间很漂亮，唯一缺憾就是几个喜欢的特色风情房都只有一间，要入住完全得靠运气。要是多增加几间就好了。要是办酒店的会员卡还会便宜很多，很喜欢这样具有特色的酒店。大堂也比我想象中气派，早餐稍微单调点。', '短评打分': 5}
{'短评内容': '藏式风格房间较小，住着不是很舒服，藏式房相比较来说性价比不高，建议入住风情房。', '短评打分': 5}
{'短评内容': '酒店装修别致，风情房间较大。早餐品种较多，适合入住，', '短评打分': 5}
{'短评内容': '住的藏式大床，总的来说还是比较满意的，酒店的整个环境都很有特色，走廊布置非常独特，1227房间还不错，就是好像比其他房间小，还有空调声音比较响，希望改进，热水很给力，早餐还算丰盛，希望以后能提供无糖豆浆。', '短评打分': 5}
{'短评内容': '酒店很有特色，卫生也很干净，推荐。', '短评打分': 3}
{'短评内容': '非常不错，就是位置相对远点。但是酒店感觉非常好。很有特色', '短评打分': 5}
{'短评内容': '帮同事订的，同事很满意，房间很特别很干净。', '短评打分': 5}
{'短评内容': '很不错的酒店，客房服务很好，房间很有特色，但是早餐部门的管理和服务实在是不一致。', '短评打分': 5}
{'短评内容': '不是第一次住了，很有风情，真的不错，而且还有很多好玩的事情发生，哈哈。但早餐服务和管理都很差。', '短评打分': 5}
{'短评内容': '价格倒是挺便宜的但是网速太慢的，位置交通挺方便的，服务态度也不错，房间设施卫生都很好。', '短评打分': 5}
{'短评内容': '设施及条件尚可，性价比不高，地方比较偏，的士司机都不知道地方。', '短评打分': 5}
{'短评内容': '第二次来了，早餐有了很大的改善，服务热情，下次还会来。', '短评打分': 5}
{'短评内容': '房间还是不错的，装修很有风格，如果在天气情况不恶劣的情况下，可以去体验一下。\n我觉得主要有点不好的地方，淋浴水温始终不稳定，一会冷一会热，冬天的时候让人非常接受不了，床品的质量一般，睡觉的时候感觉有点不舒服，其他没啥问题。', '短评打分': 5}
