{'短评内容': '只有    热水    比较    好吧', '短评打分': 3}
{'短评内容': '不算温馨，还有点脏，装修很陈旧，卫生条件不好', '短评打分': 1}
{'短评内容': '交通方便，位置方便但房间设备太旧隔音设施差', '短评打分': 1}
{'短评内容': '房间设施都比较旧，洗漱用品与没有差不多，不过价格还算便，位置也好\n', '短评打分': 5}
{'短评内容': '地理位置非常好、交通方便.房间也不错、还是小套间.靠近火宫殿和民航大厦、吃东西跟去机场非常便利·', '短评打分': 5}
{'短评内容': '房间很小的一个窗户开在走廊上，严格来说不算窗户，没有基本的洗漱用具。隔音太差。居然还有人打麻将声音超大。。房间没有电话不能早上叫起床。。。窝在里面住了一晚是在受不了了。。整个感觉就是一个不良。。交易。。的场所。。。还有前台的国语很差，口音太重，问路问了半个小时都听不清楚在说什么。。。价格虽然便宜但是性价比不高，同价位的其他酒店也不至于差到这种地步吧。。。。。', '短评打分': 1}
{'短评内容': '光线太差，整个房间只有一个小窗，空气不是很好。还有那个浴头有问题。其它的还好。', '短评打分': 1}
{'短评内容': ' 房间设施都比较旧，水也不够热。不过价格还算便宜', '短评打分': 5}
{'短评内容': '位置不错，设施比较旧，没有基本的洗浴用品和牙具拖鞋，服务态度还可以。', '短评打分': 1}
{'短评内容': '我订的是大床房，到酒店后，服务员给了我一间双人房。单人和双人是无所谓，但是那间双人房无声设施特差，烟味很浓，房间邋遢。因为我到达时已经是次日凌晨2点多，服务员说没有房间可换了，我只好憋了一晚。在被窝里躺了8个小时，身上的烟味一整天都没法散发掉。我很郁闷。\r\n', '短评打分': 1}
{'短评内容': '不错，离长沙机场大巴停靠点民航酒店非常近，很方便。', '短评打分': 5}
{'短评内容': '第一感觉有点像招待所，房间有点小，服务态度还可以！不过不影响居住！下次有机会还来！', '短评打分': 5}
{'短评内容': '离火车站挺远 但是酒店门口有汽车站，一站路到火车站 火车站坐一站路到对面 要步行一段还要下地道不方便 火车站步行差不多在20-25分钟 因为火车站过马路要下地道 然后一直向南走一段过了红绿灯再向前才到，离火车站应该有500米，是我住过最差的酒店了，在火车站附近这价格不便宜 而且火车站对面就有橘子连锁酒店才13X，因为要赶7点火车又提前一个星期定的也就算啦！', '短评打分': 1}
{'短评内容': '价格不确定，位置还不错，服务员比较少，其他服务没享受', '短评打分': 5}
{'短评内容': '还可以，位置不错，价格合理！', '短评打分': 5}
{'短评内容': '性价比还是不错的，值得下次去住', '短评打分': 5}
{'短评内容': '好的', '短评打分': 3}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '设施比较旧，床不太舒服，但位置好，便宜。', '短评打分': 5}
{'短评内容': '预定的标准单人间，酒店提供的是双人标间，床单浴巾都很新，非常满意！', '短评打分': 5}
{'短评内容': '这次旅行住了差不多10家店，这家店是最价比性最高的了。虽然居住环境不大，但好在里面干净整洁，服务更是没得说。。。。', '短评打分': 5}
{'短评内容': '没有牙具拖鞋可以理解，居然没有基本的洗浴用品，让人崩溃。。。。噪音大，隔壁房间搓了一通宵的麻将', '短评打分': 1}
{'短评内容': '感觉还挺好的，特别是地理位置；另价格比较优惠', '短评打分': 5}
{'短评内容': '在那住了三天，感觉坏透了，我订的那间好小啊，说是特价房，毕竟也是一份价钱一分货，所以这个就不说了。但是也太吵了，基本上每天都是被吵醒的，一到8点至9点，楼上就感觉蒸汽机在震动，后来问服务员说是在装修，我的妈呀，怎么这么背呢！如果不吵的话，先比其他酒店性价比还是可以的。', '短评打分': 5}
{'短评内容': '整体感觉还行吧', '短评打分': 5}
{'短评内容': '酒店除位置比较好外其他都较差，特别是床的舒适度太差，感觉象睡在弹簧上，根本无法睡，没有洗漱用品，没一次性拖鞋\r\n', '短评打分': 1}
{'短评内容': '一般 ', '短评打分': 5}
{'短评内容': '很差的一家酒店，只是在火车站附近（其实也有些距离）.是一家小酒店。室内没有牙刷和牙膏洗发水，拖鞋也不是一次性的。感觉没有安全感。装修很差', '短评打分': 1}
{'短评内容': '希望能增加POSS机，加强隔音', '短评打分': 5}
{'短评内容': '服务还行，出行也方便，就是房间的隔音不是很好', '短评打分': 3}
{'短评内容': '房间隔音效果不好，过道有声音听的一清二楚，影响休息，不过位置还不错，但是休息不好可能就不会考虑。', '短评打分': 3}
{'短评内容': '房间隔音效果极差，走廊上的声音房间里听的一清二楚，房间内连基本的洗漱用具都没有', '短评打分': 1}
{'短评内容': '房间还可以，位置也比较方便，但是马桶坏的，水不热。服务态度不好。', '短评打分': 3}
{'短评内容': '服务一般，不够热情。马桶坏，水不热', '短评打分': 5}
{'短评内容': '房间不合理，有黑房间，没有通风和采光。\r\n制度不严谨，乱七八糟，服务态度随便。\r\n还有蟑螂。衣橱里有霉味，里面有很多杂物，根本没有让客人入住的准备。总之，非常的不满意。\r\n真不明白，黑房间怎么还能造。\r\n', '短评打分': 1}
{'短评内容': '我住了一晚，设施很差', '短评打分': 1}
{'短评内容': '这家酒店不是很好，我住了一晚就换地了。设施陈旧，房间里的卫生也很差。', '短评打分': 1}
{'短评内容': '床垫子非常薄。感觉睡在弹簧上，硬件设施配置都很达标，价格合理适中那个时候是五一节期间价格还是比较便宜的，距离步行街很近。出行交通非常方便，酒店门口做一站地就到了。但是他的床非常不舒适，如果不更换床的前提下是不值得推荐入住的。', '短评打分': 5}
{'短评内容': '酒店有点旧，不过很干净舒服，服务方面需要提高。', '短评打分': 1}
