{'短评内容': '周边环境较差，门口停了许多快递车', '短评打分': 3}
{'短评内容': '房间比较小，比较旧，但是性价比不错，服务也还可以。离地铁也很近，周围都是居民小区，不临街，所以相对比较安静。', '短评打分': 5}
{'短评内容': '酒店不行，太差了，以后绝对不住……………………', '短评打分': 1}
{'短评内容': '离地铁很近，房间较小，但是周边出行方便，正好在附近培训。', '短评打分': 5}
{'短评内容': '位置还算好找，暖气还行，电梯有点吓人，房间设施一般，这个价格感觉贵了', '短评打分': 1}
{'短评内容': '团购价为148，这个价有这样的房间应该是不错的了。', '短评打分': 5}
{'短评内容': '酒店位置不错，房间也挺干净的。现在包含早餐了，这点很方便。', '短评打分': 5}
{'短评内容': '价格偏高，五星级酒店可以下午2点退房，这家酒店1点半就让你走，还是商量的结果。想继续呆哪怕半小时，他按钟点房给你算109元。房间没有空调，问服务台说他家的空调只制冷所以你不必找遥控板了。所谓的早餐就是粥加馒头和鸡蛋。看看网站上门面挺好，其实就是居民楼改的。当然你实在找不到合适的地方住，这个地方你可以理解成地下室将就一下。还有你最好戒完烟入住，因为烟味一点也排不出去的。', '短评打分': 1}
{'短评内容': '距离我们办事的 首创大厦就在眼前，出行方便，地铁很近。只是房间小、设施旧了，价格还涨了，哎。', '短评打分': 5}
{'短评内容': '感觉就是一招待所，电梯丁玲桄榔的响，床咯的一晚上都没睡好', '短评打分': 1}
{'短评内容': '出行比较方便，但是房间比较简陋，厕所马桶安装不合理，导致门都开不直，隔音不好。总的来说，还算可以', '短评打分': 3}
{'短评内容': '酒店位置不错，离地铁2号线很近，交通很方便。现在可以提供早餐了，方便了许多。', '短评打分': 5}
{'短评内容': '挺好的 性价比算周围较高的了 床单很干净 现在还送早餐，不足是毛巾洗的都只掉毛了 没窗户的房间有些憋 ', '短评打分': 5}
{'短评内容': '地点正是我要的，价格很实惠，不错啊，干净', '短评打分': 5}
{'短评内容': '酒店服务不错', '短评打分': 3}
{'短评内容': '房间干净整齐，但房间很小，还是可以的，前台服务态度很好', '短评打分': 5}
{'短评内容': '一般装修比较简单，而且门口不好停车。', '短评打分': 3}
{'短评内容': '位置较好，交通方便，价格便宜，物廉价美类型的，设施一般', '短评打分': 5}
{'短评内容': '交通便利 旁边就是工体 适合外地来北京看演出 或者球赛居住 虽然小贵 但比起旁边的大酒店 还是便宜不少啦~', '短评打分': 5}
{'短评内容': '房间特差设施很陈旧，房间也特别小也不隔音，而且被子也很薄，下次肯定不会去了。反正是很差很差。', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '房间设施比较陈旧，比较干净，隔音效果一般！', '短评打分': 5}
{'短评内容': '还好吧，赶上展会没得选，大体位置还算方便。', '短评打分': 5}
{'短评内容': ' 环境不错 在居民区里 干净 服务好 交通便利', '短评打分': 3}
{'短评内容': '酒店地处偏僻，但还是很好找的，看样子刚装修好没多久，还比较干净。傍边有一建筑工地，但不嘈，还有免费旅游地图。', '短评打分': 5}
{'短评内容': '服务不错，房间还算干净，就是旁边有个工地，一早就在施工，有些噪音。', '短评打分': 3}
{'短评内容': '酒店性价比高', '短评打分': 3}
{'短评内容': ',选择了离家近、周边环境好、可门口环境差，望尽快改进。服务态度好！', '短评打分': 3}
{'短评内容': '位置还不错，房间太小，才三月份房间就很多蚊，打死二十多只，听起来有些夸张吧', '短评打分': 3}
{'短评内容': '1. 位置可以\n2. 正在装修，据说装了几个月了，还没好\n3. 电梯不能用，提着箱子爬三楼\n4. 门锁还是个坏的\n5. 房间小的很，设备要啥没啥。\n\n总之，绝对不推荐', '短评打分': 1}
{'短评内容': '房间特差设施很陈旧里面壁纸都打卷了，暖气也不热，房间也特别小也不隔音，而且被子也很薄，只是因为我在附近办事才顺便才住的，下次肯定不会去了。价格也是很贵的。反正是很差很差。', '短评打分': 1}
{'短评内容': '第一次入住，感觉总体情况还可以,位置还可以。', '短评打分': 5}
{'短评内容': '离东四十条地铁站很近，出行购物都很方便，属于东直门商区，周围餐饮还方便，在这个地段性价比还可以！', '短评打分': 5}
{'短评内容': '在装修，很吵闹。周围环境也不好。优点是地理位置不错', '短评打分': 1}
