{'短评内容': '整体还不错哦', '短评打分': 3}
{'短评内容': '1，服务员莫名奇妙走错房间两次，而且直接用master卡进房间..\r\n2，淋浴水非常小\r\n3，早餐非常差，8点50分80%的东西就没了。。。', '短评打分': 1}
{'短评内容': '房间有点日式风格 房间摆设很有特色 总体来说 这酒店值得一住！', '短评打分': 5}
{'短评内容': '+內容', '短评打分': 5}
{'短评内容': '性价比一流！性价比一流！性价比一流！性价比一流！性价比一流！', '短评打分': 5}
{'短评内容': '性價比值！性價比值！性價比值！性價比值！性價比值！性價比值！', '短评打分': 5}
{'短评内容': '价位、服务、位置什么的都还可以，就是房间内还是有点气味，装修材料不太环保', '短评打分': 5}
{'短评内容': '住的豪华单人间，面积大，房间不错，设施也比较完善。', '短评打分': 3}
{'短评内容': '基础设施须修整，下水返臭味，受不了换房间！', '短评打分': 3}
{'短评内容': '位置有点偏，性价比较高，餐饮还有待进一步改善，提高！！！', '短评打分': 5}
{'短评内容': '酒店出行较为不方便，但大体还是物有所值。', '短评打分': 5}
{'短评内容': '+住的豪华单人间，房间大，屋里还有躺椅，有个小冰箱，卫生间干湿分离，设施都不错。早餐质量也可以的，蛮好！', '短评打分': 5}
{'短评内容': '房间很大很宽敞 就是烟味太重了 ', '短评打分': 5}
{'短评内容': '酒店比较新，如果去南山那边，是一家比较好的酒店。', '短评打分': 5}
{'短评内容': '还可以啦,以后还会费住该酒店,交通比较便利,周边有不少饮食.', '短评打分': 5}
{'短评内容': '环境卫生不错，室内非常宽敞，特别是冲凉房。比较豪华，性价比不错。', '短评打分': 5}
{'短评内容': '总体不错，有免费停车场', '短评打分': 5}
{'短评内容': '是我最近在深圳南山性价比最好的酒店。楼下餐厅比较贵。', '短评打分': 5}
{'短评内容': '该酒店设施非常好,居住很舒服. 就是酒店周边购物和吃饭的地方不是很好找.同时价格稍微有点高.', '短评打分': 5}
{'短评内容': '房间大，感觉还行。周围很旺，能吃到不少物美价廉的海鲜。', '短评打分': 3}
{'短评内容': '房间挺大的，房间主要是原木色装修，可能是跟枫叶这个名字呼应，性价比不错，门口的饭馆比较家常，但是往东走一个街区就有必胜客、真功夫、屈臣氏等比较安心吃饭、买东西的地方，总体来说不错，就是安排的房间正好在电梯出入口的地方，半夜有人回来，非常吵，这是唯一感到不舒服的地方。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '不错的一家商务酒店。够宽敞。位置在南新路，出来很旺。推荐入住', '短评打分': 5}
{'短评内容': '一般酒店...早餐不錯', '短评打分': 3}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '参考了很多家酒店，这家对得起它的价钱，性价比很高！', '短评打分': 5}
{'短评内容': '距离办事的地方很近，性价比较好', '短评打分': 5}
{'短评内容': 'good', '短评打分': 3}
{'短评内容': '作为一经济型酒店非常不错，性价比较高！在居民小区之间比较安静，餐饮也方便、已经入住多次。就是前台接待太冷了点！', '短评打分': 5}
{'短评内容': '很不错，很喜欢他家的早餐，写字台，飘窗还有床边的小沙发~\r\n\r\n电梯很大，还是两侧都能操作的噢！', '短评打分': 5}
{'短评内容': '酒店房间颜色搭配很好，浅啡色主调，床单也是浅啡色哦~，视觉温馨；床儿很舒适（也可能每天回来都挺累的吧^_^），工作台最赞，写report有感觉，还有台灯哦~~~；衣帽间有雨伞，挺贴心的~~虽然没下雨O(∩_∩)O ；窗户有临窗露台，适合看看小书，发发呆，可惜没机会享受~~~&#183;；LCD电视不错，就是感觉躺床上看时，位置高了点，住酒店的大多是躺着看会电视的吧，嘻嘻~~&#183;；沐浴间很大', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店的餐厅味道很地道。', '短评打分': 5}
{'短评内容': '餐厅不错，我喜欢。继续住。', '短评打分': 5}
{'短评内容': '服务很好，值得入住。', '短评打分': 5}
{'短评内容': '该酒店早餐2份必须带身份证领取餐劵，属国内首创。', '短评打分': 1}
{'短评内容': '性价比不错。', '短评打分': 5}
{'短评内容': '总体来说算是一个不错的酒店', '短评打分': 5}
{'短评内容': '好几次住这里了，再次推荐~', '短评打分': 3}
{'短评内容': '酒店总体还不错，不过我的南航联名信用卡在这家店刷不了', '短评打分': 5}
{'短评内容': '酒店房间比较大，比较高，属于商务酒店', '短评打分': 5}
{'短评内容': '卫生服务方面做的都很到位,很干净住着很舒适,但就是酒店的位置稍微有点偏,不太好找,其它的都不错.', '短评打分': 3}
{'短评内容': '酒店装修不错，很舒适，早餐也相当不错，品种齐全，赞！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置稍微有点偏，不过性价比的确挺高的，每天能免费洗衣2件这个最合我意。37方的房间也很大很舒服。美中不足的就是早餐的质量稍差，还有就是网速比较慢。', '短评打分': 5}
{'短评内容': '不错！挺值的', '短评打分': 5}
{'短评内容': '酒店的位置非常方便，价格我也能接受，而且酒店挺舒服的，设施相对比较完善，我觉得还是挺满意的。', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还是不错的,设施也比较齐全了,价格还是比较合适的.', '短评打分': 5}
{'短评内容': '新装修过，设施比较好，服务也不错，酒店的地理位置挺好的，交通很方便', '短评打分': 5}
{'短评内容': '酒店环境很好，就是地理位置不太好有点偏', '短评打分': 1}
{'短评内容': '适合商旅', '短评打分': 5}
{'短评内容': '酒店总体来说还不错，服务也不错。唯一的美中不足就是网速太慢！基本上打开一个网页要几十秒钟。不过还是推荐！', '短评打分': 5}
{'短评内容': '服务卫生还是不错的,价格也挺实惠的,地理位置也不错交通挺方便的./', '短评打分': 5}
{'短评内容': '这种经济型的酒店房价中含早餐，挺不错的，不过早餐种类比较少，另外他酒店配有地下停车场，自助游很方便，房间里也很放经，服务也不错。', '短评打分': 5}
{'短评内容': '房间很大，装修比较好，基本达到4星档次，就是卫生再搞好点就好了', '短评打分': 5}
