{'短评内容': '服务人员态度不错，房间也比较大，光线比较好，比较满意。', '短评打分': 5}
{'短评内容': '交通便捷，出行非常方便。房间明亮整洁，比较舒适。', '短评打分': 5}
{'短评内容': '不错，房间挺干净的，服务态度也很好，价格比较实惠', '短评打分': 5}
{'短评内容': '这里靠近杭州游泳馆，从火车站可乘11路到武林广场，再步行过来，路上要走一段路。酒店房间的插座较少，我想同时为2个相机、一个DV和手机充电，插座就不够了，借了插线板，可是插线板有问题，用不了，去前台换，说没有了。在房间里看电视，两次都无法正常收看，都是找服务员帮着弄好的，感觉设施方面有点不尽如人意。因为床单有污点，提醒过服务员换，可是他们忘了。跟他们讲床单不是我们弄脏的，他们说不会罚我们钱。好像是为', '短评打分': 1}
{'短评内容': '这酒店真的很不错，位置特别好 ，去杭州各个旅游景点都有公交，而且价格也便宜，酒店装修不错，服务员态度很好', '短评打分': 5}
{'短评内容': '挺好的。。。打车也方便。。。挺干净的。。。', '短评打分': 5}
{'短评内容': '靠高架较吵', '短评打分': 3}
{'短评内容': '酒店整体还可以，但没有图片上看起来好。价格算是同一地段较便宜的。', '短评打分': 5}
{'短评内容': '楼道最好加地毯', '短评打分': 3}
{'短评内容': ' 交通很方便，属于正市中心。宾馆干净，设备较新，就是屋内电源少，只要一个能充电有点不方便，其他都很不错。 ', '短评打分': 3}
{'短评内容': '非常不错 地段好房间干净', '短评打分': 3}
{'短评内容': '房间里很干净 东西也很新 外面不咋滴 黄色的房子很好找 ', '短评打分': 5}
{'短评内容': '房间很干净。房间配备吹风机。价格真的很实惠。值得推荐的MOTEL。', '短评打分': 5}
{'短评内容': '酒店内部装修比较敞亮，看着很整洁，住的很舒服，服务人员态度都挺好，网络电视几百个台可以看，免费上网，绝对物超所值，不错不错', '短评打分': 5}
{'短评内容': '地理位置比较好， \n宾馆服务员清理房间非常细致。\n去周围商业区比较近。比较经济适用， 不过由于需要拐进去， 如果是外地人自驾可能不太知道如何进去。\n', '短评打分': 5}
{'短评内容': '很好，干净，安静 ', '短评打分': 3}
{'短评内容': '看了网上的评价去的，确实很满意，房间很干净，特别是卫生间比较宽敞，离商业区也近，以后去杭州还会选择住这里', '短评打分': 5}
{'短评内容': '被子盖着不舒服，质量比较差，比较粗糙，空调对着人，不开热，开着伤身。被子太厚，虽然开着空调，盖着被子还是热，不盖又不行\n手机充电器也拉到宾馆了，他们查房也没提醒', '短评打分': 1}
{'短评内容': '处于武林广场核心区旁边，服务较好， 值得推荐。', '短评打分': 5}
{'短评内容': '其他都没问题，房间挺干净，可惜没有配备电脑，稍有点麻烦（一般出门不大自己带电脑的）。', '短评打分': 5}
{'短评内容': '处于武林广场核心区旁边，周边叫她和环境都不错，酒店住着还算舒服。推荐', '短评打分': 5}
