{'短评内容': '酒店整体不错，只是晚上门缝仍然有塞小广告的', '短评打分': 5}
{'短评内容': '经常带女朋友出去旅游，都是住经济型酒店，她总是说我小气，说不给她住5星级酒店，这次来桂林旅游，我好不容易说服她又住了一次，这次呢，是住的锦江之星旅馆，刚到酒店她很生气，怎么着都不愿意住，我劝她说看下房间先吧，结果看了房间后，他偷偷跟我说挺好的，还说我有品味，哈哈  退房的时候她还让我买了个会员卡，估计下次再去哪里旅游的话，相信锦江之星会是我未来老婆的首选了，我自己也感觉挺好的。喜欢锦江，未来老婆更', '短评打分': 5}
{'短评内容': '环境不错，酒店里很温馨，让人感觉很好。酒店旁边的米粉店很好吃！', '短评打分': 5}
{'短评内容': '位置不错，交通便利，经济实惠，卫生条件尚可，是出差，旅游的首选宾馆', '短评打分': 5}
{'短评内容': '酒店卫生条件不错，管理水平善可！推荐！', '短评打分': 5}
{'短评内容': '可以说在经济型酒店里，锦江之星算是比较大的，住的很舒服。这是我第二次入住了，以后锦江之星还会是我的首选！', '短评打分': 5}
{'短评内容': '桂林七星区锦江之星,感觉很好,赞一个!', '短评打分': 5}
{'短评内容': '很宽敞很舒服 就是在阳朔被抢了 大家要注意骑摩托的抢劫犯啊', '短评打分': 3}
{'短评内容': '地点不错 保持了锦江之星在全国的一贯水平\r\n在桂林这座典型的旅游城市中 比很多二三星酒店都来的好', '短评打分': 3}
{'短评内容': '标准间很好 一大一小 很舒服 推荐\r\n虽然这个旅行心情复杂 但是住着舒适也很重要啊', '短评打分': 5}
{'短评内容': '地点尚可，环境较好，性价比还算令人满意，这个价位的酒店，这家可列为备选之一了。', '短评打分': 5}
{'短评内容': '酒店还可以~位置比较安静~交通还算便利~~~~~~~~~~', '短评打分': 3}
{'短评内容': '竟然门是坏的，还有一个什么电子设备来着，也是坏的，都不知道酒店事前都没有检查到！！！！！！\r\n车子误点厉害，晚上就近十点才到（没有得吃到晚餐），办理登记花了老半天时间，然后发现门锁锁上安全锁竟然还可以开！！！！和前台反应了，对方不相信，说请耐心等待，我们派工作人员检查在确认，半天工作人员上来检查说门坏了，问其怎么办，答曰和等他下去和服务台反应，看怎么安排，打电话下去问也是说等我们师傅答复后看看，有', '短评打分': 1}
{'短评内容': '房间满干净…感觉很明亮…房间也不小…', '短评打分': 5}
{'短评内容': '还不错~但是性价比在桂林算是一般般~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '感觉服务不太如意~~\r\n可能都是实习生的缘故吧。。。', '短评打分': 5}
{'短评内容': '酒店设施很新，房间够大，很干净，就是位置稍微偏了一点。', '短评打分': 3}
{'短评内容': '酒店位置不是很好，七星路有点偏，不过性价比还是很高的，值得入住。', '短评打分': 5}
{'短评内容': '+宾馆较小，位置较偏，但很温馨，价格实惠，标间蛮大的，床很舒服。', '短评打分': 5}
{'短评内容': '总之一句话，很好。设施很新，很干净，装修风格很清爽，住着非常舒服。尤其喜欢那里的沙发，我是带着儿子去的，才7个月大，看了立体视频后看见里面有沙发就像可以给baby睡，但还是很担心实际房间里没有。但事实证明我是多虑了啦。把沙发靠紧我的大床，baby睡在里面很安全啦。服务生也很好哦，', '短评打分': 5}
{'短评内容': '房间内干净，服务人员热情。下回去我还会选择这里。', '短评打分': 3}
{'短评内容': '位置虽然有点偏，但是服务人员比较亲切，房间内非常干净，床品洁白，房间比较也大。', '短评打分': 5}
{'短评内容': '桂林的这家锦江之星虽然离火车站与汽车站相对较远，但总的来说各方面都不错。', '短评打分': 5}
{'短评内容': '房间还可以，服务很不错。但和同档次酒店相比价位偏高。', '短评打分': 5}
{'短评内容': '值得推荐哦', '短评打分': 5}
{'短评内容': '非常非常好，我很喜欢，每次去桂林都会住在那里', '短评打分': 5}
{'短评内容': '服务非常好，还免费接机。', '短评打分': 5}
{'短评内容': '服务特别好，前台服务人员很友善，床又大又舒服', '短评打分': 5}
{'短评内容': '服务员素质很高，态度很好，非常舒服', '短评打分': 5}
{'短评内容': '虽然位置有点偏，但是桂林市里也不算大，打车就十几元钱，这里我要突出的是整个酒店的员工都非常热情，态度特别棒，我感觉比我住的五星酒店都要强很多，尤其是最后我走的时候下雨，前台一个小伙子冒着雨帮我把行李放到车里，赞一个。酒店里是新酒店，设施配这个价已经很不错了，另外酒店里的电话除去国际长途可以随便打，嘿嘿。', '短评打分': 5}
{'短评内容': '地理位置有点偏，不是特别方便的感觉~~ 所以这个价格而言性价比就不高了。门牌号码不是很清楚，旁边有个什么地质局研究所和锦江之星的门牌号码一样，去的时候很纠结。', '短评打分': 1}
{'短评内容': '总体上来说，这酒店还不错，值得去住。', '短评打分': 5}
{'短评内容': '商务大床房空间非常小，很挤，收费应该比标准间低一档才对。', '短评打分': 1}
{'短评内容': '在二线城市的锦江之星比在一线城市的都强一些。相比较当地的一些三星级酒店这家店更胜一筹。', '短评打分': 5}
{'短评内容': '酒店还算干净卫生，周边也比较安静。就是床小了点。', '短评打分': 5}
{'短评内容': '位置稍稍偏了点。适合经济型旅行者。', '短评打分': 3}
{'短评内容': '除了位置稍稍偏了点，其他方面都不错。', '短评打分': 3}
{'短评内容': '除了位置稍稍偏了点，其他方面都不错。适合经济型旅行者。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '设施比较时尚和干净，就是位置偏一点，其它还好', '短评打分': 5}
{'短评内容': '双人间的空间还可以，就是商务单人间的空间太小了。想招呼个朋友都不行', '短评打分': 3}
{'短评内容': '干净整洁，还行。就是单人间的空间太小了', '短评打分': 3}
{'短评内容': '性价比很高，酒店设施新，服务员服务意识强。自住或商务都不错，推荐。', '短评打分': 5}
{'短评内容': '干净舒适，就是位置稍稍偏了一点。\r\n另外房型方面设计有点不合理，为什么单人商务间就是空间那么小呢？\r\n单人间空间大一点的话，我招呼朋友也方便啊。\r\n', '短评打分': 5}
{'短评内容': '一个优点：网速非常好', '短评打分': 5}
{'短评内容': '服務人員態度冷默,可能是生意好,服務品質下降', '短评打分': 1}
{'短评内容': '不错，锦江一贯的服务', '短评打分': 5}
{'短评内容': '服务很好，卫生很好', '短评打分': 3}
{'短评内容': '服务员始终以微笑的态度对待客户，这一点难能可贵，是一个管理规范的酒店。', '短评打分': 5}
{'短评内容': '酒店感觉不错环境卫生等等尤其是提供免费接机服务很贴心旅游到桂林拿着行李有人在机场接省心还有长途电话免费很适合旅游者往家报个平安想的周全下次还会住也会推荐朋友去', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，卫生服务也很达标，就是位置有些偏，出行交通不是很方便，其它都还好，还是可以推荐入住的酒店。', '短评打分': 3}
{'短评内容': '感觉整体很好，住的非常舒服，而且生活也非常方便。 ', '短评打分': 5}
{'短评内容': '我感觉房间面积比较大,但是一些小的细节方面没有上海的那家好,位置也有些偏僻了,酒店的服务都是蛮不错的,整体感觉还是比较合适的.', '短评打分': 3}
{'短评内容': '大床很舒服，早餐还不错，位置有点偏，不过等桥修好交通应该就方便许多。前台人员热心，服务态度很好。有接机服务。加上含双早，价格上来说还满值', '短评打分': 5}
{'短评内容': '免费接机很贴心，虽然班机误点，但是还是顺利接到，没有让我们等。性价比较高，交通方便，离市中心较远', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还是不错的，房间里的设施方面还是比较不错的，周边环境不是很好，有些偏了，整体价格还是蛮合适的。', '短评打分': 5}
{'短评内容': '房间比较干净，酒店的位置稍微有点偏，好在桂林也不大，交通还可以，性价比不错 ', '短评打分': 5}
{'短评内容': '酒店位置不好很远,到市区要很长时间,设施一般,价格比较高,性价比不太好,不会推荐的酒店.', '短评打分': 1}
{'短评内容': '酒店也不算很新的，但是内部的环境和设施都还不错，位置稍微有一点点偏，这个价格还是合适的，总的来说还不错。', '短评打分': 5}
{'短评内容': '位置有点偏，到的时候是晚上，没感觉到在市中心（整体来说，桂林没有城市的感觉..）的繁华，到阳朔和龙胜玩都要从酒店打个15分钟左右的车才能到火车站去转车，不过锦江的房间一向是很干净简约，性价比还是很不错的~', '短评打分': 5}
{'短评内容': '酒店整体来说，无论是服务，设施，还是环境卫生都很不错，就是离火车站比较远，但是交通还是挺方便的。', '短评打分': 5}
{'短评内容': '酒店各个方面还是不错的,就是位置有些偏,交通不是很方便;性价比还是比较高的;', '短评打分': 5}
{'短评内容': '预定方便，位置适中。', '短评打分': 5}
{'短评内容': '酒店虽然位置有点偏，不过交通还是可以的，服务很不错，房间非常干净，价格也实惠。', '短评打分': 5}
{'短评内容': '总体感觉可以，价格合适，设施舒适，服务也周到', '短评打分': 5}
{'短评内容': '酒店离市中心有一点点远，不过交通还是比较方便的，很舒服，服务也很好。', '短评打分': 5}
{'短评内容': '我9月底入住的，感觉房间很干净，员工服务态度挺好的，可能地理位置远离市区，但酒店旁有公共汽车到达各个地方，如中山路步行街、王城等旅游地点，还算方便的，但我想是否可考虑一下枕头有些矮一点的，一个高的一个矮的，可根据客人需要使用，这样就就很好了，我对酒店的总体感觉是不错的，下次有机会还会入住。', '短评打分': 5}
{'短评内容': '酒店是新开业的,各项设施都非常好用,干净,整洁,服务生的态度也非常好,只是位置到市中心有点偏远.', '短评打分': 5}
{'短评内容': '不错的商旅去处！', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '很喜欢锦江之星简约素雅的格调，七星路店新开业不久，布草以及设施设备很新，服务也很令人满意。', '短评打分': 5}
{'短评内容': '入住了5天，结果只给我审核了一天，然后我的信用卡担保的钱也被扣走了，相当于两百多一天的酒店，黑店！！！！以后打死也不入住了', '短评打分': 1}
