{'descr': '房间还行，隔音太差，半夜有其他客人入住，吵醒了。', 'star': 3}
{'descr': '价格比较实惠，服务水平实在有限，比起其他连锁酒店，还有很大的差距。\n卫生间的下水道反味，离高架路太近，只有一层玻璃窗，对于睡觉轻的人来说还是有些吵。\n我订的豪华大床房，但是面积都给了卫生间，房间很小，很挤；网速超慢，baidu个路线图，都显示不全；离大柏树站还是有些远的，走路得15分钟到20分钟。早饭15一位，也没啥。早上出门，到下午4点回到房间时，卫生还一点没打扫。\n购物离五角场近，打车起步价就', 'star': 1}
{'descr': ':交通便利、干净卫生、', 'star': 3}
{'descr': '很好 很满意 很强大很好 很满意 很强大很好 很满意 很强大很好 很满意 很强大很好 很满意 很强大', 'star': 5}
{'descr': '环境还可以。就是房间太小了。交通也很可以。距离我总公司很近', 'star': 5}
{'descr': '这个酒店非常优秀，特别安全，上电梯必须要刷房卡才可以，值得推荐。房间干净，离地铁3号线大柏树站比较近，出行方便。', 'star': 5}
{'descr': '费尽周折才订到的~没让我失望 干净 舒适 性价比高', 'star': 5}
{'descr': '前台服务人员态度不错，我住单人间房间也挺好。总的来说一个人住经济实惠舒适吧。', 'star': 5}
{'descr': '\u3000房间设施还可以，交通很好，离地铁近。房间稍小。', 'star': 3}
{'descr': '酒店离高架近，太吵了，', 'star': 5}
{'descr': '房间太小，没纸巾，但是服务不错。没咖啡吧，住客来客人接待不方便，建议设一个小咖啡吧。', 'star': 5}
{'descr': '酒店条件很好！交通也还可以。就是服务有点小问题。我提前预订的，到入住的时候对我说没房间了。最后还是给我解决了。只是心情不大开心。', 'star': 3}
{'descr': '服务一般般，酒店环境觉得不是很好。总之比想象中差很多。', 'star': 3}
{'descr': '床很大很舒服，卫生也很好，前台很有礼貌！', 'star': 3}
{'descr': '还可以就是临近马路有点吵', 'star': 5}
{'descr': '窗口对高架桥，真的太吵了！服务员态度很冷淡！环境还可以接受！', 'star': 1}
{'descr': '酒店位置离轨道交通很近，出行很方便，附近也容易找。附近吃东西也方便，便宜。', 'star': 5}
{'descr': '服务态度还行,性价比也不错.办会员卡还有不少优惠.', 'star': 3}
{'descr': '性价比还可以,而且网点很多.总能找个一个点适合自已.', 'star': 5}
{'descr': '服务态度还行', 'star': 5}
{'descr': '房间小，紧靠高架有噪音，卫生间有股难闻的味道，不会再考虑入住。', 'star': 1}
{'descr': '个别前台服务员服务时显得有些不耐烦。其他服务都还ok', 'star': 5}
{'descr': '                   挺舒适的。', 'star': 5}
{'descr': '相比其他经济型酒店，这个还是比较不错的，房间规则，也比较温馨', 'star': 5}
{'descr': '这间酒店没有亮点没有缺点，离地铁也有10分钟路程，周围吃饭不方便。', 'star': 1}
{'descr': '总体还不错，但房间太小了点，离地铁也不是很近哦！', 'star': 5}
{'descr': '交通不方便,开车去就好,还有哪些伯伯保卫们让人家很不爽', 'star': 1}
{'descr': '服务很好，房间很干净。住的很舒服。就是隔音还需改进。', 'star': 5}
{'descr': '现在到上海的人都是去世博，但职员连世博专线巴士在哪都不清楚。\n淋浴水量比较少，温度又不稳定。\n交通不方便，到了大柏树站还要走十多分钟，吃也不方便。', 'star': 1}
{'descr': '还不错，就是房间是在太小了', 'star': 5}
{'descr': '很好的一家店  就是感觉价格还是有点高了。便宜点就好了。', 'star': 5}
{'descr': '整体来说还不错~ 下了地铁还是要打车去， 不过起步价就行了', 'star': 5}
{'descr': '去上海前一天才订到酒店，酒店还算比较干净，服务也挺好的，就是离地铁有一点距离，三号线打车起步价就能到，八号线翔殷路打车十五块能到，直接坐到世博站耀华路站下车进六号门中国馆站', 'star': 5}
{'descr': '这家店客人很多   价格还算比较适中  去上海旅游的推荐   去城隍庙做123路   去南京路做537路比较划算  去人民广场做952路  还算方便   去世博有点远  但是可以做地铁3号线  转8号线     周围小吃卫生情况不是十分好  但是有大点的饭店  就是价钱贵了点  还算可以   ', 'star': 5}
{'descr': '这家店的床好舒服，世博一天下来，累死了，睡着好舒服！', 'star': 5}
{'descr': '房间稍小,距离3号线10分钟脚程,很方便', 'star': 5}
{'descr': '总体还行，位置太偏', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '门口有个保安很凶，给他看了房卡，还要报房号，好像我是不速之客，以为今天他可以立功了抓到恐怖分子了，冲着他这张黑不溜秋的脸我倒感觉这个保安是不是假的，冒名顶替的，不知他为何要如此“客气”。建议：一.假如今天上班前在家发生的怄气请不要带到酒店来，假如今天被上司嗑了，请自查原因不要发泄在旅客头上；二.酒店领导选保安是千万千万注意外表形象，具有反面想象的人不宜做贵酒店的保安。', 'star': 3}
{'descr': '这家连锁酒店不错，格林豪泰在连锁酒店中档次属于比较高的，这家酒店比起以前干净程度上好像有点不及，也行呀时间长了产生疲劳感，不过总体还是不错', 'star': 5}
