{'短评内容': '周边环境好，距离大海近', '短评打分': 5}
{'短评内容': '套房很大，房间整洁，阳台看海景很不错，物美价兼的酒店', '短评打分': 5}
{'短评内容': '房间很大，就是和网上的房间不一样，风景还好，下次去再住。', '短评打分': 5}
{'短评内容': '酒店房间很好，服务也很好，很满意！', '短评打分': 3}
{'短评内容': '入住的是两室两厅的房型、非常适合一大家子入住，设施比较新，也比较舒服，小区环境挺好，值得推介！', '短评打分': 5}
{'短评内容': '房间宽敞，服务态度不错，二线海景角度也可以，就度假公寓式而言，性价比一般', '短评打分': 5}
{'短评内容': '这家酒店的环境还真不错，郁郁葱葱的树木，可以看到海，可以听到清脆的鸟叫，和大自然如此接近。只是服务态度较差，都不抬头看人说话，还有不能刷卡很不方便，希望改善', '短评打分': 5}
{'短评内容': '酒店住着还不错，房间基本设施都还是比较齐全，而且早上起来之后房间采光度也很好很亮很舒服，服务也还比较周到，性价比还是很合理。唯有不好的就是离市区有些远，不过离机场还是比较近。', '短评打分': 3}
{'短评内容': '房间设施还可以,离海边也不算远.但是所谓园景太失望了,下面就是一块地和几处棚户.另外建议清洁服务要跟上.', '短评打分': 3}
{'短评内容': '如果不是特别需要酒店的客房服务的话，这里还是很不错的选择。', '短评打分': 5}
{'短评内容': '酒店位置还是挺好找的，价格还是略微高些，房间装修还不错也没什么大问题。', '短评打分': 3}
{'短评内容': '酒店的位置不是太方便，里面环境还好房间住着也很舒适而且房间也是挺大的，服务态度是挺好的，价格也很合理。', '短评打分': 5}
{'短评内容': '很便宜而且带温泉还能能看海', '短评打分': 3}
{'短评内容': '酒店环境不错，有接机服务,服务员态度好，对待客人的要求不嫌麻烦', '短评打分': 5}
{'短评内容': '环境什么都不错，离海边走路三分钟，挺好的，就是早餐很难吃~', '短评打分': 5}
{'短评内容': '房间很干净、整洁，小区内环境也很好。特别是接机师傅服务太好了，到三亚都1点多了，师傅很耐心的等着我们，送到公寓还等我们入住以后，确认一切都没问题了才离开。非常感谢。下次有机会还会入住的。', '短评打分': 5}
{'短评内容': '条件不错，价格便宜适合人群比较多，而且房间住着也挺舒服的.', '短评打分': 5}
{'短评内容': '条件还算可以，主要还是位置好交通出行便利，其它各方面也不错.', '短评打分': 5}
{'短评内容': '酒店的环境和绿化非常优美,卫生工作很好,物业管理正规,房内设施有冰箱,洗衣机,微波炉等.唯一的不足是餐饮不方便,周围无超市.', '短评打分': 5}
{'短评内容': '环境优美，房间设备齐全，服务比较周到。提供免费早餐，管饱，味道还行。\n出行还算方便，到海边不行3分钟左右。', '短评打分': 5}
{'短评内容': '感觉不错，房间挺大，挺宽敞，和家的感觉差不多\n', '短评打分': 5}
{'短评内容': '服务态度很好，房间挺大，就是购物、吃饭不方便，提供的早餐太烂了，到了晚上也没公交了，得打车。总的来说物超所值', '短评打分': 3}
{'短评内容': '和女友29号的飞机回广州，不想太匆忙，太累，就选择了来这家家庭旅馆入住。这个是属于托管式的公寓酒店，位置在机场附近，交通也挺方便的，我建议大家不要打出租车，去机场要30元，附近有8路公交到机场和市区。 只需在天涯度假村站下（不太清楚记得站牌名了，因为三亚公交车无站牌的）。打三轮车只需3远 2人就可以到美特友。\n\n三轮车司机都抓紧一切机会推销海鲜给你吃，感觉他们能有提成。附近确实买东西和吃饭不是很方', '短评打分': 5}
{'短评内容': '靠机场太近，影响休息，设施不全，服务员动作反应慢', '短评打分': 1}
{'短评内容': '现在很晚了，我老公刚刚到三亚椰风海韵美特友海景度假公寓，到后我们通话，他对这里非常满意，定好反回路程的日期后还会住这家。今后有机会我也会去体验一下。', '短评打分': 5}
{'短评内容': '酒店非常不错，环境很好，性价比非常高，这里的工作人员也非常热情，帮助我们订到了最便宜的机票，才二折哟，下次一定还来这里', '短评打分': 5}
{'短评内容': '这个酒店的性价比真的很高，服务人员的服务非常的热情和到位。整个房间的环境很好，小区的环境也很好，虽然不是靠着海边，但是是绝对的海景房，虽然酒店的位置距离市区有些偏远，但是还是蛮安静的。', '短评打分': 5}
{'短评内容': '位置偏一点，属于度假公寓，小区设施比较好；我定的是子母房，房间厨卫房厅一体化，干净、整齐、安静，适合休闲度假；特别赞一个：服务人员热情周到，基本上他们力所能及都会为你解决；离海滩200米，离机场8公里，离市区10公里。缺点是饭店和超市比较远。', '短评打分': 5}
