{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '酒店条件不错，位置也好，就是带有很多娱乐场所，所以环境有些乌烟瘴气。', '短评打分': 5}
{'短评内容': '订的是特价双人房，很划算很超值，房间够大，床够大，早餐也很好，前台的服务态度很好。网速不稳定，时快时慢，没有小超市，买点东西不方便。', '短评打分': 5}
{'短评内容': '环境优雅，干净。服务态度好，早餐丰盛，非常好，下次还要来这！', '短评打分': 5}
{'短评内容': '很干净,3楼中餐厅的饭菜很好吃，经济实惠，地理位置也好,到哪都方便', '短评打分': 5}
{'短评内容': '四星的酒店，还免费升级了套房，前台服务也不错。早餐很丰盛，总体还是不错的。', '短评打分': 5}
{'短评内容': '酒店地段不错 自动升级了行政房 性价比很高。。。。', '短评打分': 5}
{'短评内容': '就在人民路边上，繁华地段，出差办事特别方便。前台很客气，房间有点问题给及时更换了，很好！\n', '短评打分': 5}
{'短评内容': '地理位置很好，旁边好多好吃的餐厅；免费帮我们升了级，行政双床升到豪华套房；挺干净挺大的；不过我们其他家人住了行政双床，没有所说的150cm，看上去跟一米二床差不多，跟小孩子一起睡，还是挤了点。早餐OK，偏俄罗斯那边的，不过粥煮的不错~~~', '短评打分': 5}
{'短评内容': '酒店很好,交通方便。早餐时看到几个僧侣打扮的人总找人搭讪，可能是...', '短评打分': 5}
{'短评内容': '服务很好，很干净，下次还住这。', '短评打分': 3}
{'短评内容': '酒店地段不错 自动升级了行政房  性价比很高。。。。', '短评打分': 5}
{'短评内容': '不错的酒店，挺好的，在市中心，早餐略微简单些了。', '短评打分': 5}
{'短评内容': '服务很好 前台自动升为行政房 而且酒店很贴心的赠送水果 早餐也相当不错 推荐', '短评打分': 5}
{'短评内容': '地好,人更好!xihuan!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,!', '短评打分': 5}
{'短评内容': '总体环境和服务都不错，就是前台太忙，部分工作人员态度一般！总体评价很好！如果服务和价位更合理些，将是来大连的必选酒店！', '短评打分': 5}
{'短评内容': '酒店地理位置不错，离机场较近，交通方便，整体服务水平还行', '短评打分': 5}
{'短评内容': '不错的酒店 下次还会考虑入住 越早预订有更优惠的价格', '短评打分': 5}
{'短评内容': '相当好的酒店 性价比高 只是这个酒店早餐的时候有时候会有和尚出现，比较讨厌这些假和尚', '短评打分': 5}
{'短评内容': '酒店房间小了些，还算干净，服务态度还行，早餐挺丰富，位置也不错，吃饭很方便，步行5分钟就是家乐福超市，以及三八广场，去各个方向的公交车很方便。\n', '短评打分': 5}
{'短评内容': '处理个订单，为什么速度那么慢呢，对这家酒店的服务态度和效率真表示怀疑。', '短评打分': 1}
{'短评内容': '早餐不错，就是咖啡杯太小了。\n家具都可以，标间的床也很舒服，在高层的窗户能看到海港的一角，景色不错。不过卫生间淋浴系统很让人失望，浴帘基本挡不住水，淋浴头也不能调整位置或者拿下来，动辄满屋子水。浴缸的下水管应该定时清理一下，好多头发在上面啊，刚开始我没注意，水流超慢，满盆的水啊。\n考虑到早餐，价位和返现的力度，可能我会推荐给出差的朋友，但是那个卫生间真的该好好收拾一下了，现在感觉还不如快捷酒店的淋', '短评打分': 5}
{'短评内容': '典型的有国营痕迹的老酒店，位置很好，服务很还过的去。早餐不错。住的行政单人间，床很大，就是枕头没有的选择。总之还好', '短评打分': 5}
{'短评内容': '常住的酒店，地段不错，就是早餐到9点半就结束了', '短评打分': 5}
{'短评内容': '入住条件非常差，不复合四星条，差、差、差。', '短评打分': 3}
{'短评内容': '环境不错，就是房间小了点', '短评打分': 3}
{'短评内容': '感觉不是很好，门脸很小，大厅也不大，感觉不像四星酒店。走廊很窄，一进屋还有股味道，下次肯定不住这里了。', '短评打分': 3}
{'短评内容': '酒店性价比很好，房间大，也很干净，服务态度不错，早餐也还好，比较丰富，位置也很不错，酒店门口，就是各种烧烤，饭馆，吃饭很方便，步行5分钟就是家乐福超市，以及三八广场，去各个方向的公交车很方便。', '短评打分': 5}
{'短评内容': '位置挺好的，设施也挺好的。卫生一般。屋内有各色门类的收费物品，我也没有仔细看哪种洗漱物品是免费的，都没动，这种摆放物品法感觉怪怪的。还有避孕套放在床头桌上，不像星级旅馆，倒像情人旅馆的做法！', '短评打分': 1}
{'短评内容': '酒店还不错，环境很好，交通也很便利。早餐品种也比较丰盛。', '短评打分': 5}
{'短评内容': '离办事地点非常近，早餐花样挺多的，下次再去大连还住这儿。', '短评打分': 5}
{'短评内容': '挺不错的，给升级了房间。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '大连市中心的酒店，基本每次来这里都住这里了，挺不错的。', '短评打分': 5}
{'短评内容': '挺不错的，性价比还可以。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店的设备全新化，卫生环境非常好。推荐大家入住。\n', '短评打分': 5}
{'短评内容': '酒店风格很好,硬件设施不错,早餐质量很好,第一天还有果盘赠送.', '短评打分': 5}
{'短评内容': '主动帮我升级了客房，进去里面有水果吃。早餐也还挺丰富的，离家乐福，人民路都不远，打车也蛮方便的。唯一不好的地方就是接待太多旅游团客人了，有点嘈杂。住了2次了，不过好像价格有涨了点。', '短评打分': 5}
{'短评内容': '挺不错的酒店，夏天阳面向西位置客房比较晒，跟总台反映后马上给我调了房间，软硬件在大连来说属较好。', '短评打分': 5}
{'短评内容': '酒店位置不错。但是服务态度太差了！向前台咨询问题，一脸不耐烦！！望能加以管理与培训！', '短评打分': 1}
{'短评内容': '酒店位于三八广场附近，周围饭店多，距家乐福很近，就餐购物都方便。\n酒店的房间很大，很干净。服务也很好。早餐不错。小米粥很香。其它冷菜和中点都好，热菜虾仁芹菜等都很好。只是西点蛋糕口感一般。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '入住的行政大床房，房间比较新，设施齐全，床很舒服，早餐品种比较多，下次还会入住', '短评打分': 5}
{'短评内容': '酒店生意挺好，有很多旅行团住，咖啡厅座位在人多时不够坐，只好在吧台凑合。结帐时也等了很久。', '短评打分': 3}
{'短评内容': '很好，房间宽敞，地点方便，适合商务旅客，下次还住，早餐品种齐全', '短评打分': 5}
{'短评内容': '地段很好，市中心，打车方便，价格合理，很不错', '短评打分': 5}
{'短评内容': '酒店位置挺好，附近有很多餐厅，吃饭很方便。酒店房间挺大的，大床也很大很舒服。早餐也还可以。', '短评打分': 3}
{'短评内容': '还不错 什么都很方便', '短评打分': 3}
{'短评内容': '很多俄罗斯美女入住                             。', '短评打分': 5}
{'短评内容': '很好房间宽敞靠近中心的地段很方便，就是周围没有像样的饭店', '短评打分': 5}
{'短评内容': '总体来说还算不错，定的单人间，入住时还给升级成了大床房。附近吃饭也比较方便。', '短评打分': 5}
{'短评内容': ' 酒店设施还行，商场不开门，早餐一般', '短评打分': 3}
{'短评内容': '交通便捷，房间舒适，还免费给升了2级，谢谢', '短评打分': 5}
{'短评内容': '很不错的酒店，在大连市中心，去CBD最方便。', '短评打分': 5}
{'短评内容': '对酒店设施和服务很满意，卫生方面也不错。推荐大家入住此酒店。\n\n', '短评打分': 5}
{'短评内容': '整体还不错的酒店。床垫的塑料膜还保留着，透气性不太好，有温室效应，也许能增高。', '短评打分': 5}
{'短评内容': '昨天入住的，直接给升级了行政房，赞！床很舒服，很大！早餐还不错，四星里超值了！', '短评打分': 3}
{'短评内容': '不错的酒店，很好的服务，位置也方便；不过网络线有点问题', '短评打分': 5}
{'短评内容': '已经立夏了，酒店居然还没空调，说还没到时间如果热就开窗，屋里快30度了，比外面还热。什么欢迎水果也没送，懒得废话了，明天提前退房换酒店。', '短评打分': 1}
{'短评内容': '入住的是新装修过的楼层，房间环境特别好，酒店的服务人员也很热情，只是希望在早餐上能有所改进。', '短评打分': 5}
{'短评内容': '酒店房间很大，卫生间很不错。下次还会选择。', '短评打分': 5}
{'短评内容': '酒店位置很好，酒店也不错。如认真采纳客人的合理建议,还有提升空间。', '短评打分': 5}
{'短评内容': '酒店价格还好,交通很方便...............', '短评打分': 5}
{'短评内容': '酒店位置很好，服务也不错，比较干净，早餐也不错，值得推荐。', '短评打分': 5}
{'短评内容': '行政房间很好，新装修的。为什么要把免费水放到有偿饮料后面，且没有标识。 \n', '短评打分': 5}
{'短评内容': '酒店地理位置不错，房间内设施也不错，就是卫生间灯光太暗，早餐不是很给力啊！', '短评打分': 5}
{'短评内容': '地点就在市中心，很不错，价格也比较合适，会再次入住。', '短评打分': 5}
{'短评内容': '地点不错，服务还算周到。就是晚上的光线太暗了，不能看书。', '短评打分': 5}
{'短评内容': '房间很好', '短评打分': 3}
{'短评内容': '对酒店的服务很满意，位于市中心交通也很便利，距离购物餐饮店非常近，推荐次酒店。', '短评打分': 5}
{'短评内容': '俄罗斯人特别多，要是运气好，可以看见俄国美女从你身边走过', '短评打分': 5}
{'短评内容': '房间很好，很大，设备新，有浴缸，可以泡澡！房间内的FreeWater放的比较乱，和有偿饮料放在一起，不容易找，建议分开摆放。', '短评打分': 5}
{'短评内容': '还不错的酒店。位置好，周围有很多饭店。设施也还行，早餐也还过的去。', '短评打分': 5}
{'短评内容': '性价比不错。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店的服务和设备很满意，价位也很经济实惠。推荐此酒店', '短评打分': 5}
{'短评内容': '性价比不错。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '交通比较方便，设施还可以，服务还行，附近餐饮和购物也比较方便，总体来说还是值得一住的。', '短评打分': 5}
{'短评内容': '一般般，很多的俄罗斯人喜欢住这个酒店，不知道为什么？偶尔会遇到金发碧眼的mm，但是多数都是大腹便便的大妈。', '短评打分': 5}
{'短评内容': '还可以，就是洗手间没找到梳子，再就是中央空调似乎有点冷，洗手间热水挺好的', '短评打分': 5}
{'短评内容': '酒店的整体感觉不错，性价比还是很高的，干净，服务态度也不错。\n当然，有些地方还是需要完善，例如房间的灯光太暗了，晚上全部灯光打开后，想在床上看会书都无法如愿。网络有些慢，望改进。', '短评打分': 5}
{'短评内容': '非常好的酒店，新装修的条件不错，还给免费升级，强烈推荐！', '短评打分': 5}
{'短评内容': '1) Location is convenient , easy to find\n2) Staff at the front desk is very friendly\n3) Room is clean , facility is okay\n4) Cost performance is good', '短评打分': 5}
{'短评内容': '特价房，床小，好在有窗，有阳光，还可以。', '短评打分': 5}
{'短评内容': '  不好意思，这么晚才上来点评，我们是一家三口10日1日---5日入住大连文园大酒店的，感觉不错，干净，环境好，服务人员也不错，每天打扫房间并把没有的用品补上。酒店地理位置不错离老虎滩、星海广场、天津街、青泥洼都不太远，这些地方我们都去了。最好的是酒店不远处有家乐福超市，酒店对过的餐馆也不错，省了我们不少事。唯一希望酒店今后能够改进的是，能不能把房间里的灯光调亮些，这样孩子晚上可以看故事书，给他讲', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '总体感觉还可以，位置较好，但房间隔音和通风不好，楼道和房间总能闻到烟味，尤其是楼道里。', '短评打分': 5}
{'短评内容': '性价比挺高，位置也很方便，房间硬件也够四星标准。', '短评打分': 5}
{'短评内容': '还可以，印象不深了，半夜去，一早走，来去匆匆。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店位置不错,设施不算新也不算旧,服务员安排的三间房全在阳面,视野很好。总体感觉还可以,就是出门打车不太方便服务员。', '短评打分': 3}
{'短评内容': '酒店位置还好,老牌的四星级酒店.比较特别的是卫生间有窗户,很明亮.位置好的地方能看到港口.', '短评打分': 5}
{'短评内容': '服务态度很一般，房间没有免费的咖啡，总体感觉也就值这个钱吧', '短评打分': 3}
{'短评内容': '干净宽敞坐便不坐哈', '短评打分': 3}
{'短评内容': '这家酒店，哎，别说了，服务员态度很差劲，客户把信用卡遗失在前台，打电话过去问，居然敷衍说没看见，根本就没有用心找。', '短评打分': 1}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '由于原来预定的标准间满房了，升级到套间，房间很不错，高楼层的视线很好，酒店交通位置不错，离开香格里拉很近，富丽华酒店业很近。', '短评打分': 5}
{'短评内容': '来大连出差，住在这个宾馆，各方面服务还不错。就是房间太小了。', '短评打分': 5}
{'短评内容': '很有味道的小酒店, 交通很方便,服务也不错. 下回还住.', '短评打分': 5}
{'短评内容': '总体上还不错，不过我到的时候宾馆正在调试房卡系统，所以进房间要让服务员开门，有些不方便。希望宾馆尽快把房卡系统调试好。', '短评打分': 5}
{'短评内容': '已入住，非常满意。', '短评打分': 3}
{'短评内容': '酒店位置不错，附近有不少可以走路就到的广场。服务也还可以，价格稍嫌贵了点。', '短评打分': 5}
{'短评内容': '酒店不错                          酒店不错', '短评打分': 5}
{'短评内容': '地点不错，交通比较便利，房间设施还凑合，周围配套成熟，下次还去！', '短评打分': 5}
{'短评内容': '地点不错，楼下不少小吃，去开发区远点，旅游很合适，房间有些小，一个人住还凑合', '短评打分': 5}
{'短评内容': '地理位置不错， 感觉很好，值得一住。。。。', '短评打分': 5}
{'短评内容': '酒店价格还可以。不过电梯感觉设计比较差。单人大床房的床和标准间的一样，小。', '短评打分': 5}
{'短评内容': '告诉出租车司机说去文园大酒店，师傅便随口说，那酒店很破啊。\n我说看网上照片挺好啊，他笑笑说到了你就知道了。\n\n外表一般，但还不致于用破来形容。\n办理入住手续时胖胖的女服务员慢慢腾腾地说7点之前没有热水！看着我一头的大汗，又雪上加霜的一句--克服克服吧！', '短评打分': 1}
{'短评内容': '该酒店交通比较便利，房间设施还凑合，早餐很贵，应该说是比较一般的酒店。', '短评打分': 5}
{'短评内容': '我定的是豪华大床房 硬件方面 房间给人的第一感觉不错 够四星 有点豪华的感觉。但是住长了会发现很多小瑕疵。 服务各方面的软件还是达不到4星 但也没有发生什么不愉快的事。 只是所有服务员的骨子里没有要做好服务的想法 这一点在点点滴滴中很能感觉到。  中国大陆 特别是北方 就是这样。。。 有机会希望中国的酒店业，旅游业从业人员去台湾看看 同样是中国人 有多大的差距。', '短评打分': 5}
{'短评内容': '该酒店很干净, 位于市中心的中山广场附近, 有家乐福超市, 购物很方便, 不足之处就是早餐品种太少. ', '短评打分': 3}
{'短评内容': '地毯踩上去很舒服，晚上楼下的卡拉ok有一点点吵，服务员态度比较好。', '短评打分': 5}
{'短评内容': '非常舒服。', '短评打分': 3}
{'短评内容': '干净，房间虽然老，但是还是很舒服，不足之处就是楼下比较吵，这几天一楼大厅装修，每天清晨开始很早\n', '短评打分': 5}
{'短评内容': '白天竟然会停热水 晚上竟然会停空调 实在接受不了', '短评打分': 1}
{'短评内容': '性价比高，房间条件一般，楼下有KTV所以进出人比较杂乱，早餐不错，其他都还好', '短评打分': 5}
{'短评内容': '酒店干净整洁，服务周到， 态度友好，饮食多样卫生', '短评打分': 5}
{'短评内容': '酒店装修稍显旧，应该有些年头了，服务还不错。', '短评打分': 5}
{'短评内容': '不错性价比挺高。环境位置都可以。对面吃饭的地方也挺多', '短评打分': 5}
{'短评内容': '酒店不错，下次还住这里', '短评打分': 3}
{'短评内容': '周边有超市和家常小吃比较方便。\n其他就一般般啦', '短评打分': 5}
{'短评内容': '位置不好找。网线不好找。开水要少很长时间。还是很多要改进的。。。', '短评打分': 1}
{'短评内容': '还是不错的，呵呵，虽然时间长了记不清了但是总体还是不错的啦！', '短评打分': 5}
{'短评内容': '刚装修的，环境还可以！\n早餐非常好，品种丰富！\n周围配套成熟，下次还去！\n\n建议： 不要住无线上网的楼层，网速慢！！！', '短评打分': 5}
{'短评内容': '位置不错，靠近38广场，交通很方便。。。。。。。', '短评打分': 5}
{'短评内容': '好！', '短评打分': 3}
{'短评内容': '每次来大连都住文园。这次住的是单间，设施比较陈旧。周边有超市和家常小吃比较方便。', '短评打分': 3}
{'短评内容': '感觉还可以吧，停车的地方比较小就是楼前和楼后那么一点，位置还行吧，', '短评打分': 5}
{'短评内容': '环境一般，卫生间每天都淹水，不是太好，有点旧', '短评打分': 3}
{'短评内容': '环境还可以。', '短评打分': 5}
{'短评内容': '还好。尤其对于需要换轮渡的人，周围很难找到更好的同类酒店了。', '短评打分': 5}
{'短评内容': '因房間燈光太暗,地毯暗紅色, 陳設不太舊也心理上感覺很舊, 空調不好. ', '短评打分': 1}
{'短评内容': '性价比很高的四星级酒店，只是位置稍微偏了一点，但是价格还是不错的。酒店装修也挺好。', '短评打分': 5}
{'短评内容': '早餐不错、丰富、用餐环境特好。卫生间也够大、但厕纸建议换质量高点。总之，可以回头再来住的。打扫卫生的服务员还需要加强培训，进房间做卫生，忘了整理床单。开水壶不能自动断电，应该修理或退休了。', '短评打分': 5}
{'短评内容': '设施稍微有些陈旧、位置很好、性价比还是可以的。', '短评打分': 5}
{'短评内容': '酒店的性价比还是不错的,值得推荐', '短评打分': 3}
{'短评内容': '酒店里发现了蟑螂，还不止一个，我打死了两个蟑螂！前台，早餐的服务人员的态度都不好，没有笑容，像我们欠她钱一样，没有要求像五星级一样的态度，但最起码要礼貌即客气，但这里没有！', '短评打分': 1}
{'短评内容': '房间有点小,家具摆放比较挤,感觉空间就不是很大,位置也有点偏,其他的方面还可以.', '短评打分': 3}
{'短评内容': '有更好的地方尽量不要住吧.', '短评打分': 1}
{'短评内容': '住过几次了，大堂比较小，房间比较新的 也干净，早餐很一般了，适合商旅。', '短评打分': 5}
{'短评内容': '酒店大堂不能与四星匹配,感觉很普通.但房间设施很干净,格调也不错.不足之处走廊像迷宫,服务一般.如果对面的大厦竣工,环境也会好一些.', '短评打分': 5}
{'短评内容': '宾馆不错，可是服务太差，住了两天，第二天竟然没有房间打扫，住了那么久宾馆第一次碰到．什么事情啊！&lt;br /&gt;\n入住和退房都很慢，下次考虑其他酒店了！', '短评打分': 3}
{'短评内容': '性价比很高，酒店是新建不久的，我住的标准单人间，房间比较大，设施很齐全，床是两米X两米的大床，洗手间也比较大，设备感觉比较高档，前台和大堂的服务员服务态度都很好，客房的服务员态度也不错，就是效率比较低，要一个多用插座过了快20分钟才送到。下次去大连，肯定还是住这里。', '短评打分': 3}
