{'短评内容': '差评！', '短评打分': 1}
{'短评内容': '第二天在鼓浪屿居住的地方，湾景的外观是我很喜欢的风格，门口有条叫戴维的狗狗超级乖超级可爱，所以第一印象就很好。一楼的装饰很有爱，奶黄的墙纸搭配红色的格子桌布，很温馨。我们住的是401号房，和图片看上去一模一样，房间很宽敞，配备很齐全，阳台也很大很舒服，是我很喜欢的风格。地理位置也很棒，离码头不远，出行也很方便。不过有一点就是不知道为什么WIFI好像连接不上，其他的都挺好，早餐很不错~', '短评打分': 5}
{'短评内容': '第一天去鼓浪屿居住的旅馆，每间房都是一个特色，也只有一间，我住的是欧美风情，进去的时候就有股淡淡的香水味，很舒服，小客厅可以大家坐着聊聊天，房间也很幽静很舒适，不过房间的热水不够连续两个人洗，得间隔等一等，不然洗到第二人时就会比价拮据最后变成冷水。其他的都很好，值得推荐！', '短评打分': 5}
{'短评内容': '老板比较好客，室内设施挺干净，但是一楼信号不是太好！但是下次还是会选择入住！', '短评打分': 5}
{'短评内容': '因为比较热门的旅馆都订满了，所以才定的这家。离轮渡有点远，如果行李多的话最好还是住在龙头路那边比较好~我是住的自然之声，自然之声和简单爱都在一楼，房间不大，隔音效果很不好，外面说话的声音都能听到，一大早窗户外面还有“卖手机收手机”的噪音。还有一个很不好的地方！就是洗澡，一开始水还是很热的，可是没洗一会儿，水就越来越冷啦！最后都没法洗了！！\n早上有早餐，是咖啡和馅饼，咖啡是现磨的，前台都很亲切，虽然', '短评打分': 5}
{'短评内容': '很好 ', '短评打分': 5}
{'短评内容': '一大早就很吵，让人很心烦', '短评打分': 5}
{'短评内容': '鼓浪屿上嘛，都那样了，地方不大好找，绕来绕去好容易找到了。\n鼓浪屿上普遍不能刷卡，只好用现金了，还好现金带的还够。', '短评打分': 5}
{'短评内容': '为了方便在岛上玩，特意定了家庭旅馆，总体来说还不错，位置比较好找，离沙滩近，设施虽说简单点，但能够满足需要，还带了个小阳台，这个不错。但跟酒店相比起来，368的价格有点小贵。', '短评打分': 5}
{'短评内容': '设施太过简单，房间设计推拉门的，关上还有很大的缝隙，一晚上被蚊子围攻了，虽然有驱蚊器但也没管用，其他都一般般，结账时刷不了卡，很不方便。', '短评打分': 1}
{'短评内容': '服务态度挺不错的，位置也还行，里面的卫生和设施都还不错，价格也还行，房间也还是挺舒适的，还是挺不错的酒店。', '短评打分': 5}
{'短评内容': '除了房间比较小 还有蚊子超多 其他还好 不过服务员说鼓浪屿周围都种树 也许是原因之一吧...', '短评打分': 5}
{'短评内容': '酒店的位置在鼓浪屿岛上。周围环境比较一般，距离景区非常近，卫生还不错，配置硬件也很一般，整体来讲算是比较达标的酒店可以考虑入住。', '短评打分': 5}
{'短评内容': '卫生间是个悲剧,其他都还不错', '短评打分': 5}
{'短评内容': '卫生间实在太小，就是在房间里拦了一个淋浴房，最不能忍受的是马桶也在这个淋浴房里。', '短评打分': 3}
{'短评内容': '作为家庭旅馆，它的价格贵了些，服务虽然很客气，但是感觉不到家庭旅馆的温馨，位置也不是很好，在山上，进出都要走很多路，不太方便。', '短评打分': 1}
{'短评内容': '前台服务人员 态度非常好 就是好像家庭旅馆 电力总会不足 开浴霸洗澡会跳闸 环境倒是非常的好', '短评打分': 5}
