{'短评内容': '简易早餐，但是很营养。房间也不错。', '短评打分': 5}
{'短评内容': '总体不错，就是卫生间凉水是臭味的，还可以', '短评打分': 5}
{'短评内容': '酒店的房间还可以，就那里的水质差点儿，有些异味儿。', '短评打分': 1}
{'短评内容': '太陈旧了，房间早该装修了。一层的餐厅价格有点贵，', '短评打分': 1}
{'短评内容': '住的舒服，很容易找，去红海滩可以到那里歇脚。', '短评打分': 5}
{'短评内容': '早餐实在是太简单，太难吃了！\r\n非常不好！', '短评打分': 3}
{'短评内容': '下雨，酒店的有线电视看不了！非常不理解。', '短评打分': 1}
{'短评内容': '尚可，位置稍偏，但盘锦一共不大点地方，房间尚可，就是不含早餐很遗憾', '短评打分': 5}
{'短评内容': '地理位置偏一点，都在开发区尽头了，附近没有生活娱乐设施，要走蛮远才行，价格有高，没什么性价比', '短评打分': 1}
{'短评内容': '地点有些远，外部感觉很旧，还有一点发霉的味道', '短评打分': 1}
{'短评内容': '酒店的标准间装有较老，里面的设施也很一般\r\n', '短评打分': 3}
{'短评内容': '酒店位置比较偏。而且这次入住居然连宽带都没有。', '短评打分': 1}
{'短评内容': '离市区较远，环境可以，价格也可以竞争7天假日和如家，是个比较理想的选择', '短评打分': 5}
{'短评内容': '前台结账太慢', '短评打分': 3}
{'短评内容': '挺好的\r\n', '短评打分': 5}
{'短评内容': '这个酒店有着不错的性价比', '短评打分': 5}
{'短评内容': '酒店小，隔音差。且现在酒店还在装修。比较吵~', '短评打分': 3}
{'短评内容': '酒店在装修，比较吵。房间太小。', '短评打分': 5}
{'短评内容': '酒店很旧。酒店的服务不怎么好，可能是我在大都市生活习惯了；早餐的品种也不多。', '短评打分': 1}
{'短评内容': '我是四月十六日入住的酒店住的是306房间今年的天气暖的很晚酒店的空调也没有开放晚上睡觉都冻醒了，而且酒店的无线网络连接的信号太低根本上不去网', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以\r\n', '短评打分': 5}
{'短评内容': '前台结账比较慢，我们住得那个卫生间的没有门', '短评打分': 5}
{'短评内容': '房间虽然比较小，但一个人出差，住的很舒服．', '短评打分': 5}
{'短评内容': '卫生以及设施还可以啦！ 但是服务不好咯，上楼都没有服务员指领，而且电梯还不是通到顶楼的！性价比以及安全都还不错，没有噪音！安静舒适！', '短评打分': 5}
{'短评内容': '总体不错，每年过年的时候都会住，房间里设施稍微差些，床有点小。', '短评打分': 5}
{'短评内容': '枕头睡的很不舒服，房间很大，隔音一般～环境不错', '短评打分': 5}
{'短评内容': '环境不错，价格也不贵，就是位置不是很明显，不好找，不过交通还是挺方便', '短评打分': 3}
{'短评内容': '设施不是很舒服,价格偏高,位置是比较偏,硬件设施不行,休闲和商务服务都不行,吃饭还可以,大厅装修还行,但是进客房就感觉很不好,床垫太硬不舒服,房间也很小,挺不好的.', '短评打分': 3}
{'短评内容': '位置稍偏，性价比不高。', '短评打分': 3}
{'短评内容': '酒店位置有些偏在盘锦最南面,价格也有些贵了,性价比还不错,设施比较完善.', '短评打分': 3}
{'短评内容': '位置倒挺好,价格有点贵,设施和卫生都挺好的,和我以前住的酒店都差不多,挺满意的.', '短评打分': 3}
{'短评内容': '位置就在主干道上，交通很便利还是很好找的，房间的卫生和设施也还不错，服务也是周到热情，我觉得这是一家性价比很高的酒店值得推荐', '短评打分': 3}
{'短评内容': '挺好的,唯一不方便的就是不能上网,住宿条件还是比较舒适的.', '短评打分': 3}
{'短评内容': '房间的设施比较陈旧了，服务卫生还可以的，酒店的位置以及交通都不错的，价格还可以接受的。', '短评打分': 5}
{'短评内容': '上次住的是新装修的房间，环境还可以，挺干净的，价格也比较适中，值得推荐 ', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很好的，位置不错的，出行很方便的，性价比不错的酒店的，', '短评打分': 5}
{'短评内容': '价格便宜，出行方便，服务也不错', '短评打分': 5}
