{'短评内容': '环境不错，好找', '短评打分': 4}
{'短评内容': '总体环境不错，交通方便。服务很好，缺点网络不太稳定。', '短评打分': 5}
{'短评内容': '住得非常满意的酒店，首要的是干净整洁，其次，服务非常贴心，餐厅做的饭菜也都很好吃，没有带数据线，打电话前台还送过来了。唯一的缺点就是前台开房和结账的时候比较慢。非常喜欢，以后会继续入住锦江的！', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '隔音大，噪音大、网络太慢\r\n隔音大，噪音大、网络太慢', '短评打分': 3}
{'短评内容': '+网络太慢 噪音太大 隔音不好', '短评打分': 5}
{'短评内容': '离朋友住的地方很近，所以就住在这里了。感觉还不错。', '短评打分': 5}
{'短评内容': '+房间位置可以。就是电视有点小。', '短评打分': 5}
{'短评内容': '酒店位置好，交通方便，离火车站、商业中心都比较近，房间也比较大，不过不含早餐不好', '短评打分': 5}
{'短评内容': '经常入住锦江，全国各地设计格调基本相同——简单。区别最大的是餐厅。这家餐厅中午晚上都是点菜型的，不是自助，而且价格不低。整体入住基本上还值这个价位。', '短评打分': 5}
{'短评内容': '感觉真的一般，唯一最满意的就是网速快，呵呵。卫生什么的都还好，不过来过这之后才知道，不给送沐浴露了，在沈阳还都有呢。还有就是打扫卫生不是很及时，有一天下午才打扫我的房间。位置还行吧，离火车站有点距离，住的人似乎不太多呢~', '短评打分': 5}
{'短评内容': ' 环境不错，服务也不错…就是房间感觉有点旧，尤其地板，跟我原来住过的锦江有差距', '短评打分': 5}
{'短评内容': '位置不错，比较好找，就是床上用品有点旧了', '短评打分': 5}
{'短评内容': '卫生条件还需加强 \r\n', '短评打分': 5}
{'短评内容': '位置很好', '短评打分': 5}
{'短评内容': '一进门就有很大的一股烟味，混合着不知道什么的味道。杯子跟枕头上也有类似的味道 很熏人。。。还有卫生间的门 都是坏的。。唉。。真的是失望呀', '短评打分': 1}
{'短评内容': '位置不错，', '短评打分': 5}
{'短评内容': '还好，床睡起来比较舒服。离客户公司近是选择这里的另一主要原因。', '短评打分': 5}
{'短评内容': '房间简单明快，干净卫生，位置也不错。', '短评打分': 5}
{'短评内容': '还算不错的酒店,性价比不错，推荐入住哦.', '短评打分': 5}
{'短评内容': '周边交通特堵 环境差 噪音大', '短评打分': 1}
{'短评内容': '锦江之星，是品质的保证。去到一个陌生的城市，住熟悉的锦江，很舒服。性价比超好。', '短评打分': 5}
{'短评内容': '环境好，服务好，值得推荐', '短评打分': 5}
{'短评内容': '住了一天标间，房间大小一般，虽然临街，但是窗户密封的不错，早餐不像有人说的很差，中等偏上吧，位置总体挺好的，附近有卖火车票的代售点，这个方便。', '短评打分': 5}
{'短评内容': '很好的酒店。', '短评打分': 5}
{'短评内容': '总的来说还是不错的，早餐品种少点。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '已住过多次，很好！', '短评打分': 5}
{'短评内容': '很好，下次还住这里', '短评打分': 5}
{'短评内容': '无烟房间有烟味', '短评打分': 5}
{'短评内容': '和所有锦江之星一样，虽然东西简单，但干净、实惠。', '短评打分': 5}
{'短评内容': '继续努力改进房间隔音效果', '短评打分': 5}
{'短评内容': '该酒店住着很舒适，下次还会光顾。', '短评打分': 5}
{'短评内容': '挺好的！', '短评打分': 3}
{'短评内容': '经济、适用', '短评打分': 5}
{'短评内容': '我不知道为什么在网上没有大床房订，希望改进！', '短评打分': 5}
{'短评内容': '好，下次还住！\r\n', '短评打分': 5}
{'短评内容': '酒店的小餐馆菜式较少，口味一般。不过客房挺宽敞，干净，这个价格物有所值。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错的酒店，地理位置方便。\r\n餐厅的小吃也很棒！', '短评打分': 5}
{'短评内容': '干净卫生，价钱便宜。地段不错，周边有银行，小吃店，购物也方便，离火车站比较近，总之不错', '短评打分': 5}
{'短评内容': '宽敞，干净', '短评打分': 5}
{'短评内容': '酒店的位置很不错，交通方便，而且它内部的环境卫生，和服务都还可以，价格也挺合适的。', '短评打分': 3}
{'短评内容': '总的来说这家店还是不错的，好的我就不需要说了。就是稍稍有点偏。', '短评打分': 5}
{'短评内容': '总的来讲很不错', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施舒适度都还不错，位置出行交通方便，价格合理适中，服务卫生也是好很达标的，这是一家新开业的酒店，价格合理适中值得推荐入住。', '短评打分': 5}
{'短评内容': '还不错，房间比较大，也比较干净！只是毛巾浴巾不太好！感觉很旧了！', '短评打分': 5}
{'短评内容': '整体不错，经济实惠，我比较喜欢锦江酒店', '短评打分': 5}
{'短评内容': '酒店的服务还不错，而且在市中心，交通很方便，价格可以接受，配备的硬件相对一般，就是我在那边住的挺长时间，可能是因为我住的时间比较长，他们的房间清洁不够及时。', '短评打分': 5}
{'短评内容': '酒店的装修挺温馨的，房间面积大比如家强。价格也还不错。', '短评打分': 5}
{'短评内容': '服务、卫生、舒适、位置、性价比、设施都很好，就是中午的退房的时间希望能延长到两点——', '短评打分': 5}
{'短评内容': '最让我满意的就是位置，离火车站很近，购物也很方便', '短评打分': 5}
{'短评内容': '酒店门口平安大街（南北）全线修路，交通不是很方便！尤其是出租车不容易打到。', '短评打分': 3}
