{'短评内容': '房间简单，设备还算比较齐全，不过住的房间浴室对着大门额。', '短评打分': 5}
{'短评内容': '地方太小，洗脸池竟然在睡觉的屋里面。建议考虑后在预定。', '短评打分': 5}
{'短评内容': '   怡莱的服务态度真的不敢恭维：3月19日，在按照提示选择的入住时间到酒店时，且被总台告知没人退房不能入住，既没有帮着想办法，更没有表示一点点的歉意，还强词夺理，直到负责人出来后才入住；入住后发现3个人的家庭房只有2套毛巾向楼层服务员提出加1套又被拒绝；更气人的是晚上希望能加1条棉被时被告知没有备被，但第二天早上8点多下楼时偶然看到一楼库房里明明还有被子，简直是岂有此理！这是一次最糟糕的住酒店经', '短评打分': 1}
{'短评内容': '房间特小！和如家快捷不能比，设施很差！还比其它酒店贵！服务态度差！感觉街头小旅馆似地！不小心一下子睡过头了 过了12点，还以为可以像其它酒店免费延到1点左右，最后还一定要多收50元！非常不建议入住这家酒店！住了才知道旁边还有家莫泰168！如果要入住的话可以考虑！这家酒店还是别去了！', '短评打分': 1}
{'短评内容': '酒店设施还不错，环境也很好，位置也行~赞一个~性价比很高哟~', '短评打分': 5}
{'短评内容': '便宜，不过有点小，厕所的帘子不够全面，一个人住还是不错的', '短评打分': 5}
{'短评内容': '帮朋友订的，去考雅思，据说离考场很近。其他的不太清楚，有考试的可以考虑过去看看。', '短评打分': 5}
{'短评内容': '宽带免费很满意，空调也不错，一楼的房间有点吵！', '短评打分': 5}
{'短评内容': '酒店以及周围的环境都不是很好~酒店的位置也偏~房间里有股味道~电梯都没有~', '短评打分': 1}
{'短评内容': '怡莱杭州文三店从教工路进入时路比地图上要小了许多,还好本人是下午四点半入住,进店也算顺利!', '短评打分': 3}
{'短评内容': '总体还行 就是房间偏小 空调不行 有点压抑', '短评打分': 5}
{'短评内容': '感觉舒适', '短评打分': 3}
{'短评内容': '周边环境太差，不过酒店内部环境不错，服务也很周到', '短评打分': 1}
{'短评内容': '除了小了点，其他都很好\n一个住住够了，两个人有点挤', '短评打分': 5}
{'短评内容': '服务还是好的  就是那个设施 还有里面的卫生真的不敢恭维 冬天洗了一个凉水澡 不会来的', '短评打分': 1}
{'短评内容': '服务不错，但酒店座落在小区内实在太偏了，连当地的出租车司机都很难找到。', '短评打分': 1}
{'短评内容': '房间很小，而且不卫生。里面设施很破乱。性价比不高，位置很难找得到。', '短评打分': 1}
{'短评内容': '卫生不错房间太小', '短评打分': 3}
{'短评内容': '还好，空调效果不错！半夜入住的客人有点吵！', '短评打分': 5}
{'短评内容': '酒店位置不错', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '地方较偏！\n不容易找到！\n房间小，空调噪音很大！', '短评打分': 1}
{'短评内容': '要是只为便宜的话   还凑合  \n  只是太偏了  很难找  不熟悉的人 根本找不到  那个影业路，杭州本地人都没听说过！', '短评打分': 5}
{'短评内容': '恩。首先是说这个酒店的位置。是在是太不理想。。。深陷在小弄堂里。。路况也确实很糟。周围基本没什么好逛得。再次，卫生方面还是可以的。 但是装修实在简单。灯，也就那种长的白炽灯。还有2个小的床头灯。洗澡水只是温的。冬天很不爽、、而且本来是因为有窗房才定商务大床178的。但是感觉跟无窗房是差不多，所以虽然是元旦。但是还是感觉 价位贵了。而且实际的房间没有图片里那么亮那么大的。', '短评打分': 1}
{'短评内容': '经理和前台人员态度很亲切，问路线会很详细的给你指明', '短评打分': 5}
{'短评内容': '空间虽小，设置十分合理，完全不觉得挤，干净清爽，还有点播电视可看，附近吃的东西多，非常喜欢', '短评打分': 5}
{'短评内容': '还不错，就是下雪天外面的路不好走，宾馆也有点难找', '短评打分': 5}
{'短评内容': '最近外面在修路，一到下雨天还真是难走。酒店位置不是很好找，但住得还可以', '短评打分': 5}
{'短评内容': '卫生什么的都还可以 就是来的时候下雪了 路很难走 宾馆又难找 找了好长时间', '短评打分': 5}
{'短评内容': '酒店置还可以，就是晚上太吵，旁边在修路，而且晚上空调也不工作', '短评打分': 5}
{'短评内容': '交通一般，房间卫生还好，挺安静的，大堂小了点。一般吧 。', '短评打分': 1}
{'短评内容': '难找，在某个角落里，早上车非常难开出来，停车的位子也不多，没有其他的怡莱那么时尚，里面的装修不像其他怡莱那么OK', '短评打分': 1}
{'短评内容': '道路在整改，房间隔音比较差，而且比较脏，以后还是住市区比较好', '短评打分': 1}
{'短评内容': '干净便宜，房间的内外装修都不错，服务态度也挺好，唯一美中不足的是位置太难找，而且门口正在修路，车根本开不进去', '短评打分': 5}
{'短评内容': '很好好好好好，我会向您的朋友推荐这家酒店的', '短评打分': 5}
{'短评内容': '房间真的好小，进门就是床。床也不大。  洗漱还是卫生间外面\n床单有微微血迹  还是生锈的东西  ', '短评打分': 1}
{'短评内容': '补充：房间有点小，房间里面有难闻的味道（不知是否个别现象），前台服务不够热情。', '短评打分': 5}
{'短评内容': '酒店共4F，没有电梯，房间内设施配备齐全完好，只是装修稍旧，隔音确实不是太好（小型快捷酒店通病），但夜晚休息还是比较安静的。酒店位置在社区里，交通稍有不便，从路口走进去需要步行200米左右，周围小超市、小餐馆等配套设施比较齐全，条件便利，由于临近文三路，人流很旺，稍有点脏乱。\nPS.酒店门口不远有个小学，早上广播声比较大。', '短评打分': 5}
{'短评内容': '我个人非常喜欢。就是前台小姐不热情。。。。。', '短评打分': 5}
{'短评内容': '虽然位置有点难找，要从小弄堂里走过，在居民区，但还是有个小型停车场的呢，就是开进来有点难，房间很小但作为快捷型酒店来说设备齐全，该有的洗漱用品也都有了，总体来说性价比还算不错！', '短评打分': 5}
{'短评内容': '总体还不错，就是有点难找，那条路比较小，呵呵\n值得推荐', '短评打分': 5}
{'短评内容': '不是太干净，当服务态度还行                              ', '短评打分': 1}
{'短评内容': '介于价格相对便宜，这里还是不错的，交通也还比较方便。', '短评打分': 3}
{'短评内容': '价格便宜，外面又蛮热闹，服务员态度也不错~', '短评打分': 5}
{'短评内容': '性价比不错的酒店，设施也比较新，但是隔音不太好，早上保洁员打扫卫生比较吵', '短评打分': 5}
{'短评内容': '离黄龙很近，但房间实在太小了 出行还算方便吧 在小区里面 ', '短评打分': 1}
{'短评内容': '价格还是不错的 就是房间有点小位置也不怎么好找', '短评打分': 5}
{'短评内容': '房间蛮干净的，弄的蛮整洁的……住起来还是挺舒适的……晚上也很安静\n', '短评打分': 5}
{'短评内容': '与想象有差距', '短评打分': 3}
{'短评内容': '房间安静.卫生.好.', '短评打分': 3}
{'短评内容': '酒店在一条小弄堂里，比较难找，房间比较小', '短评打分': 5}
{'短评内容': '除了房间小了点，其他也还过得去，再能改进一下硬件设施就更好了', '短评打分': 5}
{'短评内容': '位置还可以。\n房间比较小，附近的小吃很多，酒店太里面了，比较难找。', '短评打分': 5}
{'短评内容': '商家服务很好..............', '短评打分': 5}
{'短评内容': '酒店与网上公布的不一样！有点被忽悠了', '短评打分': 5}
{'短评内容': '一般，', '短评打分': 5}
{'短评内容': '还行，但地理位置太偏，单行线，有车都开不进去，出租车也不愿进\r\n\r\n', '短评打分': 3}
{'短评内容': '+房间偏小,位置不错', '短评打分': 5}
{'短评内容': '续住一天，感觉就是不错。除生活方便外，酒店的管理也让人感觉方便，如前台旁有台电脑供客人使用，方便了没带笔记本的旅客。不足之处是卫生间有点下水返味。', '短评打分': 3}
{'短评内容': '第一次入住，感觉还好啦。虽然在小巷里，可吃饭购物方便，服务卫生也好。从性价比看，值得推荐。', '短评打分': 5}
{'短评内容': '位置在社区里，要往里面走上好一段路，不过因为是社区内，所以生活条件很便利。服务还算可以，但是因为房间面积很小，进门后没有过道隔开房间，开门就是房间，所以隔音效果非常不好，楼道里有的声音，都会在房间里听的很清楚。如果有其他客人喧哗，睡眠不好的人就不要想睡了。这是我住过的面积最小房间面积的旅店了，一个人在房间，连转个身都有些苦难，难不成是杭州房价太高的原因……其他设施还算可以。', '短评打分': 1}
{'短评内容': '总的来说不会推荐，相对便宜的一家连锁酒店，周围环境很市井，交通不是很方便，车子开不进去，你拖着个行李箱要走一段路，客房没有电梯，你还要拖着上楼，房间比较小', '短评打分': 1}
{'短评内容': '地点还是不错的，价位有那么一点高。其他的就一般般吧~~', '短评打分': 5}
{'短评内容': '2被子有点脏，服务还不错', '短评打分': 5}
{'短评内容': '地点有点偏，房间太小！住的是家庭房，有点失望！', '短评打分': 1}
{'短评内容': '整体感觉良好哦~ 很喜欢的呢~ 不错 还会再来的~', '短评打分': 5}
{'短评内容': '环境、装修、卫生都不错,就是位置比较偏,难找,打车、公车都不方便', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '1，位置比较难找，在巷子里。\r\n2，酒店总体还可以的，可能因为国庆涨价，性价比不够，平时的价格还是很有性价比的。\r\n3，酒店服务不错，设施在杭州的快捷酒店中属于中等水平', '短评打分': 5}
{'短评内容': '位置有一點難找，但是環境很不錯，也離市區很近，以後還會再來的。', '短评打分': 5}
{'短评内容': '酒店位置比较难找，周边是居民区还有市场，如果想体验生活的可以考虑。离西湖景区也不算近，住了大床房跟标间，让我感受了什么叫寸土寸金，浴室出水量小，酒店的隔音效果太差了。不过服务态度还算不错。', '短评打分': 1}
{'短评内容': '环境不错，离火车站好远啊，去景区还是方便的能坐公交车…希望杭州之行能留下美好的回忆～嘿…', '短评打分': 5}
{'短评内容': '地方实在是太难找了，在周边转了有2个小时，最后拨打114查询才找到地方，而且车位也不多，停车也不是很方便。建议改善。', '短评打分': 1}
{'短评内容': '离梦想的西湖景区太远。。受不了。\r\n\r\n乌鲁木齐到杭州几千公里，有点伤心ING', '短评打分': 1}
{'短评内容': '地方不好找 门口指路100米 找了老半天...其他还行', '短评打分': 1}
{'短评内容': '房间虽然有点小,但是总体来说比较温馨,服务态度不错,会考虑再次入住 ', '短评打分': 5}
{'短评内容': '一般。', '短评打分': 5}
{'短评内容': '位置很偏，找了好久才找到，不过价格可能是杭州算便宜的吧。', '短评打分': 3}
{'短评内容': '住过两次了，酒店位子不太好找，但是性价比不错。不过，大床房的浴室，呃，没帘子的。。。', '短评打分': 3}
{'短评内容': '位置太偏,房间太小,刚开始还找不到.希望以后多改进', '短评打分': 1}
{'短评内容': '总体感觉良好 非常的安静 就是门口的菜场比较闹腾 不过房间里还是很安静的', '短评打分': 5}
{'短评内容': '蛮小的 房间，空气的流通有限制.....服务员的服务还行吧 没餐厅的 ', '短评打分': 3}
{'短评内容': '性价比挺好的 位置有点偏而已。其他服务都可以', '短评打分': 5}
{'短评内容': '要考雅思才去了这家店 ......周边的环境不太好 服务员态度还不错..', '短评打分': 5}
{'短评内容': '房间很小，四楼的卫生间的出水量只够刷牙的，糟糕的住店经历，不会再去了', '短评打分': 1}
{'短评内容': '+房间很小，空气不新鲜。下午12点退房较早，客人会不方便。', '短评打分': 5}
{'短评内容': '实在太难找了 而且那条小巷子很杂乱 给人的感觉不太好 ', '短评打分': 1}
{'短评内容': '房间小了点，位置有点难找，其他都很好，晚上门口还有烧烤，不错不错', '短评打分': 3}
{'短评内容': '因为住的是家庭房，太小了，感觉进去了以后，浑身压抑，不能很好的放松下来，行李多了还没地儿放了。周围环境也不好，车子很不好进去。再不会住了。', '短评打分': 1}
{'短评内容': '房间有点小，不过挺实惠。', '短评打分': 5}
{'短评内容': '还不错，朋友来了只要不是商务，这样的价位和地址还是值得推荐的。', '短评打分': 5}
{'短评内容': '房价有点小，有点局促，其它还可以\r\n地理位置比较难找，应该在路口做个指示牌', '短评打分': 5}
{'短评内容': '位置不太好找', '短评打分': 5}
{'短评内容': '整体设计比较舒适 但一些细节做的不好 比如枕套就有头发 好像不是太干净 不知是不是没有一客一换', '短评打分': 5}
{'短评内容': '九莲新村社区巷子里面,不好找.凑合入住.', '短评打分': 3}
{'短评内容': '还是可以的,不错的,以后可以考虑住的,哈哈/', '短评打分': 5}
{'短评内容': '去火车站较远！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位置有点偏，在巷子的尽头，不过还好离几个朋友的住处和上班的地方很近。\r\n\r\n虽然定的商务标间，但实在是太小了，房间总面积还不抵上海如家特惠房的卧室大，住得有点小郁闷', '短评打分': 3}
{'短评内容': '酒店位置有点偏，在巷子的尽头，不过还好离几个朋友的住处和上班的地方很近。\r\n\r\n虽然定的商务标间，但实在是太小了，房间总面积还不抵上海如家特惠房的卧室大，住得有点小郁闷', '短评打分': 1}
{'短评内容': '这个酒店在一个小胡同里面，我是一路打着电话找到的。\n门口有卖小吃的门脸，豆花只要一块五毛钱，简直便宜到家了！上海同样的豆花，要七块钱一碗呀！\n这里距离西湖有点远，不过两个大人带个小孩子住，蛮舒适的。', '短评打分': 5}
{'短评内容': '1、在文三路未有明显标识；2、打扫卫生人员造成人为噪声，电话声、对讲机声、讲话声，肆无忌惮，影响午休。', '短评打分': 5}
{'短评内容': '！！！', '短评打分': 5}
{'短评内容': '实物与网上的不一样，离大路很远，在很背很脏乱的巷子里，价格还那么贵，房间很小，又发霉，漏水，总之性价比超差', '短评打分': 1}
{'短评内容': '换了个房间还可以，。。', '短评打分': 3}
{'短评内容': '总体不错``', '短评打分': 3}
{'短评内容': '房间比较小但是 环境看起来还是挺不错，不过位置不是很好找在一个弄堂里面。酒店里面很不错装修的还是挺精致的。性价比也蛮好的。', '短评打分': 5}
{'短评内容': '房间比上次小了', '短评打分': 5}
{'短评内容': '希望能有早餐提供！', '短评打分': 5}
{'短评内容': '位置是在居民区内，不好找，但是对于识路和认地图的能力培养很有帮助。', '短评打分': 5}
{'短评内容': '有点潮，其他还好！', '短评打分': 1}
{'短评内容': '在很深的巷子里面，大马路上根本看不到。\n靠巷子的房间炒的很，只有早上1点到早上五点能安静下，其他时间太吵。\n房间潮湿，灯光昏暗，不推荐', '短评打分': 1}
{'短评内容': '住了四晚 除了位置离我上课的地方好之外 就没有其他的优势了，尤其是房间有股潮湿味道很浓', '短评打分': 1}
{'短评内容': '位置在影业路的很里面 有点难找；浴室居然是玻璃门 一点隐私没有 这点很不好；卫生倒不错 弄得很干净 房间布局很紧凑 空间全都利用了；我定的是周五周六两天 周六居然要涨价 很不好！！！', '短评打分': 5}
{'短评内容': '卫生不错，干净舒适，而且很清静，只是地方比较难找。\r\n卫生间的小窗户窗花贴纸遮光差，一早就光亮照进房价，有点影响休息。', '短评打分': 5}
{'短评内容': '房间隔音较差  地理位置较偏  如果价格在优惠点  是个不错的选择', '短评打分': 3}
{'短评内容': '地方有点难找，在一条小巷子里；不知道是不是住在一楼的关系，有股味道。房间有点小，感觉比较压抑，别的都还好！', '短评打分': 5}
{'短评内容': '位置不是很好找   房间隔音稍差  其他挺好的\r\n', '短评打分': 5}
{'短评内容': '进门就遇到小强一只，床满舒服的，设备还算新。', '短评打分': 5}
{'短评内容': '位于老居民区内，周围比较嘈杂，交通还算方便，附近就是教工路和文三路。房间较小价格不低，没有怡莱酒店其他几家连锁店舒适。', '短评打分': 1}
{'短评内容': '房间太小,在胡同里面不好找,没有电梯,房间外空调机声音太大,影响睡眠', '短评打分': 1}
{'短评内容': '还不错，小巧精致，五脏俱全，相对来说，价格还是可以接受的，就是地点有点偏。', '短评打分': 5}
{'短评内容': '其它都好，就是浴室门是透明的。。。。。', '短评打分': 5}
{'短评内容': '总体上还是不错的', '短评打分': 5}
{'短评内容': '位置比较偏，但楼下的小吃还算丰富！', '短评打分': 5}
{'短评内容': '房间太小了，放了一张床就基本没空间了，出门吃饭还是比较方便，地方很难找', '短评打分': 1}
{'短评内容': '地段还好  位置稍偏点  不过离主路只有3分钟的步行\r\n', '短评打分': 5}
{'短评内容': '房间小了点 空气流通差点 其他还行 比较卫生', '短评打分': 5}
{'短评内容': '位置太偏吧。据说很难找。', '短评打分': 1}
{'短评内容': '酒店位置在小巷子里，虽然不临街，但是还算可以。\r\n强烈推荐情侣，夫妻，朋友这类出行者入住，商务人士出差不推荐。\r\n在杭州游玩的朋友住哪里非常不错，早晨出门巷子里都是买早点的，杭州的小笼包味道好极了，吃了很多种类的，豆腐馅的，萝卜丝馅的，梅干菜馅的，等等。晚上回来可以在巷子里买新鲜水果，价格不贵。\r\n唯一对房间不满意的就是，面积有些小，挂衣服的钩子太少。其他的很好。', '短评打分': 5}
{'短评内容': '房间虽小，但是很干净，员工工作很负责任。周围的交通也挺方便。其他消费也不高，总体来说性价比提高的。呵呵', '短评打分': 5}
{'短评内容': '不错，就是刚刚有点难找，熟悉了还行', '短评打分': 5}
{'短评内容': '应该还算不错', '短评打分': 5}
{'短评内容': '周边很便利，只是房间有点小', '短评打分': 5}
{'短评内容': '位于一条小巷里，第一次来还不太找。\n房间很小，几乎没有地方放行李。晚上比较安静，睡得比较舒服。没有电梯，对于行李多的住客是个考验。\n离西湖有点距离，打车要10多块钱。\n总之在杭州这个旅游城市，性价比还是比较高的。', '短评打分': 5}
{'短评内容': '房间有点小~其他倒还舒服~性价比不错！', '短评打分': 5}
{'短评内容': '汗！在小区里面，找起来很困难。环境还是不错的！只要不是临着马路就好了。顺便说一下。酒店的点评有点意思，不知道怎么回复我的点评', '短评打分': 5}
{'短评内容': '感觉地理位置比较偏僻，不过服务不错，房间很干净，但是隔音效果不太好，周围有很多吃饭的小摊，价格很便宜，很值得推荐！', '短评打分': 5}
{'短评内容': '房价太小，卫生间的门对着床边距离太近，洗脸的是在卫生间外面，感觉太拥挤，感觉不好，价格偏贵。', '短评打分': 1}
{'短评内容': '地方太小，价格不公道', '短评打分': 1}
{'短评内容': '房间太小，说有15平方其实只有7.8个平方，小的很位置偏很难找。', '短评打分': 1}
{'短评内容': '房間非常非常細,建議如果將來要裝修,改成三間變成兩間,價錢貴小小,都會有人住.......', '短评打分': 5}
{'短评内容': '环境不错 可就是偏远了点。。房间还是不错的 性价比不错', '短评打分': 5}
{'短评内容': '这个价位可以了', '短评打分': 3}
{'短评内容': '房间小点，不过挺干净', '短评打分': 5}
{'短评内容': '房间比较小', '短评打分': 1}
{'短评内容': '除了小点还都可以', '短评打分': 5}
{'短评内容': '服务不错，不过环境还有待提高', '短评打分': 5}
{'短评内容': '位置在菜市场中间', '短评打分': 1}
{'短评内容': '酒店在小区内，很难找到。房间的空间很紧凑，一个人住都有点挤。 \r\n', '短评打分': 1}
{'短评内容': '除了位置比较偏点外，其他都还可以', '短评打分': 5}
{'短评内容': '酒店在一个小巷里,比较难找,房间不大,但设施可以,热水全天供应,服务态度好,但房间隔音效果不好,走廓里有人走过讲话影响休息.', '短评打分': 5}
{'短评内容': '位置较差，性价比一般。', '短评打分': 3}
{'短评内容': '位置 还可以 不过周围环境比较吵 尤其是我住的靠路边的房间关了窗后 还是比较吵 我住的房间厕所和淋浴没有玻璃门隔开 洗完澡整个厕所都是水 非常容易滑倒。其他都可以，是个性价比不错的酒店。', '短评打分': 5}
{'短评内容': '价格稍贵，位置稍差，其他还好', '短评打分': 5}
{'短评内容': '总体而言，还能说得过去，就是房间比较小！', '短评打分': 5}
{'短评内容': '服务不错，隔音较差，房间偏小，总体还满意。', '短评打分': 5}
{'短评内容': '卫生服务方面还是不错的,但位置不好,在一个胡同里,很不好找,而且隔音效果不太好.', '短评打分': 3}
{'短评内容': '硬件条件环境不错，价格合适，过两天我去还会选择', '短评打分': 3}
{'短评内容': '酒店的地理位置比较偏,而且整体性价比也比较差,当时要求换房间的时候,也没有服务人员,而是让一个男保安上来给换房间,感觉安全性不是很高.', '短评打分': 3}
{'短评内容': '卫生和设施还是挺不错的.价格也比较合适.酒店的位置不是太好找挺偏的,服务态度还是挺不错的,性价比还行.', '短评打分': 3}
{'短评内容': '房间空间太小了，不是很喜欢这个房间', '短评打分': 1}
{'短评内容': '酒店的位置说实话比较难找。前台的服务不错。屋子十分狭小，两个人如果不是夫妻，会觉得空间感全无。卫生还可以。值得一提的是酒店配的洗发水是两面针牌的，个人认为如果没有带洗浴用品的话，凑合一下倒是还不错的。出了酒店是一个小社区，生活上还是比较方便的。', '短评打分': 1}
{'短评内容': '卫生服务方面还是不错的,打扫的很干净,但酒店的位置不太好找,是在一个胡同里的,另外就是房间的隔音效果太差了,不太舒适.', '短评打分': 3}
{'短评内容': '我觉得没什么特色,就是一家经济型的酒店,比较简洁,价格比较实惠.整体感觉还可以,值得推荐', '短评打分': 3}
{'短评内容': '比其它的连锁店房间要比较小，当时住的是13平的，其它设施还蛮舒适的，路段比较偏，在小巷子里，不是太好找', '短评打分': 3}
{'短评内容': '价格还好,地段也方便,就是有几个不方便,一是没有早饭,而是标准房太小', '短评打分': 5}
{'短评内容': '硬件設施差了點，對於那些不熟悉杭州的朋友來說位置比較難找，不過從性價比來說還是可以的\r\n\r\n', '短评打分': 3}
{'短评内容': '不错的酒店，虽然房间很小，舒适度不高，但是价位适中，性价比好不错。闹中取静！下次还可以考虑入住！', '短评打分': 3}
{'短评内容': '设施一般，有些设备有点旧和破损。\r\n但服务很好，让我好好过了个圣诞，很感谢。', '短评打分': 5}
{'短评内容': '位置不错。实际环境比照片上的差一些，还可以接受就是了。服务挺好，可以借吹风机啥的。想借大堂电脑查查天气的，可惜住的那几天坏了，修得不是太及时。总之性价比不错，可以推荐。', '短评打分': 5}
{'短评内容': '硬件設施差了點，對於那些不熟悉杭州的朋友來說位置比較難找，不過從性價比來說還是可以的', '短评打分': 5}
{'短评内容': '房间太小，，好难找，，而且水很小，，，', '短评打分': 3}
{'短评内容': ' 房间小，就厕所一个垃圾桶，有网络，但要自带电脑', '短评打分': 1}
{'短评内容': '酒店房间面积太小了,而且电视机还是坏的,并且洗手池是在卫生间外面的,很不安全,服务人员只两个,不过态度还成.', '短评打分': 3}
