{'短评内容': '还可以吧，', '短评打分': 5}
{'短评内容': '酒店环境很好，设施用具很新，住的很舒服。', '短评打分': 5}
{'短评内容': '酒店位于半山腰，站在山上可以俯视重庆夜景，非常漂亮、安静、舒适', '短评打分': 5}
{'短评内容': '挺好的，安静，而且酒店设施很好，适合老年人居住', '短评打分': 5}
{'短评内容': '位置不错，但周围是工地影响景观。房价偏高，房间略小。价格再调整为300以下，性价比就差不多了。以后周边工地完工后再恢复价格。', '短评打分': 1}
{'短评内容': '总的来说还是不错的，环境很好，新酒店设备不错，空调很给力', '短评打分': 5}
{'短评内容': '古色古香，安静，本来环境不错，可惜，周边都是工地，到处都在修建小区，灰尘很大，自然就没那么舒服了。', '短评打分': 5}
{'短评内容': '  房间不错!早餐太简单!', '短评打分': 3}
{'短评内容': '第二次住了，很喜欢这里，环境很好，很清静，房间也很舒服，很温暖，周围吃饭也很方便，只是打车太难了，希望酒店能提供叫车服务。。。', '短评打分': 5}
{'短评内容': '房间不错，但到店后找预定查了老久，建议要和酒店沟通好，酒店的预定有点乱……景色好', '短评打分': 3}
{'短评内容': '这里有一个美丽的传说，建文帝喊天堡的故事，尤其是院子，超级赞。', '短评打分': 5}
{'短评内容': '环境优美，适合发呆，品茶。而且打车也没有想象中的那么难，出差办事也算方便。', '短评打分': 5}
{'短评内容': '酒店周围环境很好，周末放松不想走远就可以去住住', '短评打分': 5}
{'短评内容': '，酒店设施不错，但服务细节还有提高的余地。', '短评打分': 3}
{'短评内容': '酒店环境很棒，紧邻公园，酒店设施和服务态度都好！值得再次入住！', '短评打分': 3}
{'短评内容': '非常满意的酒店。才到山脚就有桂花香气扑鼻，空气非常清新。而且因为是新酒店，设施非常新，感觉比五星级的还干净。喜欢清静的人的好选择，只是如果没有车会感觉不大方便，因为是在半山上。', '短评打分': 5}
{'短评内容': '环境好，桂花好香，安静，不足之处是无餐厅。', '短评打分': 5}
{'短评内容': '很不错 值得推荐  在山上环境很好  很安静  闹中取静  就是交通不方便如果没车的话  希望早餐改进1下  太简单了', '短评打分': 5}
{'短评内容': '总体还可以，没什么亮点但也没什么太大的遗憾，毕竟就是这个价格，不可能按最高的要求去评价。但从大路转去酒店的小路的两条路形成30度左右的角度，这次开去的是跑车，前底护板差点就给刮到了，希望改进。其实很简单，在两条路接头处用水泥将角度抹平点就是了。', '短评打分': 5}
{'短评内容': '酒店环境、设施、服务都还算好；外观是中式的，摆放的一些红木家具不怎么行，估计是本地匠人仿的，比不上江浙一带的好。反而搞得有点不伦不类。文化、内涵不是能装出来的。电梯、通道、楼层布局等整体设计上还显得不足。周围有不少工地正在修建，放炮有点煞风景，但完工后景观应该不错。我住的房间阳台对着的一颗松树上有一个手机信号塔，郁闷。价格都还算便宜，总体上可以打9分，应该还会去住的。\n', '短评打分': 5}
{'短评内容': '环境优雅，服务的设施都很满意！下次还会来！', '短评打分': 5}
