{'短评内容': '酒店老久服务差，早餐超级难吃', '短评打分': 3}
{'短评内容': '还可以的！！！！！！！！！！！！！11！！111111', '短评打分': 5}
{'短评内容': '/////////////////////////////////////ok', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还可以吧 还可以吧 交通方便！！！！！！！！经常去了', '短评打分': 5}
{'短评内容': '还可以吧 还可以吧 交通方便 ！！！！！！！！！！！！！！！！！！！！1还可以吧 还可以吧 交通方便 ！！！！！！！！！！！！！！！！！！！！1还可以吧 还可以吧 交通方便 ！！！！！！！！！！！！！！！！！！！！1还可以吧 还可以吧 交通方便 ！！！！！！！！！！！！！！！！！！！！1还可以吧 还可以吧 交通方便 ！！！！！！！！！！！！！！！！！！！！1还可以吧 还可以吧 交通方便 ！！！！！', '短评打分': 5}
{'短评内容': '还可以吧 还可以吧 交通方便 ！！！！！！！！！！！！！！！！！！！！1', '短评打分': 5}
{'短评内容': '交通便利，房间超大，性价比较高，但设施有所老化', '短评打分': 5}
{'短评内容': 'ok...........//.///////../', '短评打分': 5}
{'短评内容': '...................。。。。', '短评打分': 5}
{'短评内容': '服务挺不好的！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '服务服务服务。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务有带提高。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '主要是方便，其它的一般。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间超大，交通便利，物有所值，值得推荐。只是房内设施有些老化了。', '短评打分': 5}
{'短评内容': '服务还可以，客房比较卫生，房间面积不错。只是我住的房间网络时断时续。', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '可以吧，各方面设施都还可以。。。。。。。', '短评打分': 5}
{'短评内容': '经常来长沙出差，大多数住在这个酒店。 不错的酒店', '短评打分': 5}
{'短评内容': '住过很多次，前台服务有待提高，总体还行。。。', '短评打分': 5}
{'短评内容': '还可以了！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '恍恍惚惚恍恍惚惚辉煌积极考虑；；；‘不，可。。', '短评打分': 5}
{'短评内容': '挺不错的，只是服务员的态度有些不太好，难搞！！！！！！！！！！1', '短评打分': 5}
{'短评内容': '位置很好，方便，服务不错。里面的小姐态度都很好，亲和力强，推荐 \n', '短评打分': 5}
{'短评内容': '交通非常便利， 房间也比较安静。到机场或者火车南站比较方便。', '短评打分': 5}
{'短评内容': '我订的单人间怎么变成标准房了', '短评打分': 3}
{'短评内容': '环境很好位置很好服务人员很客气，已经多次住过了，推荐大家来试试', '短评打分': 5}
{'短评内容': ' 到了酒店才发现酒店不提供免费洗漱用品，得每天消费10元买一个洗漱套装。', '短评打分': 5}
{'短评内容': '+入住后发现房间洗手盘坏了,要求换房时总台反应太慢,催了几次才有人来处理.今后要注意改进.', '短评打分': 5}
{'短评内容': '房间大小可以。房间网速还行，早餐不太好。', '短评打分': 3}
{'短评内容': '+房间还可以，网速挺快。', '短评打分': 5}
{'短评内容': '已经入住', '短评打分': 5}
{'短评内容': '除了交通方便点外，没有别的太多优势，而且附近的酒店相比要便宜些。', '短评打分': 1}
{'短评内容': '交通便利，环境舒适', '短评打分': 5}
{'短评内容': '总台服务还行，餐厅服务、卫生都差，不是在附近办事不会住这样的店。', '短评打分': 3}
{'短评内容': '整体水平还可以', '短评打分': 5}
{'短评内容': '交通还比较方便， 但是服务质量需要认真的提高。 和劳动路那边的和一相比差很远了。', '短评打分': 1}
{'短评内容': '要不是在这附近办事，不会选这家，总台服务还可以，餐厅太脏，服务水平差，客房设施陈旧，纸拖和塑拖鞋好象都要收费，还好带了别家酒店的纸拖，搞不清那些要收费，干脆不用，价格上也没优势。', '短评打分': 1}
{'短评内容': '较好', '短评打分': 5}
{'短评内容': '总台领班总是板着脸，就像谁欠了她似的。上述点评只对该领班。', '短评打分': 1}
{'短评内容': '酒店比较老了，房间还是够大。有点潮湿。', '短评打分': 5}
{'短评内容': '客房设施还可以。但餐厅环境比较差，卫生不好，灯光不明亮。', '短评打分': 1}
{'短评内容': '隔音效果很差', '短评打分': 1}
{'短评内容': '培训根本不到位，退房估计上下脱节 居然要40分钟！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '酒店的服务卫生方面还是可以的,设施方面也比较齐全,周边环境一般了,位置稍微有点偏了,价格方面我觉得还是比较合适的.', '短评打分': 3}
{'短评内容': '各方面都还不错，尤其是早餐好吃', '短评打分': 5}
{'短评内容': '这家酒店的价格与市场价相比高一些,酒店的服务态度不好,衣架少了服务员说是入住人拿的,设施也不太好,空调遭音比较大,下次不会住这家酒店了.', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
