{'短评内容': '酒店房间环境不错', '短评打分': 4}
{'短评内容': '空调启动很慢，不过前台给多了一张卡让我们一直开着电。隔音不错，除了窗外马路的车声，两天没有听到隔壁或者走廊传来的声音。只是凌晨时会传来奇怪的声音。', '短评打分': 5}
{'短评内容': '，酒店位置还可以，但设备太陈旧了。', '短评打分': 3}
{'短评内容': '酒店地理位置非常好，周围设施齐备。不过酒店自身设施有些老旧，需要改善。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，房价在周边酒店中很有竞争力。不过，房间内没有衣柜，存放衣服不是很方便。', '短评打分': 5}
{'短评内容': '酒店地理位置很不错，周围环境也还可以，就是房间里面没有衣柜，不知道当初怎么这样设计。', '短评打分': 1}
{'短评内容': '酒店地理位置不错，周边交通非常方便，价格比较合适，但是酒店设施比较简单，不够完善。', '短评打分': 5}
{'短评内容': '酒店位置一般，不容易找。卫生也较一般。性价比似乎不如周边的快捷酒店。', '短评打分': 1}
{'短评内容': '酒店位置还可以，房间也还不错，就是不知道为什么没有衣柜来存放衣物。', '短评打分': 5}
{'短评内容': '酒店位置方便,周围吃饭地方较多.', '短评打分': 3}
{'短评内容': '环境不错，就是空调效果不怎样，交通比较方便', '短评打分': 5}
{'短评内容': '过道窄了一些,比较干净,我住C区,比较静.', '短评打分': 5}
{'短评内容': 'ting bucuo  xingjiabihao   ', '短评打分': 5}
{'短评内容': '挺好的，蛮干净的！服务也不错，下次还来住，哈哈！', '短评打分': 5}
{'短评内容': '多次住过。但最近一次感觉设施老化较明显，所住房间脸盆台已经移位，窗台墙纸多处起角。', '短评打分': 5}
{'短评内容': '环境很好…', '短评打分': 3}
{'短评内容': '总体还不错，就是离地铁站有远了点.客人从机场过来后到客栈不太好安排.', '短评打分': 5}
{'短评内容': '不错，房间有格调，而且还算大了，只是离地铁站有点远', '短评打分': 5}
{'短评内容': '很舒适，安静。附件吃东西很方便，什么价位都有。离地铁10分钟以内', '短评打分': 5}
{'短评内容': '还OK，就是门面较小，不太好找,这个点评为什么要填这么多字。。。。。。', '短评打分': 5}
{'短评内容': '环境还好，装修时尚，也还算比较干净的酒店，离南山中心区近，食宿交通都算比较方便，就是稍嫌贵了点。价格要是能再优惠些就好了', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '听说悦来酒店要在香港上市，特意去住了，地点很难找，很小                                         ', '短评打分': 1}
{'短评内容': '酒店走廊迂回曲折，房内墙面开裂，有异味，洗手间有小蟑螂。', '短评打分': 1}
{'短评内容': '环境尚可，交通便利。但床垫太软，且椅子仅有一张。与同类酒店相比，价钱稍偏高了一点。', '短评打分': 5}
{'短评内容': '装修还是不错，但是周围环境有点吵，晚上睡觉还是受影响的。', '短评打分': 5}
{'短评内容': '服务不错，交通也方便，就是房间千回百转的，常常迷路', '短评打分': 3}
{'短评内容': '交通很方便，其他的就一般.不是很安静。服务态度较好', '短评打分': 5}
{'短评内容': '性价比高，装修时尚，确实不错，下次去还会住这里的。', '短评打分': 5}
{'短评内容': '楼下是家川菜火锅店。如果喜欢闻着麻辣川香进入梦乡，那还是可以住的。而且靠马路的房间没有隔音玻璃，始终有一种嗡嗡的噪音。不舒适。不推荐。', '短评打分': 1}
{'短评内容': ' 服务很好', '短评打分': 3}
{'短评内容': '还不错\r\n性价比不是特别高啊！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '底下有家KTV。有点吵，晚上不太好，影响睡眠', '短评打分': 5}
{'短评内容': '位置很好，交通很便利，房间很大，干净舒适。', '短评打分': 5}
{'短评内容': '总体上房间较大，床很舒服。但卫生间小，设施简单，大堂小。', '短评打分': 5}
{'短评内容': '房间很干净，隔音很好，路边交通也很方便．感觉价格稍贵', '短评打分': 5}
{'短评内容': '价格挺实惠，房间挺干净，服务也很好，住的很满意。', '短评打分': 5}
{'短评内容': '酒店卫生很好，房间打扫很干净，床单被子也很整洁，住的很舒适。', '短评打分': 5}
{'短评内容': '毛巾都已经烂掉了还没换，浴室的窗帘很脏..', '短评打分': 1}
{'短评内容': '房间是有些小不过还是挺干净的，设施的话还行都是挺新的。位置还行不过离市区还是有段距离。价格也还可以都能接受服务态度也还不错，但是我感觉是挺奇怪的当时我朋友去找我没有带身份证酒店就是必须要有身份证才可以进去不过这个应该也是他们的规定还是可以理解，其他的方面都还是很不错的。', '短评打分': 5}
{'短评内容': '住得挺舒服，卫生也可以，房间小了点，布局紧凑，挺合理，就是店面不太显眼，不过高兴的是在酒店对面居然找到一家维扬菜馆，可以吃到家乡菜，挺不错。', '短评打分': 5}
{'短评内容': '前台人员的态度生硬，有一个KTV和酒店是一栋楼，周末12点后会响起震人的音乐，让你无法入睡。', '短评打分': 1}
{'短评内容': '它的装修很特别，不是那种白色调，给人一种不一样的感觉，住着很舒适。', '短评打分': 5}
{'短评内容': '这家客栈的配套设施还可以，我出门没有带笔记本，本以为上不了网了，没想到客栈还有个上网区，太高兴了。', '短评打分': 5}
{'短评内容': '位置不错，有很多公交车，出行方便，而且周围有许多小吃，能解馋，很喜欢。', '短评打分': 5}
{'短评内容': '客栈位置很方便，离购物的地方很近，省了不少的事。', '短评打分': 5}
{'短评内容': '地理位置很方便，房间里面比较干净，设施完善，性价比不错的酒店，下次还会选择的。', '短评打分': 5}
{'短评内容': '服务挺到位的，对待客人总能微笑服务，让人感觉很亲切。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 1}
