{'短评内容': '房间干净整洁，服务不错，早餐丰富', '短评打分': 4}
{'短评内容': '第一次入住被酒店外面的环境雷到了，不是处于市中心，空气中还弥漫着药味。好在入住后感觉很不错。房间服务人员还会每天给你留便条，手写的而不是机打的。一天忙碌在外，回到酒店，让人颇感温馨，有回家的感觉。石家庄天气很干，酒店特地提供了加湿器和梨水，很贴心。一楼的自助餐很不错，不过建议改一下名字，不要叫什么西西里匹萨餐厅，让我一度以为只是吃匹萨的，直到最后一天离开石家庄才想起要尝试（自助餐提供各种菜肴，烧烤', '短评打分': 5}
{'短评内容': '住宿环境和价格基本匹配，就是室内温度偏低，空调风力小，还好服务员很热情给拿了两床被。', '短评打分': 5}
{'短评内容': '很不错的酒店，适合一家出行。经济实惠，干净，方便。服务员态度很好。', '短评打分': 5}
{'短评内容': '酒店不错，感觉还好在当地来说，性价比挺高', '短评打分': 3}
{'短评内容': '这次定的是340元的商务房，比上次的标间整整高出2个档次，网线也很好。只是住了4天为何最后一天有水果送？', '短评打分': 5}
{'短评内容': '不错，服务很好，就是周边没有什么吃的和逛逛的地方', '短评打分': 5}
{'短评内容': '床睡着特别舒适，环境好，服务热情，下次还会入住的。', '短评打分': 5}
{'短评内容': '网络实在太慢，不是因为客户是华药的，才不会住这里。', '短评打分': 1}
{'短评内容': '很不错的酒店，选的单人间，性价比很高，特别是早餐，赞一个！', '短评打分': 5}
{'短评内容': '性价比非常高。房间整洁，服务很贴心，送来加湿器和梨水。早餐也丰富。酒店内的餐厅也不错，有58元自助餐，食物还可以。酒店附近也有便利店、饭馆、洗衣店。下次去石家庄一定住这里。', '短评打分': 5}
{'短评内容': '酒店不错，价格也合理，房间温度也很好，下次还会入住。', '短评打分': 5}
{'短评内容': 'room is big, very good', '短评打分': 5}
{'短评内容': '地段好，服务好。地段好，服务好。地段好，服务好。地段好，服务好。地段好，服务好。', '短评打分': 5}
{'短评内容': '位置很好，离先天下近，自助餐不错', '短评打分': 3}
{'短评内容': '很差劲的一家酒店，设施陈旧。早餐时掉了一个勺子，酒店的服务员要求立刻陪偿。一点服务意识也没有。非常差。', '短评打分': 1}
{'短评内容': '绝对不推荐。\n门漏音，窗漏风，设备老旧。\n早餐一般。\n前台服务态度不错。', '短评打分': 1}
{'短评内容': '环境不错，价格很实惠，不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '推荐。推荐。推荐。推荐。推荐。推荐。推荐。推荐。推荐。推荐。推荐。', '短评打分': 5}
{'短评内容': '房间安静，地毯不太干净。', '短评打分': 3}
{'短评内容': '不错的酒店 价格不贵 但是服务挺温馨的 给好评啊', '短评打分': 5}
{'短评内容': '一般的酒店，呵呵！石家庄的酒店，没有什么评论，洗澡水小的可怜！呵呵！', '短评打分': 5}
{'短评内容': '房间很温馨 芒果汁很难开 但是很好喝 服务员的态度特别的好 赞一个 ', '短评打分': 5}
{'短评内容': '酒店的设施环境都很好，自助餐也不错，交通方便，就是停车位不多，停车挺费劲', '短评打分': 5}
{'短评内容': '不错！床要能硬一些更好，软了不利健康！', '短评打分': 3}
{'短评内容': '水平明顯下降了', '短评打分': 3}
{'短评内容': '房间么有地毯，         早餐差点。        其他还好', '短评打分': 5}
{'短评内容': '酒店服务好,有宾至如归的感觉,下次还准备入住!', '短评打分': 3}
{'短评内容': '此酒店不错~住着比较温馨!我的太太和宝宝都很喜欢!看的出来~~~', '短评打分': 5}
{'短评内容': '也许是春节期间的原因，各项服务都跟不上，服务员在楼道里见到都不打招呼，还不如如家的服务员，房间里的洗漱用品和毛巾都不够用，早餐也比较简单。', '短评打分': 1}
{'短评内容': '很新的酒店，性价比很好，早餐也很好，但位置稍偏。', '短评打分': 5}
{'短评内容': '酒店不错，还有免费停车！好。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错的酒店，地理位置不错，早餐也很好，房间设施的一些细节很到位，住着很舒服。', '短评打分': 5}
{'短评内容': '酒店服务优秀', '短评打分': 3}
{'短评内容': '干净整齐很温馨。很好。早餐也很丰富。格局也很好。很喜欢。', '短评打分': 5}
{'短评内容': '交通方便，早餐丰富，不过房间较小，服务员态度好。', '短评打分': 5}
{'短评内容': '已经住过几次了，感觉还可以，性价比高，早餐很好。', '短评打分': 5}
{'短评内容': '酒店不错，已经住了很多次了，设施很好，位置也不错，早餐丰盛，就是网速近期有点慢，希望能改善一下。', '短评打分': 5}
{'短评内容': '环境服务到位，餐食也不错。价位合适，卫生', '短评打分': 5}
{'短评内容': '服务态度真的好！......也就剩服务态度好了，要不是这点儿突出，真不值推荐。\n靠街的房间隔音很差，车水马龙的声儿还好；隔壁几个疯女人大声聊天到凌晨3点，听得那个吵！向总台投诉了才制止......', '短评打分': 5}
{'短评内容': '很好，总体服务不错。下回来了石家庄还会住这里的。', '短评打分': 5}
{'短评内容': '环境不错，交通方便，早餐丰富，床铺舒服。就是有点噪音，不过总体还是推荐的。', '短评打分': 5}
{'短评内容': '酒店性价比很高，房间很好，服务人员很好，每次来都住这。', '短评打分': 5}
{'短评内容': '酒店环境设施均还可以,早餐也很可口,网速较快.推荐', '短评打分': 5}
{'短评内容': '每次到石家庄，都会入住这家酒店。房间虽小但是很干净，很好，还有一次还享受了管家服务，很不错', '短评打分': 5}
{'短评内容': '该酒店住宿条件较好，能达到一般4星标准，房间灯光特好，服务也到位，卫生、洗浴条件也好。标准间298稍微贵了点。', '短评打分': 5}
{'短评内容': '不错，4星级的水准，性价比高，交通便利，值得推荐', '短评打分': 5}
{'短评内容': '位置不错，服务很好，位置不错，服务很好,位置不错，服务很好，位置不错，服务很好', '短评打分': 5}
{'短评内容': '不错的酒店，各方面都可以，只是好像有活动，大堂人很多，有点乱。', '短评打分': 5}
{'短评内容': '总体很不错，硬件和软件都好，应该有希望能保持这个价格，否则就超过公司预算不能住了以后，呵呵。。。', '短评打分': 5}
{'短评内容': '＋电梯和写字楼的在一块，感觉很奇怪。临马路一侧比较吵，大车很多。', '短评打分': 3}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '酒店的豪华标间经过装修之后，明显提升了一个档次。但早餐还是没有改变，对于这个价位及星级确实不太相符！建议改进！', '短评打分': 5}
{'短评内容': '饭店总体感觉不错，应该说是性价比很高的。就是饭店现在还没暖气，晚上睡觉房间有点冷感冒了。房间消费除了烟非常贵以外，其他的东西挺便宜的。', '短评打分': 5}
{'短评内容': '硬件设备和环境名不符实。四星级宾馆必备的也是最基础的，如：纸巾、小毛巾没有，纸袋没有，楼道破旧墙皮脱掉…很遗憾！', '短评打分': 3}
{'短评内容': '交通便利,房间舒适, 服务好，性价比极高，很值得推荐', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友比较满意，下次还会入住，位置在市区，就餐很方便', '短评打分': 5}
{'短评内容': '挺好的.挺好的.挺好的.挺好的.挺好的.挺好的.挺好的.挺好的.挺好的.', '短评打分': 5}
{'短评内容': '酒店环境还不错，服务也可以，但早餐好像没有以前好了，下次出差还会住美丽华大酒店。', '短评打分': 5}
{'短评内容': '交通便利房间舒适服务热情性价比极高，值得推荐', '短评打分': 5}
{'短评内容': '非常不错的一个酒店，那个自助餐真是没话说了，相当好，早餐也很丰盛，可以说是超值的一个酒店', '短评打分': 5}
{'短评内容': '挺好的！', '短评打分': 3}
{'短评内容': '办理入住的时候用时比较长，其他方面都不错，以后还会入住。', '短评打分': 5}
{'短评内容': '房间号628，612', '短评打分': 3}
{'短评内容': '干净卫生 服务热情 希望能增多几间带电脑的房间 ', '短评打分': 5}
{'短评内容': '地理位置好，环境不错，设施不错，服务也不错，价格也不错。', '短评打分': 5}
{'短评内容': '交通便利 服务热情 希望能增多几间电脑房', '短评打分': 5}
{'短评内容': '感觉不错，服务也很周到，下次应该还会入住', '短评打分': 5}
{'短评内容': '普通标间隔音太差，很早隔壁洗澡很吵，前台服务员有的很不错，有的却不敢恭维。', '短评打分': 1}
{'短评内容': '干净卫生 服务热情 希望多增加几间电脑房', '短评打分': 5}
{'短评内容': '干净卫生 服务热情 希望能增加一些带电脑的房间', '短评打分': 5}
{'短评内容': '新装修的部分房间,整体很好,服务也不错!', '短评打分': 3}
{'短评内容': '服务不错，硬件也较好，地理位置还可以，推荐！', '短评打分': 5}
{'短评内容': '干净卫生 交通便利 服务热情 下次还住这里', '短评打分': 5}
{'短评内容': '服务不错，房间一般，价位比较合适，交通便利。', '短评打分': 5}
{'短评内容': '酒店位置不错，房间干净，价格也合理，下次还会再入住！', '短评打分': 5}
{'短评内容': '干净卫生 交通便利 服务热情 希望能增加几间电脑房', '短评打分': 5}
{'短评内容': '干净卫生 交通方便 服务热情 房间稍小一些 ', '短评打分': 5}
{'短评内容': ' 酒店不错，各方面行', '短评打分': 3}
{'短评内容': '位置比较好 价格适中 值得推荐 环境不错 不错', '短评打分': 5}
{'短评内容': '地理位置不错 酒店性价比很好 值得推荐 凑凑字数', '短评打分': 5}
{'短评内容': '性价比不错  酒店设施略差 可以入住 凑个字数 再说几句', '短评打分': 5}
{'短评内容': '酒店环境不错 酒店服务人员态度非常好 酒店周围还有大商场 很不错', '短评打分': 5}
{'短评内容': '一般吧,同事住了,回头还埋怨我.......', '短评打分': 1}
{'短评内容': '价格将合理，服务比较出色，酒店环境与硬件都比较不错！', '短评打分': 5}
{'短评内容': '已经入住多次，交通便利，环境不错，房间设施齐全，酒店就餐很方便。', '短评打分': 5}
{'短评内容': '挺好的 很舒适 ,各方面条件 不错,就是 咖啡厅不是 很好,需要 到很远 去喝咖啡', '短评打分': 5}
{'短评内容': '价格适中，服务一般，早餐可以，房间一般。', '短评打分': 5}
{'短评内容': '有事没住成抱歉!', '短评打分': 3}
{'短评内容': '房间很干净，服务态度好，总体感觉不错。就是我这次订的单人间，房间有些小。', '短评打分': 5}
{'短评内容': '住的还算舒服，早餐品种稍微有些单一，酒店位置方便没的说，周围吃饭什么的也算ok', '短评打分': 5}
{'短评内容': '住了很多次了，很好。很方便。很干净，非常便宜。', '短评打分': 5}
{'短评内容': '位置不错，很近市中心饮食购物点。房间布置优雅大方，整齐干净。\n客房服务非常好，一打电话就马上有人来处理。我在工作人员帮我处理完一件事后，请她们早上九点我出去办事时派人来帮忙处理浴室下水的问题，她请我差不多出门的时候打电话到管家服务中心去要求，但是我出门的时候忘了，晚上回来看到字条说已经帮我修理好了。\n但是一楼的咖啡厅服务很糟糕，东西很难吃。第一天晚上由于八点多才到石家庄，所以在咖啡厅吃批萨自助，东', '短评打分': 5}
{'短评内容': '很满意，下次起石家庄还是住哪里...............................................................................', '短评打分': 5}
{'短评内容': '酒店很好！！！！！！！！！！！！！！！！！！！！！非常满意。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店环境不错，价格适中。就是外面挨着华药 空气味道不好 不敢开房间窗户 其他都很好', '短评打分': 3}
{'短评内容': '房间不大，没有我想要的浴盆，但这家酒店的中餐厅我很满意，菜味相当不错，下次还会去品尝，酒店就不打算住了！', '短评打分': 5}
{'短评内容': '干净整洁，态度良好，地理位置优越，赶上有会议，就是前台女服务员办理速度慢了些。办理续住居然用了半个小时，总的来说还是可以的', '短评打分': 5}
{'短评内容': '石家庄美丽华大酒店服务好,但设施远不及四星级标准。', '短评打分': 3}
{'短评内容': '性价比不错，我的衣服纽扣掉了，服务中心还帮我缝上了。\n早餐连着3天都是同样的菜，这点很让人无语。。。', '短评打分': 5}
{'短评内容': '酒店还是蛮好的,地理位置很好,交通很方便,另外,酒店免费的早餐,还是很不错的,品种较多.以后还会考虑住在这里的.', '短评打分': 5}
{'短评内容': '环境非常好，地段非常好，服务非常好。环境非常好，地段非常好，服务非常好。环境非常好，地段非常好，服务非常好。', '短评打分': 5}
{'短评内容': '这次定到了套间，非常满意，地段也很好。这次定到了套间，非常满意，地段也很好。这次定到了套间，非常满意，地段也很好。', '短评打分': 5}
{'短评内容': '这次定到了套间，非常满意，地段也很好。这次定到了套间，非常满意，地段也很好。这次定到了套间，非常满意，地段也很好。', '短评打分': 5}
{'短评内容': '这次订的是单人间，房间有些小。房间设施比较完善，服务员服务态度好。还有专人进行回访。总体感觉不错。特别是入住的第二天下雨，大厅有专人为带雨伞的客人发放雨伞袋，挺人性化的。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '设施陈旧，是原来华北制药的酒店改制而来，虽然是四星级，但是设施硬件都无法达标，而且离华药近，周围都充满着一股药味，空气质量非常不好，但是服务还不错。最有戏剧性的就是由于一开始不知道石家庄的水质比较差，所以宾馆房间烧的水泡茶泡出来一层油垢，很脏，所以没法直接饮用，结果要求服务员送矿泉水，主管不同意，最后还是副总出的面才解决。', '短评打分': 1}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '酒店挺新的，服务态度也不错。房间也挺大的', '短评打分': 5}
{'短评内容': '服务较好', '短评打分': 3}
{'短评内容': '接待人员态度很好,环境不错。', '短评打分': 3}
{'短评内容': '是一家性价比很高的酒店，但是餐厅的菜品品种单一，每天都是一样的，这点感觉有些失望，其他方面都还挺不错的，推荐！尝试过别的酒店，不过发现还是他的性价比较高，所以每次来石，美丽华都是我的选择。', '短评打分': 5}
{'短评内容': '交通还算方便，房间整理得也很干净，本店的餐饮比较实惠。', '短评打分': 5}
{'短评内容': '不错，交通方便，早餐也很好，可惜房间小了点；\n出差住宿，对付个睡觉吧，价格适中。', '短评打分': 5}
{'短评内容': '位置好、交通便利，环境舒适，值得推荐！!', '短评打分': 5}
{'短评内容': '几个稍微贵了一点，不过条件和环境确实不错，有机会还要住', '短评打分': 5}
{'短评内容': '性价比非常高，推荐入住！地理位置也很好，打车相对容易', '短评打分': 5}
{'短评内容': '午餐每天的重复率太高，几乎是一样的。愿商家变变样式。其他都挺好', '短评打分': 5}
{'短评内容': '环境不错，单人间虽小也够用，早餐质量挺好，可以做回头客。', '短评打分': 5}
{'短评内容': '不错，服务很好，精品商务房尤其好，设施完善，特别干净。', '短评打分': 5}
{'短评内容': '酒店还行，但是退房人很多。。。要排队。。。房间倒是挺干净的', '短评打分': 5}
{'短评内容': '基本上还不错，早餐没吃过，别的没啥，电梯有时候比较难等，清理房间老会把我的别的电卡拿走，还得自己要回来', '短评打分': 5}
{'短评内容': '酒店设施还不错，也很干净。早餐也还不错的，就是房间消费有点贵。总体还可以', '短评打分': 5}
{'短评内容': '美丽华不错啊，房间很清爽，和很大，性价比很高，周边生活也挺方便', '短评打分': 5}
{'短评内容': '位置不错，就是房间小了点，不过这样的价格已经是不错', '短评打分': 5}
{'短评内容': '酒店地理位置不错\n酒店里的早餐也不错\n客房的服务满意', '短评打分': 5}
{'短评内容': '位置方便,环境幽雅,是出差居住的好去处.', '短评打分': 5}
{'短评内容': '单间和标间差距还真大啊，上次住的感觉还挺好，这次正碰上开会，早餐人叫一个多啊。', '短评打分': 5}
{'短评内容': '干净、卫生、服务态度不错、地理位置方便、', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '四星酒店，装修有些老不像是09年装修，房间设施一般，电视机尤其廉价不够档次，不过相对于不到300元房价来说还是有较高性价比的。', '短评打分': 3}
{'短评内容': '美丽华酒店服务不错', '短评打分': 3}
{'短评内容': '酒店真的很不错，性价比高，我帮朋友订的，很满意，下次还会入住', '短评打分': 5}
{'短评内容': '条件还可以，服务也不错，干净卫生，就是设施有点旧，房子太小。', '短评打分': 5}
{'短评内容': '我觉得早餐可以，但房间的感觉过于陈旧，浴室也太小，服务还是不错的…只是位置有一点点偏，基本上我不是很推荐商务旅客，休闲旅客应该可以，我是订套间，我觉得应该再便宜15%-20%较为合理，才会推荐', '短评打分': 1}
{'短评内容': '不错,性价比很高, 房间也不错.住过好几次了.', '短评打分': 5}
{'短评内容': '住宿环境还不错，服务也到位，早餐丰盛，会推荐朋友住。', '短评打分': 5}
{'短评内容': ',很好', '短评打分': 3}
{'短评内容': '酒店位置和房间都不错，只是和写字间混用电梯，感觉不是很安全。建议酒店使用专门电梯和楼层。', '短评打分': 5}
{'短评内容': ' 还不错，就是房间小点', '短评打分': 3}
{'短评内容': '每次国外客人来石家庄，都安排入住此酒店。软硬件设施都不错，很受客人好评。', '短评打分': 5}
{'短评内容': '客人入住非常满意，符合四星级的服务标准。值得推荐！', '短评打分': 5}
{'短评内容': '房间设施不错，价格也算合理，早餐丰盛，交通也方便，要提一点服务还不错哦。', '短评打分': 5}
{'短评内容': '性价比很高，就是石家庄城市空气中弥漫一股药味', '短评打分': 5}
{'短评内容': '不错，下次还住', '短评打分': 3}
{'短评内容': '挺好的！挺好的！挺好的！挺好的！挺好的！', '短评打分': 5}
{'短评内容': '地段不错，旁边吃饭也很方便，下次去还会住这', '短评打分': 5}
{'短评内容': '洒店尚可', '短评打分': 3}
{'短评内容': '别的都还不错，就是注意如果想上网的话需要提前和前台说好，因为需要申请一个验证码，相对麻烦一些', '短评打分': 5}
{'短评内容': '酒店前台服务很好，早餐很好，房间比较新，隔音一般', '短评打分': 5}
{'短评内容': '酒店床不错，隔音一般，房间采光不错，空调很好', '短评打分': 5}
{'短评内容': '很好，房间很干净，服务很好，酒店环保意识很强，早餐一般', '短评打分': 5}
{'短评内容': '酒店环境不错，细节上待改进。入住房间居然有烟味', '短评打分': 3}
{'短评内容': '酒店不错，就是位置太靠近华北制药了，因此空气中有很重的味道，但房间里很好', '短评打分': 5}
{'短评内容': '房间小了点，不过早餐还行..........', '短评打分': 5}
{'短评内容': '酒店不错，性价比高，唯一的缺点是靠近华药，空气中有味道', '短评打分': 5}
{'短评内容': '酒店外观大气,交通便利,内部干净卫生,服务态度热情', '短评打分': 5}
{'短评内容': '还不错，就是性价比一般。离药厂很近，老远就闻着一股药味', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '交通方便，星级标准，干净卫生，服务良好，就是有点热', '短评打分': 5}
{'短评内容': '酒店环境不错。性价比有优势。', '短评打分': 3}
{'短评内容': '位置来说，还是可以。距离省博物馆比较近，打车5分钟。房间干净，温馨。早餐也不错下次再来。', '短评打分': 5}
{'短评内容': '感觉还不错，房间很干净。因为临时装修，前台会提前和你打招呼。。。', '短评打分': 5}
{'短评内容': '环境不错，服务很好，自助餐做的也不错！继续努力', '短评打分': 5}
{'短评内容': '谢谢＇', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '宾馆所在的体育北大街对面是制药厂，我和同事住的的都是东向的房间，每天弥漫着一股氨水的臭味，我们住了3个精致单人间，应该说房间内部硬件设施尚可，但是9-10层在装修，说是早上9点到下午3点会偶尔有噪音，但是我发现一直到晚上7点都有榔头敲打和冲击钻的噪音，打了3个电话过去投诉才给我换房，但是换的房间明显设施陈旧，浴室里的玻璃门居然都缺失。后来实在忍受不了，只能换到国际大厦去了，不过酒店工作人员态度还是', '短评打分': 1}
{'短评内容': '很不错，软硬件条件都很满意，出差办事，性价比很不错的酒店。', '短评打分': 5}
{'短评内容': '当天给国外客户预定的酒店。当送客人入住的时候，前台竟然让我爱人给客人解释说临时停水的问题。为什么不主动告诉客人呢？难道当天夜里前台值班人员不懂英文吗？我觉得4星级酒店不应该出现这种情况。\n不过客人后来跟我说酒店当晚住宿还不错。\n下次还会给客人预定此酒店，但前台服务希望能专业点。', '短评打分': 5}
{'短评内容': '出行方便，比较不错, 值得下次入住！！！！！！！！', '短评打分': 5}
{'短评内容': '出行方便，比较不错, 值得下次入住!!!!!!', '短评打分': 5}
{'短评内容': '宾馆不错很干净，前台服务也很好，早饭很丰盛，下回还会入住。', '短评打分': 3}
{'短评内容': '石家庄美丽华大酒店服务热情，硬件设施齐全。', '短评打分': 5}
{'短评内容': '酒店房间隔音非常好，房间也很宽敞，装修很不错，我入住的是舒适套间，酒店服务得也相当好，入住还每天都送了水果，觉得性价比都合适，不愧是四星级的酒店，楼下二楼的餐厅也相当不错，我蛮喜欢吃那里的麻婆豆腐的，嘻嘻~~美中不足的就是宽带比较慢，打开个网页老半天都打不开，QQ还经常掉线，希望酒店以后改善。酒店周边也有很多特色的餐饮，离大型超市北国先天下也比较近，打车也就是起步价5元，离长安公园也比较近，我觉得', '短评打分': 5}
{'短评内容': '真是太差了!快到51了,还不开空调,晚上又停水!!', '短评打分': 3}
{'短评内容': '房间够大，管理也蛮好，一楼的自助餐口味很好，吃住都满意。', '短评打分': 5}
{'短评内容': '酒店位置尚可，前台小姐态度非常好，精致的单间劝大家就不要住了，呵呵呵 ，太小！建议换260一间的标间！房间卫生非常好，澡水很冲！下次还可以考虑入住。一楼的自助餐58一位，非常超值！', '短评打分': 5}
{'短评内容': '\n环境温馨，服务周到。就是房间小了点。我下次还会去住，但价格是可以的', '短评打分': 5}
{'短评内容': ' 环境干净整洁，就是这次住的10层的房间隔音效果太差，隔壁说话声声入耳，需要改善。整体性价比很高。', '短评打分': 3}
{'短评内容': '干净整洁，性价比高。\n但隔音效果较差，商务大间浴巾及洗漱用品只配一套，似不合理。', '短评打分': 5}
{'短评内容': ' 单人间环境不错，网速超快。整体性价比很高', '短评打分': 3}
{'短评内容': '河北的地方能有这样的酒店设施和服务，真不错的说。这家不错，温馨体贴。', '短评打分': 5}
{'短评内容': '性价比很一般，不推荐', '短评打分': 3}
{'短评内容': '酒店整体感觉还是不错的，服务也还可以，下次还来，也会向朋友推荐的。\n希望作为4星的酒店，应该免费提供客户一定的矿泉水', '短评打分': 5}
{'短评内容': '入住的酒店精选单人房，搭车从高速石家庄出口下车，转乘的士十三块钱到酒店，入住手续很快捷，大约不到两分钟就办妥了。房间总体来说不错，麻雀虽小五脏俱全；酒店客房部负责人的咨询电话倒是给我一个惊喜，听着对方很诚恳地问候和征求意见，有点意外。\n床铺软硬适度，布草也还不错，网线速度超快，免费早餐的品种虽然稍显简单，但是也算可以了，总体来讲，性价比是可以的，以后再来，有可能的话会再来住。\n能看到的美中不足，浴', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '单纯从酒店设施来说没有太大的吸引力，房间比较小，酒店用餐也比较贵，但是我是6点结账，赶飞机，前一天晚上向酒店前台提出是否可以另外准备一些早饭，因为开早餐要到7点半，没有时间吃，对方帮我准备了鸡蛋和牛奶还是热的，真的很温馨，大力推荐。\n', '短评打分': 5}
{'短评内容': '超好的信价比', '短评打分': 3}
{'短评内容': '服务比较好，早餐也很丰富，但前台的效率有点低，check in/out 太慢了，有待提高效率。', '短评打分': 5}
{'短评内容': '4星的，性价比很不错,也是我公司的协议酒店。', '短评打分': 5}
{'短评内容': '我定的是300多的商务间，床很大，软硬适中，房间的设施也比较新。总的来说比较满意。唯一有点意见的是，我去过很多四星级五星级酒店，通常来客人时我会多要几瓶免费的水，一般都是不收费的（按理说是不限量的），但这里收了，虽然不贵，但还是略有不爽', '短评打分': 5}
