{'descr': '每次都是就近住宿了，早班飞机伤不起，不过还可以', 'star': 3}
{'descr': '1、距离机场仅价格高就不说了，但是也要有相对的服务啊。\n2、设施简陋。\n3、连免费的矿水都没有。', 'star': 1}
{'descr': '紧靠机场，地理位置优越，服务态度超好，价钱还不贵\n说好早上送机，结果车坏了，还掏钱帮我们打车，\n房间非常干净，以后坐飞机还来这里，', 'star': 5}
{'descr': '酒店距离机场很近，但附近没有配套设施，尤其出行非常不便，价格较贵，服务一般。', 'star': 1}
{'descr': '服务可以，价格稍贵，标间不突破300元，还是可以接受的。', 'star': 5}
{'descr': '为了第二天8点的航班预订了这家酒店，感觉不错。有免费早餐，房间干净，也安静。还可以送站。虽然自己步行去航站楼也不远，但是有车送还是比较方便。', 'star': 5}
{'descr': ' 房间还行 服务也不错', 'star': 3}
{'descr': '性价比非常好的酒店，飞机前往的首选。wifi 质量有待提高一下，总体还是很值得推荐的。', 'star': 5}
{'descr': '1 酒店正在装修，早晨7:30开始就吵的睡不着！\n2 离店时工作人员告知根本不参加“返21元”活动，感觉被忽悠了！\n3 设施一般，连免费的矿泉水也没有！', 'star': 1}
{'descr': '由于赶飞机选择了这家酒店。房间设施还算不错，服务周到热情。', 'star': 1}
{'descr': '1 涨价了，价格太高\n2 早餐不美味\n3 酒店与机场被围篱隔开，出入都需要绕远，才能到机场候机。 且酒店院内不易看到TAXI.', 'star': 1}
{'descr': '整體上, 房間的衛生不錯. 酒店距離機場很近, 是乘坐夜機的旅客的最佳選擇. ', 'star': 5}
{'descr': '不错，值得推荐', 'star': 3}
{'descr': '送机服务根本没有到位。前一晚上已经跟前台说明早上要送机场，结果早上退房后，前台的一句请稍等，等了半个小时都没有人送去机场，酒店门口又没有出租车，令到客人要自己拿着行李步行穿过机场大道去到候机楼~简直是坑爹！住这样的酒店真的伤不起！下次免费都不住！', 'star': 1}
{'descr': '到航站楼很方便，走路5分钟；\n早餐比较差，种类非常少；\n卫生间有点小，没有干发设备（标间）。', 'star': 5}
{'descr': '会选择这个主要是因为离机场近的，大致情况不是很清楚，帮同事顶的，但是看到住客评分不是很高啊', 'star': 5}
{'descr': '很好的酒店，就是隔音差些。下次还来住', 'star': 3}
{'descr': '很好的酒店，就是隔音差些。下次还来住', 'star': 3}
{'descr': '酒店就在机场附近，也非常安静，且有送餐和送机服务，挺好的，里面的设施也不错，价住虽高了点但是要赶早机的话确实挺方便的。酒店房内的枕头太高了，房间虽好可枕头不适用，同伴一晚都没有睡好不免非常遗憾，建议酒店立即要处理这个细节问题。', 'star': 5}
{'descr': '酒店就在机场附近，也非常安静，且有送餐和送机服务，挺好的，里面的设施也不错，价住虽高了点但是要赶早机的话确实挺方便的。酒店房内的枕头太高了，房间虽好可枕头不适用，同伴一晚都没有睡好不免非常遗憾，建议酒店立即要处理这个细节问题。', 'star': 5}
{'descr': '酒店的服务、外观、设施都不错，非常满意，交通也很方便。就是早餐太单一了，住了四天，吃了四天同样的早餐。我下次再来太原还住这里，希望能看到酒店的改变。', 'star': 5}
{'descr': '酒店的服务、外观、设施都不错，非常满意，交通也很方便。就是早餐太单一了，住了四天，吃了四天同样的早餐。我下次再来太原还住这里，希望能看到酒店的改变。', 'star': 5}
{'descr': '酒店还不错，交通比较便利，酒店的餐饮业貌似不错，值得入住，会向同事推荐入住，一般出差在外 ，会有机会再次入住的。', 'star': 5}
{'descr': '酒店还不错，交通比较便利，酒店的餐饮业貌似不错，值得入住，会向同事推荐入住，一般出差在外 ，会有机会再次入住的。', 'star': 5}
{'descr': '酒店还不错，交通比较便利，酒店的餐饮业貌似不错，值得入住，会向同事推荐入住，一般出差在外 ，会有机会再次入住的。\n', 'star': 5}
{'descr': '酒店还不错，交通比较便利，酒店的餐饮业貌似不错，值得入住，会向同事推荐入住，一般出差在外 ，会有机会再次入住的。\n', 'star': 5}
{'descr': '饮食时间太晚，品质也不好，也没有提供免费小吃零食\n\n房价偏贵\n\n地点距离机场很近\n\n网线接口有故障，没有及时维修，不能使用。\n\n拖鞋不太好，衬垫容易滑脱\n\n没有凉出汗衣服的阳台', 'star': 1}
{'descr': '饮食时间太晚，品质也不好，也没有提供免费小吃零食\n\n房价偏贵\n\n地点距离机场很近\n\n网线接口有故障，没有及时维修，不能使用。\n\n拖鞋不太好，衬垫容易滑脱\n\n没有凉出汗衣服的阳台', 'star': 1}
{'descr': '位置好。方便早班飞机起飞。\n\n房价过高。但是，设施一般。早餐不如一般快捷酒店，早班飞机的早餐时间难以赶上。', 'star': 1}
{'descr': '位置好。方便早班飞机起飞。\n\n房价过高。但是，设施一般。早餐不如一般快捷酒店，早班飞机的早餐时间难以赶上。', 'star': 1}
{'descr': '位置方便搭机。\n\n早餐不如“莫泰168”快捷酒店；周围小吃店很远', 'star': 1}
{'descr': '位置方便搭机。\n\n早餐不如“莫泰168”快捷酒店；周围小吃店很远', 'star': 1}
{'descr': '网上显示在机场候机楼旁，其实在对面，现在修路，被太原黑的宰了，不爽。住的环境吵，有狗叫。房间像新装修的，有味儿。酒店东西蛮干净，服务员爱理不理。早餐实在差，稀饭碗只能喝一口就没有了。非自助餐，包子都凉的，不会再住！', 'star': 1}
{'descr': '网上显示在机场候机楼旁，其实在对面，现在修路，被太原黑的宰了，不爽。住的环境吵，有狗叫。房间像新装修的，有味儿。酒店东西蛮干净，服务员爱理不理。早餐实在差，稀饭碗只能喝一口就没有了。非自助餐，包子都凉的，不会再住！', 'star': 1}
{'descr': '居住的环境还是可以的，下次去山西还会继续去该酒店。', 'star': 5}
{'descr': '居住的环境还是可以的，下次去山西还会继续去该酒店。', 'star': 5}
{'descr': '酒店刚装修完气味剌鼻熏眼睛，床单还没给换', 'star': 3}
{'descr': '酒店刚装修完气味剌鼻熏眼睛，床单还没给换', 'star': 3}
{'descr': '看上去还不错，但好像是刚装修的，味道特别大。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '看上去还不错，但好像是刚装修的，味道特别大。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '离航站楼很近。\n酒店是新的。\n服务很好，特别是TINA的女孩子，在航站楼接我们的外宾客户，晚点2个小时，一直在等，非常感谢。\n', 'star': 5}
{'descr': '离航站楼很近。\n酒店是新的。\n服务很好，特别是TINA的女孩子，在航站楼接我们的外宾客户，晚点2个小时，一直在等，非常感谢。\n', 'star': 5}
{'descr': '酒店还不错', 'star': 3}
{'descr': '酒店还不错', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '一般', 'star': 3}
