{'短评内容': '装饰过于古典，不过景色很好，交通方便，环境安静。', '短评打分': 3}
{'短评内容': '江景房很漂亮', '短评打分': 3}
{'短评内容': '酒店设施陈旧,卫生环境条件较差,下次不会再入住!', '短评打分': 1}
{'短评内容': '还不错，各项设施都是中等，就是前台的态度差点。', '短评打分': 1}
{'短评内容': '听总台说这是个国营单位，服务态度很生硬，房间就像是个空间很大的招待所，屋内的除了有地毯可以说没有其他装修，家居就像解放前的装备，改革开放30年了还能有这样的酒店，难以置信。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '该店服务很好，设施也很完备。很适合商务外出住宿。', '短评打分': 5}
{'短评内容': '客房极差，我住的是最贵的房，电视变色，地毯很脏，中央空调定时开启。', '短评打分': 1}
{'短评内容': '服务态度差，订的套房进去一看装修老的掉牙，估计解放前的装修。空调到晚上就给关了，交涉也不给解决。打死以后不住此店!', '短评打分': 3}
{'短评内容': '建议改造双层玻璃为中空玻璃，临江风景会更好。希望早餐时刻，服务员能及时清理饭桌。', '短评打分': 5}
{'短评内容': '酒店设施太旧，性价比不高，下次不会住了。', '短评打分': 3}
{'短评内容': '酒店临江 江景房 夜晚降临 华灯初放 松花江边 景灯与车灯 辉映成趣 美不胜收 乐不思蜀\n交通便利 打车方便 公交也很多 四通八达 紧邻商业区 购物方便 北山公园 据此很近   江南公园  隔江相望 便于游玩 \n早餐丰盛 服务到位 \n若洗浴设施先进一些 就更好了', '短评打分': 5}
{'短评内容': '给领导订的房间，被骂了，说没有热水，吉林这么冷没有热水洗澡。。。', '短评打分': 1}
{'短评内容': '酒店空间很大，很气派，但是卫生间的设施很粗糙', '短评打分': 1}
{'短评内容': '酒店设施非常陈旧，服务很差，电话不通也不来修。', '短评打分': 1}
{'短评内容': '便宜，地理位置也不错，就是酒店装修有点老，显得不是很清爽', '短评打分': 5}
{'短评内容': '老牌的星级酒店，自助火锅很有特色', '短评打分': 3}
{'短评内容': '还算可以吧 位置很好观景不错 就是装修太旧 早餐挺好', '短评打分': 5}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '卫生不好，卫生间味道太大，地毯非常脏，下回不会再住。', '短评打分': 1}
{'短评内容': '饭店地理位置很好，靠在江边，早上在江边散步心情很好。但饭店设施较旧。住了2天，没有人来清扫卫生，感觉不好。', '短评打分': 1}
{'短评内容': '老饭店，位置不错，设施旧，晚上居然定时关空调。', '短评打分': 1}
{'短评内容': '垃圾酒店，沒有空調，食物難食', '短评打分': 1}
{'短评内容': '位于江边，早晨起床后可以看看退役的大炮展，挺好；另夜晚看江边夜景也挺美，惬意！', '短评打分': 5}
{'短评内容': '非常好非常好非常好非常好非常好非常好', '短评打分': 3}
{'短评内容': '滚滚大江东逝水，浪花淘尽英雄！！！！', '短评打分': 5}
{'短评内容': '位置靠江，但是房间设备老旧，不推荐。', '短评打分': 1}
{'短评内容': '春节期间订的有江景的双人间。设备比较陈旧，地毯看上去不干净。窗户好像是双层的，可惜有水汽阻碍，江景房徒有虚名啊。位置靠近江畔和吉林大桥，天津街也挺热闹，但离开其他的中心地段就比较远了。', '短评打分': 1}
{'短评内容': '挺不错的', '短评打分': 3}
{'短评内容': '帮同事定的，反馈不错', '短评打分': 5}
{'短评内容': '酒店在江边,江景很美.楼下的自助火锅较贵.', '短评打分': 5}
{'短评内容': '很一般的酒店，价格偏高了。', '短评打分': 1}
{'短评内容': '住宿一般，家具太旧，伙食还可以，就是一小碗素面就要8元，太贵了。', '短评打分': 5}
{'短评内容': '靠近风景秀丽的松花江。\r\n非常好。\r\n交通极其方便。', '短评打分': 5}
{'短评内容': '酒店的位置很好在江边环境设施也很好.', '短评打分': 5}
{'短评内容': '酒店很的环境、设施很一般，位置也不是很明显，不是很好找', '短评打分': 5}
{'短评内容': '应该是全自助酒店，就没有服务可言！这是一个性价比超低的地方,破旧的设施，低劣的服务&#183;&#183;&#183;', '短评打分': 3}
{'短评内容': '\u3000\u3000酒店的位置真的很不错，晚上的时候可以在房间里欣赏到吉林江景，很美。&lt;br /&gt;\n\u3000\u3000但是酒店的服务基本是自助式的，没有人管你，而且卫生间的水压有一点低，不是很爽。酒店在江边，所以整个酒店里都有一点霉味，但是可以接受。但是中央空调的味道就不能接受了，霉味太大。&lt;br /&gt;\n\u3000\u3000酒店自助早餐的量比较有限，所以去晚了就没有什么好东西留下了。', '短评打分': 3}
{'短评内容': '我是07年春节去的，住的江景房，16楼。可以望到松花江，很不错。可惜天气太暖和没有看到雾凇。房间很大，但设施有点旧，沐浴的喷头水压小不太爽。可以上网，速度还可以。&lt;br /&gt;\n&lt;br /&gt;\n早餐还不错，可以看到江景，种类多，粥很好喝，我喜爱他们的紫米粥和烤地瓜：）&lt;br /&gt;\n&lt;br /&gt;\n神州是吉林比较好的酒店了，性价比不错。隔不远就是热闹的解放东', '短评打分': 3}
{'短评内容': '春节带老爸老妈去的吉林，住神州两个晚上，酒店设施很陈旧，楼道里味道很不好，服务较差，打扫卫生的都是东北阿姨，没有受过任何训练，但房间很暖和，毛巾床单还比较干净。', '短评打分': 3}
{'短评内容': '春节带老爸老妈去的吉林，住神州两个晚上，酒店设施很陈旧，楼道里味道很不好，服务较差，打扫卫生的都是东北阿姨，没有受过任何训练，但房间很暖和，毛巾床单还比较干净。', '短评打分': 3}
{'短评内容': '除了酒店外周围天然环境好，服务员态度还过得去外，其他都很一般。江景房住了15层，房间装修陈旧，墙壁变黄，壁纸有不少地方裂开，起皮，仿佛来到某些旅游景点周围那些骗人的低档旅店的感觉。尤其让我不能接受的是，酒店门口的停车位居然对酒店住宿的客人都收费。全国各地三星级以上酒店我住过那么多，头一次遇到过。', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;我住的是江景家庭房, 18楼, 感觉很好, 夜晚俯视松花江, 很美.第一晚前台的服务不怎么样， 第2天还不错. 一楼商务中心的小姐服务态度非常好, 很热情. 下次去还住这个.&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '上周刚刚住过这家酒店，房间很大很干净很明亮，采光很好，我住在17楼，俯瞰松花江很美丽，周围也有几家不错的餐厅，都是那里的服务员给我介绍的，他们服务态度很好，很热情。傍晚还可以透过窗子看日落。早餐也很丰盛。', '短评打分': 3}
