{'短评内容': '房间很干净，停车方便。', '短评打分': 5}
{'短评内容': '房间在后面楼上很安静.............................................', '短评打分': 5}
{'短评内容': '房间有点小，貌似没有18平方，其他还不错，位置也比较好', '短评打分': 5}
{'短评内容': '地理位置合适，房间还可以，就是有点小了。', '短评打分': 1}
{'短评内容': '地理位置不错，服务态度也好，手机不能拍照，总体还是很好的', '短评打分': 3}
{'短评内容': '这家如家的服务不错，房间设置挺好，适合去火车站或者汽车站入住', '短评打分': 5}
{'短评内容': '＋房间布置简结明快', '短评打分': 3}
{'短评内容': '还不错，价格不贵，卫生还可以，服务态度也还行。', '短评打分': 5}
{'短评内容': '地方稍微偏一点，不过够安静，卫生和早餐都还不错。推荐！', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店较商业区比较偏，不过到兵马俑和世园交通还算方便。酒店卫生，一如如家品质\n', '短评打分': 5}
{'短评内容': '干净整洁，色彩温馨，用品齐全，安全安静，不错不错', '短评打分': 5}
{'短评内容': '酒店较商业区还是比较偏，不过交通还算方便。总共住了四天，问总台要了三次灭蚊片！', '短评打分': 5}
{'短评内容': '巳成功入住', '短评打分': 3}
{'短评内容': '一如既往的保持着如家干净便捷的优势......', '短评打分': 5}
{'短评内容': '一如既往的保持着如家干净便捷的优势......\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '整体感觉很不错，感觉蛮温馨的，不过就是酒店里面没有吹风机，有些不太方便', '短评打分': 5}
{'短评内容': '服务态度较好，服务设施也不错，总之还好吧！要是配备电脑就更好了！', '短评打分': 5}
{'短评内容': '除了隔音差点外 其他都挺好 房间挺干净 服务也不错', '短评打分': 5}
{'短评内容': '已经是第二次入住了，整体感觉还不错，再来西安就长住此地了', '短评打分': 5}
{'短评内容': '第一次住在如家快捷酒店，价格相对合理，给人感觉还不错', '短评打分': 3}
{'短评内容': '第一次在网上住如家快捷酒店，整体感觉还不错', '短评打分': 3}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '服务好干净方便', '短评打分': 5}
{'短评内容': '很好，', '短评打分': 5}
{'短评内容': '很舒适,也很安静。', '短评打分': 5}
{'短评内容': '这位置办事方便，就是打车麻烦。', '短评打分': 5}
{'短评内容': '前不久出差住过，床挺舒房的，隔音也挺好，关键是服务人员很热情，恩，不错', '短评打分': 5}
{'短评内容': '环境还行，设施也不是太陈旧，态度一般，位置不是太好找离市区有点远出行也不是很方便，价格还行。', '短评打分': 1}
{'短评内容': '环境还行，设施也不是太陈旧，态度一般，位置不是太好找离市区有点远出行也不是很方便，价格还行。', '短评打分': 1}
{'短评内容': '在经济型酒店时里，房间算是比较大的，卫生很好，前台服务呀整体管理呀都不错', '短评打分': 5}
{'短评内容': '由于第二天要离开所以挑了这家，离火车站较近，很安静，能很好的休息。', '短评打分': 5}
{'短评内容': '前几天住的，房间很不错，蛮干净的，服务态度也很不错', '短评打分': 5}
{'短评内容': '房间不大，但是布置的挺简洁大方的，服务上也很细心很周，价格也比较合适。值得推荐。', '短评打分': 5}
{'短评内容': '住的房间很感觉很温馨，服务很热情，就是离市中心的稍有些距离', '短评打分': 5}
{'短评内容': '位置也算不错，旁边吃饭挺方面的，装修比较简洁，还能上网，这点很好。', '短评打分': 5}
{'短评内容': '价格有些高，当时入住时给我再次涨价了，位置还可以挺方便出行，其它方面一般.', '短评打分': 1}
{'短评内容': '附近有货运部 有点吵', '短评打分': 3}
{'短评内容': '酒店附近有货运部，有点吵', '短评打分': 5}
{'短评内容': '房间隔音效果特别差，可能有些房间的墙壁不是砖石结构的，晚上隔壁房间的说话声，冲噪声，甚至说话的内容都能听见，想要安静的可要注意了；然后纱窗有掉的，设施较差；服务不好，晚上因为噪音向前台说过，无果，因为噪音晚上没休息好，第二天投诉也是无果！', '短评打分': 1}
{'短评内容': '地理位置偏郊区的酒店，配置硬件设施舒适度也很达标，卫生服务算是比较不错的，但是位置实在是不怎么好，去哪里都不是很方便。不是强烈推荐。', '短评打分': 1}
{'短评内容': '环境干净卫生，服务一般，酒店是老式楼房改造的！', '短评打分': 3}
