{'短评内容': '价格便宜，离老国展近', '短评打分': 3}
{'短评内容': '这次培训，帮客户定的。酒店位置不错，对面有个超市，还算方便。就是酒店不提供早餐，这点希望以后改进！', '短评打分': 5}
{'短评内容': '位置好，老国展正对面，里面设施也比较干净，很安静。', '短评打分': 5}
{'短评内容': '面积大，有小冰箱感觉不错，宽带上网感觉比快捷酒店速度快。', '短评打分': 5}
{'短评内容': '环境很可以，条件一般化。主要是在国展旁边，比较近一点。', '短评打分': 5}
{'短评内容': '替同事预定的', '短评打分': 3}
{'短评内容': '老式的国营招待所，既干净又清静，性价比高。非常适合在老国展开展会时的住宿。', '短评打分': 3}
{'短评内容': '服务很好。', '短评打分': 3}
{'短评内容': '老宾馆，挺干净，挺卫生，服务还行，唯一不足就是早餐太远，夏天还行，冬天就很不方便了', '短评打分': 5}
{'短评内容': '给同事定的，具体不清楚，不过基本设施比较齐全，价格优惠', '短评打分': 5}
{'短评内容': '给朋友订的，具体不知道', '短评打分': 3}
{'短评内容': '给同事订的，应该还可以', '短评打分': 3}
{'短评内容': '房间很好,离国展很近.', '短评打分': 3}
{'短评内容': '方便，开展会的话来这家酒店很合适，价位合理，房间够大，周围吃饭很方便', '短评打分': 5}
{'短评内容': '很不错的酒店,地处繁华地带,价位还相当优惠,值得入住', '短评打分': 5}
{'短评内容': '交通便利,条件不错,价位合理,值得推荐,下次还会再入住', '短评打分': 5}
{'短评内容': '位置很好  就是暖气不足', '短评打分': 3}
{'短评内容': '这家店主要是适合参加展览会的朋友入驻，什么都一般，就是参加展览会方便。', '短评打分': 5}
{'短评内容': '非常好的宾馆', '短评打分': 3}
{'短评内容': '距离展览中心比较近，我们在此参加展会预定的，值得推荐', '短评打分': 5}
{'短评内容': '酒店设施比较旧了，电视很老的那种，没电脑不能上网', '短评打分': 1}
{'短评内容': '酒店的位置是参加展会的第一选择,非常方便.', '短评打分': 5}
{'短评内容': '国庆期间临时定下的，\r\n位置不错，环境也还可以。\r\n主要价钱在当时很合适', '短评打分': 3}
{'短评内容': '宾馆位置不错，条件也还可以', '短评打分': 5}
{'短评内容': '还不错，离国展比较近，旁边还有个家乐福，买东西很方便，价格也很公道！', '短评打分': 5}
{'短评内容': '房间不错,上网要收费', '短评打分': 5}
{'短评内容': '真的是非常方便，以后参加展览会都会住在这里，给人的感觉很温馨，并不一定非要奢华，高档次的装修，北京、上海很多宾馆要好好学习一下国展了，真的是非常整洁，大方，要是前台多笑笑就最完美了。', '短评打分': 5}
{'短评内容': '还不错，环境不错，地势也还行，买东西比较方便', '短评打分': 5}
{'短评内容': '空调不够凉，其他还不错', '短评打分': 5}
{'短评内容': '地理位置不错！但是房间设施较旧，上网麻烦还要单独收费，没有房间配备电脑的，电视很小很古董的那种，电视不好看也没法上网，不太方便', '短评打分': 1}
{'短评内容': '还不错~', '短评打分': 5}
{'短评内容': '地理位置不错，交通方便，房间也很干净，不足之处，中央空调温度有点高，屋子有点热。', '短评打分': 5}
{'短评内容': '没什么好说的,选择他实在是附近的酒店都住满了,又实在太晚了', '短评打分': 1}
{'短评内容': '房间很大里面也特别宽敞，而且价位的话我感觉在北京能住到这样的酒店也算是比较不错的了，酒店的位置还是挺好找的，特别是周围吃饭的话特别方便像肯德基、吉野家啊，特别方便特别干净，我是自己感觉对于像经常出差的人来说是比较方便的了，酒店的内部环境和里面的设施都挺好的，价格确实比较实惠，性价比是挺高的。我是特别满意。', '短评打分': 5}
{'短评内容': '因为参加展会,在国展宾馆就很方便,附近的饮食场所也很方便,省去了打车的麻烦.\r\n如果是展会原因,建议居住这家酒店.\r\n遗憾的是上网居然要另外加钱,10元一天,倒不是太贵,感觉会差了点!', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '为了参加国展的展会，定的这家酒店。首先是太便利了，就在国展的对面。酒店的设施让我有些惊喜，房间的壁纸和卫生间的瓷砖看起来像是新贴的。冬天有暖气，空调根本不用开，也非常暖和。总之比较满意，下次去国展，还会定。', '短评打分': 5}
{'短评内容': '前台太小了', '短评打分': 1}
{'短评内容': '位置和价格还可以，交通也方便，要是在附近参展，会议、商务的话，还是很不错的。', '短评打分': 5}
{'短评内容': '酒店挺干净的，硬件设施也还比较不错，离过很近，办事方便，价格也比较适中。', '短评打分': 3}
{'短评内容': '就是靠展览馆近', '短评打分': 1}
{'短评内容': '位置好，交通很方便，酒店内部的环境，服务也不错，价格也不是很贵', '短评打分': 5}
{'短评内容': 'As usual', '短评打分': 5}
