{'短评内容': '酒店位置非常好，离景区很近', '短评打分': 5}
{'短评内容': '位置也很不错啊，就在沈园旁边，很安静，类似于四合院那种。一百多一点的价格（大床房），能说什么呢？最低要求干净卫生肯定达到标准了。只住1天，所以服务也没有太多体会，只是对于外地的游客来说，不知道东西南北，所以用前后左右这样的方法是最好的。对于房间有一个严重的提议：要有挂衣服的地方，哪怕门后面也行，但至少要有；如果还能提供的话，就给我一个凳子最好（至少我住的房间没有凳子）。床垫。。哎~~~还是换一换吧', '短评打分': 5}
{'短评内容': '很不错的青年旅社，离主要景点非常近，游绍兴的好选择~', '短评打分': 5}
{'短评内容': '旅舍很安静，和沈园一墙之隔，离鲁迅故里也就5分钟的时间。唯一不足是这个床太软了，翻个身还发出咯吱咯吱的声音，哈哈，不过我特喜欢他家的小花园。。。', '短评打分': 5}
{'短评内容': '地段非常好 整体环境不错 比较有特色  老板人很好', '短评打分': 5}
{'短评内容': '绍兴沈园国际青年旅舍还不错,老中青都适合.', '短评打分': 3}
{'短评内容': '温馨，有韵味。让旅行的心情变得更加愉悦。', '短评打分': 5}
{'短评内容': '绍兴沈园国际青年旅舍位置旅游中心，和沈园一墙之隔，买联票晚上到沈园看戏非方便，到鲁迅故里不到５分钟。坐车到大禹陵也有直到车。旅舍幽静，庭院幽美。绍兴饮食不发达，食集中在解放路，也少有美食一条街，因此也感到住处是吃饭不方便。', '短评打分': 5}
{'短评内容': '就在沈园围墙外，巷道里很安静，环境不错，我住的是迷你房，类似于胶囊旅馆的感觉，不过一个人够用啦！公共的洗澡间和卫生间都很干净。', '短评打分': 5}
{'短评内容': '好！值得推荐！就在沈园隔壁！', '短评打分': 3}
{'短评内容': '环境很好，迷你双人房很可爱~最主要的是气氛好，一帮年轻人一起交流旅行心得~', '短评打分': 5}
{'短评内容': '可陣找 相當不錯呢 乾淨整齊 價錢實惠 很抱歉打半夜把老板加起来 给我加被子啊 呵呵', '短评打分': 3}
{'短评内容': '旅店与沈园相邻，是一个环境清幽的所在，房子也挺干净舒适的。不过旅店招牌很小，在一个深巷中，不容易发现。', '短评打分': 3}
{'短评内容': '环境很幽静，也很有特色，老板人很好~~尤其是院子，很有感觉~~整体蛮干净的', '短评打分': 5}
{'短评内容': '非常有情调的小旅馆~~~超级萌的！！而且附近旅游什么的都超级方便的！！', '短评打分': 5}
{'短评内容': '很安静，且很有个性，墙上有一篇文章很有意思。', '短评打分': 3}
{'短评内容': '很不错 很有特色 其实房间和其他酒店的差不多 就是环境比较独特 位置嘛在很里面 不问还真找不到', '短评打分': 5}
{'短评内容': '旅舍的风格很特别', '短评打分': 3}
{'短评内容': '略微简陋，不过价格便宜，设施还好，交通方便,', '短评打分': 5}
{'短评内容': '旅馆就在沈园边上 三楼有房间就能看到沈园 门票可以省了 呵呵 老板对绍兴很熟 介绍我们吃的 玩的都很到位 为我们的绍兴之行增色不少', '短评打分': 3}
{'短评内容': '除了价格便宜没有一样好的，冻了一个晚上。掌柜态度冷木，加一床被都不肯。', '短评打分': 1}
