{'短评内容': '房间整体干净整洁，环境还好，主要是办事地方近', '短评打分': 5}
{'短评内容': '给父母定的，眼观看着还可以，地毯满软的！！！', '短评打分': 5}
{'短评内容': '不错，早餐很差。有装修的味道。15楼没有装修味道', '短评打分': 5}
{'短评内容': '酒店设施还不错。但是前台人员服务很一般，需要多加培训，其他人员很好，热情有礼，停车很方便，地理位置也很好，值得入住。但是10楼有装修的味道，15楼很好，酒店早餐很差，不如不提供呢。', '短评打分': 5}
{'短评内容': '物超所值，房间很干净，每天都换床单。隔音效果也好，就是商务中心太小了。', '短评打分': 5}
{'短评内容': '房间的沐浴露瓶子是空的.休闲房面积小了点。', '短评打分': 5}
{'短评内容': '早餐不好，房间有人发色情小广告', '短评打分': 3}
{'短评内容': '房间不错,早餐太不好,服务员态度也不怎么样', '短评打分': 1}
{'短评内容': '一般吧，房价这么贵的酒店结账时竟然没有发票，虽然后来给寄到家，但还是打了两次电话后', '短评打分': 5}
{'短评内容': '不错，很干净，适合自助游。大圆床不错！价格也不算高！', '短评打分': 5}
{'短评内容': ' 酒店不错，房间较大，就是毛巾不新', '短评打分': 3}
{'短评内容': '早餐很糟糕，另外前台人员素质不佳。还未经许可，直接把用于预授权的信用卡担保给支付了房间的费用，倒霉的是购买的团购还没有办法用也没法退！西博会房费涨到了400多元.', '短评打分': 1}
{'短评内容': '房间挺干净的，就是距离武侯祠的距离有点尴尬，不行大约25分钟，打的5分钟就到了。', '短评打分': 5}
{'短评内容': '房间比较小，环境还不错。', '短评打分': 3}
{'短评内容': '比想象的差很远，三百多的价格还是这样的服务和条件，性价比显的极低。如果十分的话，只能给到两分。', '短评打分': 3}
{'短评内容': '还可以圆床有特色', '短评打分': 3}
{'短评内容': ' 酒店还不错，离武侯祠都很近，所以还算是不错的选择了，以后去成都玩的话可以选这个', '短评打分': 5}
{'短评内容': '床是我住过的酒店最舒服的，但是因为楼上还有房子在装修白天都无法休息，早餐实在太简陋，喝杯牛奶死活没有尝出奶味，顶多是喝完奶后有添了一杯白水在杯里，', '短评打分': 5}
{'短评内容': '床非常软,很舒服,很喜欢', '短评打分': 3}
{'短评内容': '住房的面积和设计还可以，卫生一般，早餐很简单，要改进', '短评打分': 3}
{'短评内容': '总的设施还可以，就是新装修房间有点气味。还有就是早餐太差我吃了一次其他都在外面吃，和这价格有点差距，希望以后改进。', '短评打分': 5}
{'短评内容': '住了3天，楼层比较高，所以相对比较安静，房间也比较大，服务还算到位，就是电梯还没完全完善', '短评打分': 5}
{'短评内容': '尽管是三月份就开业的酒店,但还是有装修味儿.', '短评打分': 1}
{'短评内容': '不错的酒店，周边都比较方便，圆床不错，早餐不行', '短评打分': 5}
{'短评内容': '性价比很高的新酒店！住的是圆床房间 很不错 设施都很新 ', '短评打分': 5}
{'短评内容': '朋友要到武侯祠、锦里、杜甫草堂、青羊宫旅游，要我在附近找个四星酒店，结果就找到这了！刚开始看了其他朋友的评语我还不太放心。后来一问朋友感受还蛮不错；房间很大，感觉特别的温馨，硬件远远超过附近同档次酒店、床也特别的大，听朋友说是2.2米大床，非常满意。停车也方便，有两层地下停车场，整个感觉文化氛围比较好，最后早餐要再丰富些就好了！下次还要来的话，还是住这个酒店！', '短评打分': 5}
{'短评内容': '全家酒店还是装修的味道，一个晚上开了窗也不成，没睡好！门口还是工地，拉行李出入就是越野赛！', '短评打分': 1}
{'短评内容': '看了网上的图片去的，不过非常失望。\n酒店前有半栋楼还没拆完，内部装修未完全完成，配套非常不齐全，房间连固定电话都没有，服务也还跟不上……', '短评打分': 1}
{'短评内容': '还没装修好，不该营业。甲醛味大得不得了。不收银行卡。楼里施工人员很多', '短评打分': 1}
{'短评内容': '入住后闻到点装修味道，原本以为可以坚持，直接洗澡睡觉，2小时左右以后，被强烈的装修气味熏醒，眼睛、喉咙刺痛，基本无法呼吸。只能起床穿衣退房。告知前台是装修气味实在不能让人居住，结果我以为只进房2个多小时，而且是酒店原因导致退房，底限也应该是只收半天房费。结果，前台妹妹轻描淡写一句，要收全天。已经被熏得无语，也懒得争执。退房走人。赌咒发誓的说一句，绝对不会再住这个酒店，不光是本人，还有公司任何人拿这', '短评打分': 1}
