{'短评内容': '京东购物就是放心，推荐购买', '短评打分': 5}
{'短评内容': '该酒店工作人员每天都打扫房间.我入住时刚装修过〈，有一股难闻的气味〉。', '短评打分': 5}
{'短评内容': '虽然交通有一点点不方便，但是价格很便宜，周围有很多名吃，比如黄记煌不错！', '短评打分': 3}
{'短评内容': '房间小，房间与卫生间隔音不好，洗漱用具不全。', '短评打分': 3}
{'短评内容': '酒店不错，布置很温馨', '短评打分': 3}
{'短评内容': '好 ', '短评打分': 3}
{'短评内容': '房间太小,装修风格有点时尚,但不够档次.与同档价位的酒店比还差得多.', '短评打分': 3}
{'短评内容': '第二次住了，房间小巧整洁。只是没有浴巾有点不方便。', '短评打分': 3}
{'短评内容': '酒店的 设施还 蛮好的   卫生比较干净 啊   价格也比较合理  性价比还是可以的 ', '短评打分': 5}
{'短评内容': '预定的大床A，到店时却满房，于是前台很大方地给了间大床C。房间挺小，但很精致，客房内无洗浴用品，但可以向前台索取，房间也很干净。顺便说下：临界也没那么吵的~', '短评打分': 5}
{'短评内容': '对得起那个价格了吧', '短评打分': 3}
