{'短评内容': '不错，住了四天', '短评打分': 5}
{'短评内容': '周围修路，有点乱。其他还好。', '短评打分': 3}
{'短评内容': '地点还不错，只是附近修路，很脏。早餐很一般。', '短评打分': 5}
{'短评内容': '经济型房间，很干净，在单位院内，周围也很安静，不错', '短评打分': 5}
{'短评内容': '酒店性价比不错，卫生非常好，离火车站北广场和客运总站步行5分钟内，就是周边环境很乱', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还是不错的,设施方面也比较齐全,周边交通也还可以了,价格方面整体感觉还是比较合适的.', '短评打分': 3}
{'短评内容': '酒店招牌小,不易发现,离火车站也有点远,不过环境和服务还不错,价格也实惠', '短评打分': 5}
{'短评内容': '感觉房间稍微小，前台的服务员的服务比较冷淡，服务质量还需要提高', '短评打分': 1}
{'短评内容': '离火车站一站路，还算可以', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '隔了几天,我有住了一次,感觉还是一样好,价格再便宜就更好了', '短评打分': 3}
{'短评内容': '路很好找,离火车站只需过一座桥,倒底是锦江集团管理的,很不错,我住的房间是一张大床,一张小床,适合一家三口居住.卫生间不错,很干净,特别是沐浴很好.如果价格再便宜些更好.会员价和挂牌价没优惠多少.', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;路不好找&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;房间还算整洁&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;可以考虑&amp;lt;/P&amp;gt;', '短评打分': 5}
