{'短评内容': '酒店很干净，可惜早餐没有大米粥', '短评打分': 4}
{'短评内容': '第一次住 感觉还不错 性价比一般', '短评打分': 3}
{'短评内容': '第一次住 感觉还可以', '短评打分': 5}
{'短评内容': '门前的路况相对较差，门口大车较多，但离西安东环和高速较近，去往沪陕高速比较便利。', '短评打分': 5}
{'短评内容': '酒店很老', '短评打分': 1}
{'短评内容': '价格有点高，这样的价位来说，房间有点偏小，房间的设施也一般，和住过的四星酒店还是有差距。', '短评打分': 1}
{'短评内容': '配套齐全，性价比高。', '短评打分': 5}
{'短评内容': '选择这家主要是离我办事地方比较近,就在地图上找的,到了以后感觉酒店的条件也不错,挺干净,服务也很好,物有所值', '短评打分': 3}
{'短评内容': '酒店分两个楼前面是新楼,我们住的后面旧楼价格又贵,性价比不太好,要是以这个价格来住新楼还是不错的.', '短评打分': 5}
{'短评内容': '酒店各方面都挺不错的,环境也蛮干净舒适的,价位也不高,还是比较满意的.', '短评打分': 5}
{'短评内容': '酒店的房间设施比较老了,服务卫生很一般的,位置不错的,价格还算合适的', '短评打分': 5}
{'短评内容': '酒店的整体都可以的,服务卫生以及设施都不错的,酒店的位置不错的,出行很方便的,性价比比较高了的酒店', '短评打分': 5}
{'短评内容': '酒店太老，设施比较陈旧，我是出差住，出门都是打车，位置到无所谓，酒店的服务和卫生条件还成，如果酒店不装修的话是不值得在推荐入住的', '短评打分': 1}
{'短评内容': '就是设施有点老,其他方面都不错', '短评打分': 5}
{'短评内容': '酒店的服务员可以在她们工作的时间里，可以很轻松的讲自己不代表酒店。', '短评打分': 1}
