{'短评内容': '条件很好', '短评打分': 5}
{'短评内容': '综合环境一般，室内设施相当陈旧。马桶没有固定，底座是可以移动的，所以卫生间空气相当差。值得一提的是一位姓姬的办公室员工服务很热情，及时帮我解决了问题，值得称赞。', '短评打分': 5}
{'短评内容': '太差劲了，房间很脏，太脏了', '短评打分': 3}
{'短评内容': '估计快关门了，房间差，服务更差。连台灯都没有。', '短评打分': 1}
{'短评内容': '设施陈旧', '短评打分': 3}
{'短评内容': '酒店太老了，早餐不够丰富，房卡反应有些慢，但是价格便宜。', '短评打分': 1}
{'短评内容': '房间设施陈旧。', '短评打分': 3}
{'短评内容': '对得起价格，服务很好，值得入住\n对得起价格，服务很好，值得入住', '短评打分': 5}
{'短评内容': '位置很方便，服务也不错。环境好~继续努力，加油！', '短评打分': 5}
{'短评内容': '第二次入住，服务很好吧，地理位置也好', '短评打分': 3}
{'短评内容': '酒店地理位置很好，离火车站和汽车站很近', '短评打分': 3}
{'短评内容': '恩，一个不错的酒店，房间数量很充足，当天晚上预定第二天的房间，很多酒店都已订完，菏泽花都大酒店仍有空房。', '短评打分': 5}
{'短评内容': '服务好，早餐好，环境好，住的很舒服，值得推荐', '短评打分': 5}
{'短评内容': '环境不错，服务较好。房间够大，早餐很好。缺点是设施陈旧，床头已变黑。', '短评打分': 5}
{'短评内容': ' 这个酒店不错！', '短评打分': 3}
{'短评内容': 'g感觉有点老，房间设施比较陈旧，第二天电梯居然坏了。。。', '短评打分': 1}
{'短评内容': '酒店设施陈旧，不推荐', '短评打分': 3}
{'短评内容': '设备老化，服务一般，卫生间还有头发，门锁还是坏的', '短评打分': 1}
{'短评内容': '当地的老牌酒店，设施一般，不过在当地受欢迎，也可以考虑对面的牡丹酒店', '短评打分': 5}
{'短评内容': '太旧了,房间设施太差,没有太阳居然没有热水洗澡.', '短评打分': 1}
{'短评内容': '酒店就是太旧，卫生差点。', '短评打分': 3}
{'短评内容': '设施陈旧，价格较高，服务一般，不推荐。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '房间很干净,交通也比较方便,以后去还会去住.', '短评打分': 5}
{'短评内容': ' 装修陈旧 卫生差劲 床单脏  没空调  房价与实际严重不符~~~~~', '短评打分': 3}
{'短评内容': '设施比较旧，在菏泽应该没有什么好的酒店吧，\n没有发现和价位比较合适的地方', '短评打分': 1}
{'短评内容': '该酒店设施有些旧尤其是卫生间布局不太合理', '短评打分': 3}
{'短评内容': '差,非常差!原选择认为是4星,结果连经济型的都不如,夏天入住,居然说空调坏了!入住后浴室下水也是坏的,电视也坏了,没办法,上网吧,结果网线也有问题,让前台换了根线才解决!', '短评打分': 1}
{'短评内容': '＋入住环境非常好。服务员态度非常亲切。', '短评打分': 3}
{'短评内容': '在菏泽市找到这样的算不错了，卫生条件还可以，09年新装修的，有wifi，就是房间不太大。', '短评打分': 5}
{'短评内容': '房间较旧，服务一般，不推荐', '短评打分': 5}
{'短评内容': '太旧了，而且空调也不好，早餐衣不好，下回坚决不住了。', '短评打分': 1}
{'短评内容': '住宿条件一般，交通还是挺方便的，里面娱乐设施还成，电脑网速贼快', '短评打分': 5}
{'短评内容': 'bu cuo', '短评打分': 3}
{'短评内容': '酒店地理位置不错，环境也很好，感觉性价比高。', '短评打分': 5}
{'短评内容': '标间床太窄，卫生间设施太陈旧', '短评打分': 5}
{'短评内容': '一般吧，设施还凑合，住的地方太小', '短评打分': 1}
{'短评内容': '比较失望！', '短评打分': 1}
{'短评内容': '老牌子的酒店了，性价比还是可以的，地处闹市区，早饭一般', '短评打分': 5}
{'短评内容': '入住的那天赶上菏泽下暴雨，窗户密封不严，雨水全都倒灌进房间了。找服务员，半天也没人来解决。', '短评打分': 1}
{'短评内容': '旧', '短评打分': 1}
{'短评内容': '舒適的酒店', '短评打分': 1}
{'短评内容': '酒店太陈旧，各方面设施很一般。没有在这家酒店前面那家新。', '短评打分': 1}
{'短评内容': '房子较旧,卫生也不是很干净', '短评打分': 1}
{'短评内容': '房间挺干净的，位置也比较方便，就是价格在当地来说有点高', '短评打分': 5}
{'短评内容': '酒店的整体一般化的，酒店的位置还可以的，出行很方便的，价格还可以的。', '短评打分': 5}
{'短评内容': '酒店电梯安全隐患,久不久就坏,我被关在酒店的电梯里一段时间,吓坏了我.', '短评打分': 1}
{'短评内容': '酒店房间设施不怎么好有点陈旧，服务态度不热情，卫生间的条件也不干净，价格还合适，前几年住过，位置方便，可能是时间久了，所以设施不好了', '短评打分': 1}
{'短评内容': '这家酒店服务人员的服务特别好，卫生环境也不错，就是设施有点旧了，酒店在新区，交通相对来说比较方便', '短评打分': 5}
{'短评内容': '服务很好，硬件设施在菏泽来说是比较不错的，唯一不好的就是地毯比较旧了与房间的设施不太搭配', '短评打分': 5}
{'短评内容': '价格高了点，硬件设施感觉比较一般，服务和卫生还可以', '短评打分': 5}
